Date,Open,High,Low,Close,Volume,Currency
2013-03-19,0.65,0.665,0.65,0.66,1812900,MYR
2013-03-20,0.66,0.67,0.66,0.67,1881100,MYR
2013-03-21,0.67,0.68,0.67,0.67,569600,MYR
2013-03-22,0.67,0.675,0.67,0.675,524000,MYR
2013-03-25,0.68,0.705,0.68,0.705,1046000,MYR
2013-03-26,0.705,0.745,0.705,0.74,765600,MYR
2013-03-27,0.74,0.745,0.725,0.725,306900,MYR
2013-03-28,0.725,0.725,0.71,0.71,439300,MYR
2013-03-29,0.715,0.715,0.71,0.71,72200,MYR
2013-04-01,0.71,0.73,0.71,0.72,206400,MYR
2013-04-02,0.725,0.735,0.72,0.73,153200,MYR
2013-04-03,0.725,0.745,0.715,0.735,865500,MYR
2013-04-04,0.735,0.735,0.72,0.72,13400,MYR
2013-04-05,0.72,0.73,0.72,0.72,138100,MYR
2013-04-08,0.72,0.73,0.715,0.72,198000,MYR
2013-04-09,0.72,0.73,0.72,0.725,276200,MYR
2013-04-10,0.72,0.72,0.715,0.715,146900,MYR
2013-04-11,0.72,0.735,0.72,0.725,152500,MYR
2013-04-12,0.72,0.72,0.72,0.72,30800,MYR
2013-04-15,0.72,0.72,0.715,0.715,143000,MYR
2013-04-16,0.72,0.72,0.71,0.71,93400,MYR
2013-04-17,0.71,0.72,0.71,0.71,210300,MYR
2013-04-18,0.71,0.715,0.705,0.715,114300,MYR
2013-04-19,0.705,0.71,0.705,0.71,77200,MYR
2013-04-22,0.71,0.715,0.695,0.7,2123400,MYR
2013-04-23,0.7,0.705,0.7,0.7,1793500,MYR
2013-04-24,0.71,0.71,0.705,0.705,1019700,MYR
2013-04-25,0.705,0.71,0.705,0.705,717200,MYR
2013-04-26,0.71,0.71,0.705,0.705,1466700,MYR
2013-04-29,0.71,0.71,0.705,0.71,525900,MYR
2013-04-30,0.705,0.71,0.67,0.67,3167300,MYR
2013-05-02,0.705,0.705,0.685,0.7,128100,MYR
2013-05-03,0.695,0.7,0.685,0.685,680400,MYR
2013-05-06,0.705,0.705,0.68,0.69,1008800,MYR
2013-05-07,0.695,0.695,0.685,0.69,2675500,MYR
2013-05-08,0.69,0.695,0.69,0.69,457200,MYR
2013-05-09,0.695,0.705,0.695,0.695,143300,MYR
2013-05-10,0.695,0.705,0.695,0.7,181900,MYR
2013-05-13,0.71,0.72,0.71,0.72,233300,MYR
2013-05-14,0.72,0.72,0.71,0.72,549400,MYR
2013-05-15,0.725,0.735,0.725,0.725,1372500,MYR
2013-05-16,0.725,0.745,0.725,0.74,1077600,MYR
2013-05-17,0.74,0.765,0.735,0.765,2021200,MYR
2013-05-20,0.78,0.785,0.77,0.78,157000,MYR
2013-05-21,0.78,0.79,0.77,0.79,331500,MYR
2013-05-22,0.8,0.815,0.79,0.795,942500,MYR
2013-05-23,0.805,0.805,0.78,0.785,234900,MYR
2013-05-27,0.795,0.83,0.795,0.82,565200,MYR
2013-05-28,0.82,0.835,0.82,0.825,178000,MYR
2013-05-29,0.83,0.86,0.83,0.85,758500,MYR
2013-05-30,0.85,0.85,0.83,0.84,425800,MYR
2013-05-31,0.84,0.845,0.835,0.835,552000,MYR
2013-06-03,0.83,0.835,0.83,0.835,76900,MYR
2013-06-04,0.835,0.835,0.83,0.835,361700,MYR
2013-06-05,0.825,0.84,0.825,0.835,220300,MYR
2013-06-06,0.835,0.84,0.83,0.83,66300,MYR
2013-06-07,0.83,0.835,0.83,0.83,455000,MYR
2013-06-10,0.83,0.84,0.83,0.835,145100,MYR
2013-06-11,0.84,0.84,0.825,0.825,465100,MYR
2013-06-12,0.83,0.83,0.82,0.82,174800,MYR
2013-06-13,0.82,0.83,0.815,0.825,432100,MYR
2013-06-14,0.825,0.825,0.825,0.825,43400,MYR
2013-06-17,0.825,0.825,0.82,0.825,70000,MYR
2013-06-18,0.82,0.825,0.82,0.825,42900,MYR
2013-06-19,0.82,0.83,0.82,0.83,205600,MYR
2013-06-20,0.82,0.825,0.815,0.82,88000,MYR
2013-06-21,0.82,0.825,0.815,0.825,138400,MYR
2013-06-24,0.825,0.825,0.82,0.825,731700,MYR
2013-06-25,0.82,0.82,0.815,0.815,174600,MYR
2013-06-26,0.815,0.815,0.81,0.81,38900,MYR
2013-06-27,0.82,0.825,0.815,0.825,25200,MYR
2013-06-28,0.82,0.82,0.815,0.815,74800,MYR
2013-07-01,0.82,0.85,0.82,0.83,63100,MYR
2013-07-02,0.83,0.845,0.83,0.845,236700,MYR
2013-07-03,0.845,0.845,0.835,0.835,63800,MYR
2013-07-04,0.83,0.835,0.825,0.83,135600,MYR
2013-07-05,0.83,0.835,0.825,0.83,448400,MYR
2013-07-08,0.835,0.845,0.835,0.84,120400,MYR
2013-07-09,0.84,0.84,0.84,0.84,446800,MYR
2013-07-10,0.84,0.84,0.84,0.84,1255800,MYR
2013-07-11,0.845,0.865,0.845,0.85,123100,MYR
2013-07-12,0.85,0.85,0.845,0.85,29400,MYR
2013-07-15,0.845,0.845,0.845,0.845,9200,MYR
2013-07-16,0.845,0.845,0.84,0.84,247700,MYR
2013-07-17,0.845,0.845,0.84,0.84,170000,MYR
2013-07-18,0.84,0.84,0.84,0.84,14600,MYR
2013-07-19,0.845,0.85,0.845,0.845,53400,MYR
2013-07-22,0.845,0.85,0.845,0.85,58100,MYR
2013-07-23,0.845,0.85,0.845,0.845,109500,MYR
2013-07-24,0.845,0.845,0.84,0.845,246000,MYR
2013-07-25,0.84,0.84,0.84,0.84,51400,MYR
2013-07-26,0.845,0.845,0.84,0.845,20600,MYR
2013-07-29,0.85,0.85,0.85,0.85,297600,MYR
2013-07-30,0.85,0.85,0.84,0.84,388600,MYR
2013-07-31,0.85,0.85,0.82,0.825,99400,MYR
2013-08-01,0.83,0.83,0.83,0.83,50200,MYR
2013-08-02,0.835,0.84,0.83,0.83,302400,MYR
2013-08-05,0.835,0.84,0.835,0.835,109300,MYR
2013-08-06,0.84,0.84,0.83,0.835,531100,MYR
2013-08-07,0.835,0.835,0.825,0.825,294500,MYR
2013-08-12,0.83,0.855,0.83,0.85,169500,MYR
2013-08-13,0.85,0.87,0.85,0.865,209400,MYR
2013-08-14,0.865,0.885,0.865,0.885,534700,MYR
2013-08-15,0.87,0.9,0.87,0.9,418900,MYR
2013-08-16,0.905,0.95,0.905,0.945,538500,MYR
2013-08-19,0.95,1.1,0.95,1.07,3418600,MYR
2013-08-20,1.07,1.07,0.95,0.975,652900,MYR
2013-08-21,0.99,1.0,0.945,0.965,349900,MYR
2013-08-22,0.95,0.965,0.93,0.945,546200,MYR
2013-08-23,0.96,0.96,0.935,0.94,127200,MYR
2013-08-26,0.95,0.95,0.93,0.935,280600,MYR
2013-08-27,0.935,0.935,0.885,0.895,420700,MYR
2013-08-28,0.88,0.895,0.87,0.885,145500,MYR
2013-08-29,0.89,0.915,0.89,0.905,47300,MYR
2013-08-30,0.91,0.93,0.9,0.93,190900,MYR
2013-09-02,0.9,0.93,0.89,0.895,477700,MYR
2013-09-03,0.895,0.91,0.885,0.89,916600,MYR
2013-09-04,0.9,0.905,0.895,0.9,62600,MYR
2013-09-05,0.9,0.95,0.895,0.9,226100,MYR
2013-09-06,0.9,0.9,0.9,0.9,5300,MYR
2013-09-09,0.91,0.925,0.905,0.925,222700,MYR
2013-09-10,0.925,0.95,0.925,0.95,87200,MYR
2013-09-11,0.92,0.965,0.92,0.935,307100,MYR
2013-09-12,0.935,0.95,0.935,0.935,70100,MYR
2013-09-13,0.935,0.95,0.935,0.945,47600,MYR
2013-09-17,0.95,0.955,0.95,0.95,22900,MYR
2013-09-18,0.945,0.945,0.945,0.945,16800,MYR
2013-09-19,0.95,0.955,0.945,0.955,26100,MYR
2013-09-20,0.94,0.96,0.94,0.955,57400,MYR
2013-09-23,0.95,0.95,0.94,0.94,93800,MYR
2013-09-24,0.92,0.94,0.92,0.94,18200,MYR
2013-09-25,0.94,0.96,0.94,0.94,14300,MYR
2013-09-26,0.945,0.95,0.945,0.95,27600,MYR
2013-09-27,0.94,0.94,0.94,0.94,23000,MYR
2013-09-30,0.93,0.965,0.93,0.96,124500,MYR
2013-10-01,0.95,0.975,0.95,0.975,60700,MYR
2013-10-02,0.97,0.98,0.965,0.97,43200,MYR
2013-10-03,0.97,0.97,0.97,0.97,39100,MYR
2013-10-04,0.97,0.975,0.97,0.97,40600,MYR
2013-10-07,0.97,0.985,0.97,0.985,135300,MYR
2013-10-08,0.98,0.98,0.97,0.97,87800,MYR
2013-10-09,0.97,0.98,0.97,0.97,5400,MYR
2013-10-10,0.99,0.995,0.985,0.985,67500,MYR
2013-10-11,1.0,1.0,0.99,0.99,54300,MYR
2013-10-14,0.97,0.98,0.97,0.98,28700,MYR
2013-10-16,0.98,0.98,0.95,0.95,96800,MYR
2013-10-17,0.955,0.955,0.95,0.955,49700,MYR
2013-10-18,0.955,0.97,0.95,0.965,77600,MYR
2013-10-21,0.96,0.965,0.96,0.965,6100,MYR
2013-10-22,0.965,0.99,0.965,0.99,106700,MYR
2013-10-23,0.98,0.98,0.96,0.96,18300,MYR
2013-10-24,0.95,0.97,0.95,0.97,25500,MYR
2013-10-25,0.97,1.05,0.965,1.05,1074200,MYR
2013-10-28,1.03,1.03,1.01,1.02,142900,MYR
2013-10-29,1.01,1.03,1.01,1.03,71200,MYR
2013-10-30,1.01,1.05,1.01,1.02,165200,MYR
2013-10-31,1.03,1.05,1.01,1.05,324900,MYR
2013-11-01,1.02,1.05,1.02,1.05,78900,MYR
2013-11-04,1.04,1.05,1.04,1.04,207500,MYR
2013-11-06,1.03,1.14,1.03,1.08,374200,MYR
2013-11-07,1.06,1.11,1.05,1.08,253300,MYR
2013-11-08,1.06,1.1,1.06,1.09,88300,MYR
2013-11-11,1.08,1.08,1.07,1.07,218600,MYR
2013-11-12,1.07,1.1,1.07,1.07,405000,MYR
2013-11-13,1.08,1.1,1.07,1.1,272000,MYR
2013-11-14,1.09,1.09,1.08,1.09,122700,MYR
2013-11-15,1.1,1.1,1.09,1.09,306400,MYR
2013-11-18,1.1,1.11,0.995,1.09,526400,MYR
2013-11-19,1.08,1.08,1.06,1.07,32500,MYR
2013-11-20,1.06,1.08,1.06,1.08,134200,MYR
2013-11-21,1.06,1.08,1.06,1.07,378200,MYR
2013-11-22,1.07,1.07,1.05,1.05,202000,MYR
2013-11-25,1.05,1.07,1.05,1.06,173900,MYR
2013-11-26,1.07,1.09,1.07,1.08,656600,MYR
2013-11-27,1.08,1.08,1.06,1.06,81200,MYR
2013-11-28,1.06,1.06,1.05,1.06,26200,MYR
2013-11-29,1.06,1.07,1.06,1.07,74800,MYR
2013-12-02,1.08,1.08,1.06,1.06,18300,MYR
2013-12-03,1.06,1.06,1.06,1.06,120700,MYR
2013-12-04,1.06,1.07,1.06,1.07,91600,MYR
2013-12-05,1.07,1.07,1.06,1.06,55400,MYR
2013-12-06,1.05,1.07,1.05,1.07,116000,MYR
2013-12-09,1.06,1.07,1.06,1.07,21800,MYR
2013-12-10,1.06,1.06,1.06,1.06,6800,MYR
2013-12-11,1.06,1.07,1.06,1.06,42900,MYR
2013-12-12,1.07,1.07,1.06,1.07,127700,MYR
2013-12-13,1.06,1.07,1.06,1.07,139900,MYR
2013-12-16,1.06,1.07,1.06,1.06,116400,MYR
2013-12-17,1.06,1.06,1.05,1.06,234000,MYR
2013-12-18,1.06,1.06,1.05,1.05,121200,MYR
2013-12-19,1.04,1.04,1.04,1.04,30200,MYR
2013-12-20,1.04,1.05,1.04,1.05,36300,MYR
2013-12-23,1.04,1.04,1.04,1.04,8700,MYR
2013-12-24,1.02,1.04,0.99,0.99,57900,MYR
2013-12-26,1.02,1.06,1.02,1.05,69100,MYR
2013-12-27,1.03,1.04,1.03,1.04,200,MYR
2013-12-30,1.04,1.04,1.04,1.04,12500,MYR
2013-12-31,1.04,1.04,1.03,1.03,4300,MYR
2014-01-02,1.01,1.03,1.01,1.03,13900,MYR
2014-01-03,1.01,1.03,1.01,1.03,38000,MYR
2014-01-06,1.01,1.04,1.01,1.04,14300,MYR
2014-01-07,1.01,1.02,1.01,1.02,16900,MYR
2014-01-08,1.01,1.03,1.01,1.03,93800,MYR
2014-01-09,1.02,1.02,1.02,1.02,79700,MYR
2014-01-10,1.01,1.02,1.01,1.02,4300,MYR
2014-01-13,1.02,1.02,0.995,1.0,146200,MYR
2014-01-15,1.02,1.03,1.01,1.03,30000,MYR
2014-01-16,1.01,1.01,1.0,1.01,91400,MYR
2014-01-20,1.01,1.01,1.01,1.01,80500,MYR
2014-01-21,1.01,1.01,0.995,0.995,118200,MYR
2014-01-22,1.01,1.01,0.995,1.01,19800,MYR
2014-01-23,0.99,0.99,0.99,0.99,68200,MYR
2014-01-24,1.0,1.0,1.0,1.0,47600,MYR
2014-01-27,1.0,1.0,1.0,1.0,15000,MYR
2014-01-28,0.995,1.02,0.995,1.02,10000,MYR
2014-01-29,1.01,1.01,1.01,1.01,1000,MYR
2014-02-04,0.98,0.98,0.98,0.98,65100,MYR
2014-02-05,0.985,0.99,0.98,0.99,129200,MYR
2014-02-06,0.99,1.01,0.985,0.995,188800,MYR
2014-02-07,0.985,1.0,0.985,0.99,241700,MYR
2014-02-10,0.99,1.0,0.99,1.0,25300,MYR
2014-02-11,0.99,1.02,0.99,1.01,115600,MYR
2014-02-12,1.02,1.03,1.01,1.02,247200,MYR
2014-02-13,1.01,1.01,1.01,1.01,51500,MYR
2014-02-14,1.01,1.01,1.0,1.01,72900,MYR
2014-02-17,1.02,1.02,1.02,1.02,157300,MYR
2014-02-18,1.02,1.02,1.02,1.02,240100,MYR
2014-02-19,1.02,1.03,1.01,1.02,710000,MYR
2014-02-20,1.0,1.02,1.0,1.02,561200,MYR
2014-02-21,1.03,1.04,1.02,1.02,159500,MYR
2014-02-24,1.06,1.1,1.05,1.05,908700,MYR
2014-02-25,1.08,1.08,1.05,1.05,242000,MYR
2014-02-26,1.05,1.06,1.05,1.05,37100,MYR
2014-02-27,1.05,1.07,1.05,1.07,35500,MYR
2014-02-28,1.06,1.08,1.06,1.06,209800,MYR
2014-03-03,1.06,1.06,1.05,1.05,122700,MYR
2014-03-04,1.08,1.08,1.07,1.07,6500,MYR
2014-03-05,1.08,1.08,1.06,1.07,53200,MYR
2014-03-06,1.06,1.07,1.06,1.06,80000,MYR
2014-03-07,1.06,1.07,1.06,1.06,264800,MYR
2014-03-10,1.06,1.08,1.06,1.07,162300,MYR
2014-03-11,1.07,1.07,1.07,1.07,166700,MYR
2014-03-12,1.06,1.07,1.06,1.06,119700,MYR
2014-03-13,1.07,1.07,1.05,1.05,132800,MYR
2014-03-14,1.05,1.06,1.05,1.06,44600,MYR
2014-03-17,1.06,1.06,1.05,1.05,76000,MYR
2014-03-18,1.05,1.05,1.04,1.04,153900,MYR
2014-03-19,1.04,1.04,1.03,1.04,76500,MYR
2014-03-20,1.03,1.04,1.03,1.03,96300,MYR
2014-03-21,1.03,1.05,1.02,1.05,101800,MYR
2014-03-24,1.03,1.04,1.03,1.04,34800,MYR
2014-03-25,1.03,1.04,1.03,1.04,35300,MYR
2014-03-26,1.05,1.05,1.04,1.04,108700,MYR
2014-03-27,1.03,1.04,1.03,1.04,70000,MYR
2014-03-28,1.02,1.04,1.02,1.03,41500,MYR
2014-03-31,1.03,1.03,1.03,1.03,39600,MYR
2014-04-01,1.03,1.04,1.02,1.04,132400,MYR
2014-04-02,1.05,1.05,1.04,1.04,28900,MYR
2014-04-03,1.03,1.04,1.03,1.03,114500,MYR
2014-04-04,1.03,1.03,1.02,1.02,73100,MYR
2014-04-07,1.02,1.02,1.02,1.02,61300,MYR
2014-04-08,1.03,1.03,0.995,1.0,491500,MYR
2014-04-09,1.01,1.02,1.01,1.02,28100,MYR
2014-04-10,1.01,1.02,1.0,1.01,172000,MYR
2014-04-11,1.0,1.01,0.995,1.0,271100,MYR
2014-04-14,0.99,1.01,0.99,0.995,862400,MYR
2014-04-15,1.0,1.01,1.0,1.01,391900,MYR
2014-04-16,1.01,1.02,1.0,1.01,598700,MYR
2014-04-17,1.02,1.02,1.0,1.01,910200,MYR
2014-04-18,1.0,1.0,1.0,1.0,62100,MYR
2014-04-21,1.0,1.01,0.995,1.0,140000,MYR
2014-04-22,1.0,1.0,1.0,1.0,132500,MYR
2014-04-23,1.0,1.0,1.0,1.0,138400,MYR
2014-04-24,1.0,1.0,1.0,1.0,148200,MYR
2014-04-25,1.0,1.0,0.995,0.995,58900,MYR
2014-04-28,0.995,0.995,0.97,0.98,78200,MYR
2014-04-29,0.98,0.99,0.98,0.99,25000,MYR
2014-04-30,0.99,1.0,0.99,0.99,18600,MYR
2014-05-02,0.985,0.99,0.985,0.99,3600,MYR
2014-05-05,0.985,0.99,0.98,0.98,88800,MYR
2014-05-06,0.985,0.985,0.985,0.985,8700,MYR
2014-05-07,0.985,1.0,0.985,1.0,25400,MYR
2014-05-08,0.99,0.99,0.99,0.99,1800,MYR
2014-05-09,0.99,0.99,0.985,0.985,123100,MYR
2014-05-12,0.985,0.985,0.985,0.985,12300,MYR
2014-05-14,0.985,0.995,0.985,0.995,22700,MYR
2014-05-15,0.995,1.0,0.99,1.0,56600,MYR
2014-05-16,1.0,1.0,0.995,1.0,93700,MYR
2014-05-19,0.985,0.99,0.985,0.99,102500,MYR
2014-05-20,1.0,1.01,0.995,1.01,222300,MYR
2014-05-21,1.0,1.02,1.0,1.02,209400,MYR
2014-05-22,1.02,1.02,1.01,1.02,158700,MYR
2014-05-23,1.03,1.03,1.01,1.01,15700,MYR
