Date,Open,High,Low,Close,Volume,Currency
2014-06-24,0.695,0.705,0.695,0.705,525400,MYR
2014-06-25,0.705,0.705,0.69,0.69,568900,MYR
2014-06-26,0.695,0.745,0.695,0.74,2418200,MYR
2014-06-27,0.755,0.755,0.74,0.745,2126700,MYR
2014-06-30,0.745,0.75,0.72,0.75,735700,MYR
2014-07-01,0.745,0.75,0.735,0.745,1015100,MYR
2014-07-02,0.745,0.79,0.745,0.775,3473000,MYR
2014-07-03,0.78,0.79,0.77,0.785,1146500,MYR
2014-07-04,0.79,0.795,0.78,0.78,1089000,MYR
2014-07-07,0.79,0.79,0.78,0.785,449400,MYR
2014-07-08,0.785,0.785,0.775,0.78,1224900,MYR
2014-07-09,0.775,0.78,0.765,0.77,726000,MYR
2014-07-10,0.77,0.77,0.765,0.77,299100,MYR
2014-07-11,0.77,0.77,0.74,0.74,1158100,MYR
2014-07-14,0.74,0.77,0.73,0.755,830400,MYR
2014-07-16,0.75,0.76,0.75,0.755,323400,MYR
2014-07-17,0.76,0.775,0.76,0.765,605600,MYR
2014-07-18,0.755,0.775,0.75,0.76,631700,MYR
2014-07-21,0.76,0.78,0.755,0.77,639700,MYR
2014-07-22,0.77,0.775,0.76,0.775,439200,MYR
2014-07-23,0.775,0.8,0.775,0.8,2086100,MYR
2014-07-24,0.805,0.82,0.795,0.795,1523800,MYR
2014-07-25,0.8,0.8,0.77,0.79,684900,MYR
2014-07-30,0.79,0.805,0.79,0.805,590600,MYR
2014-07-31,0.8,0.8,0.77,0.77,1284600,MYR
2014-08-01,0.76,0.79,0.75,0.77,832200,MYR
2014-08-04,0.765,0.78,0.765,0.78,540000,MYR
2014-08-05,0.78,0.78,0.765,0.775,488900,MYR
2014-08-06,0.775,0.775,0.765,0.765,535300,MYR
2014-08-07,0.765,0.77,0.76,0.77,618500,MYR
2014-08-08,0.765,0.765,0.72,0.74,1779000,MYR
2014-08-11,0.745,0.75,0.735,0.735,498300,MYR
2014-08-12,0.74,0.74,0.72,0.725,1651100,MYR
2014-08-13,0.725,0.75,0.715,0.745,1453400,MYR
2014-08-14,0.75,0.75,0.73,0.73,618900,MYR
2014-08-15,0.725,0.745,0.725,0.74,507000,MYR
2014-08-18,0.74,0.74,0.725,0.73,452100,MYR
2014-08-19,0.735,0.755,0.735,0.755,1785300,MYR
2014-08-20,0.755,0.775,0.72,0.73,2082600,MYR
2014-08-21,0.73,0.73,0.725,0.73,353100,MYR
2014-08-22,0.725,0.725,0.68,0.69,3447400,MYR
2014-08-25,0.685,0.685,0.655,0.66,1330000,MYR
2014-08-26,0.66,0.685,0.655,0.675,897300,MYR
2014-08-27,0.675,0.685,0.67,0.68,448900,MYR
2014-08-28,0.68,0.68,0.67,0.67,764800,MYR
2014-08-29,0.675,0.675,0.665,0.67,626200,MYR
2014-09-02,0.66,0.66,0.65,0.66,527100,MYR
2014-09-03,0.655,0.66,0.645,0.66,313500,MYR
2014-09-04,0.66,0.695,0.66,0.685,398900,MYR
2014-09-05,0.685,0.69,0.68,0.685,243600,MYR
2014-09-08,0.685,0.69,0.68,0.68,175100,MYR
2014-09-09,0.68,0.68,0.675,0.675,257000,MYR
2014-09-10,0.675,0.68,0.67,0.68,163500,MYR
2014-09-11,0.68,0.68,0.67,0.67,218000,MYR
2014-09-12,0.68,0.7,0.68,0.69,284600,MYR
2014-09-15,0.675,0.675,0.67,0.67,151000,MYR
2014-09-17,0.67,0.68,0.665,0.68,209500,MYR
2014-09-18,0.675,0.675,0.66,0.67,325100,MYR
2014-09-19,0.665,0.68,0.64,0.68,367600,MYR
2014-09-22,0.67,0.67,0.665,0.665,141400,MYR
2014-09-23,0.67,0.675,0.665,0.67,219300,MYR
