Date,Open,High,Low,Close,Volume,Currency
2014-09-24,1.09,1.1,1.07,1.09,859300,MYR
2014-09-25,1.1,1.14,1.06,1.08,5975300,MYR
2014-09-26,1.08,1.09,1.05,1.07,1726700,MYR
2014-09-29,1.07,1.09,1.07,1.08,763300,MYR
2014-09-30,1.08,1.08,1.06,1.07,665100,MYR
2014-10-01,1.07,1.07,1.02,1.03,2018200,MYR
2014-10-02,1.03,1.03,0.995,1.0,1739100,MYR
2014-10-03,1.0,1.02,0.995,1.01,852000,MYR
2014-10-07,1.02,1.02,0.98,0.99,1112000,MYR
2014-10-08,0.99,0.99,0.94,0.955,3627600,MYR
2014-10-09,0.96,0.985,0.96,0.97,1663900,MYR
2014-10-10,0.94,0.96,0.93,0.96,1159300,MYR
2014-10-13,0.955,0.955,0.935,0.955,1487000,MYR
2014-10-14,0.93,0.94,0.92,0.93,2747400,MYR
2014-10-15,0.945,0.945,0.925,0.94,1235800,MYR
2014-10-16,0.915,0.92,0.82,0.865,3694000,MYR
2014-10-17,0.865,0.955,0.865,0.955,3763400,MYR
2014-10-20,0.96,0.99,0.955,0.955,5239900,MYR
2014-10-21,0.955,0.955,0.925,0.925,2453800,MYR
2014-10-23,0.925,0.945,0.925,0.94,2151300,MYR
2014-10-24,0.955,0.965,0.94,0.95,2399300,MYR
2014-10-27,0.955,0.97,0.945,0.96,1376000,MYR
2014-10-28,0.955,0.955,0.935,0.94,1186100,MYR
2014-10-29,0.95,0.965,0.945,0.95,2641800,MYR
2014-10-30,0.945,0.95,0.94,0.945,1752800,MYR
2014-10-31,0.955,1.0,0.95,0.985,5794700,MYR
2014-11-03,0.995,1.03,0.975,1.0,4374600,MYR
2014-11-04,1.0,1.0,0.985,0.99,823200,MYR
2014-11-05,0.995,1.0,0.975,0.975,515700,MYR
2014-11-06,0.975,0.99,0.955,0.96,1049500,MYR
2014-11-07,0.96,0.975,0.96,0.97,1847700,MYR
2014-11-10,0.975,0.975,0.955,0.955,373500,MYR
2014-11-11,0.96,0.965,0.95,0.96,433200,MYR
2014-11-12,0.955,0.98,0.95,0.975,914900,MYR
2014-11-13,0.98,0.98,0.955,0.96,917000,MYR
2014-11-14,0.97,0.97,0.955,0.96,1646600,MYR
2014-11-17,0.965,0.97,0.95,0.95,500700,MYR
2014-11-18,0.95,0.965,0.935,0.96,687400,MYR
2014-11-19,0.965,0.975,0.945,0.97,690700,MYR
2014-11-20,0.975,0.98,0.97,0.98,1535600,MYR
2014-11-21,0.99,1.01,0.985,0.99,3471600,MYR
2014-11-24,0.99,1.0,0.98,0.98,630300,MYR
2014-11-25,0.975,0.995,0.975,0.98,322700,MYR
2014-11-26,0.975,0.98,0.96,0.965,353200,MYR
2014-11-27,0.975,0.985,0.955,0.97,769500,MYR
2014-11-28,0.96,0.99,0.955,0.985,664800,MYR
2014-12-01,0.985,0.985,0.935,0.945,1629700,MYR
2014-12-02,0.95,0.95,0.935,0.935,354500,MYR
2014-12-03,0.935,0.945,0.93,0.935,1480500,MYR
2014-12-04,0.93,0.93,0.9,0.93,697300,MYR
2014-12-05,0.93,0.93,0.915,0.925,389100,MYR
2014-12-08,0.91,0.93,0.905,0.905,215700,MYR
2014-12-09,0.9,0.91,0.895,0.905,560100,MYR
2014-12-10,0.9,0.92,0.9,0.91,953000,MYR
2014-12-11,0.9,0.905,0.895,0.905,392000,MYR
2014-12-12,0.89,0.89,0.875,0.875,423900,MYR
2014-12-15,0.87,0.87,0.76,0.77,1440700,MYR
2014-12-16,0.76,0.765,0.715,0.735,2091600,MYR
2014-12-17,0.735,0.79,0.735,0.78,2811500,MYR
2014-12-18,0.8,0.81,0.79,0.805,1049100,MYR
2014-12-19,0.81,0.825,0.805,0.805,1005600,MYR
2014-12-22,0.81,0.9,0.81,0.9,1277000,MYR
2014-12-23,0.9,0.9,0.86,0.87,492100,MYR
