Date,Open,High,Low,Close,Volume,Currency
2013-03-18,0.23,0.23,0.23,0.23,2000,MYR
2013-03-25,0.33,0.33,0.33,0.33,15000,MYR
2013-03-27,0.26,0.27,0.26,0.27,15000,MYR
2013-04-04,0.28,0.28,0.28,0.28,10000,MYR
2013-04-17,0.26,0.26,0.26,0.26,1000,MYR
2013-04-29,0.235,0.235,0.235,0.235,14000,MYR
2013-04-30,0.27,0.27,0.27,0.27,20000,MYR
2013-05-13,0.35,0.35,0.35,0.35,100,MYR
2013-05-17,0.3,0.3,0.285,0.3,80000,MYR
2013-05-20,0.3,0.3,0.3,0.3,13000,MYR
2013-05-23,0.3,0.3,0.3,0.3,19700,MYR
2013-05-28,0.35,0.35,0.35,0.35,100,MYR
2013-06-03,0.22,0.34,0.22,0.34,200,MYR
2013-06-04,0.315,0.32,0.28,0.28,11400,MYR
2013-06-19,0.33,0.33,0.275,0.295,11400,MYR
2013-06-20,0.29,0.29,0.28,0.28,5000,MYR
2013-06-27,0.32,0.32,0.32,0.32,100,MYR
2013-07-05,0.28,0.28,0.28,0.28,9500,MYR
2013-07-12,0.27,0.27,0.265,0.265,30000,MYR
2013-07-15,0.375,0.375,0.375,0.375,100,MYR
2013-07-16,0.245,0.245,0.245,0.245,8000,MYR
2013-07-17,0.29,0.315,0.28,0.295,53000,MYR
2013-07-18,0.315,0.315,0.315,0.315,19700,MYR
2013-07-25,0.28,0.28,0.28,0.28,15000,MYR
2013-08-01,0.32,0.325,0.28,0.28,11600,MYR
2013-08-06,0.32,0.32,0.32,0.32,1400,MYR
2013-08-07,0.27,0.27,0.26,0.26,104200,MYR
2013-08-12,0.3,0.3,0.3,0.3,20000,MYR
2013-08-13,0.275,0.28,0.26,0.28,70200,MYR
2013-08-14,0.28,0.28,0.28,0.28,29200,MYR
2013-08-15,0.28,0.305,0.28,0.305,221800,MYR
2013-08-19,0.315,0.325,0.29,0.29,359100,MYR
2013-08-22,0.265,0.265,0.265,0.265,5000,MYR
2013-08-23,0.29,0.29,0.29,0.29,35000,MYR
2013-08-27,0.26,0.26,0.25,0.26,53000,MYR
2013-09-13,0.26,0.26,0.26,0.26,50000,MYR
2013-09-18,0.26,0.26,0.26,0.26,30000,MYR
