Date,Open,High,Low,Close,Volume,Currency
2013-03-18,0.28,0.28,0.275,0.275,857500,MYR
2013-03-19,0.28,0.29,0.275,0.275,2740800,MYR
2013-03-20,0.275,0.285,0.275,0.28,390200,MYR
2013-03-21,0.28,0.29,0.28,0.29,1790400,MYR
2013-03-22,0.29,0.305,0.285,0.285,4997300,MYR
2013-03-25,0.285,0.285,0.28,0.28,601300,MYR
2013-03-26,0.28,0.28,0.28,0.28,358500,MYR
2013-03-27,0.28,0.285,0.28,0.28,774900,MYR
2013-03-28,0.28,0.285,0.28,0.285,739200,MYR
2013-03-29,0.28,0.28,0.28,0.28,324800,MYR
2013-04-01,0.28,0.295,0.28,0.285,1508400,MYR
2013-04-02,0.285,0.295,0.285,0.285,1536000,MYR
2013-04-03,0.29,0.29,0.275,0.285,1051300,MYR
2013-04-04,0.285,0.295,0.285,0.29,2462100,MYR
2013-04-05,0.29,0.29,0.285,0.29,1122200,MYR
2013-04-08,0.285,0.29,0.285,0.29,416800,MYR
2013-04-09,0.285,0.3,0.285,0.29,2618600,MYR
2013-04-10,0.295,0.295,0.285,0.29,859200,MYR
2013-04-11,0.29,0.315,0.29,0.3,6554700,MYR
2013-04-12,0.3,0.3,0.29,0.29,566000,MYR
2013-04-15,0.29,0.305,0.29,0.295,835900,MYR
2013-04-16,0.285,0.29,0.285,0.285,418300,MYR
2013-04-17,0.29,0.29,0.285,0.29,1385700,MYR
2013-04-18,0.29,0.3,0.285,0.295,962300,MYR
2013-04-19,0.295,0.3,0.29,0.29,1118500,MYR
2013-04-22,0.295,0.315,0.29,0.29,6622500,MYR
2013-04-23,0.295,0.3,0.29,0.29,458100,MYR
2013-04-24,0.29,0.29,0.29,0.29,436900,MYR
2013-04-25,0.295,0.295,0.29,0.29,647200,MYR
2013-04-26,0.29,0.295,0.285,0.285,467900,MYR
2013-04-29,0.285,0.29,0.285,0.285,492300,MYR
2013-04-30,0.285,0.285,0.285,0.285,99200,MYR
2013-05-02,0.285,0.285,0.28,0.285,207600,MYR
2013-05-03,0.28,0.28,0.27,0.275,687200,MYR
2013-05-06,0.29,0.29,0.285,0.29,917200,MYR
2013-05-07,0.29,0.3,0.29,0.295,482500,MYR
2013-05-08,0.295,0.305,0.295,0.3,907800,MYR
2013-05-09,0.295,0.31,0.295,0.305,1554600,MYR
2013-05-10,0.305,0.315,0.3,0.315,2106700,MYR
2013-05-13,0.315,0.33,0.315,0.33,2303400,MYR
2013-05-14,0.33,0.33,0.315,0.325,2245900,MYR
2013-05-15,0.33,0.335,0.325,0.335,2355000,MYR
2013-05-16,0.34,0.35,0.335,0.335,5231400,MYR
2013-05-17,0.34,0.365,0.335,0.35,5569900,MYR
2013-05-20,0.35,0.365,0.35,0.36,3630100,MYR
2013-05-21,0.365,0.365,0.355,0.355,1567000,MYR
2013-05-22,0.36,0.37,0.345,0.355,2763800,MYR
2013-05-23,0.355,0.355,0.335,0.335,1738600,MYR
2013-05-27,0.335,0.35,0.335,0.345,1353400,MYR
2013-05-28,0.345,0.355,0.345,0.35,1658600,MYR
2013-05-29,0.35,0.36,0.345,0.355,1238900,MYR
2013-05-30,0.35,0.35,0.34,0.345,510000,MYR
