Date,Open,High,Low,Close,Volume,Currency
2013-03-18,0.135,0.135,0.13,0.13,619900,MYR
2013-03-19,0.135,0.135,0.13,0.13,62000,MYR
2013-03-20,0.13,0.13,0.125,0.125,78500,MYR
2013-03-21,0.13,0.13,0.13,0.13,160000,MYR
2013-03-22,0.13,0.13,0.13,0.13,251000,MYR
2013-03-25,0.13,0.135,0.13,0.13,1177400,MYR
2013-03-27,0.13,0.13,0.13,0.13,30000,MYR
2013-03-28,0.13,0.13,0.125,0.125,102500,MYR
2013-03-29,0.125,0.13,0.125,0.13,125500,MYR
2013-04-01,0.13,0.13,0.13,0.13,80000,MYR
2013-04-02,0.13,0.13,0.13,0.13,39500,MYR
2013-04-03,0.125,0.125,0.125,0.125,81500,MYR
2013-04-04,0.13,0.13,0.13,0.13,249800,MYR
2013-04-05,0.13,0.13,0.13,0.13,9000,MYR
2013-04-08,0.13,0.13,0.13,0.13,10000,MYR
2013-04-09,0.135,0.135,0.13,0.13,45000,MYR
2013-04-10,0.13,0.13,0.13,0.13,457000,MYR
2013-04-11,0.135,0.135,0.135,0.135,50000,MYR
2013-04-12,0.135,0.135,0.135,0.135,50800,MYR
2013-04-16,0.13,0.13,0.13,0.13,1000,MYR
2013-04-19,0.13,0.13,0.125,0.125,1685000,MYR
2013-04-22,0.125,0.13,0.125,0.125,280000,MYR
2013-04-25,0.125,0.125,0.125,0.125,30000,MYR
2013-04-26,0.125,0.125,0.125,0.125,800,MYR
2013-04-29,0.12,0.12,0.12,0.12,2000,MYR
2013-04-30,0.125,0.125,0.125,0.125,50000,MYR
2013-05-02,0.12,0.12,0.12,0.12,80000,MYR
2013-05-03,0.12,0.12,0.12,0.12,308000,MYR
2013-05-08,0.13,0.13,0.12,0.12,195100,MYR
2013-05-09,0.12,0.125,0.12,0.125,58000,MYR
2013-05-10,0.13,0.13,0.125,0.13,115000,MYR
2013-05-13,0.135,0.14,0.135,0.14,400500,MYR
2013-05-14,0.135,0.135,0.13,0.135,124000,MYR
2013-05-15,0.135,0.135,0.135,0.135,255000,MYR
2013-05-16,0.135,0.135,0.135,0.135,104200,MYR
2013-05-17,0.135,0.135,0.135,0.135,100000,MYR
2013-05-20,0.14,0.14,0.14,0.14,120000,MYR
2013-05-21,0.145,0.155,0.145,0.155,314500,MYR
2013-05-22,0.155,0.16,0.15,0.15,604200,MYR
2013-05-23,0.145,0.145,0.14,0.14,468000,MYR
2013-05-27,0.14,0.14,0.14,0.14,20000,MYR
