Date,Open,High,Low,Close,Volume,Currency
2013-04-16,0.5,0.5,0.5,0.5,5000,MYR
2013-04-25,0.48,0.5,0.48,0.5,3000,MYR
2013-04-29,0.33,0.5,0.33,0.5,26600,MYR
2013-04-30,0.48,0.5,0.48,0.5,28900,MYR
2013-05-06,0.46,0.46,0.46,0.46,800,MYR
2013-05-08,0.5,0.5,0.5,0.5,45100,MYR
2013-05-10,0.5,0.5,0.5,0.5,5400,MYR
2013-05-20,0.5,0.5,0.5,0.5,5000,MYR
2013-05-23,0.5,0.66,0.5,0.66,1000,MYR
2013-05-27,0.555,0.555,0.555,0.555,5000,MYR
2013-05-28,0.6,0.6,0.6,0.6,10000,MYR
2013-05-29,0.65,0.695,0.59,0.64,19000,MYR
2013-05-30,0.6,0.67,0.6,0.6,16000,MYR
2013-05-31,0.58,0.62,0.58,0.585,26000,MYR
2013-06-03,0.68,0.68,0.68,0.68,1000,MYR
2013-06-07,0.67,0.68,0.65,0.65,95000,MYR
2013-06-12,0.63,0.65,0.63,0.65,9000,MYR
2013-06-17,0.65,0.655,0.65,0.65,14300,MYR
2013-06-18,0.65,0.65,0.65,0.65,28000,MYR
2013-07-05,0.68,0.7,0.65,0.7,25100,MYR
2013-07-08,0.7,0.7,0.7,0.7,35000,MYR
2013-07-09,0.7,0.7,0.7,0.7,35000,MYR
2013-07-10,0.7,0.7,0.7,0.7,35000,MYR
2013-07-11,0.7,0.7,0.7,0.7,31000,MYR
2013-07-12,0.69,0.7,0.69,0.7,55900,MYR
2013-07-15,0.7,0.7,0.695,0.7,40000,MYR
2013-07-16,0.7,0.7,0.7,0.7,14000,MYR
2013-07-18,0.7,0.705,0.7,0.7,11000,MYR
2013-07-31,0.65,0.745,0.65,0.745,3000,MYR
2013-08-14,0.75,0.75,0.75,0.75,200,MYR
2013-08-19,0.63,0.8,0.63,0.74,608000,MYR
2013-08-26,0.74,0.74,0.74,0.74,10000,MYR
2013-08-29,0.73,0.73,0.73,0.73,4000,MYR
2013-08-30,0.75,0.75,0.75,0.75,106100,MYR
