Date,Open,High,Low,Close,Volume,Currency
2013-03-18,1.13,1.13,1.13,1.13,8711,MYR
2013-03-19,1.134,1.166,1.134,1.148,85151,MYR
2013-03-20,1.162,1.208,1.157,1.203,505680,MYR
2013-03-21,1.217,1.359,1.217,1.332,1862001,MYR
2013-03-22,1.332,1.382,1.267,1.267,1373961,MYR
2013-03-25,1.267,1.3,1.24,1.24,421618,MYR
2013-03-26,1.231,1.295,1.231,1.276,320787,MYR
2013-03-27,1.286,1.29,1.254,1.254,172916,MYR
2013-03-28,1.231,1.249,1.231,1.231,210809,MYR
2013-03-29,1.231,1.235,1.221,1.226,180756,MYR
2013-04-01,1.24,1.3,1.24,1.281,445356,MYR
2013-04-02,1.295,1.322,1.276,1.322,480636,MYR
2013-04-03,1.295,1.309,1.244,1.295,361076,MYR
2013-04-04,1.295,1.295,1.286,1.286,73609,MYR
2013-04-05,1.286,1.304,1.286,1.295,111067,MYR
2013-04-08,1.286,1.313,1.281,1.304,250880,MYR
2013-04-09,1.29,1.29,1.281,1.29,148742,MYR
2013-04-10,1.286,1.286,1.276,1.276,52484,MYR
2013-04-11,1.281,1.286,1.263,1.286,285289,MYR
2013-04-12,1.286,1.286,1.267,1.286,95822,MYR
2013-04-15,1.286,1.286,1.286,1.286,83627,MYR
2013-04-16,1.286,1.286,1.276,1.276,56404,MYR
2013-04-17,1.286,1.286,1.276,1.281,107364,MYR
2013-04-18,1.281,1.286,1.281,1.286,91684,MYR
2013-04-19,1.281,1.29,1.281,1.29,60978,MYR
2013-04-22,1.295,1.295,1.276,1.276,18511,MYR
2013-04-23,1.263,1.263,1.24,1.24,67076,MYR
2013-04-24,1.254,1.254,1.254,1.254,10889,MYR
2013-04-25,1.254,1.254,1.254,1.254,10889,MYR
2013-04-26,1.263,1.263,1.263,1.263,10889,MYR
2013-04-29,1.24,1.24,1.24,1.24,19600,MYR
2013-04-30,1.231,1.24,1.208,1.208,167689,MYR
2013-05-02,1.171,1.24,1.171,1.208,40942,MYR
2013-05-03,1.208,1.208,1.185,1.194,120867,MYR
2013-05-06,1.24,1.272,1.24,1.272,85587,MYR
2013-05-07,1.272,1.286,1.272,1.281,196000,MYR
2013-05-08,1.281,1.286,1.281,1.281,8276,MYR
2013-05-09,1.286,1.373,1.286,1.332,959094,MYR
2013-05-10,1.332,1.345,1.332,1.345,155493,MYR
2013-05-13,1.332,1.364,1.332,1.359,351058,MYR
2013-05-14,1.368,1.373,1.336,1.341,403107,MYR
2013-05-15,1.341,1.345,1.336,1.341,145911,MYR
2013-05-16,1.341,1.355,1.327,1.345,137200,MYR
2013-05-17,1.355,1.355,1.336,1.341,90378,MYR
2013-05-20,1.341,1.387,1.336,1.382,536605,MYR
2013-05-21,1.405,1.446,1.405,1.419,1812565,MYR
2013-05-22,1.428,1.428,1.387,1.396,287467,MYR
2013-05-23,1.387,1.401,1.345,1.368,263293,MYR
2013-05-27,1.377,1.382,1.345,1.359,135458,MYR
2013-05-28,1.359,1.373,1.341,1.35,393089,MYR
2013-05-29,1.35,1.355,1.345,1.35,347138,MYR
2013-05-30,1.35,1.35,1.341,1.345,215165,MYR
2013-05-31,1.345,1.345,1.327,1.327,62067,MYR
2013-06-03,1.327,1.327,1.295,1.309,202533,MYR
2013-06-04,1.309,1.313,1.272,1.286,135676,MYR
2013-06-05,1.3,1.3,1.286,1.286,111720,MYR
2013-06-06,1.295,1.295,1.281,1.286,82756,MYR
2013-06-07,1.286,1.29,1.286,1.286,102356,MYR
2013-06-10,1.286,1.332,1.286,1.327,796414,MYR
2013-06-11,1.327,1.327,1.318,1.318,21778,MYR
2013-06-12,1.309,1.313,1.281,1.313,364560,MYR
2013-06-13,1.309,1.313,1.3,1.304,452325,MYR
2013-06-14,1.309,1.309,1.3,1.304,240645,MYR
2013-06-17,1.304,1.309,1.3,1.3,43556,MYR
2013-06-18,1.295,1.3,1.295,1.3,21342,MYR
2013-06-19,1.3,1.3,1.286,1.286,70124,MYR
2013-06-20,1.295,1.3,1.281,1.281,104751,MYR
2013-06-21,1.281,1.309,1.281,1.309,49000,MYR
2013-06-24,1.309,1.309,1.272,1.276,172480,MYR
2013-06-25,1.263,1.263,1.258,1.258,63156,MYR
2013-06-26,1.258,1.263,1.258,1.263,16551,MYR
2013-06-27,1.295,1.295,1.263,1.263,222133,MYR
2013-06-28,1.304,1.304,1.276,1.3,226925,MYR
2013-07-01,1.286,1.3,1.286,1.29,221916,MYR
2013-07-02,1.295,1.295,1.286,1.286,13067,MYR
2013-07-03,1.281,1.281,1.267,1.281,14156,MYR
2013-07-04,1.281,1.281,1.281,1.281,26133,MYR
