Date,Open,High,Low,Close,Volume,Currency
2013-03-27,0.29,0.29,0.29,0.29,47500,MYR
2013-03-28,0.29,0.29,0.29,0.29,12500,MYR
2013-04-03,0.29,0.29,0.29,0.29,6000,MYR
2013-04-04,0.285,0.285,0.28,0.28,10000,MYR
2013-04-09,0.3,0.3,0.29,0.29,60000,MYR
2013-04-11,0.3,0.3,0.3,0.3,12100,MYR
2013-04-12,0.305,0.305,0.3,0.3,100000,MYR
2013-04-17,0.29,0.29,0.29,0.29,10000,MYR
2013-04-23,0.3,0.3,0.3,0.3,10000,MYR
2013-04-24,0.295,0.3,0.295,0.295,30000,MYR
2013-04-25,0.295,0.295,0.295,0.295,28500,MYR
2013-04-29,0.285,0.285,0.285,0.285,2000,MYR
2013-04-30,0.285,0.285,0.285,0.285,15100,MYR
2013-05-03,0.27,0.27,0.265,0.265,25000,MYR
2013-05-07,0.285,0.285,0.285,0.285,13000,MYR
2013-05-09,0.31,0.31,0.31,0.31,5000,MYR
2013-05-10,0.315,0.315,0.315,0.315,45100,MYR
2013-05-16,0.315,0.33,0.315,0.33,89200,MYR
2013-05-17,0.33,0.33,0.33,0.33,5000,MYR
2013-05-22,0.35,0.36,0.34,0.355,37500,MYR
2013-05-23,0.36,0.36,0.33,0.335,32000,MYR
2013-05-28,0.345,0.345,0.345,0.345,1000,MYR
2013-05-29,0.335,0.35,0.335,0.35,33000,MYR
2013-05-30,0.34,0.34,0.34,0.34,15000,MYR
2013-05-31,0.335,0.335,0.335,0.335,24500,MYR
2013-06-05,0.315,0.315,0.315,0.315,27000,MYR
2013-06-07,0.325,0.325,0.325,0.325,30800,MYR
2013-06-10,0.34,0.34,0.33,0.34,132000,MYR
2013-06-11,0.34,0.34,0.34,0.34,50000,MYR
2013-06-17,0.34,0.34,0.34,0.34,15000,MYR
2013-06-18,0.335,0.335,0.335,0.335,2500,MYR
2013-06-20,0.33,0.335,0.33,0.335,10000,MYR
2013-06-21,0.32,0.32,0.32,0.32,24500,MYR
2013-06-24,0.32,0.33,0.32,0.325,101000,MYR
2013-06-26,0.325,0.33,0.325,0.33,16000,MYR
2013-06-28,0.33,0.33,0.33,0.33,10000,MYR
2013-07-01,0.32,0.335,0.32,0.335,77000,MYR
2013-07-02,0.335,0.34,0.33,0.33,47100,MYR
2013-07-05,0.335,0.335,0.335,0.335,32000,MYR
2013-07-08,0.33,0.345,0.33,0.34,150400,MYR
2013-07-09,0.34,0.345,0.34,0.34,93000,MYR
2013-07-11,0.34,0.345,0.34,0.345,30000,MYR
2013-07-12,0.335,0.34,0.335,0.34,80000,MYR
2013-07-15,0.34,0.34,0.33,0.33,22000,MYR
2013-07-16,0.315,0.315,0.315,0.315,20000,MYR
2013-07-17,0.31,0.31,0.31,0.31,12000,MYR
2013-07-18,0.31,0.31,0.31,0.31,9000,MYR
2013-07-19,0.31,0.32,0.31,0.32,50000,MYR
2013-07-23,0.315,0.315,0.315,0.315,10000,MYR
2013-07-24,0.315,0.315,0.315,0.315,10000,MYR
2013-07-25,0.315,0.315,0.315,0.315,47000,MYR
2013-07-26,0.31,0.31,0.31,0.31,3000,MYR
2013-07-30,0.305,0.31,0.305,0.31,76000,MYR
2013-07-31,0.3,0.3,0.3,0.3,25000,MYR
2013-08-02,0.3,0.3,0.3,0.3,30000,MYR
2013-08-14,0.3,0.31,0.3,0.31,33000,MYR
2013-08-20,0.3,0.3,0.3,0.3,20000,MYR
2013-08-21,0.3,0.3,0.3,0.3,4500,MYR
2013-08-26,0.3,0.3,0.3,0.3,22900,MYR
2013-08-27,0.29,0.29,0.285,0.285,60000,MYR
2013-08-28,0.285,0.285,0.285,0.285,48500,MYR
2013-08-29,0.28,0.28,0.28,0.28,7000,MYR
2013-09-05,0.3,0.3,0.295,0.3,93000,MYR
2013-09-06,0.3,0.3,0.3,0.3,91800,MYR
2013-09-11,0.29,0.3,0.29,0.3,15000,MYR
2013-09-12,0.3,0.3,0.3,0.3,23000,MYR
2013-09-13,0.3,0.3,0.3,0.3,96000,MYR
2013-09-18,0.31,0.31,0.3,0.3,33000,MYR
2013-09-19,0.31,0.31,0.31,0.31,66000,MYR
2013-09-20,0.315,0.32,0.31,0.31,67000,MYR
2013-09-26,0.31,0.31,0.31,0.31,10000,MYR
2013-09-30,0.3,0.3,0.3,0.3,37000,MYR
2013-10-01,0.3,0.3,0.3,0.3,7000,MYR
2013-10-02,0.3,0.3,0.3,0.3,4000,MYR
2013-10-03,0.3,0.3,0.3,0.3,8000,MYR
2013-10-07,0.3,0.3,0.3,0.3,54000,MYR
2013-10-08,0.3,0.315,0.3,0.315,65000,MYR
2013-10-11,0.31,0.31,0.31,0.31,10000,MYR
2013-10-17,0.305,0.32,0.3,0.32,49700,MYR
2013-10-18,0.315,0.315,0.3,0.3,12000,MYR
2013-10-21,0.3,0.3,0.3,0.3,20000,MYR
2013-10-22,0.3,0.3,0.29,0.29,18000,MYR
2013-10-23,0.31,0.31,0.3,0.3,193500,MYR
2013-10-24,0.3,0.305,0.3,0.3,80000,MYR
2013-10-28,0.305,0.315,0.305,0.305,66900,MYR
2013-10-29,0.305,0.315,0.305,0.315,59600,MYR
2013-10-30,0.31,0.31,0.31,0.31,20000,MYR
2013-10-31,0.315,0.315,0.31,0.31,24900,MYR
2013-11-01,0.31,0.31,0.305,0.305,80000,MYR
2013-11-04,0.305,0.31,0.305,0.31,84800,MYR
2013-11-06,0.31,0.31,0.31,0.31,80000,MYR
2013-11-07,0.31,0.33,0.31,0.325,165400,MYR
2013-11-08,0.32,0.32,0.315,0.315,20000,MYR
2013-11-11,0.315,0.315,0.315,0.315,70000,MYR
2013-11-12,0.31,0.31,0.31,0.31,46100,MYR
2013-11-13,0.305,0.305,0.305,0.305,1000,MYR
2013-11-14,0.31,0.31,0.31,0.31,26000,MYR
2013-11-15,0.31,0.31,0.31,0.31,23000,MYR
2013-11-19,0.305,0.31,0.305,0.31,28000,MYR
2013-11-21,0.31,0.31,0.31,0.31,15000,MYR
2013-11-22,0.31,0.31,0.31,0.31,30000,MYR
2013-11-25,0.31,0.31,0.29,0.31,109000,MYR
2013-11-26,0.29,0.3,0.29,0.3,30300,MYR
2013-11-27,0.295,0.295,0.295,0.295,28900,MYR
2013-11-28,0.3,0.3,0.295,0.3,33100,MYR
2013-11-29,0.3,0.3,0.3,0.3,20000,MYR
2013-12-02,0.31,0.31,0.295,0.295,23300,MYR
2013-12-04,0.295,0.3,0.295,0.3,16000,MYR
2013-12-05,0.295,0.3,0.29,0.29,29900,MYR
2013-12-06,0.29,0.29,0.29,0.29,6000,MYR
2013-12-10,0.29,0.31,0.29,0.31,120000,MYR
2013-12-13,0.29,0.29,0.29,0.29,11000,MYR
2013-12-17,0.29,0.29,0.285,0.285,15000,MYR
2013-12-19,0.29,0.29,0.29,0.29,10000,MYR
2013-12-23,0.3,0.3,0.29,0.29,26000,MYR
2013-12-26,0.285,0.285,0.285,0.285,11500,MYR
2014-01-07,0.3,0.3,0.295,0.295,56200,MYR
2014-01-08,0.3,0.3,0.3,0.3,15000,MYR
2014-01-09,0.295,0.31,0.295,0.31,260100,MYR
2014-01-10,0.3,0.3,0.3,0.3,30000,MYR
2014-01-15,0.295,0.3,0.295,0.3,6500,MYR
2014-01-16,0.3,0.3,0.295,0.3,259600,MYR
2014-01-20,0.3,0.31,0.3,0.31,150100,MYR
2014-01-21,0.305,0.335,0.305,0.32,1030300,MYR
2014-01-22,0.32,0.32,0.31,0.31,145200,MYR
2014-01-23,0.305,0.305,0.3,0.3,65000,MYR
2014-01-24,0.295,0.295,0.29,0.29,192100,MYR
2014-01-27,0.29,0.29,0.28,0.28,145000,MYR
2014-01-28,0.29,0.29,0.29,0.29,10000,MYR
2014-02-04,0.3,0.3,0.285,0.285,1100,MYR
2014-02-05,0.285,0.285,0.285,0.285,7800,MYR
2014-02-12,0.285,0.285,0.285,0.285,17200,MYR
2014-02-13,0.3,0.3,0.3,0.3,30000,MYR
2014-02-14,0.3,0.3,0.3,0.3,20000,MYR
2014-02-17,0.29,0.3,0.29,0.29,75100,MYR
2014-02-18,0.29,0.29,0.29,0.29,10000,MYR
2014-02-19,0.285,0.285,0.285,0.285,3000,MYR
2014-02-20,0.29,0.29,0.29,0.29,65000,MYR
2014-02-21,0.315,0.315,0.295,0.295,12600,MYR
2014-02-25,0.295,0.295,0.29,0.29,24100,MYR
2014-02-26,0.29,0.29,0.29,0.29,25000,MYR
2014-02-27,0.29,0.29,0.29,0.29,13000,MYR
2014-02-28,0.29,0.3,0.29,0.3,30000,MYR
2014-03-03,0.295,0.3,0.29,0.29,54000,MYR
2014-03-04,0.29,0.29,0.29,0.29,35000,MYR
2014-03-05,0.29,0.3,0.29,0.3,64000,MYR
2014-03-06,0.295,0.295,0.295,0.295,50000,MYR
2014-03-07,0.295,0.3,0.295,0.3,55000,MYR
2014-03-10,0.3,0.3,0.3,0.3,20000,MYR
2014-03-11,0.315,0.32,0.315,0.32,40000,MYR
2014-03-13,0.32,0.32,0.305,0.305,40000,MYR
2014-03-14,0.31,0.31,0.31,0.31,20000,MYR
2014-03-17,0.31,0.325,0.31,0.325,80000,MYR
2014-03-18,0.31,0.31,0.3,0.3,15000,MYR
2014-03-21,0.3,0.3,0.3,0.3,10000,MYR
2014-03-25,0.305,0.305,0.305,0.305,13000,MYR
2014-03-26,0.31,0.33,0.305,0.325,52000,MYR
2014-03-27,0.315,0.315,0.315,0.315,61000,MYR
2014-03-28,0.31,0.32,0.31,0.32,58100,MYR
2014-04-01,0.32,0.32,0.3,0.31,67100,MYR
2014-04-02,0.3,0.305,0.3,0.305,49900,MYR
2014-04-03,0.31,0.32,0.305,0.32,302300,MYR
2014-04-04,0.32,0.325,0.32,0.32,174000,MYR
2014-04-07,0.315,0.315,0.31,0.315,94000,MYR
2014-04-08,0.315,0.32,0.315,0.315,60000,MYR
2014-04-09,0.32,0.32,0.31,0.32,62400,MYR
2014-04-10,0.325,0.325,0.32,0.32,121200,MYR
2014-04-11,0.315,0.315,0.315,0.315,10000,MYR
2014-04-14,0.32,0.32,0.31,0.315,40000,MYR
2014-04-15,0.32,0.325,0.32,0.32,53000,MYR
2014-04-16,0.32,0.32,0.32,0.32,3000,MYR
2014-04-17,0.32,0.335,0.32,0.32,90000,MYR
2014-04-21,0.335,0.335,0.33,0.33,129900,MYR
2014-04-22,0.33,0.33,0.325,0.33,65000,MYR
2014-04-23,0.325,0.33,0.325,0.33,26000,MYR
2014-04-24,0.325,0.33,0.325,0.33,107000,MYR
2014-04-25,0.325,0.36,0.325,0.35,291200,MYR
2014-04-28,0.345,0.35,0.34,0.34,290000,MYR
2014-04-29,0.32,0.32,0.32,0.32,60000,MYR
2014-04-30,0.31,0.31,0.31,0.31,50000,MYR
2014-05-05,0.31,0.31,0.305,0.31,72500,MYR
2014-05-07,0.31,0.315,0.31,0.315,26500,MYR
2014-05-09,0.32,0.32,0.32,0.32,100000,MYR
2014-05-12,0.32,0.34,0.32,0.33,372900,MYR
2014-05-14,0.33,0.33,0.33,0.33,15000,MYR
2014-05-15,0.33,0.33,0.33,0.33,32000,MYR
2014-05-16,0.33,0.34,0.33,0.335,49800,MYR
2014-05-19,0.335,0.335,0.33,0.33,50500,MYR
2014-05-20,0.335,0.345,0.335,0.345,57800,MYR
2014-05-21,0.335,0.335,0.33,0.33,25100,MYR
2014-05-22,0.335,0.335,0.335,0.335,65000,MYR
2014-05-26,0.325,0.325,0.325,0.325,40800,MYR
2014-05-28,0.325,0.325,0.325,0.325,10000,MYR
2014-05-29,0.34,0.34,0.32,0.32,94700,MYR
2014-06-02,0.32,0.32,0.32,0.32,115800,MYR
2014-06-03,0.32,0.33,0.305,0.325,301700,MYR
2014-06-05,0.315,0.315,0.315,0.315,11000,MYR
2014-06-09,0.315,0.315,0.315,0.315,40000,MYR
2014-06-11,0.315,0.315,0.315,0.315,5000,MYR
2014-06-12,0.315,0.32,0.315,0.32,45000,MYR
2014-06-13,0.325,0.325,0.325,0.325,13000,MYR
2014-06-16,0.325,0.33,0.325,0.33,25000,MYR
2014-06-18,0.34,0.365,0.34,0.36,369600,MYR
2014-06-19,0.36,0.36,0.35,0.36,108100,MYR
2014-06-20,0.355,0.36,0.355,0.355,238600,MYR
2014-06-23,0.36,0.36,0.355,0.355,58000,MYR
2014-06-24,0.345,0.345,0.34,0.34,91300,MYR
2014-06-26,0.34,0.34,0.34,0.34,20000,MYR
2014-06-27,0.34,0.34,0.34,0.34,16000,MYR
2014-07-01,0.34,0.345,0.33,0.33,55400,MYR
2014-07-02,0.325,0.325,0.325,0.325,4000,MYR
2014-07-07,0.34,0.34,0.325,0.33,145000,MYR
2014-07-08,0.34,0.35,0.34,0.35,145000,MYR
2014-07-09,0.335,0.355,0.335,0.355,1100,MYR
2014-07-10,0.34,0.36,0.34,0.36,33000,MYR
2014-07-11,0.345,0.345,0.34,0.34,34000,MYR
2014-07-14,0.345,0.35,0.345,0.35,86000,MYR
2014-07-16,0.35,0.35,0.35,0.35,47000,MYR
2014-07-17,0.345,0.35,0.345,0.345,56000,MYR
2014-07-18,0.345,0.345,0.345,0.345,20000,MYR
2014-07-21,0.345,0.345,0.345,0.345,1500,MYR
2014-07-22,0.34,0.34,0.34,0.34,4000,MYR
2014-07-30,0.345,0.36,0.345,0.36,148000,MYR
2014-07-31,0.37,0.37,0.37,0.37,100,MYR
2014-08-04,0.35,0.37,0.35,0.37,18000,MYR
2014-08-05,0.345,0.375,0.345,0.375,5000,MYR
2014-08-06,0.375,0.375,0.375,0.375,10000,MYR
2014-08-08,0.34,0.345,0.34,0.345,30000,MYR
2014-08-13,0.345,0.345,0.345,0.345,50000,MYR
2014-08-14,0.37,0.37,0.37,0.37,100,MYR
2014-08-18,0.35,0.355,0.35,0.355,30000,MYR
2014-08-19,0.37,0.4,0.37,0.4,6000,MYR
2014-08-20,0.36,0.365,0.36,0.365,65000,MYR
2014-08-22,0.365,0.365,0.365,0.365,4000,MYR
2014-08-25,0.36,0.36,0.34,0.34,65000,MYR
2014-08-26,0.36,0.36,0.36,0.36,10000,MYR
2014-09-02,0.4,0.4,0.4,0.4,1000,MYR
2014-09-03,0.36,0.36,0.34,0.34,25000,MYR
2014-09-04,0.34,0.345,0.34,0.345,15000,MYR
2014-09-08,0.33,0.33,0.33,0.33,7000,MYR
2014-09-11,0.365,0.37,0.36,0.36,51000,MYR
2014-09-17,0.33,0.33,0.33,0.33,10000,MYR
2014-09-18,0.33,0.33,0.33,0.33,50000,MYR
2014-09-19,0.31,0.325,0.31,0.32,112100,MYR
2014-09-22,0.32,0.32,0.32,0.32,13100,MYR
2014-09-23,0.32,0.34,0.32,0.34,78000,MYR
2014-09-25,0.32,0.32,0.32,0.32,10000,MYR
2014-09-26,0.32,0.32,0.32,0.32,5000,MYR
2014-09-29,0.31,0.31,0.31,0.31,9600,MYR
2014-10-01,0.31,0.31,0.31,0.31,30000,MYR
2014-10-02,0.31,0.315,0.31,0.315,30000,MYR
2014-10-09,0.31,0.31,0.31,0.31,15000,MYR
2014-10-13,0.31,0.31,0.31,0.31,10000,MYR
2014-10-15,0.295,0.295,0.265,0.27,50000,MYR
2014-10-16,0.28,0.28,0.275,0.28,18500,MYR
2014-10-17,0.3,0.3,0.3,0.3,15000,MYR
2014-10-20,0.29,0.29,0.29,0.29,50000,MYR
2014-10-24,0.285,0.285,0.27,0.27,20000,MYR
2014-10-30,0.31,0.31,0.305,0.305,47900,MYR
2014-11-03,0.285,0.29,0.285,0.29,60000,MYR
2014-11-04,0.295,0.33,0.295,0.32,384400,MYR
2014-11-05,0.32,0.32,0.32,0.32,52000,MYR
2014-11-07,0.3,0.3,0.3,0.3,29900,MYR
2014-11-11,0.29,0.29,0.285,0.285,340000,MYR
2014-11-13,0.275,0.3,0.275,0.275,700,MYR
