Date,Open,High,Low,Close,Volume,Currency
2013-03-18,0.185,0.185,0.185,0.185,112000,MYR
2013-03-19,0.185,0.185,0.185,0.185,47000,MYR
2013-03-20,0.185,0.185,0.185,0.185,56000,MYR
2013-03-21,0.185,0.19,0.185,0.19,428000,MYR
2013-03-22,0.19,0.19,0.185,0.19,333000,MYR
2013-03-26,0.185,0.195,0.185,0.195,7000,MYR
2013-03-27,0.185,0.185,0.185,0.185,2000,MYR
2013-03-28,0.185,0.185,0.185,0.185,28000,MYR
2013-03-29,0.185,0.19,0.185,0.19,80400,MYR
2013-04-01,0.185,0.185,0.185,0.185,40000,MYR
2013-04-02,0.185,0.2,0.185,0.2,112000,MYR
2013-04-03,0.19,0.19,0.185,0.185,911000,MYR
2013-04-05,0.185,0.185,0.185,0.185,40000,MYR
2013-04-08,0.185,0.185,0.185,0.185,30200,MYR
2013-04-09,0.185,0.195,0.185,0.19,383700,MYR
2013-04-10,0.19,0.195,0.185,0.185,224800,MYR
2013-04-11,0.19,0.2,0.19,0.2,1433700,MYR
2013-04-12,0.2,0.215,0.195,0.2,3949000,MYR
2013-04-15,0.195,0.195,0.195,0.195,66000,MYR
2013-04-16,0.195,0.195,0.19,0.19,112900,MYR
2013-04-17,0.195,0.195,0.19,0.19,249000,MYR
2013-04-18,0.19,0.195,0.19,0.19,970300,MYR
2013-04-19,0.19,0.19,0.19,0.19,163000,MYR
2013-04-22,0.19,0.19,0.19,0.19,190000,MYR
2013-04-23,0.185,0.185,0.185,0.185,97000,MYR
2013-04-24,0.19,0.19,0.185,0.19,357200,MYR
2013-04-25,0.195,0.205,0.195,0.195,1954800,MYR
2013-04-26,0.2,0.215,0.2,0.2,5575600,MYR
2013-04-29,0.19,0.19,0.19,0.19,226600,MYR
2013-04-30,0.19,0.19,0.19,0.19,80000,MYR
2013-05-02,0.19,0.19,0.19,0.19,652800,MYR
2013-05-03,0.19,0.19,0.185,0.19,1702700,MYR
2013-05-06,0.19,0.2,0.19,0.2,322000,MYR
2013-05-07,0.195,0.195,0.195,0.195,82000,MYR
2013-05-08,0.195,0.195,0.195,0.195,192000,MYR
2013-05-09,0.195,0.195,0.195,0.195,351500,MYR
2013-05-10,0.195,0.21,0.195,0.21,889500,MYR
2013-05-13,0.21,0.225,0.21,0.225,4481500,MYR
2013-05-14,0.225,0.23,0.21,0.22,3855500,MYR
2013-05-15,0.23,0.23,0.215,0.22,1934500,MYR
2013-05-16,0.215,0.255,0.215,0.24,20683000,MYR
2013-05-17,0.24,0.245,0.23,0.23,7487500,MYR
2013-05-20,0.23,0.235,0.225,0.235,1493600,MYR
2013-05-21,0.23,0.23,0.225,0.23,1470000,MYR
2013-05-22,0.23,0.24,0.225,0.225,5280000,MYR
2013-05-23,0.225,0.23,0.21,0.215,1635400,MYR
2013-05-27,0.215,0.225,0.215,0.22,1208600,MYR
2013-05-28,0.22,0.225,0.215,0.225,2182000,MYR
2013-05-29,0.225,0.225,0.215,0.215,2433500,MYR
2013-05-30,0.215,0.215,0.205,0.205,1602300,MYR
2013-05-31,0.205,0.21,0.205,0.21,471900,MYR
2013-06-03,0.21,0.22,0.205,0.21,1933400,MYR
2013-06-04,0.205,0.21,0.2,0.205,1390700,MYR
2013-06-05,0.205,0.205,0.2,0.2,474600,MYR
2013-06-06,0.205,0.205,0.195,0.2,919400,MYR
2013-06-07,0.2,0.205,0.195,0.195,506900,MYR
2013-06-10,0.205,0.205,0.2,0.2,660900,MYR
2013-06-11,0.2,0.2,0.195,0.2,385000,MYR
2013-06-12,0.195,0.21,0.195,0.205,3309100,MYR
2013-06-13,0.2,0.2,0.195,0.195,525000,MYR
2013-06-14,0.2,0.21,0.2,0.205,4642500,MYR
2013-06-17,0.205,0.21,0.2,0.2,259100,MYR
2013-06-18,0.205,0.205,0.2,0.2,296100,MYR
2013-06-19,0.205,0.205,0.2,0.2,240000,MYR
2013-06-20,0.2,0.2,0.2,0.2,1273000,MYR
2013-06-21,0.2,0.2,0.195,0.195,319100,MYR
2013-06-24,0.2,0.2,0.195,0.195,64500,MYR
2013-06-25,0.195,0.2,0.195,0.195,179900,MYR
2013-06-26,0.2,0.2,0.195,0.195,413000,MYR
2013-06-27,0.195,0.195,0.195,0.195,25000,MYR
2013-06-28,0.195,0.195,0.195,0.195,26000,MYR
2013-07-01,0.195,0.195,0.195,0.195,61000,MYR
2013-07-02,0.2,0.2,0.195,0.195,992300,MYR
2013-07-03,0.195,0.195,0.195,0.195,60000,MYR
2013-07-04,0.195,0.195,0.195,0.195,40000,MYR
2013-07-05,0.2,0.21,0.2,0.2,1516900,MYR
2013-07-08,0.2,0.2,0.2,0.2,163000,MYR
2013-07-09,0.2,0.2,0.2,0.2,138000,MYR
2013-07-10,0.2,0.2,0.2,0.2,213000,MYR
2013-07-11,0.2,0.2,0.195,0.195,350000,MYR
2013-07-12,0.2,0.2,0.2,0.2,330000,MYR
2013-07-15,0.2,0.2,0.2,0.2,437600,MYR
2013-07-16,0.2,0.2,0.2,0.2,260500,MYR
2013-07-17,0.2,0.2,0.2,0.2,511100,MYR
2013-07-18,0.2,0.215,0.2,0.21,1212800,MYR
2013-07-19,0.205,0.21,0.205,0.21,157800,MYR
2013-07-22,0.205,0.21,0.205,0.205,80200,MYR
2013-07-23,0.2,0.205,0.2,0.205,202000,MYR
2013-07-24,0.2,0.2,0.2,0.2,359500,MYR
2013-07-25,0.2,0.2,0.2,0.2,120000,MYR
2013-07-26,0.2,0.2,0.2,0.2,252000,MYR
2013-07-29,0.195,0.2,0.195,0.195,310000,MYR
2013-07-30,0.195,0.195,0.195,0.195,120600,MYR
2013-07-31,0.195,0.195,0.19,0.19,500400,MYR
2013-08-01,0.195,0.195,0.195,0.195,162400,MYR
2013-08-02,0.195,0.195,0.195,0.195,180100,MYR
2013-08-05,0.19,0.19,0.19,0.19,14000,MYR
2013-08-06,0.19,0.195,0.19,0.195,34000,MYR
2013-08-12,0.195,0.195,0.195,0.195,47000,MYR
2013-08-14,0.2,0.205,0.195,0.2,470000,MYR
2013-08-15,0.2,0.21,0.2,0.21,1118600,MYR
2013-08-16,0.2,0.21,0.2,0.2,71000,MYR
2013-08-19,0.2,0.205,0.2,0.205,232000,MYR
2013-08-20,0.2,0.2,0.195,0.195,594000,MYR
2013-08-21,0.195,0.2,0.195,0.195,194000,MYR
2013-08-22,0.195,0.2,0.195,0.195,1110900,MYR
2013-08-23,0.195,0.195,0.195,0.195,120000,MYR
2013-08-26,0.2,0.2,0.195,0.195,76000,MYR
2013-08-27,0.195,0.195,0.19,0.19,688000,MYR
