Date,Open,High,Low,Close,Volume,Currency
2013-03-20,0.58,0.59,0.58,0.59,54100,MYR
2013-03-21,0.58,0.59,0.58,0.59,11900,MYR
2013-03-22,0.59,0.59,0.59,0.59,5000,MYR
2013-03-25,0.59,0.59,0.58,0.58,96000,MYR
2013-03-26,0.59,0.59,0.59,0.59,2000,MYR
2013-03-29,0.59,0.595,0.59,0.595,27000,MYR
2013-04-02,0.595,0.605,0.595,0.605,94300,MYR
2013-04-03,0.6,0.605,0.58,0.605,20200,MYR
2013-04-05,0.605,0.65,0.605,0.65,65000,MYR
2013-04-08,0.62,0.625,0.61,0.625,31000,MYR
2013-04-09,0.595,0.62,0.595,0.605,3200,MYR
2013-04-15,0.59,0.595,0.58,0.595,29000,MYR
2013-04-16,0.57,0.595,0.57,0.595,2000,MYR
2013-04-17,0.59,0.62,0.59,0.595,57200,MYR
2013-04-18,0.58,0.58,0.58,0.58,5000,MYR
2013-04-19,0.58,0.58,0.58,0.58,1000,MYR
2013-04-24,0.58,0.58,0.58,0.58,200,MYR
2013-04-25,0.57,0.59,0.57,0.59,4900,MYR
2013-04-26,0.57,0.58,0.57,0.58,4200,MYR
2013-04-29,0.58,0.59,0.58,0.59,19000,MYR
2013-05-03,0.58,0.58,0.58,0.58,10000,MYR
2013-05-07,0.6,0.61,0.59,0.59,30000,MYR
2013-05-08,0.595,0.595,0.595,0.595,9000,MYR
2013-05-10,0.65,0.695,0.65,0.685,250800,MYR
2013-05-13,0.695,0.755,0.695,0.75,731300,MYR
2013-05-14,0.72,0.745,0.72,0.725,102000,MYR
2013-05-15,0.725,0.75,0.72,0.73,95000,MYR
2013-05-16,0.695,0.7,0.69,0.695,128200,MYR
2013-05-17,0.695,0.7,0.69,0.7,127000,MYR
2013-05-20,0.705,0.725,0.705,0.725,107200,MYR
2013-05-21,0.725,0.725,0.72,0.725,135000,MYR
2013-05-22,0.72,0.72,0.7,0.7,89000,MYR
2013-05-23,0.705,0.705,0.695,0.695,23000,MYR
2013-05-28,0.7,0.7,0.69,0.7,91000,MYR
2013-05-29,0.7,0.75,0.7,0.745,613800,MYR
2013-05-30,0.72,0.735,0.71,0.735,80400,MYR
2013-05-31,0.705,0.73,0.7,0.705,67500,MYR
