Date,Open,High,Low,Close,Volume,Currency
2013-03-20,3.3,3.33,3.29,3.33,1600,MYR
2013-03-21,3.33,3.33,3.25,3.29,12700,MYR
2013-03-22,3.29,3.29,3.26,3.29,6400,MYR
2013-03-25,3.27,3.29,3.23,3.29,1100,MYR
2013-03-26,3.25,3.29,3.21,3.29,12600,MYR
2013-03-27,3.29,3.29,3.29,3.29,100,MYR
2013-03-29,3.27,3.29,3.23,3.29,8100,MYR
2013-04-01,3.28,3.29,3.28,3.29,900,MYR
2013-04-05,3.25,3.29,3.21,3.29,4000,MYR
2013-04-08,3.25,3.28,3.23,3.28,1100,MYR
2013-04-10,3.28,3.28,3.21,3.28,3600,MYR
2013-04-11,3.28,3.28,3.28,3.28,1100,MYR
2013-04-12,3.25,3.28,3.23,3.28,21300,MYR
2013-04-15,3.25,3.28,3.23,3.28,11200,MYR
2013-04-16,3.25,3.27,3.23,3.27,4100,MYR
2013-04-17,3.28,3.28,3.28,3.28,100,MYR
2013-04-18,3.28,3.28,3.23,3.27,5200,MYR
2013-04-19,3.26,3.27,3.21,3.25,19900,MYR
2013-04-22,3.28,3.28,3.25,3.25,4100,MYR
2013-04-23,3.23,3.24,3.18,3.21,21400,MYR
2013-04-24,3.2,3.22,3.2,3.22,1000,MYR
2013-04-26,3.2,3.2,3.2,3.2,1800,MYR
2013-04-29,3.19,3.2,3.18,3.2,4500,MYR
2013-04-30,3.2,3.2,3.2,3.2,100,MYR
2013-05-02,3.19,3.2,3.17,3.2,3100,MYR
2013-05-06,3.2,3.2,3.2,3.2,3500,MYR
2013-05-07,3.2,3.21,3.2,3.2,5900,MYR
2013-05-08,3.18,3.21,3.18,3.21,5300,MYR
2013-05-09,3.2,3.21,3.19,3.21,15600,MYR
2013-05-10,3.19,3.21,3.19,3.2,24900,MYR
2013-05-13,3.19,3.22,3.19,3.22,14800,MYR
2013-05-14,3.22,3.22,3.18,3.22,34100,MYR
2013-05-15,3.21,3.21,3.21,3.21,1000,MYR
2013-05-16,3.19,3.2,3.11,3.16,22300,MYR
2013-05-17,3.21,3.21,3.16,3.18,8800,MYR
2013-05-20,3.21,3.21,3.18,3.18,12000,MYR
2013-05-21,3.18,3.19,3.18,3.19,48200,MYR
2013-05-22,3.19,3.19,3.18,3.19,11800,MYR
2013-05-23,3.19,3.2,3.12,3.2,277100,MYR
2013-05-27,3.18,3.19,3.18,3.19,24500,MYR
2013-05-28,3.19,3.2,3.18,3.19,60100,MYR
2013-05-29,3.19,3.19,3.17,3.18,98800,MYR
2013-05-30,3.19,3.19,3.16,3.16,86600,MYR
2013-05-31,3.18,3.18,3.16,3.16,28000,MYR
2013-06-03,3.18,3.18,3.18,3.18,12600,MYR
2013-06-04,3.18,3.18,3.17,3.17,9500,MYR
2013-06-05,3.17,3.17,3.12,3.15,74900,MYR
2013-06-06,3.16,3.18,3.15,3.16,15000,MYR
2013-06-07,3.17,3.17,3.08,3.15,63500,MYR
2013-06-10,3.17,3.17,3.16,3.16,1800,MYR
2013-06-11,3.16,3.16,3.14,3.16,2400,MYR
2013-06-12,3.16,3.16,3.15,3.15,13200,MYR
2013-06-13,3.14,3.15,3.11,3.15,6200,MYR
2013-06-14,3.13,3.15,3.1,3.15,6300,MYR
2013-06-17,3.13,3.15,3.13,3.15,4100,MYR
2013-06-18,3.13,3.15,3.13,3.14,10100,MYR
2013-06-19,3.15,3.15,3.15,3.15,100,MYR
2013-06-20,3.13,3.15,3.08,3.15,2200,MYR
2013-06-21,3.08,3.15,3.08,3.14,12900,MYR
2013-06-24,3.14,3.14,3.09,3.14,15100,MYR
2013-06-25,3.14,3.14,3.09,3.14,5600,MYR
2013-06-26,3.13,3.14,3.13,3.14,2100,MYR
2013-06-27,3.13,3.13,3.13,3.13,5000,MYR
2013-06-28,3.11,3.11,3.11,3.11,74000,MYR
2013-07-01,3.14,3.14,3.11,3.12,97500,MYR
2013-07-02,3.12,3.13,3.11,3.12,100000,MYR
2013-07-03,3.12,3.13,3.12,3.12,132600,MYR
2013-07-04,3.12,3.14,3.12,3.14,219800,MYR
2013-07-05,3.14,3.14,3.1,3.13,5000,MYR
2013-07-08,3.13,3.13,3.09,3.09,17000,MYR
2013-07-09,3.09,3.09,3.09,3.09,7000,MYR
2013-07-10,3.13,3.13,3.13,3.13,1000,MYR
2013-07-11,3.13,3.13,3.12,3.12,6800,MYR
2013-07-12,3.12,3.12,3.09,3.1,92100,MYR
2013-07-15,3.1,3.1,3.09,3.09,30000,MYR
2013-07-16,3.09,3.09,3.0,3.02,25700,MYR
2013-07-17,3.03,3.03,3.03,3.03,1600,MYR
2013-07-18,3.03,3.08,3.03,3.08,22900,MYR
2013-07-23,3.06,3.07,3.06,3.07,2500,MYR
2013-07-24,3.08,3.08,3.05,3.07,3700,MYR
2013-07-25,3.08,3.08,3.08,3.08,100,MYR
2013-07-26,3.05,3.07,3.05,3.07,1900,MYR
2013-07-29,3.09,3.09,3.09,3.09,100,MYR
2013-07-30,3.08,3.09,3.03,3.08,3800,MYR
2013-07-31,3.08,3.08,3.04,3.08,4700,MYR
2013-08-01,3.08,3.09,3.08,3.09,600,MYR
2013-08-02,3.07,3.08,3.05,3.07,5800,MYR
2013-08-05,3.08,3.08,3.05,3.08,4500,MYR
2013-08-06,3.08,3.08,3.08,3.08,2000,MYR
2013-08-07,3.08,3.09,3.07,3.07,3600,MYR
2013-08-12,3.08,3.09,3.06,3.08,4000,MYR
2013-08-13,3.09,3.09,3.05,3.09,16600,MYR
2013-08-14,3.09,3.09,3.09,3.09,5000,MYR
