Date,Open,High,Low,Close,Volume,Currency
2013-03-21,0.58,0.58,0.57,0.57,40100,MYR
2013-03-22,0.57,0.58,0.57,0.58,293000,MYR
2013-03-25,0.58,0.58,0.58,0.58,6000,MYR
2013-03-26,0.59,0.615,0.59,0.605,509000,MYR
2013-03-27,0.61,0.61,0.6,0.605,895100,MYR
2013-03-28,0.605,0.605,0.595,0.6,52000,MYR
2013-03-29,0.6,0.6,0.58,0.595,35300,MYR
2013-04-01,0.59,0.6,0.58,0.58,68500,MYR
2013-04-02,0.58,0.595,0.58,0.595,13000,MYR
2013-04-03,0.58,0.585,0.575,0.585,74300,MYR
2013-04-04,0.58,0.62,0.58,0.62,134000,MYR
2013-04-05,0.6,0.61,0.6,0.605,121600,MYR
2013-04-08,0.605,0.7,0.605,0.655,1280500,MYR
2013-04-09,0.655,0.66,0.625,0.64,295200,MYR
2013-04-10,0.63,0.64,0.625,0.635,338100,MYR
2013-04-11,0.635,0.66,0.635,0.65,732900,MYR
2013-04-12,0.65,0.665,0.645,0.655,1272700,MYR
2013-04-15,0.645,0.655,0.645,0.655,284700,MYR
2013-04-16,0.645,0.68,0.645,0.67,648500,MYR
2013-04-17,0.675,0.71,0.675,0.695,1317700,MYR
2013-04-18,0.695,0.705,0.685,0.705,683300,MYR
2013-04-19,0.705,0.73,0.7,0.73,858800,MYR
2013-04-22,0.735,0.735,0.69,0.71,374100,MYR
2013-04-23,0.68,0.68,0.665,0.67,582900,MYR
2013-04-24,0.66,0.67,0.65,0.665,105000,MYR
2013-04-25,0.665,0.67,0.63,0.66,273100,MYR
2013-04-26,0.655,0.655,0.63,0.63,136000,MYR
2013-04-29,0.64,0.64,0.62,0.63,178400,MYR
2013-04-30,0.62,0.65,0.62,0.63,77000,MYR
2013-05-02,0.625,0.625,0.615,0.615,154000,MYR
2013-05-03,0.605,0.61,0.585,0.61,179500,MYR
2013-05-06,0.64,0.675,0.64,0.675,290300,MYR
2013-05-07,0.675,0.685,0.67,0.685,305100,MYR
2013-05-08,0.685,0.685,0.665,0.665,198800,MYR
2013-05-09,0.665,0.68,0.66,0.68,73400,MYR
2013-05-10,0.68,0.725,0.68,0.725,518800,MYR
2013-05-13,0.73,0.76,0.73,0.74,979000,MYR
2013-05-14,0.74,0.74,0.705,0.74,632200,MYR
2013-05-15,0.77,0.795,0.76,0.79,1384800,MYR
2013-05-16,0.805,0.84,0.795,0.83,2964500,MYR
2013-05-17,0.835,0.9,0.835,0.9,1451200,MYR
2013-05-20,0.91,0.93,0.905,0.915,5429500,MYR
2013-05-21,0.915,0.935,0.9,0.92,4514200,MYR
2013-05-22,0.91,0.915,0.855,0.87,1574800,MYR
2013-05-23,0.87,0.87,0.82,0.83,1296800,MYR
2013-05-27,0.835,0.86,0.83,0.855,1108200,MYR
2013-05-28,0.865,0.885,0.865,0.875,1106600,MYR
2013-05-29,0.88,0.895,0.865,0.875,830000,MYR
2013-05-30,0.865,0.865,0.85,0.85,271700,MYR
2013-05-31,0.855,0.88,0.835,0.875,790200,MYR
2013-06-03,0.87,0.88,0.85,0.865,592100,MYR
2013-06-04,0.86,0.865,0.85,0.86,101500,MYR
2013-06-05,0.865,0.885,0.86,0.86,1091500,MYR
2013-06-06,0.85,0.86,0.845,0.86,254200,MYR
2013-06-07,0.86,0.87,0.85,0.86,427000,MYR
2013-06-10,0.865,0.88,0.865,0.875,1259500,MYR
2013-06-11,0.88,0.88,0.845,0.86,780600,MYR
2013-06-12,0.85,0.86,0.845,0.86,231500,MYR
2013-06-13,0.85,0.85,0.835,0.845,353000,MYR
2013-06-14,0.85,0.865,0.84,0.86,709000,MYR
2013-06-17,0.855,0.86,0.835,0.855,455800,MYR
2013-06-18,0.855,0.86,0.845,0.855,458000,MYR
2013-06-19,0.855,0.87,0.845,0.855,1297800,MYR
2013-06-20,0.845,0.845,0.835,0.84,238500,MYR
2013-06-21,0.835,0.84,0.82,0.84,313800,MYR
2013-06-24,0.835,0.845,0.8,0.805,776600,MYR
2013-06-25,0.805,0.81,0.77,0.8,599900,MYR
2013-06-26,0.8,0.815,0.79,0.8,444400,MYR
2013-06-27,0.805,0.81,0.795,0.81,111300,MYR
2013-06-28,0.805,0.815,0.795,0.8,1478400,MYR
2013-07-01,0.795,0.8,0.78,0.8,872500,MYR
2013-07-02,0.8,0.805,0.78,0.78,775700,MYR
2013-07-03,0.77,0.785,0.765,0.78,93000,MYR
2013-07-04,0.78,0.78,0.78,0.78,10000,MYR
2013-07-05,0.78,0.805,0.78,0.805,286200,MYR
2013-07-08,0.815,0.83,0.81,0.83,1071100,MYR
2013-07-09,0.83,0.86,0.83,0.835,6746600,MYR
2013-07-10,0.83,0.83,0.815,0.82,413200,MYR
2013-07-11,0.825,0.825,0.81,0.815,116000,MYR
2013-07-12,0.815,0.815,0.795,0.8,269500,MYR
2013-07-15,0.79,0.8,0.78,0.78,825500,MYR
2013-07-16,0.785,0.795,0.78,0.79,199000,MYR
2013-07-17,0.79,0.82,0.79,0.805,589400,MYR
2013-07-18,0.815,0.82,0.815,0.82,313800,MYR
2013-07-19,0.825,0.845,0.815,0.82,729600,MYR
2013-07-22,0.815,0.82,0.81,0.815,148600,MYR
2013-07-23,0.82,0.825,0.805,0.81,264900,MYR
2013-07-24,0.8,0.82,0.8,0.805,195000,MYR
2013-07-25,0.8,0.81,0.79,0.8,151700,MYR
2013-07-26,0.785,0.8,0.775,0.785,354300,MYR
2013-07-29,0.77,0.785,0.77,0.785,230200,MYR
2013-07-30,0.785,0.79,0.78,0.79,257900,MYR
2013-07-31,0.78,0.78,0.77,0.775,252800,MYR
2013-08-01,0.77,0.785,0.765,0.785,147000,MYR
2013-08-02,0.78,0.785,0.775,0.785,76000,MYR
2013-08-06,0.78,0.78,0.77,0.77,82000,MYR
2013-08-07,0.775,0.79,0.775,0.79,20100,MYR
2013-08-12,0.79,0.815,0.79,0.805,559600,MYR
