Date,Open,High,Low,Close,Volume,Currency
2013-03-25,1.75,1.75,1.73,1.75,242400,MYR
2013-03-26,1.74,1.79,1.74,1.78,562300,MYR
2013-03-27,1.79,1.8,1.78,1.79,429400,MYR
2013-03-28,1.8,1.83,1.8,1.81,952700,MYR
2013-03-29,1.8,1.81,1.75,1.75,40800,MYR
2013-04-01,1.74,2.03,1.74,1.96,1398600,MYR
2013-04-02,1.96,2.15,1.89,2.12,3473400,MYR
2013-04-03,2.12,2.17,1.96,2.12,2539600,MYR
2013-04-04,2.12,2.3,2.12,2.29,5615200,MYR
2013-04-05,2.28,2.49,2.26,2.38,1732800,MYR
2013-04-08,2.4,2.4,2.24,2.24,887500,MYR
2013-04-09,2.23,2.3,2.19,2.22,764300,MYR
2013-04-10,2.26,2.29,2.18,2.21,345000,MYR
2013-04-11,2.22,2.32,2.2,2.3,800700,MYR
2013-04-12,2.3,2.3,2.21,2.21,423800,MYR
2013-04-15,2.18,2.2,2.15,2.16,183500,MYR
2013-04-16,2.15,2.17,2.12,2.16,296100,MYR
2013-04-17,2.14,2.3,2.14,2.25,743100,MYR
2013-04-18,2.18,2.23,2.17,2.19,164700,MYR
2013-04-19,2.18,2.19,2.17,2.17,61300,MYR
2013-04-22,2.17,2.17,2.15,2.16,84800,MYR
2013-04-23,2.15,2.15,2.08,2.09,199600,MYR
2013-04-24,2.1,2.13,2.09,2.09,136500,MYR
2013-04-25,2.09,2.1,2.08,2.09,133100,MYR
2013-04-26,2.11,2.11,2.09,2.09,184900,MYR
2013-04-29,2.08,2.12,2.08,2.1,927600,MYR
2013-04-30,2.08,2.08,2.05,2.08,75300,MYR
2013-05-02,2.06,2.06,2.02,2.02,122800,MYR
2013-05-03,2.03,2.03,2.01,2.03,149700,MYR
2013-05-06,2.15,2.16,2.1,2.16,626300,MYR
2013-05-07,2.13,2.36,2.13,2.31,2039800,MYR
2013-05-08,2.31,2.31,2.2,2.2,277500,MYR
2013-05-09,2.24,2.34,2.24,2.3,565500,MYR
2013-05-10,2.3,2.35,2.27,2.32,1268000,MYR
2013-05-13,2.34,2.41,2.34,2.38,1772200,MYR
2013-05-14,2.38,2.38,2.32,2.33,1383000,MYR
2013-05-15,2.33,2.38,2.28,2.28,1323600,MYR
2013-05-16,2.28,2.28,2.21,2.22,1050300,MYR
2013-05-17,2.24,2.38,2.24,2.36,1685200,MYR
2013-05-20,2.38,2.54,2.38,2.52,2450900,MYR
2013-05-21,2.53,2.53,2.46,2.46,1249400,MYR
2013-05-22,2.46,2.46,2.41,2.41,862500,MYR
2013-05-23,2.42,2.46,2.3,2.32,1342400,MYR
2013-05-27,2.32,2.37,2.32,2.34,400400,MYR
2013-05-28,2.37,2.64,2.37,2.64,1540300,MYR
2013-05-29,2.57,2.64,2.55,2.57,1480900,MYR
2013-05-30,2.57,2.57,2.44,2.46,1099000,MYR
2013-05-31,2.46,2.57,2.46,2.5,763300,MYR
2013-06-03,2.5,2.5,2.45,2.48,225800,MYR
2013-06-04,2.48,2.5,2.47,2.47,316900,MYR
2013-06-05,2.47,2.47,2.41,2.41,258900,MYR
