Date,Open,High,Low,Close,Volume,Currency
2013-03-22,1.17,1.18,1.13,1.13,64800,MYR
2013-03-26,1.12,1.12,1.12,1.12,3000,MYR
2013-03-28,1.13,1.13,1.13,1.13,4900,MYR
2013-03-29,1.13,1.17,1.13,1.13,10500,MYR
2013-04-03,1.13,1.13,1.13,1.13,6000,MYR
2013-04-04,1.13,1.13,1.13,1.13,10000,MYR
2013-04-05,1.12,1.12,1.12,1.12,10000,MYR
2013-04-08,1.14,1.17,1.14,1.14,4000,MYR
2013-04-09,1.16,1.18,1.16,1.18,21500,MYR
2013-04-10,1.16,1.21,1.16,1.21,5300,MYR
2013-04-15,1.2,1.2,1.2,1.2,14900,MYR
2013-04-16,1.19,1.19,1.19,1.19,1000,MYR
2013-04-17,1.21,1.21,1.21,1.21,4000,MYR
2013-04-18,1.16,1.16,1.16,1.16,1000,MYR
2013-05-02,1.22,1.23,1.22,1.23,5000,MYR
2013-05-03,1.21,1.21,1.14,1.14,10000,MYR
2013-05-06,1.17,1.17,1.15,1.15,31100,MYR
2013-05-07,1.15,1.16,1.15,1.16,21400,MYR
2013-05-08,1.17,1.17,1.17,1.17,11300,MYR
2013-05-09,1.17,1.17,1.17,1.17,2000,MYR
2013-05-10,1.19,1.2,1.19,1.2,28000,MYR
2013-05-13,1.23,1.25,1.23,1.24,94900,MYR
2013-05-14,1.24,1.25,1.24,1.24,157100,MYR
2013-05-15,1.25,1.28,1.24,1.24,179800,MYR
2013-05-16,1.24,1.24,1.24,1.24,11000,MYR
2013-05-17,1.28,1.36,1.28,1.36,2011600,MYR
2013-05-20,1.39,1.4,1.36,1.39,1277400,MYR
2013-05-21,1.4,1.5,1.39,1.47,979200,MYR
2013-05-22,1.45,1.48,1.42,1.46,1488000,MYR
2013-05-23,1.46,1.46,1.41,1.41,433500,MYR
2013-05-27,1.42,1.46,1.42,1.44,344600,MYR
2013-05-28,1.44,1.48,1.44,1.48,340900,MYR
2013-05-29,1.47,1.5,1.47,1.49,646400,MYR
2013-05-30,1.48,1.48,1.47,1.48,228000,MYR
2013-05-31,1.49,1.53,1.49,1.5,354900,MYR
2013-06-03,1.5,1.51,1.48,1.5,340700,MYR
2013-06-04,1.51,1.51,1.49,1.5,383300,MYR
2013-06-05,1.5,1.5,1.49,1.5,352600,MYR
2013-06-06,1.49,1.54,1.49,1.53,725000,MYR
2013-06-07,1.55,1.63,1.55,1.61,900100,MYR
2013-06-10,1.63,1.77,1.63,1.7,1338000,MYR
2013-06-11,1.7,1.72,1.7,1.72,782300,MYR
2013-06-12,1.68,1.74,1.68,1.74,666200,MYR
2013-06-13,1.7,1.71,1.67,1.7,360400,MYR
2013-06-14,1.69,1.69,1.68,1.68,115000,MYR
2013-06-17,1.62,1.62,1.59,1.62,9000,MYR
2013-06-18,1.62,1.62,1.62,1.62,46100,MYR
2013-06-19,1.62,1.63,1.61,1.61,133800,MYR
2013-06-20,1.6,1.6,1.6,1.6,128600,MYR
2013-06-24,1.6,1.6,1.56,1.56,150000,MYR
2013-06-25,1.54,1.6,1.5,1.6,479500,MYR
2013-06-26,1.57,1.6,1.57,1.59,115000,MYR
2013-06-27,1.57,1.6,1.57,1.6,24000,MYR
2013-06-28,1.6,1.6,1.6,1.6,100,MYR
2013-07-01,1.58,1.58,1.58,1.58,2000,MYR
2013-07-02,1.58,1.58,1.58,1.58,22000,MYR
2013-07-03,1.59,1.6,1.59,1.59,84200,MYR
2013-07-04,1.6,1.62,1.6,1.6,134500,MYR
2013-07-05,1.61,1.63,1.61,1.63,32000,MYR
2013-07-08,1.63,1.66,1.62,1.66,139800,MYR
2013-07-09,1.64,1.68,1.64,1.67,144900,MYR
2013-07-10,1.65,1.69,1.65,1.69,140200,MYR
2013-07-11,1.66,1.66,1.66,1.66,1000,MYR
2013-07-12,1.67,1.69,1.66,1.69,399100,MYR
2013-07-17,1.68,1.75,1.68,1.73,80700,MYR
