Date,Open,High,Low,Close,Volume,Currency
2013-03-22,0.195,0.205,0.195,0.195,119900,MYR
2013-03-25,0.2,0.2,0.2,0.2,20000,MYR
2013-03-26,0.2,0.21,0.195,0.2,123800,MYR
2013-03-27,0.205,0.21,0.205,0.21,79200,MYR
2013-03-28,0.21,0.215,0.205,0.215,61600,MYR
2013-03-29,0.215,0.215,0.205,0.205,67400,MYR
2013-04-01,0.205,0.22,0.205,0.21,26200,MYR
2013-04-02,0.22,0.225,0.21,0.22,220800,MYR
2013-04-03,0.22,0.225,0.205,0.22,460400,MYR
2013-04-04,0.22,0.225,0.22,0.225,2100,MYR
2013-04-05,0.21,0.225,0.21,0.225,30100,MYR
2013-04-09,0.205,0.205,0.205,0.205,23000,MYR
2013-04-11,0.205,0.21,0.205,0.205,32000,MYR
2013-04-16,0.225,0.225,0.205,0.205,245200,MYR
2013-04-17,0.2,0.22,0.2,0.22,39000,MYR
2013-04-18,0.21,0.22,0.21,0.21,105100,MYR
2013-04-19,0.21,0.21,0.21,0.21,24000,MYR
2013-04-22,0.205,0.215,0.205,0.21,116000,MYR
2013-04-23,0.21,0.21,0.205,0.205,89500,MYR
2013-04-24,0.205,0.21,0.2,0.2,52200,MYR
2013-04-25,0.21,0.21,0.21,0.21,34400,MYR
2013-04-26,0.2,0.215,0.2,0.215,29100,MYR
2013-04-29,0.21,0.21,0.205,0.21,199800,MYR
2013-04-30,0.21,0.215,0.205,0.205,394900,MYR
2013-05-02,0.21,0.21,0.205,0.21,600100,MYR
2013-05-03,0.21,0.21,0.2,0.21,106100,MYR
2013-05-06,0.215,0.22,0.205,0.22,98600,MYR
2013-05-07,0.22,0.22,0.21,0.21,21100,MYR
2013-05-08,0.21,0.225,0.21,0.225,135000,MYR
2013-05-09,0.21,0.24,0.21,0.24,19000,MYR
2013-05-10,0.225,0.23,0.225,0.225,43900,MYR
2013-05-13,0.25,0.27,0.24,0.27,107500,MYR
2013-05-14,0.23,0.255,0.23,0.24,84500,MYR
2013-05-15,0.26,0.26,0.26,0.26,10000,MYR
2013-05-16,0.28,0.28,0.26,0.265,55300,MYR
2013-05-17,0.275,0.29,0.255,0.28,18500,MYR
2013-05-20,0.3,0.3,0.265,0.29,1100,MYR
2013-05-21,0.29,0.29,0.265,0.28,228200,MYR
2013-05-22,0.28,0.29,0.265,0.29,104100,MYR
2013-05-23,0.27,0.28,0.27,0.28,67300,MYR
2013-05-27,0.28,0.31,0.275,0.29,168300,MYR
2013-05-28,0.29,0.33,0.29,0.32,723400,MYR
2013-05-29,0.32,0.33,0.31,0.32,162200,MYR
2013-05-30,0.31,0.315,0.305,0.31,180700,MYR
2013-05-31,0.32,0.34,0.32,0.34,795700,MYR
2013-06-03,0.34,0.34,0.305,0.33,456700,MYR
2013-06-04,0.3,0.315,0.3,0.315,328600,MYR
2013-06-05,0.315,0.325,0.3,0.325,170700,MYR
2013-06-06,0.305,0.305,0.25,0.29,749400,MYR
2013-06-07,0.285,0.285,0.275,0.275,97500,MYR
2013-06-10,0.285,0.29,0.275,0.29,273100,MYR
2013-06-11,0.28,0.285,0.27,0.275,297500,MYR
2013-06-12,0.28,0.28,0.27,0.27,103900,MYR
2013-06-13,0.265,0.265,0.265,0.265,12800,MYR
2013-06-14,0.27,0.28,0.27,0.275,240300,MYR
2013-06-17,0.28,0.33,0.28,0.315,1883400,MYR
2013-06-18,0.315,0.32,0.31,0.31,170000,MYR
2013-06-19,0.3,0.3,0.275,0.295,165100,MYR
2013-06-20,0.285,0.285,0.285,0.285,30000,MYR
2013-06-21,0.28,0.29,0.275,0.29,73200,MYR
2013-06-24,0.27,0.27,0.265,0.27,350200,MYR
2013-06-25,0.27,0.27,0.27,0.27,20000,MYR
2013-06-26,0.265,0.27,0.265,0.27,51000,MYR
2013-06-27,0.27,0.275,0.27,0.27,68200,MYR
2013-06-28,0.27,0.29,0.27,0.275,135000,MYR
2013-07-02,0.27,0.27,0.27,0.27,22000,MYR
2013-07-03,0.27,0.27,0.27,0.27,50800,MYR
2013-07-04,0.27,0.285,0.27,0.285,60000,MYR
2013-07-08,0.285,0.285,0.285,0.285,93600,MYR
2013-07-09,0.285,0.31,0.275,0.275,307000,MYR
2013-07-11,0.275,0.275,0.275,0.275,100000,MYR
2013-07-15,0.275,0.275,0.275,0.275,50000,MYR
2013-07-16,0.275,0.275,0.275,0.275,2000,MYR
2013-07-17,0.275,0.285,0.275,0.285,86000,MYR
2013-07-18,0.275,0.275,0.275,0.275,5000,MYR
2013-07-19,0.28,0.28,0.28,0.28,15000,MYR
2013-07-22,0.28,0.28,0.28,0.28,10000,MYR
2013-07-23,0.28,0.295,0.28,0.295,51000,MYR
2013-07-24,0.3,0.3,0.295,0.295,52000,MYR
2013-07-25,0.285,0.295,0.285,0.295,164200,MYR
2013-07-26,0.295,0.295,0.295,0.295,15000,MYR
2013-07-31,0.28,0.28,0.28,0.28,29800,MYR
2013-08-01,0.28,0.28,0.28,0.28,15000,MYR
2013-08-02,0.285,0.285,0.28,0.28,18400,MYR
2013-08-05,0.275,0.295,0.275,0.295,80900,MYR
2013-08-06,0.275,0.29,0.275,0.29,42200,MYR
2013-08-07,0.29,0.29,0.28,0.28,130700,MYR
2013-08-12,0.28,0.28,0.28,0.28,110000,MYR
2013-08-14,0.29,0.32,0.29,0.305,1039900,MYR
2013-08-15,0.305,0.335,0.305,0.32,1442000,MYR
2013-08-16,0.315,0.355,0.315,0.345,1424500,MYR
2013-08-19,0.355,0.355,0.34,0.34,534100,MYR
2013-08-20,0.325,0.325,0.31,0.31,197000,MYR
2013-08-21,0.305,0.31,0.305,0.31,50000,MYR
2013-08-22,0.295,0.32,0.29,0.3,100100,MYR
2013-08-23,0.3,0.31,0.3,0.31,48000,MYR
2013-08-27,0.295,0.295,0.275,0.275,353000,MYR
2013-08-28,0.27,0.285,0.27,0.285,181200,MYR
2013-08-29,0.28,0.285,0.275,0.275,310500,MYR
2013-08-30,0.275,0.275,0.275,0.275,55000,MYR
2013-09-02,0.27,0.27,0.27,0.27,40000,MYR
2013-09-03,0.275,0.275,0.275,0.275,15900,MYR
2013-09-04,0.275,0.275,0.27,0.27,43500,MYR
2013-09-05,0.27,0.27,0.27,0.27,34000,MYR
2013-09-09,0.275,0.275,0.275,0.275,70000,MYR
2013-09-10,0.28,0.28,0.28,0.28,79000,MYR
2013-09-11,0.285,0.285,0.28,0.28,121000,MYR
2013-09-12,0.28,0.28,0.28,0.28,13000,MYR
2013-09-13,0.27,0.27,0.27,0.27,1000,MYR
2013-09-20,0.275,0.3,0.275,0.3,35100,MYR
2013-09-23,0.28,0.3,0.28,0.3,125100,MYR
2013-09-24,0.275,0.275,0.275,0.275,10100,MYR
2013-09-25,0.275,0.285,0.275,0.275,64500,MYR
2013-09-26,0.285,0.295,0.285,0.29,140000,MYR
2013-09-27,0.285,0.295,0.285,0.29,276700,MYR
2013-09-30,0.275,0.28,0.275,0.28,17000,MYR
