Date,Open,High,Low,Close,Volume,Currency
2014-09-08,0.13,0.15,0.13,0.145,103549504,MYR
2014-09-09,0.15,0.155,0.14,0.15,67806704,MYR
2014-09-10,0.15,0.16,0.145,0.15,55362800,MYR
2014-09-11,0.155,0.155,0.15,0.155,16167200,MYR
2014-09-12,0.155,0.16,0.15,0.155,23760300,MYR
2014-09-15,0.15,0.155,0.15,0.155,9050700,MYR
2014-09-17,0.155,0.175,0.155,0.165,91675200,MYR
2014-09-18,0.16,0.165,0.155,0.165,13934600,MYR
2014-09-19,0.165,0.17,0.155,0.17,27001400,MYR
2014-09-22,0.17,0.17,0.16,0.165,21653600,MYR
2014-09-23,0.165,0.17,0.16,0.17,20413300,MYR
2014-09-24,0.165,0.18,0.165,0.17,46791600,MYR
2014-09-25,0.175,0.18,0.175,0.175,33151800,MYR
2014-09-26,0.17,0.195,0.17,0.185,112567600,MYR
2014-09-29,0.185,0.2,0.185,0.19,72434400,MYR
2014-09-30,0.19,0.205,0.175,0.18,162421408,MYR
2014-10-01,0.18,0.185,0.16,0.165,50204500,MYR
2014-10-02,0.165,0.17,0.165,0.165,15965200,MYR
2014-10-03,0.17,0.175,0.165,0.17,43212700,MYR
2014-10-07,0.17,0.175,0.165,0.165,40972100,MYR
2014-10-08,0.17,0.17,0.16,0.165,31302900,MYR
2014-10-09,0.165,0.165,0.16,0.165,18784100,MYR
2014-10-10,0.16,0.17,0.16,0.165,47379200,MYR
2014-10-13,0.165,0.17,0.16,0.17,20770900,MYR
2014-10-14,0.17,0.175,0.165,0.17,22638700,MYR
2014-10-15,0.17,0.185,0.17,0.17,38819800,MYR
2014-10-16,0.17,0.175,0.15,0.15,32173300,MYR
2014-10-17,0.155,0.175,0.155,0.17,23603200,MYR
2014-10-20,0.17,0.175,0.16,0.165,30915600,MYR
2014-10-21,0.165,0.165,0.155,0.155,8017400,MYR
2014-10-23,0.155,0.165,0.155,0.165,5046800,MYR
2014-10-24,0.165,0.165,0.155,0.155,9656600,MYR
2014-10-27,0.16,0.16,0.15,0.155,46798200,MYR
2014-10-28,0.155,0.155,0.15,0.155,6099500,MYR
2014-10-29,0.155,0.155,0.15,0.15,8281400,MYR
2014-10-30,0.15,0.155,0.145,0.15,47975300,MYR
2014-10-31,0.15,0.15,0.145,0.145,6337200,MYR
2014-11-03,0.15,0.15,0.145,0.145,2151500,MYR
2014-11-04,0.145,0.15,0.14,0.15,21688900,MYR
2014-11-05,0.145,0.15,0.145,0.145,5215200,MYR
2014-11-06,0.145,0.16,0.145,0.15,32896400,MYR
2014-11-07,0.155,0.155,0.15,0.15,16396000,MYR
2014-11-10,0.155,0.165,0.155,0.165,27181500,MYR
2014-11-11,0.165,0.17,0.145,0.15,58931200,MYR
2014-11-12,0.15,0.15,0.14,0.145,34919100,MYR
2014-11-13,0.145,0.145,0.14,0.145,5933500,MYR
2014-11-14,0.145,0.145,0.135,0.14,14481000,MYR
2014-11-17,0.14,0.145,0.135,0.14,37819400,MYR
2014-11-18,0.14,0.145,0.14,0.145,29014000,MYR
2014-11-19,0.145,0.15,0.145,0.145,11016100,MYR
2014-11-20,0.145,0.15,0.14,0.15,31653400,MYR
2014-11-21,0.15,0.155,0.145,0.15,24441700,MYR
2014-11-24,0.15,0.15,0.145,0.15,12874900,MYR
2014-11-25,0.15,0.15,0.145,0.15,17662400,MYR
2014-11-26,0.15,0.155,0.15,0.15,17864100,MYR
2014-11-27,0.15,0.155,0.145,0.155,34465800,MYR
2014-11-28,0.155,0.155,0.145,0.155,8979800,MYR
2014-12-01,0.15,0.15,0.135,0.14,21043700,MYR
2014-12-02,0.14,0.14,0.135,0.14,37658900,MYR
2014-12-03,0.135,0.14,0.125,0.135,23618300,MYR
2014-12-04,0.14,0.14,0.135,0.14,10699200,MYR
2014-12-05,0.135,0.14,0.135,0.135,7621000,MYR
2014-12-08,0.135,0.14,0.135,0.135,16949800,MYR
2014-12-09,0.135,0.135,0.125,0.13,16743700,MYR
2014-12-10,0.13,0.135,0.125,0.13,16960600,MYR
2014-12-11,0.125,0.13,0.125,0.13,13384000,MYR
2014-12-12,0.125,0.13,0.125,0.13,14932300,MYR
2014-12-15,0.125,0.125,0.12,0.125,21242600,MYR
2014-12-16,0.125,0.125,0.115,0.115,18112900,MYR
2014-12-17,0.12,0.145,0.12,0.125,38812500,MYR
2014-12-18,0.13,0.13,0.125,0.13,8707800,MYR
2014-12-19,0.13,0.135,0.125,0.125,34223800,MYR
2014-12-22,0.125,0.13,0.12,0.125,12143200,MYR
2014-12-23,0.125,0.13,0.12,0.13,25849900,MYR
2014-12-24,0.125,0.13,0.125,0.125,2231900,MYR
2014-12-26,0.125,0.135,0.125,0.13,19791900,MYR
2014-12-29,0.13,0.13,0.125,0.13,536300,MYR
2014-12-30,0.125,0.135,0.125,0.125,28414900,MYR
2014-12-31,0.125,0.135,0.125,0.125,16217000,MYR
2015-01-02,0.13,0.13,0.125,0.13,11191000,MYR
2015-01-05,0.13,0.135,0.125,0.13,12949000,MYR
2015-01-06,0.125,0.13,0.125,0.13,22255600,MYR
2015-01-07,0.13,0.13,0.125,0.13,11460700,MYR
2015-01-08,0.13,0.145,0.13,0.145,26786200,MYR
2015-01-09,0.145,0.15,0.14,0.15,15378400,MYR
2015-01-12,0.145,0.16,0.145,0.155,21940300,MYR
2015-01-13,0.155,0.165,0.155,0.16,34870500,MYR
2015-01-14,0.16,0.16,0.15,0.15,18061300,MYR
2015-01-15,0.15,0.165,0.15,0.16,35738700,MYR
2015-01-16,0.16,0.17,0.16,0.17,23977800,MYR
2015-01-19,0.17,0.185,0.165,0.18,47014200,MYR
2015-01-20,0.18,0.19,0.175,0.19,41537000,MYR
2015-01-21,0.185,0.195,0.185,0.185,23380200,MYR
2015-01-22,0.185,0.19,0.18,0.19,28927200,MYR
2015-01-23,0.19,0.19,0.18,0.185,33659700,MYR
2015-01-26,0.185,0.19,0.185,0.19,30079500,MYR
2015-01-27,0.195,0.225,0.195,0.21,72164000,MYR
2015-01-28,0.21,0.245,0.205,0.22,92976000,MYR
2015-01-29,0.22,0.23,0.215,0.22,28613900,MYR
2015-01-30,0.22,0.255,0.21,0.245,113192096,MYR
2015-02-04,0.25,0.26,0.175,0.185,172321600,MYR
2015-02-05,0.185,0.185,0.165,0.165,63020500,MYR
2015-02-06,0.165,0.19,0.16,0.185,102923200,MYR
