Date,Open,High,Low,Close,Volume,Currency
2014-08-22,0.085,0.09,0.085,0.085,801000,MYR
2014-08-25,0.085,0.085,0.08,0.08,2168400,MYR
2014-08-26,0.08,0.08,0.08,0.08,1501000,MYR
2014-08-27,0.08,0.085,0.08,0.085,222600,MYR
2014-08-28,0.08,0.08,0.08,0.08,650000,MYR
2014-08-29,0.08,0.08,0.08,0.08,1684000,MYR
2014-09-02,0.08,0.08,0.075,0.08,372000,MYR
2014-09-03,0.08,0.08,0.075,0.08,740000,MYR
2014-09-04,0.075,0.08,0.075,0.08,131000,MYR
2014-09-05,0.075,0.08,0.075,0.08,163700,MYR
2014-09-08,0.08,0.085,0.08,0.085,4724300,MYR
2014-09-09,0.085,0.09,0.085,0.09,3214900,MYR
2014-09-10,0.085,0.085,0.085,0.085,1126100,MYR
2014-09-11,0.085,0.09,0.085,0.085,1821700,MYR
2014-09-12,0.085,0.11,0.085,0.11,27371900,MYR
2014-09-15,0.11,0.125,0.11,0.12,32367600,MYR
2014-09-17,0.12,0.135,0.115,0.125,41626200,MYR
2014-09-18,0.125,0.125,0.115,0.12,8520000,MYR
2014-09-19,0.12,0.125,0.12,0.125,16492000,MYR
2014-09-22,0.12,0.125,0.115,0.12,13772700,MYR
2014-09-23,0.125,0.13,0.115,0.125,59259000,MYR
2014-09-24,0.125,0.13,0.125,0.13,35993400,MYR
2014-09-25,0.13,0.145,0.12,0.125,97554600,MYR
2014-09-26,0.125,0.13,0.125,0.13,20359400,MYR
2014-09-29,0.13,0.135,0.125,0.13,74560896,MYR
2014-09-30,0.13,0.135,0.115,0.125,45113900,MYR
2014-10-01,0.125,0.125,0.11,0.11,21578200,MYR
2014-10-02,0.115,0.115,0.105,0.11,21331000,MYR
2014-10-03,0.11,0.115,0.1,0.105,34246100,MYR
2014-10-07,0.105,0.11,0.1,0.105,20837300,MYR
2014-10-08,0.1,0.105,0.095,0.105,21896900,MYR
2014-10-09,0.105,0.11,0.105,0.105,12817800,MYR
2014-10-10,0.105,0.105,0.1,0.1,26461300,MYR
2014-10-13,0.09,0.095,0.08,0.09,11142500,MYR
2014-10-14,0.085,0.085,0.08,0.085,4043800,MYR
2014-10-15,0.09,0.09,0.08,0.08,3423600,MYR
2014-10-16,0.08,0.08,0.07,0.075,9661600,MYR
2014-10-17,0.075,0.09,0.075,0.08,9348800,MYR
2014-10-20,0.085,0.085,0.08,0.08,1420000,MYR
2014-10-21,0.08,0.085,0.08,0.085,3261100,MYR
2014-10-23,0.08,0.08,0.075,0.08,9504200,MYR
2014-10-24,0.08,0.08,0.075,0.08,4733400,MYR
2014-10-27,0.08,0.085,0.08,0.08,2844100,MYR
2014-10-28,0.08,0.08,0.075,0.075,2565500,MYR
2014-10-29,0.08,0.085,0.08,0.085,4466000,MYR
2014-10-30,0.085,0.085,0.08,0.08,4063900,MYR
2014-10-31,0.08,0.085,0.08,0.08,1586500,MYR
2014-11-03,0.08,0.08,0.075,0.075,1358000,MYR
2014-11-04,0.08,0.08,0.075,0.075,2835500,MYR
2014-11-05,0.08,0.08,0.075,0.08,900100,MYR
2014-11-06,0.08,0.08,0.075,0.075,845000,MYR
2014-11-07,0.075,0.08,0.075,0.075,2486700,MYR
2014-11-10,0.08,0.09,0.08,0.085,26631300,MYR
2014-11-11,0.085,0.095,0.085,0.085,54912600,MYR
2014-11-12,0.085,0.085,0.08,0.085,1467600,MYR
2014-11-13,0.08,0.085,0.075,0.08,10340400,MYR
2014-11-14,0.08,0.085,0.075,0.085,20123000,MYR
2014-11-17,0.085,0.085,0.08,0.085,10544700,MYR
2014-11-18,0.08,0.09,0.08,0.08,21473100,MYR
2014-11-19,0.085,0.085,0.08,0.08,4002500,MYR
2014-11-20,0.08,0.085,0.08,0.085,2960000,MYR
2014-11-21,0.085,0.085,0.08,0.085,15143700,MYR
2014-11-24,0.08,0.09,0.08,0.085,33007100,MYR
2014-11-25,0.09,0.09,0.08,0.085,726000,MYR
2014-11-26,0.085,0.09,0.08,0.09,12128800,MYR
2014-11-27,0.085,0.085,0.08,0.08,2496700,MYR
2014-11-28,0.08,0.08,0.075,0.08,11679100,MYR
2014-12-01,0.075,0.075,0.07,0.075,5706300,MYR
2014-12-02,0.075,0.08,0.075,0.075,6124500,MYR
2014-12-03,0.075,0.08,0.07,0.08,2580700,MYR
2014-12-04,0.07,0.08,0.07,0.075,1515000,MYR
2014-12-05,0.07,0.075,0.07,0.075,773200,MYR
2014-12-08,0.075,0.075,0.07,0.07,55000,MYR
2014-12-09,0.07,0.07,0.07,0.07,1691800,MYR
2014-12-10,0.07,0.075,0.07,0.075,2565400,MYR
2014-12-11,0.07,0.07,0.07,0.07,2100000,MYR
2014-12-12,0.065,0.075,0.065,0.07,2369900,MYR
2014-12-15,0.07,0.07,0.065,0.065,2540700,MYR
2014-12-16,0.065,0.07,0.06,0.07,4834500,MYR
2014-12-17,0.065,0.065,0.065,0.065,1750100,MYR
2014-12-18,0.065,0.07,0.065,0.07,3306500,MYR
2014-12-19,0.07,0.07,0.065,0.07,4534000,MYR
2014-12-22,0.07,0.075,0.07,0.07,6934300,MYR
2014-12-23,0.07,0.075,0.07,0.07,1105700,MYR
2014-12-24,0.07,0.075,0.07,0.07,3490000,MYR
2014-12-26,0.07,0.08,0.07,0.075,6743400,MYR
2014-12-29,0.075,0.08,0.075,0.08,8255200,MYR
2014-12-30,0.08,0.08,0.075,0.075,1089300,MYR
2014-12-31,0.07,0.075,0.07,0.075,8482900,MYR
2015-01-02,0.075,0.075,0.075,0.075,1887400,MYR
2015-01-05,0.075,0.075,0.065,0.075,8728700,MYR
2015-01-06,0.07,0.075,0.07,0.07,2229000,MYR
2015-01-07,0.075,0.075,0.075,0.075,6989400,MYR
2015-01-08,0.075,0.08,0.075,0.08,7513400,MYR
2015-01-09,0.075,0.08,0.075,0.075,1323000,MYR
2015-01-12,0.07,0.08,0.07,0.08,9669100,MYR
2015-01-13,0.08,0.08,0.075,0.075,8300000,MYR
2015-01-14,0.075,0.075,0.07,0.07,13902100,MYR
2015-01-15,0.075,0.075,0.07,0.07,393000,MYR
2015-01-16,0.075,0.075,0.07,0.075,2630100,MYR
2015-01-19,0.075,0.075,0.07,0.075,25990500,MYR
2015-01-20,0.075,0.08,0.075,0.08,872200,MYR
2015-01-21,0.075,0.075,0.075,0.075,8648000,MYR
2015-01-22,0.075,0.075,0.07,0.075,5685400,MYR
2015-01-23,0.075,0.075,0.07,0.07,3488600,MYR
2015-01-26,0.07,0.075,0.07,0.075,3330000,MYR
2015-01-27,0.075,0.08,0.07,0.07,37203600,MYR
2015-01-28,0.07,0.08,0.07,0.08,31466900,MYR
2015-01-29,0.08,0.08,0.075,0.08,2430200,MYR
2015-01-30,0.08,0.08,0.075,0.08,922900,MYR
2015-02-04,0.075,0.08,0.075,0.075,11176100,MYR
2015-02-05,0.075,0.075,0.075,0.075,1837300,MYR
2015-02-06,0.075,0.08,0.075,0.08,36408600,MYR
2015-02-09,0.08,0.08,0.075,0.075,2804900,MYR
2015-02-10,0.075,0.08,0.075,0.075,1810000,MYR
2015-02-11,0.08,0.08,0.075,0.075,2304000,MYR
2015-02-12,0.075,0.08,0.075,0.075,1395000,MYR
2015-02-13,0.075,0.08,0.075,0.08,1336000,MYR
2015-02-16,0.075,0.08,0.075,0.075,1142000,MYR
2015-02-17,0.08,0.085,0.08,0.085,8651800,MYR
2015-02-18,0.085,0.085,0.08,0.08,280000,MYR
2015-02-23,0.08,0.085,0.08,0.085,756100,MYR
2015-02-24,0.08,0.085,0.08,0.085,1269900,MYR
2015-02-25,0.08,0.08,0.08,0.08,975000,MYR
2015-02-26,0.085,0.085,0.08,0.08,1790500,MYR
2015-02-27,0.08,0.085,0.08,0.08,693000,MYR
2015-03-02,0.08,0.08,0.08,0.08,239100,MYR
2015-03-03,0.08,0.085,0.08,0.085,2860100,MYR
2015-03-04,0.085,0.085,0.08,0.08,138800,MYR
2015-03-05,0.08,0.085,0.075,0.08,22098300,MYR
2015-03-06,0.08,0.08,0.08,0.08,1382000,MYR
2015-03-09,0.08,0.08,0.075,0.08,8081300,MYR
2015-03-10,0.085,0.085,0.08,0.08,805000,MYR
2015-03-11,0.08,0.08,0.08,0.08,1729000,MYR
2015-03-12,0.08,0.085,0.08,0.085,626000,MYR
2015-03-13,0.085,0.09,0.08,0.085,18617000,MYR
2015-03-16,0.08,0.085,0.08,0.08,1131600,MYR
2015-03-17,0.08,0.08,0.08,0.08,1457100,MYR
2015-03-18,0.085,0.085,0.08,0.08,2077600,MYR
2015-03-19,0.08,0.085,0.08,0.08,501000,MYR
2015-03-20,0.085,0.085,0.08,0.08,760000,MYR
2015-03-23,0.08,0.085,0.08,0.085,1480000,MYR
2015-03-24,0.08,0.085,0.08,0.08,1382000,MYR
2015-03-25,0.08,0.08,0.075,0.075,6733700,MYR
2015-03-26,0.08,0.08,0.075,0.075,1110000,MYR
2015-03-27,0.08,0.08,0.075,0.08,940000,MYR
2015-03-30,0.08,0.08,0.075,0.08,2824500,MYR
2015-03-31,0.08,0.085,0.08,0.08,14861800,MYR
2015-04-01,0.08,0.08,0.08,0.08,2585000,MYR
2015-04-02,0.075,0.08,0.075,0.08,3815100,MYR
2015-04-03,0.08,0.085,0.075,0.08,1929000,MYR
2015-04-06,0.08,0.08,0.075,0.08,1370200,MYR
2015-04-07,0.08,0.08,0.08,0.08,1153000,MYR
2015-04-08,0.08,0.08,0.08,0.08,100000,MYR
2015-04-09,0.08,0.08,0.075,0.075,800000,MYR
2015-04-10,0.075,0.08,0.075,0.08,220000,MYR
2015-04-13,0.075,0.075,0.075,0.075,300000,MYR
2015-04-14,0.075,0.075,0.075,0.075,150000,MYR
2015-04-15,0.075,0.08,0.075,0.08,1100000,MYR
2015-04-16,0.075,0.075,0.075,0.075,950500,MYR
2015-04-17,0.08,0.085,0.08,0.08,20891500,MYR
2015-04-20,0.08,0.08,0.08,0.08,5006100,MYR
2015-04-21,0.08,0.085,0.08,0.085,2616000,MYR
2015-04-22,0.08,0.08,0.08,0.08,1575600,MYR
2015-04-23,0.08,0.08,0.08,0.08,1285000,MYR
2015-04-24,0.08,0.085,0.08,0.08,1492000,MYR
2015-04-27,0.08,0.08,0.08,0.08,5230000,MYR
2015-04-28,0.08,0.08,0.075,0.08,8021600,MYR
2015-04-29,0.085,0.085,0.075,0.08,485300,MYR
2015-04-30,0.075,0.085,0.075,0.08,2108800,MYR
2015-05-05,0.08,0.08,0.075,0.08,320000,MYR
2015-05-06,0.075,0.075,0.075,0.075,20000,MYR
2015-05-07,0.075,0.085,0.075,0.08,4798400,MYR
2015-05-08,0.085,0.085,0.075,0.075,446000,MYR
2015-05-11,0.08,0.085,0.08,0.08,101000,MYR
2015-05-12,0.075,0.075,0.075,0.075,510000,MYR
2015-05-13,0.08,0.08,0.075,0.075,2903800,MYR
2015-05-14,0.075,0.075,0.075,0.075,50000,MYR
2015-05-15,0.075,0.08,0.075,0.08,7927500,MYR
2015-05-18,0.08,0.08,0.08,0.08,125000,MYR
2015-05-19,0.075,0.08,0.075,0.08,3910000,MYR
2015-05-21,0.075,0.08,0.075,0.075,1009600,MYR
2015-05-22,0.075,0.075,0.075,0.075,66300,MYR
2015-05-25,0.075,0.075,0.075,0.075,822500,MYR
2015-05-26,0.075,0.08,0.075,0.075,694500,MYR
2015-05-27,0.08,0.08,0.075,0.075,560500,MYR
2015-05-28,0.08,0.08,0.08,0.08,150000,MYR
2015-05-29,0.075,0.08,0.075,0.08,6202900,MYR
2015-06-01,0.075,0.075,0.07,0.075,1135800,MYR
2015-06-02,0.075,0.075,0.07,0.07,170500,MYR
2015-06-03,0.075,0.08,0.075,0.075,3168800,MYR
2015-06-04,0.075,0.075,0.075,0.075,100000,MYR
2015-06-05,0.075,0.075,0.075,0.075,640000,MYR
2015-06-09,0.075,0.075,0.075,0.075,1000000,MYR
2015-06-10,0.075,0.075,0.075,0.075,70000,MYR
2015-06-11,0.075,0.075,0.075,0.075,1554000,MYR
2015-06-15,0.075,0.08,0.07,0.07,10120900,MYR
2015-06-16,0.065,0.07,0.065,0.07,1329700,MYR
2015-06-17,0.065,0.065,0.065,0.065,100000,MYR
2015-06-18,0.065,0.07,0.065,0.07,200000,MYR
2015-06-19,0.07,0.075,0.07,0.075,3309900,MYR
2015-06-22,0.07,0.07,0.065,0.07,1093000,MYR
2015-06-23,0.075,0.08,0.075,0.08,6650100,MYR
2015-06-24,0.07,0.075,0.07,0.075,358000,MYR
2015-06-26,0.075,0.08,0.075,0.08,1792600,MYR
2015-06-29,0.075,0.075,0.075,0.075,330000,MYR
2015-06-30,0.07,0.08,0.07,0.08,5994000,MYR
2015-07-01,0.08,0.08,0.075,0.075,1840000,MYR
2015-07-03,0.075,0.08,0.075,0.08,8770000,MYR
2015-07-06,0.08,0.08,0.075,0.08,4130000,MYR
2015-07-07,0.075,0.075,0.075,0.075,209600,MYR
2015-07-08,0.075,0.075,0.075,0.075,1275000,MYR
2015-07-09,0.075,0.075,0.075,0.075,262900,MYR
2015-07-10,0.075,0.075,0.075,0.075,80000,MYR
2015-07-13,0.075,0.075,0.075,0.075,355000,MYR
2015-07-14,0.075,0.08,0.07,0.08,2060300,MYR
2015-07-15,0.07,0.07,0.07,0.07,3000,MYR
2015-07-20,0.075,0.08,0.075,0.08,300300,MYR
2015-07-22,0.075,0.075,0.075,0.075,100000,MYR
2015-07-24,0.07,0.08,0.07,0.08,2622700,MYR
2015-07-27,0.075,0.08,0.075,0.075,1122300,MYR
2015-07-28,0.075,0.075,0.075,0.075,540000,MYR
2015-07-29,0.075,0.075,0.075,0.075,65000,MYR
2015-07-30,0.08,0.08,0.07,0.08,16420100,MYR
2015-07-31,0.07,0.08,0.07,0.08,2900000,MYR
2015-08-03,0.075,0.075,0.075,0.075,145000,MYR
2015-08-04,0.07,0.07,0.07,0.07,50000,MYR
2015-08-05,0.07,0.075,0.07,0.075,2430000,MYR
2015-08-06,0.07,0.07,0.07,0.07,1225000,MYR
2015-08-07,0.07,0.07,0.065,0.07,13779700,MYR
2015-08-10,0.07,0.07,0.06,0.07,7447000,MYR
2015-08-11,0.07,0.07,0.065,0.065,345100,MYR
2015-08-12,0.065,0.065,0.065,0.065,2919600,MYR
2015-08-13,0.065,0.065,0.06,0.065,7708600,MYR
2015-08-14,0.06,0.06,0.06,0.06,139800,MYR
2015-08-17,0.06,0.06,0.06,0.06,1960000,MYR
2015-08-18,0.06,0.06,0.06,0.06,2850000,MYR
2015-08-19,0.06,0.06,0.06,0.06,1182300,MYR
2015-08-20,0.06,0.06,0.06,0.06,140000,MYR
2015-08-24,0.055,0.055,0.055,0.055,2000800,MYR
2015-08-25,0.05,0.055,0.05,0.055,250000,MYR
2015-08-26,0.05,0.055,0.05,0.05,356200,MYR
