Date,Open,High,Low,Close,Volume,Currency
2013-03-27,0.06,0.06,0.06,0.06,205000,MYR
2013-03-28,0.06,0.06,0.06,0.06,232400,MYR
2013-03-29,0.06,0.065,0.06,0.06,529900,MYR
2013-04-01,0.07,0.085,0.07,0.08,21820700,MYR
2013-04-02,0.085,0.095,0.08,0.085,28340700,MYR
2013-04-03,0.085,0.085,0.07,0.075,7721200,MYR
2013-04-04,0.07,0.08,0.07,0.075,14042500,MYR
2013-04-05,0.075,0.08,0.07,0.075,14957100,MYR
2013-04-08,0.075,0.08,0.07,0.075,8283500,MYR
2013-04-09,0.075,0.08,0.075,0.08,1172700,MYR
2013-04-10,0.075,0.08,0.07,0.07,6779600,MYR
2013-04-11,0.075,0.075,0.07,0.075,737500,MYR
2013-04-12,0.075,0.075,0.07,0.075,3215000,MYR
2013-04-15,0.07,0.075,0.07,0.07,2530600,MYR
2013-04-16,0.07,0.07,0.07,0.07,1101600,MYR
2013-04-17,0.07,0.07,0.07,0.07,330000,MYR
2013-04-18,0.07,0.07,0.07,0.07,188000,MYR
2013-04-19,0.07,0.07,0.065,0.065,4857900,MYR
2013-04-22,0.07,0.075,0.065,0.07,2928900,MYR
2013-04-23,0.07,0.07,0.07,0.07,20000,MYR
2013-04-24,0.07,0.07,0.07,0.07,160000,MYR
2013-04-25,0.07,0.075,0.065,0.075,506800,MYR
2013-04-26,0.075,0.075,0.065,0.065,804600,MYR
2013-04-29,0.065,0.065,0.065,0.065,79700,MYR
2013-04-30,0.065,0.065,0.065,0.065,254000,MYR
2013-05-02,0.065,0.065,0.065,0.065,158000,MYR
2013-05-03,0.065,0.07,0.065,0.065,1182600,MYR
2013-05-06,0.07,0.075,0.065,0.075,1151800,MYR
2013-05-07,0.075,0.075,0.07,0.07,2296800,MYR
2013-05-08,0.07,0.07,0.07,0.07,558800,MYR
2013-05-09,0.07,0.075,0.07,0.075,2090300,MYR
2013-05-10,0.07,0.075,0.07,0.075,695600,MYR
2013-05-13,0.08,0.085,0.075,0.075,15196500,MYR
2013-05-14,0.075,0.08,0.075,0.08,1271000,MYR
2013-05-15,0.08,0.085,0.08,0.085,8196200,MYR
2013-05-16,0.085,0.085,0.075,0.075,2843000,MYR
2013-05-17,0.08,0.09,0.08,0.085,14173200,MYR
2013-05-20,0.085,0.09,0.085,0.09,6605200,MYR
2013-05-21,0.085,0.095,0.085,0.095,12911200,MYR
2013-05-22,0.09,0.095,0.085,0.085,13658800,MYR
