Date,Open,High,Low,Close,Volume,Currency
2012-06-12,2.4,2.49,2.39,2.46,19407600,MYR
2012-06-13,2.48,2.48,2.42,2.43,9704500,MYR
2012-06-14,2.43,2.44,2.42,2.43,4173800,MYR
2012-06-15,2.44,2.44,2.4,2.42,9051200,MYR
2012-06-18,2.43,2.44,2.41,2.42,3580600,MYR
2012-06-19,2.43,2.43,2.41,2.42,3524100,MYR
2012-06-20,2.42,2.45,2.41,2.41,3886500,MYR
2012-06-21,2.42,2.42,2.38,2.39,5041500,MYR
2012-06-22,2.38,2.42,2.38,2.42,3876400,MYR
2012-06-25,2.42,2.45,2.42,2.44,5484600,MYR
2012-06-26,2.44,2.51,2.42,2.51,20601700,MYR
2012-06-27,2.5,2.64,2.5,2.61,28502300,MYR
2012-06-28,2.62,2.62,2.53,2.58,8504200,MYR
2012-06-29,2.57,2.59,2.53,2.57,4909600,MYR
2012-07-02,2.57,2.59,2.52,2.52,4260900,MYR
2012-07-03,2.54,2.58,2.53,2.55,5515600,MYR
2012-07-04,2.55,2.6,2.55,2.57,4566500,MYR
2012-07-05,2.58,2.58,2.55,2.56,3016800,MYR
2012-07-06,2.56,2.59,2.55,2.58,3367900,MYR
2012-07-09,2.57,2.58,2.54,2.55,6474500,MYR
2012-07-10,2.55,2.63,2.55,2.61,5817600,MYR
2012-07-11,2.61,2.67,2.61,2.66,9952800,MYR
2012-07-12,2.66,2.67,2.62,2.65,2866300,MYR
2012-07-13,2.64,2.69,2.63,2.68,4576500,MYR
2012-07-16,2.68,2.69,2.63,2.63,1709000,MYR
2012-07-17,2.63,2.66,2.63,2.64,4471900,MYR
2012-07-18,2.65,2.67,2.63,2.65,3406600,MYR
2012-07-19,2.65,2.68,2.65,2.65,3098600,MYR
2012-07-20,2.65,2.66,2.64,2.65,1175200,MYR
2012-07-23,2.64,2.65,2.6,2.63,2820900,MYR
2012-07-24,2.62,2.67,2.62,2.65,3276400,MYR
2012-07-25,2.64,2.64,2.62,2.63,1637000,MYR
2012-07-26,2.64,2.64,2.62,2.64,1666400,MYR
2012-07-27,2.62,2.64,2.62,2.64,866700,MYR
2012-07-30,2.63,2.64,2.63,2.63,1401200,MYR
2012-07-31,2.64,2.66,2.63,2.65,2963800,MYR
2012-08-01,2.65,2.67,2.64,2.66,1764600,MYR
2012-08-02,2.65,2.67,2.64,2.65,966300,MYR
2012-08-03,2.65,2.65,2.63,2.63,1777600,MYR
2012-08-06,2.64,2.65,2.64,2.64,1164200,MYR
2012-08-07,2.65,2.65,2.63,2.64,1323000,MYR
2012-08-08,2.63,2.65,2.57,2.64,1764000,MYR
2012-08-09,2.64,2.65,2.63,2.63,1886400,MYR
2012-08-10,2.64,2.71,2.64,2.69,7058100,MYR
2012-08-13,2.69,2.71,2.69,2.69,2308000,MYR
2012-08-14,2.69,2.7,2.68,2.69,1126400,MYR
2012-08-15,2.69,2.74,2.69,2.73,1099100,MYR
2012-08-16,2.73,2.76,2.71,2.75,2803200,MYR
2012-08-17,2.75,2.75,2.73,2.73,1064700,MYR
2012-08-22,2.72,2.75,2.72,2.74,448600,MYR
2012-08-23,2.75,2.75,2.73,2.73,701900,MYR
2012-08-24,2.73,2.74,2.68,2.68,1171700,MYR
2012-08-27,2.68,2.68,2.62,2.63,1521200,MYR
2012-08-28,2.63,2.63,2.6,2.63,3205000,MYR
2012-08-29,2.63,2.65,2.61,2.63,682500,MYR
2012-08-30,2.63,2.63,2.6,2.6,416100,MYR
2012-09-03,2.61,2.65,2.61,2.64,535200,MYR
2012-09-04,2.64,2.67,2.64,2.66,818700,MYR
2012-09-05,2.66,2.66,2.63,2.63,392300,MYR
2012-09-06,2.63,2.63,2.57,2.61,1137100,MYR
2012-09-07,2.62,2.63,2.59,2.61,1496200,MYR
2012-09-10,2.62,2.62,2.61,2.61,447300,MYR
2012-09-11,2.62,2.62,2.58,2.6,1171700,MYR
2012-09-12,2.6,2.61,2.58,2.6,271600,MYR
2012-09-13,2.6,2.61,2.6,2.61,252600,MYR
2012-09-14,2.62,2.63,2.61,2.63,672200,MYR
2012-09-18,2.63,2.65,2.63,2.64,632400,MYR
2012-09-19,2.64,2.64,2.62,2.62,599700,MYR
2012-09-20,2.62,2.64,2.62,2.63,1385000,MYR
