Date,Open,High,Low,Close,Volume,Currency
2018-03-28,0.325,0.335,0.325,0.33,3389700,MYR
2018-03-29,0.335,0.335,0.32,0.32,3976300,MYR
2018-03-30,0.32,0.32,0.29,0.295,11267400,MYR
2018-04-02,0.3,0.315,0.3,0.31,6145500,MYR
2018-04-03,0.305,0.325,0.305,0.315,5609000,MYR
2018-04-04,0.32,0.32,0.28,0.295,6148600,MYR
2018-04-05,0.295,0.305,0.29,0.3,1532800,MYR
2018-04-06,0.295,0.3,0.295,0.3,1386000,MYR
2018-04-09,0.295,0.305,0.295,0.3,1902000,MYR
2018-04-10,0.305,0.315,0.305,0.31,3258700,MYR
2018-04-11,0.31,0.335,0.31,0.33,3785400,MYR
2018-04-12,0.33,0.33,0.32,0.33,328300,MYR
2018-04-13,0.33,0.33,0.32,0.325,684000,MYR
2018-04-16,0.325,0.33,0.325,0.325,323500,MYR
2018-04-17,0.325,0.335,0.32,0.325,1037800,MYR
2018-04-18,0.325,0.325,0.315,0.325,961900,MYR
2018-04-19,0.325,0.325,0.315,0.315,232100,MYR
2018-04-20,0.315,0.325,0.315,0.325,280000,MYR
2018-04-23,0.32,0.32,0.315,0.315,234000,MYR
2018-04-24,0.315,0.315,0.31,0.31,384300,MYR
2018-04-25,0.31,0.31,0.3,0.305,139800,MYR
2018-04-26,0.305,0.305,0.305,0.305,106400,MYR
2018-04-27,0.305,0.31,0.305,0.305,387100,MYR
2018-04-30,0.305,0.315,0.305,0.31,91000,MYR
2018-05-02,0.31,0.31,0.31,0.31,182300,MYR
2018-05-03,0.31,0.31,0.31,0.31,330200,MYR
2018-05-04,0.31,0.32,0.31,0.32,171100,MYR
2018-05-07,0.32,0.32,0.31,0.31,799100,MYR
2018-05-08,0.315,0.315,0.31,0.315,285800,MYR
2018-05-14,0.3,0.315,0.3,0.3,1187000,MYR
2018-05-15,0.3,0.305,0.3,0.3,131200,MYR
2018-05-16,0.3,0.305,0.3,0.305,431400,MYR
2018-05-17,0.3,0.3,0.29,0.29,654400,MYR
2018-05-18,0.295,0.295,0.275,0.28,1209000,MYR
2018-05-21,0.28,0.295,0.28,0.285,174700,MYR
2018-05-22,0.285,0.285,0.28,0.285,208000,MYR
2018-05-23,0.285,0.295,0.275,0.295,409000,MYR
2018-05-24,0.295,0.3,0.29,0.295,1376400,MYR
2018-05-25,0.3,0.3,0.285,0.295,1670400,MYR
2018-05-28,0.3,0.3,0.29,0.295,133100,MYR
2018-05-30,0.295,0.295,0.275,0.28,121000,MYR
2018-05-31,0.28,0.285,0.28,0.285,169500,MYR
2018-06-01,0.29,0.29,0.29,0.29,102000,MYR
2018-06-04,0.29,0.29,0.28,0.285,168000,MYR
2018-06-05,0.285,0.29,0.285,0.29,397600,MYR
2018-06-06,0.29,0.295,0.285,0.295,218200,MYR
2018-06-07,0.295,0.305,0.29,0.305,818900,MYR
2018-06-08,0.31,0.32,0.305,0.32,1793100,MYR
2018-06-11,0.325,0.33,0.315,0.315,1473200,MYR
2018-06-12,0.32,0.335,0.32,0.335,1184500,MYR
2018-06-13,0.335,0.335,0.325,0.33,1219500,MYR
2018-06-14,0.335,0.34,0.33,0.34,883600,MYR
2018-06-18,0.34,0.34,0.33,0.34,306000,MYR
2018-06-19,0.34,0.34,0.325,0.325,293000,MYR
2018-06-20,0.325,0.335,0.325,0.33,204000,MYR
2018-06-21,0.33,0.33,0.32,0.33,1525500,MYR
2018-06-22,0.33,0.34,0.33,0.335,902600,MYR
2018-06-25,0.33,0.335,0.33,0.335,187600,MYR
2018-06-26,0.335,0.34,0.33,0.34,1442300,MYR
2018-06-27,0.335,0.335,0.33,0.335,1099600,MYR
2018-06-29,0.32,0.325,0.32,0.325,105100,MYR
2018-07-02,0.315,0.335,0.315,0.33,1232100,MYR
2018-07-03,0.33,0.335,0.33,0.335,213000,MYR
2018-07-04,0.33,0.335,0.33,0.335,82000,MYR
2018-07-05,0.33,0.33,0.325,0.33,52100,MYR
2018-07-06,0.33,0.33,0.33,0.33,144000,MYR
2018-07-09,0.33,0.33,0.33,0.33,175000,MYR
2018-07-10,0.33,0.33,0.325,0.33,317300,MYR
2018-07-11,0.325,0.325,0.32,0.325,306400,MYR
2018-07-12,0.325,0.33,0.325,0.33,212000,MYR
2018-07-13,0.335,0.335,0.33,0.335,592300,MYR
2018-07-16,0.335,0.35,0.335,0.335,1144300,MYR
2018-07-17,0.335,0.335,0.335,0.335,10000,MYR
2018-07-18,0.335,0.34,0.335,0.34,542700,MYR
2018-07-19,0.335,0.345,0.335,0.34,1781500,MYR
2018-07-20,0.34,0.34,0.34,0.34,268200,MYR
2018-07-23,0.34,0.38,0.335,0.375,7760000,MYR
2018-07-24,0.37,0.4,0.37,0.395,12155600,MYR
2018-07-25,0.405,0.45,0.405,0.435,13517600,MYR
2018-07-26,0.435,0.445,0.405,0.405,2733000,MYR
2018-07-27,0.4,0.42,0.4,0.405,733000,MYR
2018-07-30,0.415,0.42,0.4,0.41,1706400,MYR
2018-07-31,0.4,0.415,0.39,0.395,1622500,MYR
2018-08-01,0.4,0.4,0.38,0.38,1260300,MYR
2018-08-02,0.38,0.395,0.38,0.38,2795500,MYR
2018-08-03,0.385,0.385,0.375,0.38,1162200,MYR
2018-08-06,0.375,0.405,0.36,0.4,5406700,MYR
2018-08-07,0.4,0.415,0.395,0.415,2524800,MYR
2018-08-08,0.415,0.415,0.39,0.395,2365300,MYR
2018-08-09,0.4,0.405,0.4,0.405,1170400,MYR
2018-08-10,0.41,0.42,0.395,0.405,4063800,MYR
2018-08-13,0.405,0.405,0.39,0.39,691700,MYR
2018-08-14,0.39,0.4,0.39,0.395,1482100,MYR
