Date,Open,High,Low,Close,Volume,Currency
2013-03-28,0.387,0.387,0.387,0.387,8000,MYR
2013-03-29,0.387,0.387,0.387,0.387,12000,MYR
2013-04-01,0.384,0.384,0.384,0.384,12000,MYR
2013-04-05,0.391,0.391,0.391,0.391,40000,MYR
2013-04-08,0.38,0.38,0.38,0.38,28000,MYR
2013-04-09,0.38,0.38,0.38,0.38,28000,MYR
2013-04-11,0.399,0.399,0.399,0.399,8000,MYR
2013-04-16,0.38,0.38,0.38,0.38,40000,MYR
2013-04-17,0.38,0.38,0.38,0.38,36000,MYR
2013-04-19,0.38,0.38,0.38,0.38,11600,MYR
2013-04-22,0.38,0.384,0.38,0.382,80000,MYR
2013-04-23,0.391,0.394,0.391,0.394,28000,MYR
2013-04-24,0.391,0.399,0.375,0.38,1012000,MYR
2013-04-25,0.387,0.401,0.375,0.389,108400,MYR
2013-04-26,0.38,0.387,0.375,0.384,160000,MYR
2013-04-29,0.384,0.387,0.384,0.387,76400,MYR
2013-04-30,0.382,0.382,0.375,0.375,256000,MYR
2013-05-02,0.38,0.38,0.375,0.375,84000,MYR
2013-05-06,0.403,0.403,0.389,0.389,32000,MYR
2013-05-07,0.401,0.403,0.401,0.401,32000,MYR
2013-05-08,0.408,0.408,0.399,0.399,88000,MYR
2013-05-13,0.403,0.403,0.403,0.403,60000,MYR
2013-05-14,0.391,0.391,0.391,0.391,24800,MYR
2013-05-16,0.403,0.403,0.387,0.387,104000,MYR
2013-05-17,0.413,0.413,0.394,0.401,72000,MYR
2013-05-20,0.403,0.403,0.403,0.403,48000,MYR
2013-05-21,0.415,0.422,0.401,0.406,160000,MYR
2013-05-22,0.408,0.417,0.408,0.417,185200,MYR
2013-05-23,0.415,0.415,0.415,0.415,40000,MYR
2013-05-27,0.408,0.415,0.408,0.415,440000,MYR
2013-05-28,0.403,0.403,0.401,0.403,44400,MYR
2013-05-30,0.415,0.422,0.415,0.422,40000,MYR
2013-05-31,0.422,0.439,0.422,0.425,44800,MYR
2013-06-04,0.408,0.408,0.406,0.406,50000,MYR
2013-06-05,0.427,0.427,0.413,0.413,20800,MYR
2013-06-07,0.417,0.427,0.417,0.427,316000,MYR
2013-06-10,0.434,0.434,0.432,0.432,120000,MYR
2013-06-11,0.434,0.439,0.434,0.434,44000,MYR
2013-06-12,0.429,0.429,0.427,0.427,68000,MYR
2013-06-13,0.436,0.436,0.436,0.436,36000,MYR
