Date,Open,High,Low,Close,Volume,Currency
2011-08-15,10.1,10.16,10.08,10.14,6486200,MYR
2011-08-16,10.18,10.24,10.02,10.1,3161900,MYR
2011-08-17,10.1,10.1,10.02,10.04,5405500,MYR
2011-08-18,10.14,10.14,9.97,9.98,5352500,MYR
2011-08-19,9.85,9.85,9.65,9.7,11566900,MYR
2011-08-22,9.68,9.69,9.49,9.51,8524000,MYR
2011-08-23,9.55,9.7,9.4,9.7,6516800,MYR
2011-08-24,9.8,9.8,9.52,9.52,5088000,MYR
2011-08-25,9.55,9.78,9.54,9.78,6124100,MYR
2011-08-26,9.73,9.73,9.43,9.46,4560600,MYR
2011-08-29,9.55,9.63,9.42,9.42,3173400,MYR
2011-09-02,9.59,9.65,9.53,9.65,11755300,MYR
2011-09-05,9.56,9.56,9.44,9.47,5549400,MYR
2011-09-06,9.41,9.67,9.4,9.55,7272800,MYR
2011-09-07,9.57,9.79,9.57,9.75,5211200,MYR
2011-09-08,9.76,9.84,9.71,9.84,3684400,MYR
2011-09-09,9.84,9.85,9.6,9.77,2419300,MYR
2011-09-12,9.6,9.68,9.47,9.47,3617600,MYR
2011-09-13,9.51,9.64,9.5,9.6,5961000,MYR
2011-09-14,9.68,9.71,9.4,9.44,5938600,MYR
2011-09-15,9.5,9.62,9.44,9.5,5396100,MYR
2011-09-19,9.53,9.57,9.42,9.49,3394100,MYR
2011-09-20,9.44,9.48,9.28,9.3,4063100,MYR
2011-09-21,9.34,9.39,9.28,9.3,3514600,MYR
2011-09-22,9.21,9.23,8.8,8.8,11784300,MYR
2011-09-23,8.6,8.82,8.51,8.61,12906300,MYR
2011-09-26,8.58,8.63,8.37,8.54,8718100,MYR
2011-09-27,8.62,9.01,8.62,8.95,9962800,MYR
2011-09-28,9.0,9.05,8.86,8.96,6137200,MYR
2011-09-29,8.9,9.33,8.86,9.33,4351300,MYR
2011-09-30,9.42,9.67,9.01,9.1,7626100,MYR
2011-10-03,9.0,9.08,8.84,9.0,4576800,MYR
2011-10-04,8.89,9.0,8.81,8.88,7918700,MYR
2011-10-05,8.9,9.0,8.82,9.0,3907500,MYR
2011-10-06,9.03,9.2,9.03,9.1,4663600,MYR
2011-10-07,9.23,9.28,9.11,9.13,3908800,MYR
2011-10-10,9.13,9.13,9.02,9.09,1110800,MYR
2011-10-11,9.25,9.5,9.19,9.5,6882900,MYR
2011-10-12,9.5,9.8,9.43,9.8,3558700,MYR
2011-10-13,9.81,10.04,9.81,10.02,7505800,MYR
2011-10-14,9.96,10.02,9.85,9.9,2620100,MYR
2011-10-17,9.96,10.12,9.96,10.12,3533500,MYR
2011-10-18,10.06,10.06,9.85,9.98,6184700,MYR
2011-10-19,10.04,10.12,10.0,10.12,2079100,MYR
2011-10-20,10.08,10.1,9.96,10.0,2662700,MYR
2011-10-21,10.0,10.0,9.75,9.75,3625600,MYR
2011-10-24,9.85,10.08,9.82,10.02,2985500,MYR
2011-10-25,10.06,10.1,9.92,9.99,2639200,MYR
2011-10-27,9.98,10.34,9.95,10.3,6294900,MYR
2011-10-28,10.5,10.72,10.42,10.6,8341200,MYR
2011-10-31,10.74,10.8,10.4,10.76,4766300,MYR
2011-11-01,10.58,10.62,10.4,10.4,3733600,MYR
2011-11-02,10.16,10.36,10.1,10.26,10586400,MYR
2011-11-03,10.3,10.36,10.22,10.36,2737400,MYR
2011-11-04,10.48,10.8,10.46,10.8,7278900,MYR
2011-11-08,10.84,10.88,10.72,10.86,6277100,MYR
2011-11-09,10.88,11.04,10.88,11.0,5788600,MYR
2011-11-10,10.72,10.86,10.68,10.68,5014800,MYR
2011-11-11,10.76,10.82,10.58,10.58,4886000,MYR
2011-11-14,10.72,10.78,10.64,10.7,4021600,MYR
2011-11-15,10.7,10.86,10.66,10.8,4938500,MYR
2011-11-16,10.8,10.98,10.8,10.88,6091000,MYR
2011-11-17,10.84,10.94,10.68,10.68,1771700,MYR
2011-11-18,10.68,10.72,10.6,10.6,7052300,MYR
2011-11-21,10.56,10.56,10.22,10.22,2802200,MYR
2011-11-22,10.16,10.28,10.14,10.22,3058400,MYR
2011-11-23,10.24,10.24,10.0,10.12,3222000,MYR
2011-11-24,10.04,10.3,10.0,10.28,2231900,MYR
2011-11-25,10.28,10.3,10.02,10.02,3723900,MYR
2011-11-29,10.3,10.6,10.2,10.5,10356400,MYR
2011-11-30,10.52,10.96,10.52,10.96,10690500,MYR
2011-12-01,11.0,11.06,10.68,10.7,4329600,MYR
2011-12-02,10.8,10.9,10.68,10.86,2391100,MYR
2011-12-05,10.92,10.92,10.82,10.92,1438100,MYR
2011-12-06,10.94,10.94,10.7,10.82,2685000,MYR
2011-12-07,10.82,10.94,10.76,10.76,6691300,MYR
2011-12-08,10.74,10.88,10.7,10.88,1359600,MYR
2011-12-09,10.68,10.74,10.58,10.62,1767400,MYR
2011-12-12,10.66,10.9,10.66,10.82,2448800,MYR
2011-12-13,10.68,10.74,10.58,10.64,2797600,MYR
2011-12-14,10.6,10.66,10.42,10.42,3598800,MYR
2011-12-15,10.34,10.48,10.24,10.34,4054300,MYR
2011-12-16,10.4,10.52,10.36,10.38,3002800,MYR
2011-12-19,10.38,10.54,10.34,10.54,2576400,MYR
2011-12-20,10.54,10.56,10.34,10.36,3662900,MYR
2011-12-21,10.52,10.7,10.52,10.62,3850000,MYR
2011-12-22,10.62,10.78,10.6,10.76,3093500,MYR
2011-12-23,10.72,10.88,10.72,10.88,2545900,MYR
2011-12-27,10.84,10.94,10.74,10.94,1476500,MYR
2011-12-28,10.9,10.98,10.86,10.96,1422700,MYR
2011-12-29,10.86,11.0,10.86,10.96,3291900,MYR
2011-12-30,10.96,11.0,10.92,11.0,3010200,MYR
2012-01-03,11.0,11.24,10.96,11.24,8117100,MYR
2012-01-04,11.3,11.32,11.02,11.14,3346200,MYR
2012-01-05,11.14,11.18,11.04,11.14,1930600,MYR
2012-01-06,11.06,11.24,11.02,11.24,2896400,MYR
2012-01-09,11.18,11.2,11.06,11.14,3592600,MYR
2012-01-10,11.1,11.16,10.9,10.9,4432000,MYR
2012-01-11,10.9,10.98,10.76,10.76,3731900,MYR
2012-01-12,10.78,10.96,10.76,10.96,2078200,MYR
2012-01-13,10.98,11.0,10.84,10.88,4653400,MYR
2012-01-16,10.78,10.82,10.56,10.56,3606300,MYR
2012-01-17,10.62,11.0,10.62,11.0,3099100,MYR
2012-01-18,11.0,11.1,10.84,11.0,3029800,MYR
2012-01-19,10.98,11.06,10.76,10.82,2334700,MYR
2012-01-20,10.8,11.0,10.8,10.98,2097900,MYR
2012-01-25,10.86,11.02,10.78,10.9,2241400,MYR
2012-01-26,10.92,11.0,10.82,11.0,2613900,MYR
2012-01-27,10.98,11.16,10.92,11.16,3887200,MYR
2012-01-30,11.0,11.18,10.88,10.9,3108400,MYR
2012-01-31,10.92,11.12,10.88,11.12,5001100,MYR
2012-02-02,11.2,11.26,11.08,11.16,8692600,MYR
2012-02-03,11.16,11.18,10.96,11.0,4718300,MYR
2012-02-08,11.0,11.0,10.5,10.5,12481400,MYR
2012-02-09,10.68,10.74,10.42,10.46,21029500,MYR
2012-02-10,10.36,10.44,10.22,10.3,22018400,MYR
2012-02-13,10.32,10.54,10.32,10.5,5391100,MYR
2012-02-14,10.56,10.58,10.48,10.54,3758800,MYR
2012-02-15,10.56,10.64,10.44,10.54,6043800,MYR
2012-02-16,10.52,10.58,10.5,10.52,3542000,MYR
2012-02-17,10.66,10.72,10.54,10.64,2830300,MYR
2012-02-20,10.62,10.74,10.62,10.7,1688000,MYR
2012-02-21,10.7,10.78,10.66,10.74,1246300,MYR
2012-02-22,10.74,10.96,10.7,10.84,7274700,MYR
2012-02-23,10.88,10.92,10.72,10.72,4101000,MYR
2012-02-24,10.66,10.7,10.46,10.46,7224700,MYR
2012-02-27,10.5,10.58,10.42,10.44,4621200,MYR
2012-02-28,10.48,10.54,10.36,10.54,3344500,MYR
2012-02-29,10.58,10.78,10.52,10.6,7489100,MYR
2012-03-01,10.62,10.66,10.46,10.46,3334400,MYR
2012-03-02,10.56,10.6,10.5,10.6,2189400,MYR
2012-03-05,10.56,10.76,10.56,10.76,3182200,MYR
2012-03-06,10.76,10.92,10.66,10.92,8084400,MYR
2012-03-07,10.72,10.8,10.72,10.74,2687400,MYR
2012-03-08,10.76,10.84,10.74,10.8,2431900,MYR
2012-03-09,10.8,10.92,10.74,10.78,2402200,MYR
2012-03-12,10.8,10.8,10.72,10.76,2734100,MYR
2012-03-13,10.78,10.82,10.72,10.78,4930300,MYR
2012-03-14,10.8,10.88,10.78,10.86,5298100,MYR
2012-03-15,10.8,10.84,10.78,10.8,2860700,MYR
2012-03-16,10.78,10.8,10.64,10.64,2673400,MYR
2012-03-19,10.68,10.72,10.6,10.64,2319700,MYR
2012-03-20,10.14,10.24,10.14,10.2,2792700,MYR
2012-03-21,10.12,10.24,10.12,10.2,4272600,MYR
2012-03-22,10.2,10.29,10.2,10.26,2150700,MYR
2012-03-23,10.29,10.48,10.29,10.48,12432200,MYR
2012-03-26,10.5,10.62,10.5,10.52,6165700,MYR
2012-03-27,10.58,10.6,10.54,10.58,3951400,MYR
2012-03-28,10.56,10.6,10.52,10.58,3955700,MYR
