Date,Open,High,Low,Close,Volume,Currency
2013-03-15,0.165,0.18,0.165,0.165,6000,MYR
2013-03-18,0.17,0.17,0.17,0.17,1000,MYR
2013-03-20,0.175,0.175,0.175,0.175,13000,MYR
2013-03-21,0.175,0.175,0.175,0.175,2900,MYR
2013-03-22,0.175,0.175,0.175,0.175,30000,MYR
2013-03-27,0.17,0.17,0.17,0.17,50000,MYR
2013-04-03,0.17,0.17,0.17,0.17,17700,MYR
2013-04-04,0.17,0.17,0.17,0.17,31000,MYR
2013-04-09,0.17,0.17,0.17,0.17,4200,MYR
2013-04-10,0.165,0.165,0.165,0.165,25000,MYR
2013-04-11,0.165,0.165,0.165,0.165,33000,MYR
2013-04-15,0.16,0.16,0.155,0.155,25000,MYR
2013-04-17,0.155,0.18,0.155,0.16,4000,MYR
2013-04-19,0.155,0.18,0.155,0.18,28100,MYR
2013-04-26,0.15,0.19,0.15,0.19,35300,MYR
2013-04-30,0.155,0.155,0.15,0.155,20000,MYR
2013-05-02,0.15,0.16,0.145,0.15,43000,MYR
2013-05-07,0.145,0.145,0.145,0.145,1500,MYR
2013-05-08,0.15,0.15,0.15,0.15,1000,MYR
2013-05-10,0.15,0.195,0.15,0.155,4000,MYR
2013-05-13,0.16,0.24,0.16,0.165,70200,MYR
2013-05-15,0.17,0.17,0.17,0.17,3000,MYR
2013-05-16,0.175,0.175,0.175,0.175,2000,MYR
2013-05-20,0.175,0.175,0.175,0.175,135000,MYR
2013-05-21,0.2,0.2,0.19,0.19,70000,MYR
2013-05-22,0.185,0.19,0.185,0.19,31900,MYR
2013-05-29,0.17,0.18,0.17,0.175,175000,MYR
2013-05-30,0.18,0.18,0.175,0.18,110000,MYR
2013-05-31,0.18,0.18,0.18,0.18,25000,MYR
2013-06-03,0.18,0.185,0.18,0.185,150000,MYR
2013-06-06,0.18,0.18,0.18,0.18,50000,MYR
2013-06-07,0.18,0.18,0.18,0.18,5000,MYR
2013-06-10,0.19,0.235,0.19,0.215,134900,MYR
2013-06-11,0.21,0.21,0.21,0.21,64900,MYR
2013-06-12,0.21,0.215,0.205,0.205,311700,MYR
2013-06-13,0.21,0.21,0.195,0.21,716900,MYR
2013-06-14,0.21,0.21,0.205,0.205,287800,MYR
2013-06-17,0.21,0.235,0.21,0.235,715200,MYR
2013-06-18,0.23,0.23,0.225,0.225,297700,MYR
2013-06-19,0.225,0.225,0.22,0.22,99300,MYR
2013-06-20,0.205,0.205,0.2,0.2,81000,MYR
2013-06-21,0.22,0.22,0.2,0.21,110000,MYR
2013-06-24,0.195,0.22,0.195,0.22,80200,MYR
2013-06-25,0.19,0.22,0.19,0.22,40300,MYR
2013-06-26,0.19,0.19,0.18,0.18,30000,MYR
2013-06-27,0.215,0.215,0.195,0.195,54000,MYR
2013-07-01,0.19,0.21,0.19,0.21,16000,MYR
2013-07-02,0.19,0.19,0.18,0.18,26000,MYR
2013-07-08,0.185,0.205,0.185,0.205,58500,MYR
2013-07-12,0.2,0.21,0.195,0.21,49500,MYR
2013-07-16,0.185,0.195,0.185,0.195,51000,MYR
2013-07-17,0.195,0.195,0.185,0.19,61000,MYR
