Date,Open,High,Low,Close,Volume,Currency
2013-04-03,0.37,0.37,0.37,0.37,3000,MYR
2013-04-17,0.355,0.39,0.355,0.39,1500,MYR
2013-04-23,0.355,0.385,0.355,0.385,7100,MYR
2013-04-25,0.355,0.38,0.355,0.38,7700,MYR
2013-04-26,0.355,0.38,0.355,0.38,8700,MYR
2013-05-02,0.36,0.37,0.36,0.37,11000,MYR
2013-05-03,0.35,0.355,0.345,0.355,35000,MYR
2013-05-06,0.36,0.36,0.36,0.36,5000,MYR
2013-05-07,0.395,0.395,0.35,0.36,20900,MYR
2013-05-08,0.36,0.36,0.36,0.36,10000,MYR
2013-05-09,0.34,0.37,0.34,0.37,40400,MYR
2013-05-10,0.37,0.37,0.37,0.37,20000,MYR
2013-05-13,0.38,0.38,0.38,0.38,20000,MYR
2013-05-15,0.38,0.38,0.38,0.38,6000,MYR
2013-05-16,0.36,0.38,0.36,0.38,6000,MYR
2013-05-17,0.38,0.38,0.38,0.38,60000,MYR
2013-05-20,0.38,0.38,0.36,0.38,56500,MYR
2013-05-21,0.4,0.43,0.395,0.41,152000,MYR
2013-05-22,0.4,0.43,0.4,0.4,64900,MYR
2013-05-23,0.38,0.38,0.375,0.375,110000,MYR
2013-05-27,0.37,0.38,0.36,0.38,108000,MYR
2013-05-28,0.36,0.37,0.355,0.37,311700,MYR
2013-05-29,0.36,0.37,0.36,0.37,219700,MYR
2013-05-30,0.36,0.365,0.355,0.365,126000,MYR
2013-05-31,0.365,0.365,0.36,0.365,40100,MYR
2013-06-03,0.36,0.36,0.36,0.36,31300,MYR
2013-06-04,0.355,0.365,0.355,0.365,61100,MYR
2013-06-05,0.355,0.365,0.355,0.365,26600,MYR
2013-06-06,0.365,0.395,0.365,0.395,16100,MYR
2013-06-10,0.37,0.37,0.37,0.37,5000,MYR
2013-06-11,0.36,0.37,0.36,0.37,33000,MYR
2013-06-12,0.35,0.365,0.35,0.365,66000,MYR
2013-06-14,0.355,0.365,0.355,0.365,21000,MYR
2013-06-17,0.355,0.365,0.35,0.365,67000,MYR
2013-06-18,0.355,0.365,0.355,0.365,12500,MYR
2013-06-19,0.36,0.37,0.36,0.37,8600,MYR
2013-06-21,0.35,0.365,0.35,0.365,11500,MYR
2013-06-26,0.36,0.365,0.35,0.35,33000,MYR
2013-06-27,0.365,0.365,0.355,0.365,39000,MYR
2013-06-28,0.365,0.365,0.36,0.36,50500,MYR
2013-07-01,0.365,0.37,0.365,0.37,21000,MYR
2013-07-02,0.365,0.365,0.365,0.365,32500,MYR
