Date,Open,High,Low,Close,Volume,Currency
2013-03-27,0.07,0.07,0.065,0.07,2378600,MYR
2013-03-28,0.065,0.07,0.065,0.07,3129100,MYR
2013-03-29,0.07,0.07,0.065,0.07,382000,MYR
2013-04-01,0.065,0.07,0.065,0.07,737600,MYR
2013-04-02,0.065,0.065,0.065,0.065,2991300,MYR
2013-04-03,0.065,0.07,0.065,0.07,6561800,MYR
2013-04-04,0.065,0.07,0.065,0.065,847500,MYR
2013-04-05,0.065,0.065,0.065,0.065,373700,MYR
2013-04-08,0.07,0.07,0.065,0.07,921100,MYR
2013-04-09,0.07,0.07,0.065,0.07,306500,MYR
2013-04-10,0.065,0.065,0.065,0.065,155800,MYR
2013-04-11,0.065,0.07,0.065,0.07,625800,MYR
2013-04-12,0.065,0.07,0.065,0.065,53800,MYR
2013-04-15,0.07,0.07,0.065,0.065,291100,MYR
2013-04-16,0.065,0.065,0.065,0.065,2899900,MYR
2013-04-17,0.065,0.065,0.065,0.065,293800,MYR
2013-04-18,0.065,0.07,0.065,0.065,341500,MYR
2013-04-19,0.07,0.07,0.065,0.065,658300,MYR
2013-04-22,0.065,0.07,0.065,0.07,683500,MYR
2013-04-23,0.065,0.07,0.065,0.07,407000,MYR
2013-04-24,0.07,0.07,0.065,0.065,527600,MYR
2013-04-25,0.065,0.065,0.06,0.06,2669600,MYR
2013-04-26,0.065,0.065,0.065,0.065,1639400,MYR
2013-04-29,0.06,0.065,0.06,0.065,294000,MYR
2013-04-30,0.06,0.065,0.06,0.06,145100,MYR
2013-05-02,0.06,0.065,0.06,0.065,7568400,MYR
2013-05-03,0.06,0.065,0.06,0.06,2337300,MYR
2013-05-06,0.065,0.07,0.065,0.07,2488900,MYR
2013-05-07,0.065,0.07,0.065,0.065,1189800,MYR
2013-05-08,0.065,0.07,0.065,0.07,478400,MYR
2013-05-09,0.065,0.065,0.065,0.065,127000,MYR
2013-05-10,0.065,0.07,0.065,0.065,2500300,MYR
2013-05-13,0.07,0.075,0.065,0.07,9323900,MYR
2013-05-14,0.07,0.075,0.07,0.07,2491300,MYR
2013-05-15,0.075,0.075,0.07,0.075,1874800,MYR
2013-05-16,0.075,0.08,0.07,0.07,30792100,MYR
2013-05-17,0.07,0.075,0.07,0.07,1509100,MYR
2013-05-20,0.075,0.075,0.07,0.075,24955000,MYR
2013-05-21,0.075,0.08,0.075,0.075,53957300,MYR
2013-05-22,0.075,0.08,0.075,0.075,9426600,MYR
2013-05-23,0.075,0.075,0.07,0.075,2838800,MYR
2013-05-27,0.07,0.075,0.07,0.075,708000,MYR
2013-05-28,0.07,0.075,0.07,0.07,2526000,MYR
2013-05-29,0.075,0.075,0.07,0.07,2414500,MYR
2013-05-30,0.07,0.075,0.07,0.07,1426800,MYR
2013-05-31,0.07,0.075,0.07,0.075,1165800,MYR
2013-06-03,0.07,0.07,0.065,0.07,9858800,MYR
2013-06-04,0.07,0.07,0.065,0.065,187000,MYR
2013-06-05,0.07,0.07,0.07,0.07,110000,MYR
2013-06-06,0.065,0.07,0.065,0.07,2547100,MYR
2013-06-07,0.065,0.07,0.065,0.07,336000,MYR
2013-06-10,0.065,0.07,0.065,0.07,536700,MYR
2013-06-11,0.07,0.07,0.065,0.07,1836400,MYR
2013-06-12,0.065,0.07,0.065,0.07,416700,MYR
2013-06-13,0.065,0.07,0.065,0.065,21292600,MYR
2013-06-14,0.065,0.07,0.065,0.065,7550400,MYR
2013-06-17,0.065,0.07,0.065,0.07,1020000,MYR
2013-06-18,0.065,0.07,0.065,0.065,540100,MYR
2013-06-19,0.065,0.065,0.065,0.065,3612500,MYR
2013-06-20,0.065,0.065,0.065,0.065,2754900,MYR
2013-06-21,0.065,0.07,0.06,0.07,1060100,MYR
2013-06-24,0.065,0.07,0.065,0.07,1484900,MYR
2013-06-25,0.065,0.07,0.06,0.065,665000,MYR
2013-06-26,0.065,0.07,0.06,0.07,1123300,MYR
2013-06-27,0.065,0.065,0.06,0.06,495000,MYR
2013-06-28,0.065,0.065,0.06,0.065,1241200,MYR
2013-07-01,0.06,0.065,0.06,0.065,292400,MYR
2013-07-02,0.065,0.065,0.06,0.065,913100,MYR
2013-07-03,0.06,0.065,0.06,0.065,2945000,MYR
2013-07-04,0.065,0.065,0.06,0.065,510100,MYR
2013-07-05,0.065,0.07,0.06,0.07,1738200,MYR
2013-07-08,0.065,0.065,0.06,0.06,1403900,MYR
2013-07-09,0.065,0.065,0.06,0.065,182700,MYR
2013-07-10,0.065,0.065,0.06,0.065,354000,MYR
2013-07-11,0.065,0.065,0.06,0.065,411700,MYR
2013-07-12,0.065,0.065,0.06,0.065,1036800,MYR
2013-07-15,0.065,0.065,0.06,0.06,138100,MYR
2013-07-16,0.06,0.065,0.06,0.065,1394600,MYR
2013-07-17,0.06,0.065,0.06,0.06,229400,MYR
2013-07-18,0.06,0.065,0.06,0.06,599400,MYR
2013-07-19,0.06,0.065,0.06,0.065,637600,MYR
2013-07-22,0.065,0.065,0.06,0.06,1877000,MYR
2013-07-23,0.06,0.065,0.06,0.065,377900,MYR
2013-07-24,0.06,0.07,0.06,0.065,11708500,MYR
2013-07-25,0.065,0.07,0.065,0.07,1952100,MYR
2013-07-26,0.065,0.07,0.065,0.07,50200,MYR
2013-07-29,0.065,0.065,0.065,0.065,1712700,MYR
2013-07-30,0.065,0.07,0.065,0.065,1353200,MYR
2013-07-31,0.065,0.07,0.065,0.07,1998500,MYR
2013-08-01,0.065,0.07,0.065,0.07,892800,MYR
2013-08-02,0.065,0.07,0.065,0.07,2258800,MYR
2013-08-05,0.065,0.065,0.065,0.065,1064000,MYR
2013-08-06,0.065,0.07,0.065,0.065,730000,MYR
2013-08-07,0.07,0.07,0.065,0.065,135500,MYR
2013-08-12,0.065,0.07,0.065,0.07,1295300,MYR
2013-08-13,0.065,0.07,0.065,0.07,5800200,MYR
2013-08-14,0.065,0.07,0.065,0.07,1127900,MYR
2013-08-15,0.07,0.07,0.065,0.065,878000,MYR
2013-08-16,0.065,0.07,0.065,0.065,481200,MYR
2013-08-19,0.065,0.07,0.065,0.065,1497500,MYR
2013-08-20,0.07,0.07,0.065,0.065,2740600,MYR
2013-08-21,0.065,0.065,0.06,0.065,84000,MYR
2013-08-22,0.06,0.065,0.06,0.065,1225200,MYR
2013-08-23,0.06,0.065,0.06,0.065,706800,MYR
2013-08-26,0.065,0.065,0.06,0.065,1418500,MYR
