Date,Open,High,Low,Close,Volume,Currency
2013-03-27,0.265,0.265,0.26,0.265,62000,MYR
2013-03-28,0.26,0.26,0.26,0.26,39000,MYR
2013-03-29,0.26,0.26,0.26,0.26,23000,MYR
2013-04-02,0.265,0.28,0.265,0.28,105000,MYR
2013-04-03,0.26,0.28,0.26,0.28,155100,MYR
2013-04-04,0.26,0.26,0.26,0.26,14000,MYR
2013-04-05,0.275,0.29,0.27,0.29,262900,MYR
2013-04-08,0.295,0.305,0.29,0.3,701000,MYR
2013-04-09,0.305,0.305,0.295,0.295,205900,MYR
2013-04-10,0.29,0.29,0.28,0.29,182000,MYR
2013-04-11,0.285,0.29,0.285,0.29,25000,MYR
2013-04-12,0.285,0.285,0.28,0.285,127800,MYR
2013-04-15,0.285,0.285,0.285,0.285,71000,MYR
2013-04-16,0.28,0.285,0.275,0.285,107800,MYR
2013-04-18,0.285,0.285,0.285,0.285,20000,MYR
2013-04-19,0.29,0.29,0.29,0.29,36000,MYR
2013-04-22,0.29,0.29,0.285,0.285,40000,MYR
2013-04-23,0.285,0.3,0.285,0.29,31100,MYR
2013-04-24,0.285,0.295,0.285,0.295,102300,MYR
2013-04-25,0.29,0.295,0.29,0.295,20100,MYR
2013-04-26,0.29,0.295,0.29,0.295,16000,MYR
2013-04-29,0.29,0.29,0.285,0.285,44200,MYR
2013-04-30,0.295,0.295,0.28,0.29,128000,MYR
2013-05-02,0.28,0.29,0.28,0.29,76000,MYR
2013-05-03,0.285,0.285,0.285,0.285,71500,MYR
2013-05-06,0.29,0.29,0.285,0.29,102600,MYR
2013-05-07,0.285,0.295,0.285,0.29,54000,MYR
2013-05-08,0.29,0.295,0.29,0.29,93000,MYR
2013-05-09,0.3,0.3,0.3,0.3,174000,MYR
2013-05-10,0.305,0.31,0.3,0.31,485400,MYR
2013-05-13,0.315,0.33,0.31,0.325,580200,MYR
2013-05-14,0.33,0.33,0.32,0.325,445900,MYR
2013-05-15,0.33,0.34,0.325,0.34,588500,MYR
2013-05-16,0.34,0.34,0.33,0.34,258200,MYR
2013-05-17,0.335,0.35,0.325,0.345,925300,MYR
2013-05-20,0.35,0.37,0.35,0.37,1377700,MYR
2013-05-21,0.42,0.495,0.42,0.475,10381900,MYR
2013-05-22,0.52,0.55,0.47,0.495,8657900,MYR
2013-05-23,0.505,0.505,0.435,0.455,2752300,MYR
2013-05-27,0.465,0.53,0.45,0.52,3671400,MYR
2013-05-28,0.525,0.535,0.505,0.51,4129600,MYR
2013-05-29,0.515,0.53,0.505,0.505,3218700,MYR
2013-05-30,0.505,0.505,0.465,0.495,1750800,MYR
2013-05-31,0.495,0.505,0.475,0.485,1301400,MYR
2013-06-03,0.48,0.485,0.47,0.475,1157000,MYR
2013-06-04,0.485,0.485,0.47,0.48,1199000,MYR
2013-06-05,0.47,0.48,0.465,0.47,986200,MYR
2013-06-06,0.465,0.465,0.44,0.44,1261000,MYR
2013-06-07,0.45,0.465,0.445,0.46,919200,MYR
2013-06-10,0.47,0.475,0.465,0.465,875000,MYR
2013-06-11,0.47,0.49,0.465,0.465,1138400,MYR
2013-06-12,0.46,0.47,0.455,0.46,231200,MYR
2013-06-13,0.46,0.46,0.44,0.44,541000,MYR
2013-06-14,0.455,0.465,0.445,0.455,392200,MYR
2013-06-17,0.45,0.455,0.44,0.45,320600,MYR
2013-06-18,0.45,0.45,0.44,0.445,768300,MYR
2013-06-19,0.445,0.45,0.44,0.44,489800,MYR
2013-06-20,0.435,0.435,0.41,0.415,851800,MYR
2013-06-21,0.4,0.41,0.4,0.405,556600,MYR
2013-06-24,0.405,0.41,0.375,0.38,618000,MYR
2013-06-25,0.38,0.395,0.38,0.385,614900,MYR
2013-06-26,0.39,0.4,0.385,0.4,597900,MYR
2013-06-27,0.4,0.415,0.4,0.41,482400,MYR
2013-06-28,0.42,0.42,0.41,0.41,509000,MYR
2013-07-01,0.41,0.41,0.39,0.4,158000,MYR
2013-07-02,0.405,0.405,0.395,0.395,43000,MYR
2013-07-03,0.395,0.4,0.395,0.395,401300,MYR
2013-07-04,0.39,0.4,0.39,0.4,285100,MYR
2013-07-05,0.4,0.43,0.4,0.43,1066600,MYR
2013-07-08,0.44,0.44,0.41,0.415,528100,MYR
2013-07-09,0.42,0.42,0.415,0.415,147300,MYR
2013-07-10,0.415,0.43,0.415,0.42,379100,MYR
2013-07-11,0.42,0.42,0.405,0.415,287600,MYR
