Date,Open,High,Low,Close,Volume,Currency
2013-03-27,0.38,0.403,0.38,0.403,121660,MYR
2013-03-28,0.395,0.395,0.376,0.383,366010,MYR
2013-03-29,0.391,0.391,0.387,0.391,63520,MYR
2013-04-01,0.391,0.391,0.391,0.391,48560,MYR
2013-04-02,0.387,0.399,0.387,0.391,143130,MYR
2013-04-03,0.395,0.395,0.383,0.387,205500,MYR
2013-04-04,0.391,0.395,0.391,0.395,19170,MYR
2013-04-05,0.399,0.415,0.399,0.407,521420,MYR
2013-04-08,0.415,0.426,0.411,0.426,958230,MYR
2013-04-09,0.426,0.43,0.415,0.415,140710,MYR
2013-04-10,0.411,0.411,0.407,0.407,53550,MYR
2013-04-11,0.415,0.422,0.407,0.415,350550,MYR
2013-04-12,0.415,0.415,0.403,0.403,193870,MYR
2013-04-15,0.411,0.415,0.407,0.411,141470,MYR
2013-04-16,0.403,0.419,0.403,0.419,327290,MYR
2013-04-17,0.415,0.419,0.411,0.415,149520,MYR
2013-04-18,0.407,0.407,0.407,0.407,10740,MYR
2013-04-19,0.407,0.415,0.407,0.415,193230,MYR
2013-04-22,0.403,0.411,0.403,0.407,211250,MYR
2013-04-23,0.403,0.403,0.395,0.399,314380,MYR
2013-04-24,0.415,0.415,0.399,0.403,175470,MYR
2013-04-25,0.399,0.411,0.395,0.411,85750,MYR
2013-04-26,0.403,0.407,0.399,0.407,250610,MYR
2013-04-29,0.391,0.403,0.391,0.403,122690,MYR
2013-04-30,0.383,0.395,0.383,0.395,158210,MYR
2013-05-02,0.38,0.391,0.38,0.391,139940,MYR
2013-05-03,0.376,0.391,0.376,0.383,443590,MYR
2013-05-06,0.395,0.415,0.395,0.415,290360,MYR
2013-05-07,0.415,0.434,0.411,0.434,1283350,MYR
2013-05-08,0.434,0.438,0.419,0.426,647170,MYR
2013-05-09,0.43,0.446,0.422,0.446,726790,MYR
2013-05-10,0.45,0.477,0.43,0.466,1479520,MYR
2013-05-13,0.473,0.497,0.473,0.481,2958520,MYR
2013-05-14,0.485,0.485,0.462,0.466,1104300,MYR
2013-05-15,0.477,0.485,0.469,0.473,475920,MYR
2013-05-16,0.466,0.469,0.466,0.469,148760,MYR
2013-05-17,0.462,0.493,0.462,0.489,3019220,MYR
2013-05-20,0.505,0.524,0.493,0.516,6192190,MYR
2013-05-21,0.52,0.559,0.52,0.544,10548940,MYR
2013-05-22,0.548,0.559,0.524,0.528,4385640,MYR
2013-05-23,0.528,0.532,0.497,0.497,2482090,MYR
2013-05-27,0.509,0.556,0.501,0.552,5165590,MYR
