Date,Open,High,Low,Close,Volume,Currency
2014-09-05,0.145,0.15,0.14,0.145,1502600,MYR
2014-09-08,0.14,0.145,0.14,0.14,754900,MYR
2014-09-09,0.14,0.14,0.135,0.14,750000,MYR
2014-09-10,0.14,0.145,0.14,0.145,910600,MYR
2014-09-11,0.14,0.15,0.14,0.14,948200,MYR
2014-09-12,0.145,0.16,0.145,0.16,3491900,MYR
2014-09-15,0.165,0.17,0.16,0.17,4223800,MYR
2014-09-17,0.165,0.18,0.165,0.18,3908800,MYR
2014-09-18,0.18,0.18,0.17,0.175,2139500,MYR
2014-09-19,0.175,0.18,0.17,0.175,1999000,MYR
2014-09-22,0.175,0.195,0.175,0.19,10696700,MYR
2014-09-23,0.19,0.19,0.185,0.185,2432500,MYR
2014-09-24,0.185,0.185,0.17,0.18,2599200,MYR
2014-09-25,0.18,0.18,0.17,0.17,1177000,MYR
2014-09-26,0.17,0.19,0.17,0.19,7040800,MYR
2014-09-29,0.195,0.195,0.18,0.185,7944300,MYR
2014-09-30,0.185,0.19,0.18,0.18,2805900,MYR
2014-10-01,0.175,0.18,0.165,0.17,2719900,MYR
2014-10-02,0.17,0.17,0.16,0.165,1681900,MYR
2014-10-03,0.165,0.17,0.16,0.165,2615000,MYR
2014-10-07,0.165,0.17,0.15,0.155,1572500,MYR
2014-10-08,0.15,0.15,0.14,0.145,2265800,MYR
2014-10-09,0.145,0.155,0.145,0.155,676000,MYR
2014-10-10,0.15,0.15,0.145,0.145,1638600,MYR
2014-10-13,0.145,0.15,0.145,0.15,335000,MYR
2014-10-14,0.145,0.15,0.14,0.145,1336900,MYR
2014-10-15,0.145,0.15,0.14,0.145,1544300,MYR
2014-10-16,0.14,0.145,0.135,0.135,1236000,MYR
2014-10-17,0.14,0.145,0.135,0.145,879600,MYR
2014-10-20,0.15,0.15,0.14,0.145,445500,MYR
2014-10-21,0.14,0.15,0.14,0.15,1070000,MYR
2014-10-23,0.145,0.145,0.135,0.14,1355500,MYR
2014-10-24,0.14,0.145,0.14,0.14,220900,MYR
2014-10-27,0.145,0.15,0.145,0.15,323900,MYR
2014-10-28,0.145,0.145,0.14,0.145,171800,MYR
2014-10-29,0.145,0.155,0.14,0.15,1970200,MYR
2014-10-30,0.145,0.165,0.145,0.16,3118000,MYR
2014-10-31,0.16,0.165,0.155,0.16,2029100,MYR
2014-11-03,0.16,0.16,0.15,0.155,573200,MYR
2014-11-04,0.15,0.155,0.15,0.155,633100,MYR
2014-11-05,0.15,0.155,0.145,0.145,707500,MYR
2014-11-06,0.15,0.155,0.145,0.155,1049500,MYR
2014-11-07,0.155,0.165,0.155,0.16,2942600,MYR
2014-11-10,0.16,0.175,0.155,0.17,17610300,MYR
2014-11-11,0.17,0.17,0.16,0.165,2606700,MYR
2014-11-12,0.165,0.165,0.155,0.16,845600,MYR
2014-11-13,0.16,0.16,0.15,0.155,1113800,MYR
2014-11-14,0.15,0.155,0.145,0.145,2554300,MYR
2014-11-17,0.145,0.15,0.145,0.145,2232000,MYR
2014-11-18,0.145,0.15,0.145,0.15,285800,MYR
2014-11-19,0.15,0.155,0.145,0.15,1460400,MYR
2014-11-20,0.145,0.15,0.145,0.15,678800,MYR
2014-11-21,0.145,0.15,0.145,0.15,398200,MYR
2014-11-24,0.15,0.155,0.15,0.15,561500,MYR
2014-11-25,0.15,0.15,0.145,0.15,360100,MYR
2014-11-26,0.145,0.15,0.145,0.15,349400,MYR
2014-11-27,0.145,0.145,0.14,0.145,1060800,MYR
2014-11-28,0.14,0.14,0.135,0.14,1442800,MYR
2014-12-01,0.135,0.135,0.12,0.135,1271000,MYR
2014-12-02,0.135,0.14,0.13,0.135,573500,MYR
2014-12-03,0.13,0.13,0.13,0.13,410000,MYR
2014-12-04,0.135,0.135,0.125,0.125,155000,MYR
2014-12-05,0.125,0.13,0.125,0.13,317000,MYR
2014-12-08,0.13,0.13,0.125,0.13,300000,MYR
2014-12-09,0.125,0.13,0.125,0.125,296200,MYR
2014-12-10,0.13,0.13,0.125,0.125,892200,MYR
2014-12-11,0.125,0.13,0.125,0.13,630000,MYR
2014-12-12,0.125,0.125,0.125,0.125,923800,MYR
2014-12-15,0.125,0.125,0.115,0.115,820300,MYR
2014-12-16,0.115,0.115,0.115,0.115,571700,MYR
2014-12-17,0.12,0.12,0.12,0.12,500,MYR
2014-12-18,0.125,0.125,0.12,0.12,955000,MYR
2014-12-19,0.125,0.135,0.12,0.125,818700,MYR
2014-12-22,0.125,0.13,0.125,0.13,310000,MYR
2014-12-23,0.125,0.13,0.125,0.13,357900,MYR
2014-12-24,0.125,0.13,0.125,0.13,600100,MYR
2014-12-26,0.125,0.13,0.125,0.13,489000,MYR
2014-12-29,0.13,0.145,0.13,0.145,1343000,MYR
2014-12-30,0.145,0.155,0.14,0.145,8324500,MYR
2014-12-31,0.14,0.14,0.135,0.14,640700,MYR
2015-01-02,0.14,0.145,0.14,0.145,87000,MYR
2015-01-05,0.14,0.14,0.13,0.135,956200,MYR
2015-01-06,0.13,0.13,0.125,0.13,1167100,MYR
2015-01-07,0.125,0.13,0.125,0.125,340000,MYR
2015-01-08,0.125,0.13,0.125,0.13,630000,MYR
2015-01-09,0.13,0.13,0.13,0.13,682000,MYR
2015-01-12,0.125,0.125,0.125,0.125,253100,MYR
2015-01-13,0.13,0.135,0.13,0.13,2326100,MYR
2015-01-14,0.135,0.14,0.135,0.14,1374600,MYR
