Date,Open,High,Low,Close,Volume,Currency
2013-03-28,0.77,0.77,0.76,0.76,30000,MYR
2013-03-29,0.76,0.76,0.76,0.76,76500,MYR
2013-04-01,0.76,0.8,0.76,0.8,200600,MYR
2013-04-02,0.79,0.79,0.75,0.79,240000,MYR
2013-04-03,0.765,0.785,0.765,0.78,40000,MYR
2013-04-04,0.765,0.775,0.765,0.765,8700,MYR
2013-04-05,0.76,0.8,0.76,0.8,41300,MYR
2013-04-08,0.795,0.8,0.795,0.8,68000,MYR
2013-04-09,0.78,0.78,0.78,0.78,29000,MYR
2013-04-10,0.8,0.8,0.8,0.8,43000,MYR
2013-04-11,0.8,0.8,0.77,0.8,67000,MYR
2013-04-12,0.79,0.8,0.785,0.8,33000,MYR
2013-04-16,0.79,0.8,0.79,0.8,59300,MYR
2013-04-17,0.79,0.79,0.79,0.79,10000,MYR
2013-04-18,0.79,0.79,0.79,0.79,10000,MYR
2013-04-19,0.79,0.8,0.79,0.8,32800,MYR
2013-04-22,0.8,0.8,0.76,0.77,61100,MYR
2013-04-23,0.795,0.81,0.795,0.8,125000,MYR
2013-04-24,0.795,0.795,0.795,0.795,1000,MYR
2013-04-25,0.78,0.785,0.78,0.785,17000,MYR
2013-04-26,0.78,0.8,0.78,0.8,46000,MYR
2013-04-29,0.785,0.785,0.785,0.785,34100,MYR
2013-04-30,0.785,0.79,0.755,0.755,26300,MYR
2013-05-02,0.755,0.79,0.755,0.78,45000,MYR
2013-05-03,0.77,0.77,0.765,0.765,51000,MYR
2013-05-06,0.8,0.8,0.78,0.78,72400,MYR
2013-05-07,0.795,0.8,0.795,0.795,23800,MYR
2013-05-08,0.795,0.795,0.78,0.78,74700,MYR
2013-05-09,0.78,0.785,0.78,0.785,14500,MYR
2013-05-10,0.775,0.785,0.775,0.78,21000,MYR
2013-05-13,0.8,0.825,0.8,0.8,70900,MYR
2013-05-14,0.78,0.8,0.78,0.78,31500,MYR
2013-05-15,0.785,0.8,0.785,0.79,14700,MYR
2013-05-16,0.78,0.795,0.78,0.795,15500,MYR
2013-05-17,0.79,0.79,0.79,0.79,2000,MYR
2013-05-20,0.8,0.81,0.8,0.805,50000,MYR
2013-05-21,0.8,0.8,0.8,0.8,41000,MYR
2013-05-22,0.8,0.81,0.8,0.8,60000,MYR
2013-05-23,0.79,0.79,0.785,0.79,63000,MYR
2013-05-27,0.805,0.805,0.8,0.8,64300,MYR
2013-05-28,0.805,0.805,0.8,0.8,51000,MYR
2013-05-29,0.8,0.83,0.8,0.81,206000,MYR
2013-05-30,0.81,0.81,0.8,0.8,44000,MYR
2013-05-31,0.8,0.8,0.8,0.8,32000,MYR
2013-06-03,0.8,0.8,0.79,0.79,73100,MYR
2013-06-04,0.795,0.795,0.795,0.795,2000,MYR
2013-06-05,0.8,0.8,0.785,0.795,74000,MYR
2013-06-06,0.78,0.8,0.78,0.8,9000,MYR
2013-06-10,0.8,0.8,0.79,0.79,34000,MYR
2013-06-11,0.805,0.805,0.795,0.795,89700,MYR
2013-06-12,0.78,0.785,0.78,0.785,16000,MYR
2013-06-13,0.785,0.785,0.785,0.785,20000,MYR
2013-06-14,0.79,0.8,0.785,0.79,44800,MYR
2013-06-17,0.785,0.805,0.785,0.8,30000,MYR
2013-06-18,0.8,0.8,0.8,0.8,15000,MYR
2013-06-19,0.8,0.805,0.795,0.805,102100,MYR
2013-06-21,0.8,0.8,0.8,0.8,10000,MYR
2013-06-24,0.78,0.78,0.78,0.78,41400,MYR
2013-06-25,0.78,0.78,0.745,0.745,29600,MYR
2013-06-26,0.745,0.745,0.74,0.74,20000,MYR
2013-06-27,0.73,0.73,0.72,0.72,4000,MYR
2013-07-02,0.745,0.745,0.74,0.74,25000,MYR
2013-07-05,0.73,0.73,0.73,0.73,3000,MYR
2013-07-08,0.75,0.765,0.75,0.765,14100,MYR
2013-07-10,0.78,0.78,0.78,0.78,24000,MYR
2013-07-11,0.745,0.775,0.745,0.775,4000,MYR
2013-07-12,0.75,0.75,0.75,0.75,6000,MYR
2013-07-16,0.755,0.76,0.755,0.76,6000,MYR
2013-07-17,0.76,0.76,0.75,0.755,40500,MYR
2013-07-18,0.75,0.75,0.75,0.75,4000,MYR
2013-07-19,0.755,0.755,0.75,0.755,111500,MYR
2013-07-22,0.745,0.745,0.745,0.745,6000,MYR
2013-07-23,0.75,0.75,0.74,0.75,47900,MYR
2013-07-24,0.75,0.75,0.75,0.75,24000,MYR
2013-07-25,0.75,0.76,0.75,0.76,7000,MYR
2013-07-26,0.76,0.76,0.75,0.75,103200,MYR
2013-07-29,0.75,0.75,0.75,0.75,17000,MYR
2013-07-31,0.75,0.75,0.75,0.75,30000,MYR
2013-08-01,0.755,0.755,0.75,0.75,44000,MYR
2013-08-02,0.75,0.76,0.73,0.73,22000,MYR
2013-08-05,0.74,0.74,0.74,0.74,10000,MYR
2013-08-06,0.74,0.74,0.74,0.74,35000,MYR
2013-08-07,0.75,0.75,0.75,0.75,10000,MYR
2013-08-13,0.75,0.75,0.75,0.75,9000,MYR
2013-08-14,0.75,0.75,0.745,0.75,58000,MYR
2013-08-15,0.75,0.75,0.75,0.75,69000,MYR
