Date,Open,High,Low,Close,Volume,Currency
2013-03-29,0.36,0.36,0.36,0.36,4700,MYR
2013-04-02,0.36,0.36,0.34,0.34,11000,MYR
2013-04-04,0.34,0.34,0.34,0.34,2000,MYR
2013-04-05,0.34,0.34,0.34,0.34,1000,MYR
2013-04-08,0.34,0.36,0.34,0.36,13000,MYR
2013-04-10,0.34,0.35,0.34,0.35,2000,MYR
2013-04-11,0.345,0.345,0.345,0.345,1000,MYR
2013-04-12,0.345,0.35,0.345,0.35,6000,MYR
2013-04-15,0.35,0.35,0.35,0.35,5000,MYR
2013-04-16,0.36,0.36,0.36,0.36,5000,MYR
2013-04-17,0.34,0.34,0.34,0.34,1000,MYR
2013-04-18,0.36,0.36,0.345,0.345,11000,MYR
2013-04-22,0.345,0.345,0.345,0.345,10000,MYR
2013-04-24,0.35,0.35,0.35,0.35,10000,MYR
2013-04-26,0.35,0.35,0.35,0.35,10000,MYR
2013-04-29,0.32,0.32,0.32,0.32,1000,MYR
2013-04-30,0.32,0.32,0.32,0.32,10000,MYR
2013-05-02,0.32,0.32,0.32,0.32,6000,MYR
2013-05-03,0.32,0.36,0.32,0.32,41000,MYR
2013-05-07,0.32,0.32,0.32,0.32,20000,MYR
2013-05-08,0.35,0.35,0.33,0.35,13500,MYR
2013-05-09,0.34,0.36,0.34,0.34,21500,MYR
2013-05-15,0.34,0.34,0.34,0.34,14000,MYR
2013-05-16,0.335,0.335,0.335,0.335,2000,MYR
2013-05-20,0.35,0.35,0.35,0.35,4000,MYR
2013-05-21,0.34,0.36,0.34,0.35,24000,MYR
2013-05-22,0.38,0.38,0.35,0.38,6000,MYR
2013-05-23,0.38,0.41,0.38,0.38,58000,MYR
2013-05-28,0.36,0.36,0.36,0.36,3000,MYR
2013-05-29,0.365,0.365,0.365,0.365,51000,MYR
2013-05-30,0.365,0.365,0.365,0.365,1000,MYR
2013-06-03,0.35,0.35,0.35,0.35,12000,MYR
2013-06-04,0.35,0.35,0.35,0.35,6000,MYR
2013-06-05,0.345,0.345,0.345,0.345,2000,MYR
2013-06-07,0.36,0.36,0.35,0.35,40000,MYR
2013-06-10,0.35,0.35,0.35,0.35,4000,MYR
2013-06-11,0.345,0.345,0.345,0.345,2000,MYR
2013-06-12,0.38,0.38,0.38,0.38,5000,MYR
2013-06-13,0.35,0.36,0.35,0.36,5000,MYR
2013-06-17,0.35,0.35,0.35,0.35,10000,MYR
2013-06-18,0.38,0.38,0.38,0.38,19000,MYR
2013-06-19,0.36,0.36,0.35,0.35,42000,MYR
2013-06-20,0.36,0.36,0.36,0.36,15000,MYR
2013-06-21,0.34,0.37,0.34,0.37,16000,MYR
2013-06-24,0.36,0.36,0.34,0.36,40000,MYR
2013-06-25,0.34,0.34,0.34,0.34,3000,MYR
2013-06-26,0.34,0.34,0.34,0.34,3000,MYR
2013-06-27,0.36,0.36,0.33,0.36,30000,MYR
2013-06-28,0.36,0.36,0.35,0.35,70000,MYR
2013-07-04,0.34,0.35,0.34,0.35,11000,MYR
2013-07-09,0.33,0.33,0.33,0.33,3000,MYR
2013-07-10,0.35,0.35,0.335,0.35,31000,MYR
2013-07-16,0.35,0.35,0.35,0.35,103000,MYR
2013-07-17,0.355,0.385,0.355,0.365,44000,MYR
2013-07-18,0.365,0.365,0.365,0.365,56000,MYR
2013-07-19,0.37,0.37,0.37,0.37,14000,MYR
2013-07-22,0.38,0.38,0.38,0.38,24000,MYR
2013-07-23,0.38,0.38,0.38,0.38,1000,MYR
2013-07-24,0.39,0.435,0.39,0.435,356200,MYR
2013-07-25,0.455,0.47,0.395,0.42,868400,MYR
2013-07-26,0.375,0.385,0.375,0.38,29000,MYR
2013-07-29,0.365,0.37,0.33,0.37,214000,MYR
2013-07-30,0.365,0.425,0.35,0.36,109100,MYR
2013-07-31,0.35,0.39,0.34,0.39,129000,MYR
2013-08-01,0.39,0.39,0.39,0.39,10300,MYR
2013-08-02,0.36,0.36,0.36,0.36,1000,MYR
2013-08-06,0.355,0.355,0.355,0.355,5000,MYR
2013-08-12,0.345,0.36,0.31,0.36,113100,MYR
2013-08-13,0.34,0.34,0.335,0.335,15900,MYR
2013-08-14,0.335,0.335,0.335,0.335,3000,MYR
2013-08-15,0.34,0.36,0.34,0.355,72100,MYR
2013-08-16,0.345,0.345,0.345,0.345,30000,MYR
2013-08-19,0.35,0.36,0.34,0.36,100000,MYR
2013-08-20,0.36,0.36,0.355,0.36,31800,MYR
2013-08-21,0.36,0.36,0.355,0.36,46400,MYR
2013-08-22,0.36,0.36,0.36,0.36,20000,MYR
2013-08-27,0.36,0.36,0.34,0.34,109900,MYR
2013-08-28,0.36,0.36,0.355,0.355,40000,MYR
2013-08-29,0.355,0.36,0.35,0.36,43000,MYR
2013-08-30,0.34,0.345,0.34,0.345,6900,MYR
2013-09-02,0.34,0.34,0.34,0.34,1000,MYR
2013-09-04,0.34,0.34,0.34,0.34,19000,MYR
2013-09-06,0.33,0.335,0.325,0.335,46000,MYR
2013-09-09,0.335,0.36,0.335,0.36,34100,MYR
2013-09-13,0.34,0.34,0.34,0.34,42000,MYR
2013-09-18,0.355,0.355,0.355,0.355,13000,MYR
2013-09-19,0.34,0.34,0.34,0.34,7000,MYR
2013-09-23,0.36,0.36,0.33,0.35,59000,MYR
2013-09-24,0.355,0.355,0.355,0.355,20000,MYR
2013-09-25,0.35,0.35,0.345,0.345,26000,MYR
2013-09-26,0.355,0.36,0.355,0.36,27000,MYR
2013-09-27,0.34,0.34,0.34,0.34,11000,MYR
2013-09-30,0.345,0.36,0.34,0.36,46900,MYR
2013-10-02,0.34,0.37,0.34,0.35,20300,MYR
2013-10-03,0.355,0.38,0.355,0.38,17000,MYR
2013-10-08,0.345,0.345,0.345,0.345,8000,MYR
2013-10-11,0.345,0.345,0.345,0.345,2000,MYR
2013-10-18,0.34,0.34,0.34,0.34,3000,MYR
2013-10-22,0.355,0.355,0.355,0.355,20000,MYR
2013-10-23,0.345,0.345,0.345,0.345,10000,MYR
2013-10-24,0.345,0.345,0.345,0.345,4000,MYR
2013-10-25,0.35,0.35,0.35,0.35,22000,MYR
2013-10-28,0.35,0.35,0.35,0.35,10000,MYR
2013-10-30,0.345,0.35,0.345,0.345,12000,MYR
2013-10-31,0.345,0.345,0.345,0.345,2000,MYR
2013-11-04,0.345,0.345,0.345,0.345,4000,MYR
2013-11-06,0.35,0.35,0.35,0.35,18000,MYR
2013-11-07,0.35,0.35,0.35,0.35,40000,MYR
2013-11-08,0.35,0.35,0.345,0.35,28000,MYR
2013-11-11,0.35,0.35,0.345,0.35,72900,MYR
2013-11-12,0.345,0.35,0.345,0.35,53700,MYR
2013-11-13,0.35,0.35,0.35,0.35,25000,MYR
2013-11-14,0.35,0.35,0.35,0.35,77100,MYR
2013-11-15,0.35,0.35,0.345,0.35,88300,MYR
2013-11-18,0.35,0.355,0.35,0.35,162500,MYR
2013-11-19,0.35,0.35,0.35,0.35,20000,MYR
2013-11-20,0.35,0.35,0.345,0.35,117100,MYR
2013-11-21,0.345,0.345,0.34,0.34,27000,MYR
2013-11-22,0.355,0.355,0.35,0.35,22400,MYR
2013-11-25,0.35,0.35,0.35,0.35,30000,MYR
2013-11-26,0.35,0.35,0.34,0.34,92100,MYR
2013-11-28,0.335,0.335,0.335,0.335,18400,MYR
2013-11-29,0.335,0.35,0.335,0.335,31300,MYR
2013-12-02,0.335,0.36,0.315,0.345,826300,MYR
2013-12-03,0.3,0.32,0.3,0.315,43400,MYR
2013-12-06,0.32,0.33,0.305,0.305,395100,MYR
2013-12-10,0.295,0.32,0.295,0.305,12100,MYR
2013-12-11,0.295,0.305,0.295,0.305,49000,MYR
2013-12-12,0.3,0.325,0.295,0.315,282100,MYR
2013-12-13,0.295,0.295,0.295,0.295,2000,MYR
2013-12-16,0.3,0.3,0.29,0.29,312000,MYR
2013-12-18,0.27,0.28,0.27,0.28,20000,MYR
2013-12-19,0.285,0.285,0.28,0.285,30900,MYR
2013-12-23,0.285,0.285,0.285,0.285,10000,MYR
2014-01-08,0.285,0.29,0.285,0.29,28500,MYR
2014-01-09,0.29,0.29,0.29,0.29,61000,MYR
2014-01-13,0.275,0.275,0.275,0.275,22000,MYR
2014-01-15,0.285,0.285,0.285,0.285,17800,MYR
2014-01-16,0.29,0.29,0.29,0.29,15000,MYR
2014-01-20,0.275,0.285,0.275,0.285,20700,MYR
2014-01-21,0.27,0.27,0.27,0.27,1000,MYR
2014-01-23,0.27,0.29,0.27,0.29,60000,MYR
2014-01-24,0.26,0.26,0.26,0.26,1000,MYR
2014-01-27,0.26,0.26,0.26,0.26,9000,MYR
2014-01-29,0.28,0.28,0.28,0.28,10000,MYR
2014-02-07,0.285,0.285,0.285,0.285,13000,MYR
2014-02-17,0.285,0.305,0.285,0.305,41600,MYR
2014-02-25,0.285,0.285,0.285,0.285,1000,MYR
2014-02-26,0.305,0.305,0.305,0.305,5000,MYR
2014-02-27,0.28,0.28,0.28,0.28,1000,MYR
2014-03-03,0.28,0.28,0.28,0.28,10000,MYR
2014-03-06,0.27,0.27,0.27,0.27,10000,MYR
2014-03-10,0.27,0.27,0.265,0.265,11000,MYR
2014-03-18,0.225,0.225,0.225,0.225,1000,MYR
2014-03-19,0.25,0.26,0.25,0.26,4000,MYR
2014-03-25,0.26,0.26,0.255,0.255,6000,MYR
2014-03-27,0.28,0.28,0.28,0.28,20000,MYR
2014-03-31,0.26,0.32,0.26,0.32,40000,MYR
2014-04-03,0.28,0.28,0.28,0.28,10000,MYR
2014-04-09,0.265,0.265,0.265,0.265,2000,MYR
2014-04-10,0.27,0.28,0.27,0.28,12000,MYR
2014-04-15,0.285,0.285,0.285,0.285,8000,MYR
2014-04-17,0.265,0.27,0.265,0.27,15000,MYR
2014-04-21,0.265,0.265,0.265,0.265,10000,MYR
2014-04-22,0.265,0.265,0.265,0.265,5000,MYR
2014-04-24,0.265,0.355,0.265,0.355,853100,MYR
2014-04-25,0.37,0.375,0.33,0.35,1061300,MYR
2014-04-28,0.35,0.36,0.35,0.355,49200,MYR
2014-04-29,0.33,0.33,0.33,0.33,50000,MYR
2014-05-02,0.315,0.315,0.295,0.305,40000,MYR
2014-05-05,0.29,0.29,0.29,0.29,12000,MYR
2014-05-06,0.3,0.3,0.285,0.285,66000,MYR
2014-05-08,0.3,0.305,0.29,0.3,169200,MYR
2014-05-16,0.295,0.295,0.295,0.295,7000,MYR
2014-05-20,0.29,0.29,0.29,0.29,10000,MYR
2014-05-26,0.29,0.3,0.285,0.3,8400,MYR
2014-05-27,0.6,0.6,0.6,0.6,1890100,MYR
2014-05-28,0.7,0.8,0.665,0.67,10635300,MYR
2014-05-29,0.665,0.69,0.615,0.65,2306300,MYR
2014-05-30,0.625,0.655,0.625,0.635,353300,MYR
2014-06-02,0.62,0.66,0.62,0.65,1590600,MYR
2014-06-03,0.65,0.655,0.625,0.63,1258600,MYR
2014-06-04,0.625,0.655,0.62,0.645,830400,MYR
2014-06-05,0.645,0.76,0.645,0.745,3395400,MYR
2014-06-06,0.755,0.795,0.73,0.795,2742000,MYR
2014-06-09,0.805,0.88,0.805,0.855,5165900,MYR
2014-06-10,0.86,0.875,0.83,0.835,1314100,MYR
2014-06-11,0.835,0.835,0.795,0.815,848700,MYR
2014-06-12,0.815,0.97,0.81,0.955,5677700,MYR
2014-06-13,0.96,1.03,0.955,0.98,5282200,MYR
2014-06-16,0.98,1.01,0.955,0.995,710400,MYR
2014-06-17,0.995,1.01,0.965,0.985,1310800,MYR
2014-06-18,0.99,0.995,0.965,0.975,668900,MYR
2014-06-19,0.965,0.975,0.9,0.925,1809300,MYR
2014-06-20,0.92,0.985,0.905,0.965,1780700,MYR
2014-06-23,0.965,0.98,0.92,0.935,564600,MYR
2014-06-24,0.925,0.935,0.915,0.93,494300,MYR
2014-06-25,0.925,0.935,0.865,0.89,1048200,MYR
2014-06-26,0.89,0.89,0.84,0.87,556900,MYR
2014-06-27,0.885,0.885,0.85,0.855,316600,MYR
2014-06-30,0.86,0.865,0.8,0.81,848700,MYR
2014-07-01,0.81,0.925,0.805,0.92,2935300,MYR
2014-07-02,0.92,0.925,0.86,0.88,568100,MYR
2014-07-03,0.87,0.9,0.85,0.9,598200,MYR
