Date,Open,High,Low,Close,Volume,Currency
2014-09-05,0.31,0.31,0.31,0.31,165000,MYR
2014-09-08,0.31,0.32,0.31,0.32,414000,MYR
2014-09-09,0.315,0.32,0.315,0.32,305000,MYR
2014-09-10,0.32,0.335,0.32,0.335,1456300,MYR
2014-09-11,0.34,0.34,0.33,0.33,1011100,MYR
2014-09-12,0.32,0.33,0.32,0.33,16000,MYR
2014-09-15,0.32,0.33,0.32,0.325,50000,MYR
2014-09-17,0.32,0.32,0.31,0.315,435200,MYR
2014-09-18,0.315,0.315,0.31,0.31,273000,MYR
2014-09-19,0.31,0.32,0.31,0.32,79500,MYR
2014-09-22,0.32,0.32,0.31,0.31,967700,MYR
2014-09-23,0.31,0.315,0.31,0.315,200100,MYR
2014-09-24,0.315,0.32,0.31,0.32,688100,MYR
2014-09-25,0.32,0.33,0.315,0.32,795400,MYR
2014-09-26,0.315,0.315,0.305,0.305,566000,MYR
2014-09-29,0.31,0.31,0.305,0.31,345000,MYR
2014-09-30,0.31,0.31,0.31,0.31,462200,MYR
2014-10-01,0.31,0.31,0.305,0.305,80000,MYR
2014-10-02,0.305,0.31,0.305,0.305,656000,MYR
2014-10-03,0.305,0.305,0.305,0.305,60400,MYR
2014-10-07,0.305,0.31,0.305,0.305,626000,MYR
2014-10-08,0.3,0.3,0.29,0.295,920000,MYR
2014-10-09,0.295,0.305,0.295,0.3,578300,MYR
2014-10-10,0.295,0.295,0.295,0.295,235000,MYR
2014-10-13,0.29,0.295,0.29,0.295,181000,MYR
2014-10-14,0.295,0.295,0.285,0.295,160400,MYR
2014-10-15,0.29,0.295,0.285,0.29,353500,MYR
2014-10-16,0.285,0.285,0.28,0.28,864200,MYR
2014-10-17,0.28,0.295,0.28,0.295,237000,MYR
2014-10-20,0.29,0.29,0.29,0.29,15000,MYR
2014-10-21,0.28,0.29,0.28,0.29,80000,MYR
2014-10-23,0.29,0.29,0.285,0.285,228500,MYR
2014-10-24,0.29,0.295,0.29,0.29,220000,MYR
2014-10-27,0.3,0.3,0.29,0.29,106000,MYR
2014-10-28,0.295,0.295,0.295,0.295,55000,MYR
2014-10-29,0.295,0.295,0.295,0.295,5000,MYR
2014-10-30,0.3,0.3,0.3,0.3,3000,MYR
2014-10-31,0.295,0.295,0.295,0.295,187000,MYR
2014-11-03,0.3,0.32,0.3,0.31,2078400,MYR
2014-11-04,0.31,0.31,0.305,0.31,213900,MYR
2014-11-05,0.3,0.3,0.3,0.3,20000,MYR
2014-11-06,0.305,0.305,0.3,0.305,204100,MYR
2014-11-07,0.3,0.305,0.3,0.3,388400,MYR
2014-11-10,0.31,0.31,0.305,0.305,248700,MYR
2014-11-11,0.3,0.3,0.3,0.3,276000,MYR
2014-11-12,0.3,0.305,0.3,0.305,85000,MYR
2014-11-13,0.3,0.3,0.29,0.295,489000,MYR
2014-11-14,0.29,0.295,0.29,0.295,82000,MYR
2014-11-17,0.29,0.295,0.29,0.295,20700,MYR
2014-11-18,0.295,0.295,0.295,0.295,15000,MYR
2014-11-19,0.29,0.295,0.29,0.295,55700,MYR
2014-11-20,0.295,0.295,0.295,0.295,5000,MYR
2014-11-21,0.3,0.3,0.3,0.3,15000,MYR
2014-11-24,0.295,0.3,0.295,0.3,100000,MYR
2014-11-25,0.295,0.295,0.29,0.295,140100,MYR
2014-11-26,0.295,0.3,0.29,0.295,65000,MYR
2014-11-27,0.3,0.3,0.29,0.295,67000,MYR
2014-11-28,0.295,0.295,0.29,0.295,182000,MYR
2014-12-01,0.27,0.28,0.27,0.27,170000,MYR
2014-12-02,0.275,0.28,0.27,0.28,200200,MYR
2014-12-03,0.28,0.28,0.27,0.28,95000,MYR
2014-12-04,0.28,0.28,0.28,0.28,20000,MYR
2014-12-05,0.28,0.28,0.28,0.28,20000,MYR
2014-12-08,0.28,0.28,0.275,0.28,30000,MYR
2014-12-09,0.27,0.28,0.27,0.28,173000,MYR
2014-12-10,0.27,0.28,0.27,0.28,130000,MYR
2014-12-11,0.265,0.28,0.265,0.28,28000,MYR
2014-12-12,0.28,0.28,0.28,0.28,25000,MYR
2014-12-15,0.27,0.27,0.27,0.27,10000,MYR
2014-12-16,0.265,0.265,0.255,0.26,100000,MYR
2014-12-17,0.26,0.27,0.26,0.265,79000,MYR
2014-12-18,0.26,0.3,0.26,0.3,55000,MYR
2014-12-19,0.265,0.29,0.265,0.29,137000,MYR
2014-12-22,0.29,0.29,0.285,0.285,35000,MYR
2014-12-23,0.28,0.29,0.28,0.29,717000,MYR
2014-12-24,0.285,0.29,0.28,0.29,150000,MYR
2014-12-26,0.285,0.29,0.285,0.29,35000,MYR
2014-12-29,0.29,0.29,0.29,0.29,25000,MYR
2014-12-30,0.29,0.29,0.285,0.29,65000,MYR
2014-12-31,0.285,0.29,0.285,0.29,81000,MYR
2015-01-02,0.29,0.29,0.285,0.29,85000,MYR
2015-01-05,0.29,0.29,0.285,0.29,65000,MYR
2015-01-06,0.28,0.29,0.28,0.29,35000,MYR
2015-01-08,0.275,0.29,0.275,0.29,35000,MYR
2015-01-14,0.28,0.29,0.28,0.29,110000,MYR
2015-01-16,0.28,0.29,0.28,0.29,95000,MYR
2015-01-19,0.29,0.3,0.29,0.3,30000,MYR
2015-01-20,0.285,0.29,0.285,0.29,70900,MYR
2015-01-21,0.28,0.29,0.28,0.29,100000,MYR
2015-01-22,0.28,0.29,0.28,0.29,230000,MYR
2015-01-23,0.285,0.29,0.28,0.29,143900,MYR
2015-01-26,0.29,0.29,0.28,0.28,177700,MYR
2015-01-27,0.29,0.295,0.29,0.29,120000,MYR
2015-01-29,0.285,0.29,0.285,0.29,27000,MYR
2015-01-30,0.285,0.285,0.28,0.285,288000,MYR
2015-02-04,0.28,0.285,0.28,0.285,231000,MYR
2015-02-05,0.285,0.285,0.285,0.285,10000,MYR
2015-02-06,0.285,0.285,0.28,0.285,107000,MYR
2015-02-10,0.285,0.285,0.28,0.28,492400,MYR
2015-02-11,0.28,0.28,0.28,0.28,166000,MYR
2015-02-12,0.275,0.285,0.27,0.285,95000,MYR
2015-02-13,0.28,0.28,0.28,0.28,10000,MYR
2015-02-16,0.275,0.28,0.27,0.28,25000,MYR
2015-02-17,0.28,0.28,0.275,0.28,33600,MYR
2015-02-24,0.275,0.285,0.275,0.28,60000,MYR
2015-02-25,0.28,0.28,0.275,0.28,41000,MYR
2015-02-26,0.28,0.28,0.275,0.275,152000,MYR
2015-02-27,0.275,0.28,0.275,0.28,217200,MYR
2015-03-02,0.275,0.275,0.275,0.275,98000,MYR
2015-03-03,0.275,0.28,0.275,0.28,80000,MYR
2015-03-04,0.275,0.28,0.275,0.28,266400,MYR
2015-03-05,0.275,0.275,0.27,0.275,259000,MYR
2015-03-06,0.27,0.275,0.27,0.275,205000,MYR
2015-03-09,0.275,0.275,0.27,0.27,286000,MYR
2015-03-10,0.265,0.27,0.265,0.265,457000,MYR
2015-03-11,0.265,0.27,0.26,0.27,296600,MYR
2015-03-12,0.265,0.27,0.265,0.27,215900,MYR
2015-03-13,0.27,0.27,0.26,0.27,536000,MYR
2015-03-16,0.27,0.27,0.26,0.265,410000,MYR
2015-03-17,0.265,0.265,0.255,0.26,317600,MYR
2015-03-18,0.26,0.26,0.255,0.26,387000,MYR
2015-03-19,0.26,0.26,0.255,0.26,155000,MYR
2015-03-20,0.26,0.26,0.255,0.26,371000,MYR
2015-03-23,0.26,0.26,0.25,0.255,937000,MYR
2015-03-24,0.25,0.25,0.245,0.25,300000,MYR
2015-03-25,0.24,0.25,0.24,0.25,375100,MYR
2015-03-26,0.25,0.25,0.245,0.25,257200,MYR
2015-03-27,0.245,0.25,0.245,0.25,392100,MYR
2015-03-30,0.25,0.26,0.24,0.255,3435400,MYR
2015-03-31,0.26,0.26,0.255,0.26,429600,MYR
2015-04-01,0.26,0.26,0.255,0.26,136000,MYR
2015-04-02,0.255,0.27,0.255,0.27,1207800,MYR
2015-04-03,0.265,0.27,0.26,0.27,985800,MYR
2015-04-06,0.265,0.27,0.26,0.27,130100,MYR
2015-04-07,0.27,0.275,0.265,0.275,559300,MYR
2015-04-08,0.275,0.275,0.27,0.27,207700,MYR
2015-04-09,0.27,0.27,0.265,0.265,560000,MYR
2015-04-10,0.27,0.27,0.265,0.27,173700,MYR
2015-04-13,0.27,0.27,0.265,0.27,221200,MYR
2015-04-14,0.265,0.27,0.265,0.27,203200,MYR
2015-04-15,0.265,0.27,0.265,0.27,111100,MYR
2015-04-16,0.265,0.275,0.265,0.275,670300,MYR
2015-04-17,0.275,0.275,0.265,0.275,478000,MYR
2015-04-20,0.27,0.305,0.27,0.295,9379300,MYR
2015-04-21,0.3,0.3,0.285,0.29,1595600,MYR
2015-04-22,0.29,0.29,0.275,0.285,887100,MYR
2015-04-23,0.285,0.285,0.275,0.28,578800,MYR
2015-04-24,0.28,0.285,0.275,0.285,2087000,MYR
2015-04-27,0.285,0.295,0.285,0.29,1130600,MYR
2015-04-28,0.28,0.28,0.27,0.275,434500,MYR
2015-04-29,0.27,0.28,0.27,0.28,685300,MYR
2015-04-30,0.28,0.28,0.27,0.275,480900,MYR
2015-05-05,0.29,0.295,0.285,0.29,2048500,MYR
2015-05-06,0.29,0.295,0.285,0.295,692800,MYR
2015-05-07,0.29,0.29,0.285,0.285,509700,MYR
2015-05-08,0.285,0.32,0.285,0.315,4916800,MYR
2015-05-11,0.315,0.32,0.3,0.31,1314300,MYR
2015-05-12,0.305,0.305,0.3,0.3,610000,MYR
2015-05-13,0.3,0.31,0.3,0.305,2339800,MYR
2015-05-14,0.31,0.31,0.305,0.31,1123100,MYR
2015-05-15,0.31,0.31,0.305,0.31,801400,MYR
2015-05-18,0.31,0.315,0.305,0.31,1959800,MYR
2015-05-19,0.31,0.31,0.305,0.31,627400,MYR
2015-05-20,0.305,0.315,0.305,0.31,1718600,MYR
2015-05-21,0.31,0.315,0.305,0.305,2337600,MYR
2015-05-22,0.305,0.31,0.305,0.305,762600,MYR
2015-05-25,0.305,0.33,0.3,0.32,5156700,MYR
2015-05-26,0.315,0.325,0.315,0.32,3188100,MYR
2015-05-27,0.315,0.32,0.31,0.315,1115200,MYR
2015-05-28,0.315,0.315,0.305,0.305,1762700,MYR
2015-05-29,0.305,0.31,0.3,0.305,1262000,MYR
2015-06-01,0.305,0.305,0.295,0.305,1583200,MYR
2015-06-02,0.3,0.31,0.295,0.31,1146200,MYR
2015-06-03,0.305,0.305,0.305,0.305,592000,MYR
2015-06-04,0.3,0.3,0.295,0.295,445000,MYR
2015-06-05,0.295,0.295,0.29,0.29,111000,MYR
2015-06-08,0.29,0.29,0.285,0.285,155300,MYR
2015-06-09,0.285,0.285,0.28,0.28,364700,MYR
2015-06-10,0.28,0.28,0.28,0.28,225000,MYR
2015-06-11,0.285,0.295,0.285,0.295,162400,MYR
2015-06-12,0.29,0.29,0.28,0.29,99200,MYR
2015-06-15,0.28,0.285,0.28,0.285,359000,MYR
2015-06-16,0.28,0.285,0.275,0.285,129000,MYR
2015-06-17,0.28,0.285,0.28,0.285,58000,MYR
2015-06-18,0.285,0.285,0.28,0.285,312500,MYR
2015-06-19,0.285,0.3,0.285,0.285,297700,MYR
2015-06-22,0.295,0.295,0.29,0.295,83900,MYR
2015-06-23,0.3,0.3,0.285,0.295,61900,MYR
2015-06-24,0.29,0.295,0.29,0.295,80000,MYR
2015-06-25,0.285,0.29,0.285,0.29,333400,MYR
2015-06-26,0.29,0.295,0.285,0.295,78700,MYR
2015-06-29,0.29,0.29,0.275,0.275,201200,MYR
2015-06-30,0.285,0.285,0.275,0.285,140200,MYR
2015-07-01,0.285,0.295,0.285,0.29,478400,MYR
2015-07-02,0.3,0.3,0.285,0.29,274300,MYR
2015-07-03,0.285,0.295,0.285,0.295,67900,MYR
2015-07-06,0.285,0.285,0.285,0.285,75000,MYR
2015-07-07,0.285,0.285,0.28,0.285,376700,MYR
2015-07-08,0.28,0.285,0.275,0.285,230400,MYR
2015-07-09,0.27,0.285,0.27,0.285,123000,MYR
2015-07-10,0.28,0.29,0.28,0.29,120000,MYR
2015-07-13,0.28,0.28,0.275,0.28,155400,MYR
2015-07-14,0.28,0.285,0.28,0.285,205000,MYR
2015-07-15,0.285,0.285,0.28,0.285,178200,MYR
2015-07-16,0.28,0.285,0.28,0.285,31000,MYR
2015-07-20,0.285,0.285,0.285,0.285,145000,MYR
2015-07-21,0.285,0.305,0.285,0.3,1175400,MYR
2015-07-22,0.295,0.3,0.295,0.295,257700,MYR
2015-07-23,0.3,0.3,0.29,0.295,105700,MYR
2015-07-24,0.295,0.295,0.29,0.295,368600,MYR
2015-07-27,0.29,0.29,0.285,0.285,696400,MYR
2015-07-28,0.285,0.29,0.28,0.285,157000,MYR
2015-07-29,0.28,0.285,0.28,0.285,201000,MYR
2015-07-30,0.285,0.29,0.28,0.285,525000,MYR
2015-07-31,0.28,0.285,0.28,0.285,188100,MYR
2015-08-03,0.285,0.31,0.285,0.295,2216500,MYR
2015-08-04,0.3,0.305,0.295,0.3,992300,MYR
2015-08-05,0.3,0.3,0.295,0.295,102100,MYR
2015-08-06,0.295,0.295,0.285,0.29,525700,MYR
2015-08-07,0.285,0.285,0.275,0.28,717900,MYR
2015-08-10,0.28,0.28,0.26,0.265,2029800,MYR
2015-08-11,0.265,0.275,0.265,0.275,670000,MYR
2015-08-12,0.265,0.28,0.265,0.27,3392900,MYR
2015-08-13,0.27,0.28,0.27,0.275,410000,MYR
2015-08-14,0.275,0.275,0.27,0.275,845000,MYR
2015-08-17,0.27,0.275,0.265,0.27,1110200,MYR
2015-08-18,0.265,0.265,0.265,0.265,131000,MYR
2015-08-19,0.27,0.27,0.265,0.265,373000,MYR
2015-08-20,0.265,0.265,0.265,0.265,90000,MYR
2015-08-21,0.265,0.265,0.265,0.265,135000,MYR
2015-08-24,0.26,0.26,0.255,0.255,480000,MYR
2015-08-25,0.255,0.26,0.25,0.25,270000,MYR
2015-08-26,0.25,0.255,0.25,0.255,300800,MYR
2015-08-27,0.255,0.26,0.255,0.26,165000,MYR
2015-08-28,0.255,0.26,0.25,0.255,145000,MYR
2015-09-01,0.25,0.265,0.245,0.26,719000,MYR
2015-09-02,0.26,0.26,0.26,0.26,11000,MYR
2015-09-03,0.265,0.27,0.265,0.265,57600,MYR
2015-09-04,0.275,0.275,0.265,0.27,250100,MYR
2015-09-08,0.265,0.27,0.26,0.26,15100,MYR
2015-09-09,0.265,0.265,0.255,0.26,325600,MYR
2015-09-10,0.265,0.265,0.26,0.265,20000,MYR
2015-09-11,0.265,0.27,0.26,0.27,90000,MYR
2015-09-15,0.26,0.27,0.26,0.265,132500,MYR
2015-09-17,0.265,0.27,0.265,0.265,50000,MYR
2015-09-21,0.26,0.265,0.255,0.265,74400,MYR
2015-09-22,0.26,0.265,0.26,0.265,42000,MYR
2015-09-25,0.255,0.265,0.255,0.265,26400,MYR
2015-09-28,0.265,0.265,0.265,0.265,153500,MYR
2015-09-29,0.265,0.27,0.265,0.265,390400,MYR
2015-09-30,0.26,0.27,0.26,0.27,110000,MYR
2015-10-01,0.265,0.275,0.265,0.275,30000,MYR
2015-10-02,0.26,0.27,0.26,0.265,63900,MYR
2015-10-05,0.265,0.265,0.26,0.265,105000,MYR
2015-10-06,0.26,0.26,0.26,0.26,225000,MYR
2015-10-07,0.26,0.265,0.255,0.265,117100,MYR
2015-10-08,0.26,0.265,0.26,0.265,164000,MYR
2015-10-09,0.26,0.265,0.26,0.265,144400,MYR
