Date,Open,High,Low,Close,Volume,Currency
2013-03-29,0.38,0.385,0.38,0.385,17100,MYR
2013-04-01,0.385,0.39,0.385,0.39,69900,MYR
2013-04-02,0.37,0.385,0.37,0.38,120600,MYR
2013-04-03,0.37,0.38,0.35,0.38,128600,MYR
2013-04-04,0.375,0.38,0.37,0.38,148500,MYR
2013-04-05,0.38,0.385,0.38,0.38,65800,MYR
2013-04-08,0.375,0.38,0.375,0.38,82300,MYR
2013-04-09,0.375,0.375,0.375,0.375,2000,MYR
2013-04-11,0.38,0.39,0.38,0.39,1800,MYR
2013-04-12,0.385,0.385,0.38,0.38,41700,MYR
2013-04-15,0.375,0.375,0.375,0.375,5300,MYR
2013-04-16,0.37,0.37,0.37,0.37,22500,MYR
2013-04-17,0.375,0.375,0.37,0.375,90000,MYR
2013-04-18,0.375,0.385,0.375,0.385,756800,MYR
2013-04-19,0.385,0.385,0.375,0.375,130000,MYR
2013-04-22,0.37,0.37,0.37,0.37,54200,MYR
2013-04-23,0.38,0.38,0.34,0.37,50700,MYR
2013-04-24,0.36,0.36,0.36,0.36,6000,MYR
2013-04-26,0.37,0.38,0.37,0.38,21000,MYR
2013-05-03,0.35,0.35,0.34,0.34,31600,MYR
2013-05-06,0.39,0.39,0.35,0.38,153400,MYR
2013-05-07,0.385,0.39,0.38,0.385,107200,MYR
2013-05-08,0.38,0.39,0.38,0.385,190700,MYR
2013-05-09,0.38,0.395,0.38,0.395,48200,MYR
2013-05-10,0.39,0.42,0.39,0.42,516700,MYR
2013-05-13,0.43,0.445,0.43,0.44,424200,MYR
2013-05-14,0.45,0.455,0.43,0.435,249500,MYR
2013-05-15,0.435,0.435,0.4,0.405,125100,MYR
2013-05-16,0.41,0.425,0.405,0.42,75400,MYR
2013-05-17,0.415,0.435,0.415,0.435,123100,MYR
2013-05-20,0.43,0.48,0.43,0.47,1028500,MYR
2013-05-21,0.47,0.47,0.46,0.465,328000,MYR
2013-05-22,0.46,0.46,0.445,0.445,341200,MYR
2013-05-23,0.44,0.45,0.425,0.425,262000,MYR
2013-05-27,0.405,0.405,0.4,0.405,110000,MYR
2013-05-28,0.42,0.435,0.42,0.435,113900,MYR
2013-05-29,0.425,0.43,0.42,0.42,214800,MYR
2013-05-30,0.42,0.435,0.415,0.43,125000,MYR
2013-05-31,0.42,0.445,0.42,0.42,168200,MYR
2013-06-03,0.425,0.46,0.425,0.44,1673600,MYR
2013-06-04,0.445,0.445,0.44,0.44,427000,MYR
2013-06-05,0.44,0.525,0.44,0.5,3270400,MYR
2013-06-06,0.5,0.5,0.47,0.47,806000,MYR
2013-06-07,0.465,0.48,0.465,0.48,733500,MYR
2013-06-10,0.48,0.5,0.475,0.48,632300,MYR
2013-06-11,0.485,0.52,0.48,0.5,2529300,MYR
2013-06-12,0.49,0.49,0.475,0.485,290500,MYR
2013-06-13,0.47,0.48,0.46,0.47,511700,MYR
2013-06-14,0.47,0.48,0.465,0.47,503100,MYR
2013-06-17,0.465,0.47,0.46,0.46,332400,MYR
2013-06-18,0.46,0.46,0.445,0.46,300000,MYR
2013-06-19,0.45,0.455,0.445,0.45,211500,MYR
2013-06-20,0.44,0.44,0.425,0.435,229700,MYR
2013-06-21,0.425,0.445,0.42,0.445,176000,MYR
2013-06-24,0.44,0.44,0.42,0.42,226800,MYR
2013-06-25,0.42,0.42,0.41,0.41,63000,MYR
2013-06-26,0.415,0.43,0.415,0.42,170600,MYR
2013-06-27,0.43,0.46,0.425,0.45,607100,MYR
2013-06-28,0.44,0.44,0.435,0.435,40000,MYR
2013-07-01,0.45,0.45,0.43,0.45,18000,MYR
2013-07-02,0.45,0.45,0.45,0.45,20000,MYR
2013-07-03,0.43,0.44,0.425,0.425,392300,MYR
2013-07-04,0.47,0.5,0.465,0.49,3984100,MYR
2013-07-05,0.495,0.495,0.48,0.49,1812500,MYR
2013-07-08,0.495,0.55,0.495,0.53,5748100,MYR
2013-07-09,0.53,0.55,0.525,0.53,2085400,MYR
2013-07-10,0.53,0.53,0.485,0.51,992100,MYR
2013-07-11,0.5,0.52,0.5,0.51,817000,MYR
2013-07-12,0.515,0.535,0.505,0.51,1847600,MYR
2013-07-15,0.51,0.51,0.495,0.51,813100,MYR
2013-07-16,0.505,0.555,0.505,0.55,4096200,MYR
2013-07-17,0.54,0.59,0.54,0.58,12836600,MYR
2013-07-18,0.58,0.585,0.56,0.56,2177700,MYR
2013-07-19,0.565,0.575,0.56,0.57,1052200,MYR
2013-07-22,0.59,0.605,0.585,0.585,5111200,MYR
2013-07-23,0.59,0.59,0.57,0.575,1143000,MYR
2013-07-24,0.575,0.575,0.56,0.56,909000,MYR
2013-07-25,0.56,0.58,0.555,0.57,899900,MYR
2013-07-26,0.57,0.57,0.545,0.545,792600,MYR
2013-07-29,0.54,0.54,0.53,0.53,411300,MYR
2013-07-30,0.525,0.535,0.515,0.525,529800,MYR
2013-07-31,0.52,0.52,0.5,0.505,758000,MYR
2013-08-01,0.52,0.535,0.505,0.53,798700,MYR
2013-08-02,0.545,0.545,0.53,0.535,270900,MYR
2013-08-05,0.54,0.565,0.54,0.545,987000,MYR
2013-08-06,0.545,0.545,0.53,0.54,196100,MYR
2013-08-07,0.53,0.53,0.53,0.53,142400,MYR
2013-08-12,0.53,0.54,0.52,0.54,278000,MYR
2013-08-13,0.54,0.54,0.535,0.54,986000,MYR
2013-08-14,0.54,0.565,0.54,0.56,1141000,MYR
2013-08-15,0.56,0.58,0.56,0.565,1845500,MYR
2013-08-16,0.565,0.565,0.55,0.565,726500,MYR
2013-08-19,0.555,0.57,0.555,0.555,1462400,MYR
2013-08-20,0.55,0.55,0.52,0.53,959700,MYR
2013-08-21,0.54,0.545,0.52,0.52,593700,MYR
2013-08-22,0.54,0.54,0.48,0.505,1130500,MYR
2013-08-23,0.51,0.51,0.5,0.505,360000,MYR
2013-08-26,0.505,0.505,0.48,0.48,635000,MYR
2013-08-27,0.48,0.48,0.44,0.45,970900,MYR
2013-08-28,0.43,0.45,0.41,0.45,348900,MYR
2013-08-29,0.455,0.47,0.455,0.46,354200,MYR
2013-08-30,0.455,0.46,0.45,0.45,189800,MYR
2013-09-02,0.45,0.45,0.44,0.45,87600,MYR
2013-09-03,0.425,0.435,0.425,0.435,7000,MYR
2013-09-04,0.445,0.445,0.445,0.445,10000,MYR
2013-09-05,0.45,0.48,0.435,0.45,23700,MYR
2013-09-06,0.48,0.48,0.48,0.48,1000,MYR
2013-09-09,0.47,0.47,0.45,0.45,36100,MYR
