Date,Open,High,Low,Close,Volume,Currency
2011-08-24,1.34,1.35,1.3,1.3,1606000,MYR
2011-08-25,1.32,1.33,1.31,1.32,1382800,MYR
2011-08-26,1.32,1.33,1.3,1.33,2487600,MYR
2011-08-29,1.32,1.37,1.32,1.36,2013200,MYR
2011-09-02,1.37,1.4,1.37,1.39,3177600,MYR
2011-09-05,1.38,1.38,1.34,1.35,1998800,MYR
2011-09-06,1.34,1.36,1.33,1.34,2625100,MYR
2011-09-07,1.35,1.37,1.35,1.37,1093000,MYR
2011-09-08,1.38,1.39,1.37,1.39,2361600,MYR
2011-09-09,1.36,1.36,1.33,1.35,1055300,MYR
2011-09-12,1.33,1.34,1.31,1.34,973400,MYR
2011-09-13,1.33,1.34,1.32,1.33,687500,MYR
2011-09-14,1.33,1.33,1.3,1.32,1378900,MYR
2011-09-15,1.32,1.33,1.31,1.33,887600,MYR
2011-09-19,1.34,1.34,1.3,1.33,4772200,MYR
2011-09-20,1.31,1.33,1.3,1.33,2883700,MYR
2011-09-21,1.32,1.35,1.32,1.35,922700,MYR
2011-09-22,1.34,1.34,1.26,1.31,4230100,MYR
2011-09-23,1.26,1.3,1.25,1.3,2908800,MYR
2011-09-26,1.29,1.29,1.25,1.27,1578000,MYR
2011-09-27,1.29,1.31,1.28,1.31,1068700,MYR
2011-09-28,1.32,1.34,1.28,1.33,877100,MYR
2011-09-29,1.32,1.34,1.3,1.34,1244700,MYR
2011-09-30,1.34,1.35,1.3,1.31,2951800,MYR
2011-10-03,1.3,1.3,1.28,1.3,675500,MYR
2011-10-04,1.29,1.3,1.28,1.28,673900,MYR
2011-10-05,1.3,1.32,1.28,1.29,1032700,MYR
2011-10-06,1.3,1.32,1.3,1.31,869900,MYR
2011-10-07,1.32,1.35,1.3,1.32,1401700,MYR
2011-10-10,1.31,1.31,1.29,1.3,342100,MYR
2011-10-11,1.32,1.33,1.31,1.32,772800,MYR
2011-10-12,1.31,1.35,1.31,1.33,1842000,MYR
2011-10-13,1.36,1.4,1.34,1.4,3513100,MYR
2011-10-14,1.41,1.5,1.4,1.48,7485900,MYR
2011-10-17,1.51,1.61,1.5,1.6,9351000,MYR
2011-10-18,1.56,1.58,1.5,1.51,7342700,MYR
2011-10-19,1.55,1.57,1.52,1.52,2353200,MYR
2011-10-20,1.52,1.52,1.44,1.47,2888300,MYR
2011-10-21,1.47,1.52,1.47,1.48,2290400,MYR
2011-10-24,1.52,1.55,1.52,1.52,2586800,MYR
2011-10-25,1.53,1.55,1.52,1.54,972200,MYR
2011-10-27,1.54,1.59,1.53,1.57,3637300,MYR
2011-10-28,1.6,1.6,1.55,1.55,2699400,MYR
2011-10-31,1.55,1.57,1.53,1.53,1847400,MYR
2011-11-01,1.51,1.53,1.48,1.48,1695100,MYR
2011-11-02,1.45,1.5,1.43,1.49,3125000,MYR
2011-11-03,1.5,1.5,1.44,1.45,954000,MYR
2011-11-04,1.48,1.49,1.47,1.49,1474100,MYR
2011-11-08,1.48,1.49,1.47,1.48,503600,MYR
2011-11-09,1.49,1.5,1.47,1.48,1698400,MYR
2011-11-10,1.46,1.47,1.44,1.46,1222300,MYR
2011-11-11,1.46,1.48,1.45,1.46,975200,MYR
2011-11-14,1.48,1.53,1.47,1.53,1913900,MYR
2011-11-15,1.53,1.54,1.48,1.5,2263400,MYR
2011-11-16,1.52,1.52,1.47,1.49,419100,MYR
2011-11-17,1.48,1.49,1.46,1.47,1301800,MYR
2011-11-18,1.46,1.46,1.45,1.46,985000,MYR
2011-11-21,1.45,1.45,1.4,1.4,3426400,MYR
2011-11-22,1.4,1.41,1.38,1.4,1510500,MYR
2011-11-23,1.4,1.4,1.38,1.38,901200,MYR
2011-11-24,1.37,1.4,1.36,1.39,448800,MYR
2011-11-25,1.39,1.4,1.36,1.4,928500,MYR
2011-11-29,1.43,1.44,1.4,1.4,1526500,MYR
2011-11-30,1.42,1.48,1.41,1.47,5527000,MYR
2011-12-01,1.48,1.49,1.45,1.45,676200,MYR
2011-12-02,1.45,1.45,1.43,1.45,297400,MYR
2011-12-05,1.44,1.49,1.44,1.49,1034600,MYR
2011-12-06,1.5,1.51,1.48,1.48,1560500,MYR
2011-12-07,1.48,1.53,1.47,1.53,1168700,MYR
2011-12-08,1.53,1.55,1.51,1.51,1544500,MYR
2011-12-09,1.5,1.51,1.48,1.49,1033500,MYR
2011-12-12,1.51,1.52,1.49,1.49,901800,MYR
2011-12-13,1.49,1.52,1.49,1.51,660700,MYR
2011-12-14,1.51,1.53,1.51,1.51,643500,MYR
2011-12-15,1.51,1.51,1.49,1.5,741200,MYR
2011-12-16,1.51,1.53,1.51,1.51,1158200,MYR
2011-12-19,1.51,1.52,1.48,1.48,1245800,MYR
2011-12-20,1.47,1.52,1.47,1.5,964500,MYR
2011-12-21,1.51,1.52,1.5,1.5,1098100,MYR
2011-12-22,1.52,1.53,1.51,1.52,1733400,MYR
2011-12-23,1.52,1.55,1.52,1.55,1978700,MYR
2011-12-27,1.55,1.57,1.54,1.55,1162200,MYR
2011-12-28,1.55,1.56,1.55,1.56,565800,MYR
2011-12-29,1.56,1.6,1.56,1.58,2005800,MYR
2011-12-30,1.6,1.61,1.58,1.59,3105900,MYR
2012-01-03,1.59,1.61,1.56,1.57,1632300,MYR
2012-01-04,1.57,1.59,1.54,1.54,1420200,MYR
2012-01-05,1.54,1.57,1.54,1.56,679900,MYR
2012-01-06,1.55,1.56,1.53,1.53,700400,MYR
2012-01-09,1.54,1.57,1.51,1.57,789600,MYR
2012-01-10,1.56,1.61,1.54,1.6,2484100,MYR
2012-01-11,1.6,1.68,1.6,1.63,6028500,MYR
2012-01-12,1.64,1.64,1.6,1.6,599200,MYR
2012-01-13,1.6,1.63,1.6,1.6,578800,MYR
2012-01-16,1.6,1.6,1.58,1.6,401300,MYR
2012-01-17,1.62,1.62,1.59,1.61,624200,MYR
2012-01-18,1.61,1.62,1.6,1.6,498100,MYR
2012-01-19,1.61,1.61,1.58,1.59,543100,MYR
