Date,Open,High,Low,Close,Volume,Currency
2013-03-29,0.285,0.285,0.275,0.275,137000,MYR
2013-04-01,0.32,0.32,0.28,0.28,74000,MYR
2013-04-02,0.275,0.275,0.275,0.275,487000,MYR
2013-04-03,0.275,0.275,0.265,0.27,536600,MYR
2013-04-04,0.275,0.275,0.275,0.275,61900,MYR
2013-04-05,0.275,0.28,0.275,0.275,143600,MYR
2013-04-08,0.28,0.28,0.275,0.275,193500,MYR
2013-04-09,0.275,0.31,0.275,0.295,232400,MYR
2013-04-10,0.295,0.295,0.285,0.285,123000,MYR
2013-04-11,0.28,0.28,0.28,0.28,229100,MYR
2013-04-12,0.28,0.28,0.275,0.275,105500,MYR
2013-04-15,0.27,0.275,0.27,0.275,157000,MYR
2013-04-16,0.275,0.275,0.27,0.27,102800,MYR
2013-04-17,0.275,0.275,0.27,0.27,77000,MYR
2013-04-18,0.27,0.275,0.27,0.27,211400,MYR
2013-04-19,0.275,0.28,0.275,0.28,155000,MYR
2013-04-22,0.28,0.28,0.27,0.275,188000,MYR
2013-04-23,0.275,0.275,0.275,0.275,158000,MYR
2013-04-24,0.28,0.28,0.275,0.275,115000,MYR
2013-04-25,0.275,0.275,0.275,0.275,5000,MYR
2013-04-26,0.275,0.28,0.27,0.28,150000,MYR
2013-04-29,0.27,0.27,0.27,0.27,60000,MYR
2013-04-30,0.265,0.27,0.26,0.27,468000,MYR
2013-05-02,0.255,0.255,0.225,0.23,1437500,MYR
2013-05-03,0.22,0.22,0.16,0.175,6641800,MYR
2013-05-06,0.175,0.175,0.155,0.16,2229000,MYR
2013-05-07,0.16,0.175,0.15,0.17,3148700,MYR
2013-05-08,0.14,0.155,0.135,0.14,5203200,MYR
2013-05-09,0.145,0.15,0.14,0.15,2581300,MYR
2013-05-10,0.15,0.175,0.145,0.16,1715800,MYR
2013-05-13,0.16,0.16,0.15,0.15,878000,MYR
2013-05-14,0.145,0.15,0.145,0.15,1256700,MYR
2013-05-15,0.155,0.17,0.15,0.165,1011400,MYR
2013-05-16,0.165,0.165,0.16,0.16,431300,MYR
2013-05-17,0.16,0.165,0.155,0.165,458000,MYR
2013-05-20,0.16,0.165,0.16,0.165,524900,MYR
2013-05-21,0.16,0.16,0.155,0.155,653600,MYR
2013-05-22,0.16,0.165,0.16,0.16,365500,MYR
2013-05-23,0.155,0.16,0.155,0.155,465700,MYR
2013-05-27,0.155,0.155,0.15,0.15,387800,MYR
2013-05-28,0.15,0.15,0.15,0.15,190000,MYR
2013-05-29,0.15,0.155,0.15,0.155,379000,MYR
2013-05-30,0.155,0.155,0.15,0.15,592000,MYR
2013-05-31,0.15,0.15,0.145,0.15,1046900,MYR
2013-06-03,0.15,0.17,0.15,0.16,1887000,MYR
2013-06-04,0.16,0.16,0.16,0.16,110000,MYR
2013-06-05,0.155,0.155,0.155,0.155,12000,MYR
2013-06-06,0.15,0.15,0.15,0.15,8000,MYR
2013-06-07,0.15,0.155,0.145,0.155,380100,MYR
2013-06-10,0.155,0.16,0.155,0.155,208900,MYR
2013-06-11,0.155,0.155,0.155,0.155,30000,MYR
2013-06-12,0.155,0.155,0.15,0.15,136500,MYR
2013-06-13,0.155,0.155,0.15,0.155,405100,MYR
2013-06-14,0.155,0.16,0.155,0.16,61000,MYR
2013-06-17,0.15,0.16,0.15,0.16,310900,MYR
2013-06-18,0.155,0.16,0.155,0.16,101000,MYR
2013-06-19,0.155,0.16,0.155,0.155,364700,MYR
2013-06-20,0.16,0.16,0.16,0.16,135000,MYR
2013-06-21,0.155,0.155,0.155,0.155,188200,MYR
2013-06-24,0.155,0.155,0.15,0.15,1922200,MYR
2013-06-25,0.15,0.15,0.15,0.15,39900,MYR
2013-06-26,0.15,0.15,0.15,0.15,103900,MYR
2013-06-27,0.15,0.155,0.15,0.15,100000,MYR
2013-06-28,0.15,0.155,0.145,0.145,705000,MYR
2013-07-01,0.15,0.15,0.15,0.15,100000,MYR
2013-07-02,0.145,0.145,0.14,0.14,387400,MYR
2013-07-03,0.145,0.145,0.145,0.145,59000,MYR
2013-07-04,0.145,0.15,0.145,0.145,85000,MYR
2013-07-05,0.145,0.15,0.145,0.145,152000,MYR
2013-07-08,0.14,0.145,0.14,0.145,65000,MYR
2013-07-09,0.15,0.15,0.145,0.145,70900,MYR
2013-07-10,0.145,0.15,0.145,0.15,200000,MYR
2013-07-11,0.14,0.145,0.14,0.145,635000,MYR
2013-07-12,0.145,0.15,0.145,0.145,39000,MYR
2013-07-15,0.145,0.145,0.145,0.145,45000,MYR
2013-07-16,0.15,0.15,0.14,0.15,33600,MYR
2013-07-17,0.15,0.15,0.14,0.14,86300,MYR
2013-07-18,0.145,0.15,0.145,0.15,49900,MYR
2013-07-19,0.145,0.15,0.145,0.145,129500,MYR
2013-07-22,0.145,0.145,0.14,0.145,148500,MYR
2013-07-23,0.145,0.145,0.145,0.145,105300,MYR
2013-07-24,0.145,0.15,0.145,0.145,209000,MYR
2013-07-25,0.145,0.145,0.145,0.145,137500,MYR
2013-07-26,0.145,0.15,0.145,0.15,391100,MYR
2013-07-29,0.15,0.15,0.15,0.15,66900,MYR
2013-07-30,0.15,0.155,0.145,0.155,50000,MYR
2013-07-31,0.145,0.145,0.14,0.145,392800,MYR
2013-08-02,0.145,0.145,0.145,0.145,70100,MYR
2013-08-05,0.14,0.15,0.14,0.15,147000,MYR
2013-08-06,0.15,0.15,0.15,0.15,24000,MYR
2013-08-07,0.15,0.16,0.15,0.16,50500,MYR
2013-08-12,0.15,0.16,0.15,0.16,33000,MYR
2013-08-13,0.155,0.155,0.155,0.155,76500,MYR
2013-08-14,0.15,0.16,0.15,0.16,60000,MYR
2013-08-15,0.155,0.155,0.155,0.155,85000,MYR
2013-08-16,0.16,0.175,0.16,0.165,741500,MYR
2013-08-19,0.165,0.165,0.16,0.165,72000,MYR
2013-08-20,0.17,0.17,0.165,0.165,74100,MYR
2013-08-21,0.165,0.17,0.16,0.165,57000,MYR
2013-08-22,0.16,0.16,0.155,0.155,173000,MYR
2013-08-23,0.17,0.17,0.17,0.17,5000,MYR
2013-08-26,0.16,0.16,0.16,0.16,27000,MYR
2013-08-27,0.155,0.155,0.145,0.145,217000,MYR
2013-08-28,0.145,0.145,0.14,0.145,371300,MYR
2013-08-29,0.14,0.14,0.14,0.14,50000,MYR
2013-08-30,0.145,0.145,0.14,0.14,65000,MYR
2013-09-02,0.14,0.15,0.14,0.15,68000,MYR
2013-09-03,0.14,0.14,0.14,0.14,30000,MYR
2013-09-04,0.14,0.145,0.14,0.14,140000,MYR
2013-09-05,0.14,0.14,0.14,0.14,8000,MYR
2013-09-06,0.14,0.14,0.14,0.14,160000,MYR
2013-09-09,0.14,0.145,0.14,0.14,117000,MYR
2013-09-10,0.14,0.145,0.14,0.145,121100,MYR
2013-09-11,0.145,0.145,0.14,0.14,153000,MYR
2013-09-12,0.145,0.145,0.14,0.14,160000,MYR
2013-09-13,0.145,0.155,0.145,0.145,415500,MYR
