Date,Open,High,Low,Close,Volume,Currency
2013-03-29,1.28,1.29,1.27,1.27,25900,MYR
2013-04-01,1.27,1.27,1.27,1.27,4000,MYR
2013-04-02,1.29,1.35,1.27,1.3,111000,MYR
2013-04-03,1.32,1.35,1.29,1.31,106900,MYR
2013-04-04,1.34,1.38,1.34,1.34,21000,MYR
2013-04-08,1.35,1.38,1.34,1.35,108200,MYR
2013-04-09,1.36,1.38,1.36,1.38,9000,MYR
2013-04-11,1.38,1.4,1.37,1.37,98500,MYR
2013-04-15,1.37,1.37,1.37,1.37,1000,MYR
2013-04-16,1.33,1.42,1.27,1.42,79600,MYR
2013-04-17,1.37,1.38,1.37,1.38,5100,MYR
2013-04-18,1.4,1.44,1.39,1.43,64000,MYR
2013-04-19,1.41,1.45,1.4,1.4,71900,MYR
2013-04-22,1.4,1.4,1.4,1.4,3000,MYR
2013-04-23,1.4,1.4,1.37,1.37,72500,MYR
2013-04-24,1.39,1.39,1.33,1.33,42900,MYR
2013-04-25,1.38,1.39,1.32,1.33,85400,MYR
2013-04-26,1.35,1.35,1.35,1.35,1000,MYR
2013-04-29,1.35,1.4,1.3,1.3,293500,MYR
2013-04-30,1.33,1.39,1.32,1.36,63000,MYR
2013-05-02,1.33,1.39,1.33,1.34,63600,MYR
2013-05-03,1.36,1.4,1.34,1.4,80100,MYR
2013-05-06,1.36,1.36,1.36,1.36,1000,MYR
2013-05-07,1.37,1.4,1.35,1.35,59900,MYR
2013-05-10,1.34,1.35,1.33,1.35,70000,MYR
2013-05-13,1.33,1.4,1.33,1.35,204700,MYR
2013-05-14,1.4,1.4,1.35,1.37,135000,MYR
2013-05-15,1.42,1.44,1.4,1.4,263000,MYR
2013-05-16,1.37,1.4,1.37,1.4,32000,MYR
2013-05-17,1.4,1.45,1.37,1.4,356000,MYR
2013-05-20,1.38,1.4,1.38,1.4,32000,MYR
2013-05-22,1.43,1.5,1.43,1.47,66000,MYR
2013-05-23,1.45,1.45,1.45,1.45,26000,MYR
2013-05-27,1.42,1.44,1.42,1.44,16000,MYR
2013-05-28,1.45,1.45,1.45,1.45,20000,MYR
2013-05-29,1.5,1.5,1.45,1.45,30000,MYR
2013-05-31,1.45,1.55,1.45,1.47,100000,MYR
2013-06-03,1.46,1.55,1.46,1.55,34000,MYR
2013-06-04,1.5,1.5,1.5,1.5,5000,MYR
2013-06-05,1.47,1.47,1.47,1.47,8900,MYR
2013-06-06,1.5,1.6,1.5,1.53,110200,MYR
2013-06-07,1.61,1.61,1.56,1.56,20900,MYR
2013-06-10,1.45,1.6,1.45,1.56,100200,MYR
2013-06-11,1.5,1.6,1.45,1.56,65000,MYR
2013-06-12,1.55,1.55,1.51,1.51,51000,MYR
2013-06-13,1.52,1.55,1.52,1.55,42000,MYR
2013-06-14,1.55,1.55,1.55,1.55,1800,MYR
2013-06-17,1.6,1.6,1.53,1.53,82000,MYR
2013-06-18,1.53,1.61,1.52,1.56,42000,MYR
2013-06-19,1.58,1.59,1.58,1.59,12000,MYR
2013-06-20,1.57,1.57,1.52,1.54,58000,MYR
2013-06-21,1.53,1.53,1.53,1.53,22200,MYR
2013-06-24,1.6,1.64,1.6,1.64,101000,MYR
2013-06-25,1.55,1.55,1.55,1.55,1000,MYR
2013-06-27,1.55,1.56,1.55,1.56,22000,MYR
2013-06-28,1.55,1.65,1.55,1.65,5000,MYR
2013-07-01,1.58,1.68,1.55,1.55,21100,MYR
2013-07-02,1.55,1.55,1.47,1.49,60000,MYR
2013-07-03,1.55,1.63,1.52,1.55,198100,MYR
2013-07-04,1.6,1.65,1.57,1.57,47000,MYR
2013-07-05,1.6,1.6,1.59,1.59,4900,MYR
2013-07-08,1.57,1.57,1.53,1.53,20000,MYR
2013-07-09,1.57,1.63,1.57,1.59,78900,MYR
2013-07-10,1.59,1.59,1.58,1.58,4000,MYR
2013-07-11,1.56,1.62,1.56,1.58,10000,MYR
2013-07-15,1.6,1.6,1.6,1.6,1000,MYR
2013-07-16,1.62,1.62,1.6,1.6,44500,MYR
2013-07-17,1.62,1.62,1.62,1.62,2000,MYR
2013-07-18,1.63,1.63,1.63,1.63,9000,MYR
2013-07-19,1.62,1.62,1.62,1.62,3000,MYR
2013-07-22,1.65,1.7,1.64,1.7,132600,MYR
2013-07-23,1.65,1.65,1.65,1.65,1000,MYR
2013-07-24,1.68,1.68,1.68,1.68,6000,MYR
2013-07-25,1.68,1.68,1.68,1.68,2000,MYR
2013-07-29,1.7,1.7,1.68,1.68,5000,MYR
2013-07-30,1.7,1.7,1.68,1.68,6000,MYR
2013-07-31,1.66,1.66,1.66,1.66,1000,MYR
2013-08-01,1.66,1.68,1.66,1.68,15600,MYR
2013-08-02,1.66,1.66,1.66,1.66,1700,MYR
2013-08-05,1.61,1.62,1.6,1.62,13000,MYR
2013-08-06,1.6,1.62,1.6,1.6,27000,MYR
2013-08-12,1.59,1.6,1.58,1.6,7000,MYR
2013-08-13,1.59,1.61,1.58,1.61,14000,MYR
2013-08-14,1.61,1.62,1.61,1.62,11000,MYR
2013-08-16,1.63,1.63,1.63,1.63,2000,MYR
2013-08-20,1.61,1.65,1.61,1.63,86500,MYR
2013-08-21,1.64,1.65,1.62,1.62,107000,MYR
2013-08-23,1.62,1.67,1.62,1.63,45000,MYR
2013-08-26,1.65,1.68,1.64,1.64,78500,MYR
2013-08-27,1.64,1.65,1.62,1.62,148100,MYR
2013-08-28,1.63,1.65,1.6,1.6,167000,MYR
2013-08-29,1.6,1.63,1.6,1.6,5400,MYR
2013-08-30,1.6,1.6,1.59,1.59,50000,MYR
2013-09-02,1.6,1.6,1.6,1.6,8000,MYR
2013-09-04,1.64,1.65,1.61,1.61,145000,MYR
2013-09-05,1.61,1.65,1.61,1.63,81000,MYR
2013-09-06,1.65,1.65,1.62,1.62,230000,MYR
2013-09-10,1.6,1.65,1.6,1.62,89000,MYR
2013-09-11,1.63,1.64,1.63,1.63,61500,MYR
2013-09-12,1.65,1.65,1.63,1.63,75500,MYR
2013-09-13,1.58,1.65,1.56,1.61,333000,MYR
2013-09-17,1.63,1.63,1.62,1.63,68000,MYR
2013-09-18,1.62,1.63,1.61,1.62,175100,MYR
2013-09-19,1.6,1.65,1.6,1.63,215000,MYR
2013-09-20,1.63,1.66,1.63,1.65,169100,MYR
2013-09-23,1.65,1.66,1.65,1.66,114000,MYR
2013-09-24,1.65,1.65,1.63,1.63,33000,MYR
2013-09-25,1.65,1.66,1.64,1.64,149700,MYR
