Date,Open,High,Low,Close,Volume,Currency
2013-03-28,18.48,18.48,18.3,18.4,18400,MYR
2013-03-29,18.4,18.4,18.3,18.36,21500,MYR
2013-04-01,18.2,18.3,18.2,18.3,55300,MYR
2013-04-02,18.12,18.3,18.12,18.3,72800,MYR
2013-04-03,18.3,18.4,18.22,18.32,163700,MYR
2013-04-04,18.34,18.36,18.28,18.34,149400,MYR
2013-04-05,18.24,18.3,18.0,18.0,95300,MYR
2013-04-08,17.82,18.26,17.82,17.96,50900,MYR
2013-04-09,18.18,18.18,17.9,17.9,61200,MYR
2013-04-10,17.9,18.0,17.68,17.68,76200,MYR
2013-04-11,17.7,17.8,17.64,17.8,38600,MYR
2013-04-12,17.86,17.9,17.86,17.86,46400,MYR
2013-04-15,17.86,17.9,17.8,17.82,28700,MYR
2013-04-16,17.82,17.9,17.76,17.8,83700,MYR
2013-04-17,17.8,17.84,17.78,17.78,122300,MYR
2013-04-18,17.7,17.8,17.7,17.76,35700,MYR
2013-04-19,17.78,17.88,17.72,17.88,161300,MYR
2013-04-22,17.8,17.88,17.8,17.82,55800,MYR
2013-04-23,17.88,18.1,17.88,18.1,52400,MYR
2013-04-24,17.8,18.12,17.8,18.1,33500,MYR
2013-04-25,18.1,18.86,18.1,18.7,134600,MYR
2013-04-26,18.78,18.94,18.78,18.84,196000,MYR
2013-04-29,18.74,18.78,18.66,18.66,212900,MYR
2013-04-30,18.66,18.66,18.46,18.46,44000,MYR
2013-05-02,18.36,18.46,18.22,18.3,95300,MYR
2013-05-03,18.3,18.32,18.2,18.28,127200,MYR
2013-05-06,18.5,18.7,18.36,18.66,101600,MYR
2013-05-07,18.66,19.78,18.66,19.74,292200,MYR
2013-05-08,19.7,19.8,19.26,19.56,138300,MYR
2013-05-09,19.56,20.2,19.56,20.16,271900,MYR
2013-05-10,20.2,20.3,20.04,20.16,35200,MYR
2013-05-13,20.14,20.3,20.14,20.3,58200,MYR
2013-05-14,20.26,20.78,20.2,20.74,84800,MYR
2013-05-15,20.7,20.7,20.5,20.7,125900,MYR
2013-05-16,20.7,21.0,20.66,20.86,80800,MYR
2013-05-17,20.88,20.88,20.28,20.42,98600,MYR
2013-05-20,21.0,21.0,20.3,20.5,193300,MYR
2013-05-21,20.5,20.78,20.4,20.78,44000,MYR
2013-05-22,20.78,20.88,20.5,20.5,33800,MYR
2013-05-23,20.5,21.0,20.5,21.0,155700,MYR
2013-05-27,21.18,21.28,20.42,20.84,82500,MYR
2013-05-28,21.38,21.38,20.72,20.8,25900,MYR
2013-05-29,20.8,21.0,20.8,20.8,127700,MYR
2013-05-30,20.98,20.98,20.7,20.9,31800,MYR
2013-05-31,20.9,21.52,20.88,21.52,172700,MYR
2013-06-03,21.52,21.6,21.26,21.28,57000,MYR
2013-06-04,21.3,21.58,21.3,21.52,100700,MYR
2013-06-05,21.52,21.6,21.48,21.56,107200,MYR
2013-06-06,21.5,21.52,21.5,21.5,111800,MYR
2013-06-07,21.4,21.58,21.4,21.46,296000,MYR
2013-06-10,21.5,21.56,21.5,21.54,55200,MYR
2013-06-11,22.0,22.4,21.0,21.2,80700,MYR
2013-06-12,21.2,21.3,20.8,20.92,107300,MYR
2013-06-13,20.86,21.36,20.2,21.28,1064600,MYR
2013-06-14,21.36,21.64,21.18,21.64,50600,MYR
2013-06-17,21.3,21.6,21.26,21.48,28100,MYR
2013-06-18,21.5,21.88,21.5,21.8,138400,MYR
2013-06-19,21.86,21.96,21.7,21.72,90700,MYR
2013-06-20,21.58,22.2,21.54,22.16,152100,MYR
2013-06-21,21.76,22.0,21.08,21.08,452500,MYR
2013-06-24,21.1,21.1,18.72,19.0,458000,MYR
2013-06-25,19.1,19.48,18.78,19.0,696800,MYR
2013-06-26,19.38,19.38,18.9,19.08,124200,MYR
2013-06-27,19.2,19.2,18.88,18.98,164200,MYR
2013-06-28,19.0,19.16,19.0,19.06,86800,MYR
2013-07-01,19.2,19.28,19.14,19.28,130200,MYR
2013-07-02,19.32,19.5,19.32,19.44,49900,MYR
2013-07-03,19.46,19.46,19.0,19.04,27400,MYR
2013-07-04,19.04,19.1,18.92,18.92,78300,MYR
2013-07-05,19.0,19.1,18.66,18.66,156000,MYR
2013-07-08,18.7,18.72,18.4,18.48,156300,MYR
2013-07-09,18.48,18.5,18.42,18.44,149800,MYR
2013-07-10,18.42,18.56,18.2,18.26,98900,MYR
2013-07-11,18.34,18.6,18.28,18.5,124500,MYR
2013-07-12,18.54,18.56,18.16,18.16,126700,MYR
2013-07-15,18.2,18.22,18.16,18.2,64300,MYR
2013-07-16,18.18,18.2,17.86,17.94,129400,MYR
2013-07-17,17.82,17.9,17.52,17.56,218500,MYR
2013-07-18,17.56,17.82,17.54,17.82,116100,MYR
2013-07-19,17.92,18.0,17.92,17.96,94600,MYR
2013-07-22,18.0,18.0,17.7,17.76,50800,MYR
2013-07-23,17.8,18.02,17.78,18.02,44100,MYR
2013-07-24,18.0,18.0,17.86,17.96,61100,MYR
2013-07-25,18.0,18.18,18.0,18.18,43400,MYR
2013-07-26,18.3,18.32,18.12,18.28,39200,MYR
2013-07-29,18.36,18.36,18.2,18.2,24400,MYR
2013-07-30,18.32,18.32,18.2,18.26,8600,MYR
2013-07-31,18.3,18.3,18.0,18.0,63200,MYR
2013-08-01,18.2,18.2,17.9,18.08,116100,MYR
2013-08-02,18.2,18.2,18.08,18.2,15500,MYR
2013-08-05,18.1,18.26,18.08,18.18,16800,MYR
2013-08-06,18.2,18.24,18.18,18.22,29200,MYR
2013-08-07,18.22,18.34,18.22,18.28,102700,MYR
2013-08-12,18.24,18.48,18.24,18.46,89300,MYR
2013-08-13,18.44,18.54,18.44,18.54,46000,MYR
2013-08-14,18.6,18.8,18.52,18.52,35000,MYR
2013-08-15,18.52,18.7,18.52,18.7,21900,MYR
2013-08-16,18.6,18.68,18.52,18.54,46900,MYR
2013-08-19,18.54,18.6,18.48,18.54,43900,MYR
2013-08-20,18.4,18.4,18.16,18.18,122700,MYR
2013-08-21,18.26,18.26,18.12,18.16,100800,MYR
2013-08-22,18.16,18.16,17.96,18.0,97600,MYR
2013-08-23,18.02,18.34,18.02,18.1,78400,MYR
2013-08-26,18.1,18.22,18.06,18.2,39300,MYR
2013-08-27,18.1,18.1,17.7,17.76,69300,MYR
2013-08-28,17.66,17.66,16.8,16.92,156100,MYR
2013-08-29,16.9,17.4,16.9,17.04,91400,MYR
2013-08-30,17.06,17.4,17.06,17.4,105100,MYR
2013-09-02,17.28,17.28,17.2,17.2,122700,MYR
2013-09-03,17.2,17.2,17.0,17.0,32000,MYR
2013-09-04,17.02,17.02,16.88,17.0,157900,MYR
2013-09-05,16.98,17.18,16.98,17.18,32400,MYR
2013-09-06,17.18,17.18,17.0,17.0,15400,MYR
2013-09-09,17.0,17.5,17.0,17.5,44600,MYR
2013-09-10,17.5,17.64,17.4,17.54,106500,MYR
2013-09-11,17.58,17.68,17.58,17.64,24100,MYR
2013-09-12,17.66,17.66,17.38,17.38,21000,MYR
2013-09-13,17.4,17.44,17.4,17.4,12700,MYR
2013-09-17,17.4,17.4,16.92,16.96,76300,MYR
2013-09-18,16.98,17.14,16.98,17.1,65300,MYR
2013-09-19,17.1,17.12,16.96,17.06,48200,MYR
2013-09-20,17.0,17.18,16.98,17.1,22500,MYR
2013-09-23,17.1,17.2,16.98,17.18,132300,MYR
2013-09-24,17.0,17.18,16.98,17.1,53100,MYR
2013-09-25,17.0,17.36,16.96,17.36,57900,MYR
2013-09-26,17.12,17.12,17.0,17.02,80600,MYR
2013-09-27,17.02,17.22,17.0,17.02,26000,MYR
2013-09-30,17.02,17.2,16.94,17.18,28500,MYR
2013-10-01,17.0,17.18,16.98,17.18,114700,MYR
2013-10-02,17.2,17.2,17.0,17.1,3600,MYR
2013-10-03,17.1,17.2,17.1,17.18,110900,MYR
2013-10-04,17.1,17.18,17.1,17.18,3600,MYR
2013-10-07,17.1,17.1,17.0,17.0,69100,MYR
2013-10-08,17.06,17.06,16.9,16.9,33700,MYR
2013-10-09,16.98,17.02,16.88,17.0,26000,MYR
2013-10-10,16.88,17.0,16.88,16.88,18000,MYR
2013-10-11,16.98,17.04,16.98,17.04,31800,MYR
2013-10-14,17.0,17.0,16.98,16.98,7800,MYR
2013-10-16,17.02,17.02,16.94,16.94,10000,MYR
2013-10-17,17.0,17.0,16.96,16.96,11200,MYR
2013-10-18,16.98,16.98,16.92,16.92,44800,MYR
2013-10-21,16.9,16.9,16.54,16.58,178000,MYR
2013-10-22,16.58,16.6,16.44,16.44,95400,MYR
2013-10-23,16.44,16.5,15.88,16.0,219100,MYR
2013-10-24,16.0,16.22,16.0,16.08,78700,MYR
2013-10-25,16.08,16.46,16.08,16.36,70900,MYR
2013-10-28,16.72,17.06,16.72,16.9,250400,MYR
2013-10-29,16.9,16.94,16.86,16.88,220300,MYR
2013-10-30,17.04,17.3,17.04,17.2,360200,MYR
2013-10-31,17.2,17.38,17.18,17.3,168800,MYR
2013-11-01,17.38,17.38,17.26,17.26,28400,MYR
2013-11-04,17.22,17.34,17.22,17.26,73100,MYR
2013-11-06,17.28,17.3,17.14,17.18,63400,MYR
2013-11-07,17.16,17.34,17.14,17.3,138600,MYR
2013-11-08,17.3,17.32,17.22,17.28,13500,MYR
2013-11-11,17.2,17.2,17.08,17.08,87200,MYR
2013-11-12,17.0,17.0,16.76,16.76,176600,MYR
2013-11-13,16.76,16.84,16.76,16.84,43500,MYR
2013-11-14,16.84,16.84,16.72,16.8,153700,MYR
2013-11-15,16.76,16.76,16.48,16.58,124500,MYR
2013-11-18,16.56,16.56,16.18,16.2,242000,MYR
2013-11-19,16.18,16.38,16.1,16.1,160700,MYR
2013-11-20,16.1,16.42,16.1,16.36,68600,MYR
2013-11-21,16.46,16.54,16.36,16.4,146800,MYR
2013-11-22,16.5,16.5,16.32,16.4,25000,MYR
2013-11-25,16.4,16.52,16.4,16.48,33900,MYR
2013-11-26,16.5,16.5,16.34,16.38,57500,MYR
2013-11-27,16.38,16.4,16.28,16.28,101000,MYR
2013-11-28,16.3,16.34,16.04,16.12,184400,MYR
2013-11-29,16.26,16.3,16.14,16.26,111000,MYR
2013-12-02,16.26,16.3,16.22,16.26,154800,MYR
2013-12-03,16.3,16.58,16.3,16.58,127000,MYR
2013-12-04,16.28,16.28,15.94,16.0,253500,MYR
2013-12-05,16.0,16.04,15.96,15.98,72900,MYR
2013-12-06,16.0,16.0,15.94,15.98,54200,MYR
2013-12-09,16.0,16.0,15.96,15.96,46500,MYR
2013-12-10,15.94,15.96,15.9,15.9,56900,MYR
2013-12-11,15.9,15.94,15.84,15.84,42800,MYR
2013-12-12,15.86,15.86,15.78,15.78,80700,MYR
2013-12-13,15.76,15.76,15.66,15.68,41900,MYR
2013-12-16,15.7,15.7,15.66,15.66,30500,MYR
2013-12-17,15.68,15.7,15.62,15.62,35300,MYR
2013-12-18,15.64,15.8,15.62,15.74,30900,MYR
2013-12-19,15.8,16.18,15.8,16.12,59600,MYR
2013-12-20,16.12,16.14,15.92,15.92,18200,MYR
2013-12-23,15.92,15.92,15.8,15.8,7500,MYR
2013-12-24,15.8,16.0,15.8,16.0,7200,MYR
2013-12-26,15.9,16.0,15.82,16.0,37500,MYR
2013-12-27,15.84,15.92,15.84,15.86,4400,MYR
2013-12-30,15.9,16.0,15.74,15.76,44200,MYR
2013-12-31,15.78,16.0,15.74,16.0,27900,MYR
2014-01-02,16.0,16.0,15.76,15.8,4500,MYR
