Date,Open,High,Low,Close,Volume,Currency
2013-04-09,8.5,8.62,8.5,8.58,14800,MYR
2013-04-10,8.6,8.6,8.58,8.58,3500,MYR
2013-04-11,8.58,8.58,8.5,8.5,52000,MYR
2013-04-12,8.5,8.5,8.5,8.5,28000,MYR
2013-04-15,8.5,8.5,8.46,8.46,12500,MYR
2013-04-16,8.5,8.6,8.5,8.6,3200,MYR
2013-04-17,8.62,8.62,8.59,8.59,5000,MYR
2013-04-18,8.51,8.6,8.5,8.59,3900,MYR
2013-04-19,8.56,8.6,8.55,8.6,15100,MYR
2013-04-22,8.6,8.6,8.45,8.45,33200,MYR
2013-04-23,8.55,8.6,8.55,8.55,5100,MYR
2013-04-24,8.5,8.55,8.42,8.55,10100,MYR
2013-04-25,8.58,8.64,8.55,8.55,13800,MYR
2013-04-26,8.6,8.6,8.6,8.6,100,MYR
2013-04-29,8.58,8.65,8.5,8.54,52200,MYR
2013-04-30,8.52,8.52,8.45,8.45,26000,MYR
2013-05-02,8.41,8.45,8.41,8.42,5900,MYR
2013-05-03,8.4,8.58,8.4,8.5,13400,MYR
2013-05-06,8.55,8.6,8.5,8.5,26700,MYR
2013-05-07,8.55,8.55,8.54,8.54,20200,MYR
2013-05-08,8.54,8.55,8.24,8.35,75900,MYR
2013-05-09,8.35,8.36,8.35,8.35,922100,MYR
2013-05-10,8.38,8.38,8.35,8.38,5600,MYR
2013-05-13,8.51,8.6,8.43,8.55,29900,MYR
2013-05-14,8.55,8.58,8.54,8.55,41300,MYR
2013-05-15,8.55,8.55,8.54,8.55,29400,MYR
2013-05-16,8.43,8.59,8.43,8.58,26500,MYR
2013-05-17,8.57,8.57,8.57,8.57,100,MYR
2013-05-20,8.6,8.6,8.55,8.6,11400,MYR
2013-05-21,8.5,8.5,8.48,8.49,16500,MYR
2013-05-22,8.55,8.6,8.55,8.55,35500,MYR
2013-05-23,8.5,8.56,8.5,8.56,5500,MYR
2013-05-27,8.58,8.6,8.45,8.46,35300,MYR
2013-05-28,8.58,8.58,8.48,8.54,3800,MYR
2013-05-29,8.56,8.58,8.55,8.55,17200,MYR
2013-05-30,8.54,8.54,8.54,8.54,100,MYR
2013-05-31,8.55,8.55,8.52,8.52,35300,MYR
2013-06-03,8.54,8.54,8.5,8.5,9300,MYR
2013-06-04,8.49,8.5,8.4,8.4,10000,MYR
2013-06-05,8.5,8.55,8.5,8.5,11300,MYR
2013-06-06,8.5,8.5,8.42,8.43,19500,MYR
2013-06-07,8.45,8.5,8.45,8.5,6000,MYR
2013-06-10,8.55,8.56,8.43,8.54,14100,MYR
2013-06-11,8.5,8.5,8.5,8.5,600,MYR
2013-06-12,8.5,8.5,8.5,8.5,2800,MYR
2013-06-13,8.5,8.5,8.35,8.48,29800,MYR
2013-06-14,8.5,8.5,8.38,8.49,5500,MYR
2013-06-17,8.49,8.5,8.45,8.45,7800,MYR
2013-06-18,8.54,8.54,8.48,8.48,4200,MYR
2013-06-19,8.4,8.52,8.4,8.49,15500,MYR
2013-06-20,8.4,8.5,8.4,8.41,7600,MYR
2013-06-21,8.5,8.5,8.45,8.49,17400,MYR
2013-06-24,8.49,8.49,8.42,8.49,12900,MYR
2013-06-25,8.42,8.45,8.41,8.44,4900,MYR
2013-06-26,8.41,8.42,8.41,8.42,3000,MYR
2013-06-27,8.45,8.45,8.4,8.4,22400,MYR
2013-06-28,8.4,8.4,8.4,8.4,8000,MYR
2013-07-01,8.35,8.38,8.33,8.33,6700,MYR
2013-07-02,8.31,8.48,8.31,8.37,6100,MYR
2013-07-03,8.45,8.45,8.34,8.42,11100,MYR
2013-07-04,8.45,8.48,8.45,8.48,5000,MYR
2013-07-05,8.38,8.39,8.31,8.36,48500,MYR
2013-07-08,8.36,8.37,8.35,8.35,5000,MYR
2013-07-09,8.4,8.4,8.4,8.4,4000,MYR
