Date,Open,High,Low,Close,Volume,Currency
2013-04-01,0.56,0.565,0.56,0.565,14500,MYR
2013-04-02,0.565,0.57,0.56,0.57,60500,MYR
2013-04-03,0.56,0.57,0.55,0.56,129500,MYR
2013-04-04,0.575,0.575,0.575,0.575,4000,MYR
2013-04-05,0.57,0.57,0.56,0.56,14500,MYR
2013-04-08,0.565,0.575,0.565,0.575,121500,MYR
2013-04-09,0.575,0.575,0.57,0.57,32200,MYR
2013-04-10,0.57,0.575,0.57,0.57,36500,MYR
2013-04-11,0.57,0.575,0.565,0.565,63500,MYR
2013-04-12,0.57,0.575,0.565,0.575,22000,MYR
2013-04-15,0.565,0.575,0.565,0.57,75200,MYR
2013-04-16,0.565,0.565,0.565,0.565,39000,MYR
2013-04-17,0.57,0.575,0.57,0.575,45100,MYR
2013-04-18,0.57,0.57,0.57,0.57,63300,MYR
2013-04-22,0.575,0.575,0.57,0.575,38000,MYR
2013-04-23,0.56,0.57,0.56,0.57,56000,MYR
2013-04-24,0.565,0.565,0.565,0.565,75000,MYR
2013-04-25,0.555,0.565,0.555,0.555,63000,MYR
2013-04-26,0.555,0.56,0.555,0.555,230700,MYR
2013-04-29,0.56,0.56,0.555,0.56,265000,MYR
2013-04-30,0.56,0.56,0.55,0.55,69000,MYR
2013-05-02,0.555,0.555,0.54,0.55,89500,MYR
2013-05-03,0.55,0.55,0.535,0.535,229600,MYR
2013-05-06,0.55,0.555,0.55,0.555,50100,MYR
2013-05-07,0.55,0.56,0.54,0.545,206600,MYR
2013-05-08,0.55,0.56,0.545,0.555,141500,MYR
2013-05-09,0.56,0.56,0.56,0.56,77500,MYR
2013-05-10,0.56,0.57,0.56,0.565,202500,MYR
2013-05-13,0.565,0.58,0.56,0.57,763500,MYR
2013-05-14,0.575,0.58,0.56,0.565,319000,MYR
2013-05-15,0.57,0.57,0.565,0.565,114400,MYR
2013-05-16,0.57,0.58,0.57,0.575,243800,MYR
2013-05-17,0.575,0.575,0.57,0.575,75600,MYR
2013-05-20,0.575,0.595,0.575,0.595,602700,MYR
2013-05-21,0.595,0.595,0.585,0.59,144900,MYR
2013-05-22,0.59,0.59,0.58,0.58,599000,MYR
2013-05-23,0.575,0.575,0.555,0.56,919500,MYR
2013-05-27,0.56,0.565,0.56,0.565,206000,MYR
2013-05-28,0.565,0.575,0.565,0.57,170400,MYR
2013-05-29,0.57,0.575,0.565,0.57,317500,MYR
2013-05-30,0.57,0.57,0.57,0.57,195000,MYR
2013-05-31,0.57,0.575,0.57,0.575,159000,MYR
2013-06-03,0.575,0.575,0.57,0.575,416100,MYR
2013-06-04,0.575,0.575,0.57,0.575,300000,MYR
2013-06-05,0.57,0.575,0.565,0.565,93500,MYR
2013-06-06,0.57,0.57,0.56,0.56,176500,MYR
2013-06-07,0.56,0.57,0.56,0.56,139500,MYR
2013-06-10,0.565,0.565,0.56,0.565,115500,MYR
2013-06-11,0.57,0.57,0.57,0.57,97000,MYR
2013-06-12,0.57,0.57,0.565,0.565,80300,MYR
2013-06-13,0.565,0.565,0.56,0.56,274000,MYR
2013-06-14,0.56,0.565,0.56,0.56,146100,MYR
2013-06-17,0.57,0.57,0.56,0.56,123000,MYR
2013-06-18,0.565,0.57,0.565,0.565,53000,MYR
2013-06-19,0.565,0.57,0.565,0.57,25500,MYR
2013-06-20,0.565,0.575,0.565,0.575,51000,MYR
2013-06-21,0.56,0.575,0.555,0.575,196900,MYR
2013-06-24,0.57,0.57,0.56,0.57,94400,MYR
2013-06-25,0.565,0.565,0.56,0.56,123000,MYR
2013-06-26,0.56,0.565,0.56,0.565,67000,MYR
2013-06-27,0.56,0.565,0.56,0.56,48000,MYR
2013-06-28,0.57,0.57,0.56,0.56,67000,MYR
2013-07-01,0.56,0.565,0.56,0.565,26300,MYR
2013-07-02,0.565,0.565,0.56,0.56,52500,MYR
2013-07-03,0.575,0.575,0.56,0.56,17800,MYR
2013-07-04,0.565,0.57,0.56,0.56,23500,MYR
2013-07-05,0.565,0.565,0.565,0.565,155000,MYR
2013-07-08,0.57,0.57,0.565,0.565,179500,MYR
2013-07-09,0.57,0.57,0.57,0.57,75000,MYR
2013-07-10,0.57,0.57,0.57,0.57,102800,MYR
2013-07-11,0.57,0.575,0.57,0.575,167000,MYR
2013-07-12,0.575,0.575,0.57,0.57,134500,MYR
2013-07-15,0.57,0.575,0.57,0.57,83000,MYR
2013-07-16,0.575,0.575,0.57,0.57,108000,MYR
2013-07-17,0.575,0.575,0.57,0.57,84600,MYR
2013-07-18,0.575,0.575,0.57,0.57,179000,MYR
2013-07-19,0.57,0.6,0.57,0.59,525900,MYR
2013-07-22,0.59,0.59,0.585,0.585,78000,MYR
2013-07-23,0.585,0.635,0.585,0.635,1068400,MYR
2013-07-24,0.64,0.645,0.62,0.625,466300,MYR
2013-07-25,0.615,0.615,0.61,0.61,103000,MYR
2013-07-26,0.62,0.62,0.61,0.615,82500,MYR
2013-07-29,0.615,0.615,0.595,0.595,136700,MYR
2013-07-30,0.595,0.595,0.585,0.585,124000,MYR
2013-07-31,0.59,0.59,0.58,0.58,157600,MYR
2013-08-01,0.585,0.595,0.585,0.585,58000,MYR
2013-08-02,0.59,0.595,0.59,0.59,123000,MYR
2013-08-05,0.59,0.59,0.58,0.59,252500,MYR
2013-08-06,0.585,0.595,0.585,0.595,93500,MYR
2013-08-07,0.59,0.59,0.59,0.59,70000,MYR
2013-08-12,0.585,0.595,0.585,0.595,550800,MYR
2013-08-13,0.595,0.6,0.59,0.59,246000,MYR
2013-08-14,0.59,0.595,0.59,0.59,128000,MYR
2013-08-15,0.595,0.595,0.59,0.59,60100,MYR
2013-08-16,0.595,0.615,0.595,0.605,250000,MYR
2013-08-19,0.605,0.605,0.595,0.6,209000,MYR
2013-08-20,0.595,0.595,0.59,0.59,502500,MYR
2013-08-21,0.59,0.59,0.59,0.59,55000,MYR
2013-08-22,0.58,0.585,0.575,0.58,259400,MYR
2013-08-23,0.59,0.6,0.58,0.58,137700,MYR
2013-08-26,0.58,0.59,0.575,0.59,247100,MYR
2013-08-27,0.565,0.57,0.56,0.57,209000,MYR
2013-08-28,0.55,0.565,0.545,0.565,364500,MYR
2013-08-29,0.575,0.59,0.575,0.585,358000,MYR
2013-08-30,0.585,0.585,0.58,0.585,201200,MYR
2013-09-02,0.585,0.61,0.575,0.59,764500,MYR
2013-09-03,0.59,0.61,0.59,0.61,531500,MYR
2013-09-04,0.605,0.61,0.605,0.605,746000,MYR
2013-09-05,0.61,0.62,0.605,0.62,465500,MYR
2013-09-06,0.62,0.62,0.605,0.61,348200,MYR
2013-09-09,0.615,0.615,0.61,0.61,105000,MYR
2013-09-10,0.605,0.615,0.605,0.61,237500,MYR
2013-09-11,0.615,0.615,0.605,0.61,124200,MYR
