Date,Open,High,Low,Close,Volume,Currency
2014-09-05,0.21,0.21,0.205,0.205,7130400,MYR
2014-09-08,0.21,0.22,0.21,0.215,19101400,MYR
2014-09-09,0.215,0.215,0.2,0.205,8439000,MYR
2014-09-10,0.21,0.21,0.19,0.195,9373500,MYR
2014-09-11,0.195,0.2,0.19,0.195,2609200,MYR
2014-09-12,0.195,0.195,0.18,0.185,11557500,MYR
2014-09-15,0.18,0.185,0.175,0.18,8764100,MYR
2014-09-17,0.18,0.18,0.175,0.18,6331400,MYR
2014-09-18,0.18,0.18,0.175,0.175,2968900,MYR
2014-09-19,0.175,0.185,0.175,0.18,15319900,MYR
2014-09-22,0.18,0.185,0.175,0.185,3521800,MYR
2014-09-23,0.185,0.185,0.175,0.175,5070500,MYR
2014-09-24,0.175,0.18,0.175,0.175,1842800,MYR
2014-09-25,0.175,0.18,0.17,0.17,5666000,MYR
2014-09-26,0.175,0.175,0.17,0.17,2562000,MYR
2014-09-29,0.17,0.175,0.17,0.17,1979300,MYR
2014-09-30,0.17,0.17,0.17,0.17,950100,MYR
2014-10-01,0.175,0.175,0.165,0.165,7384300,MYR
2014-10-02,0.16,0.165,0.155,0.16,3601100,MYR
2014-10-03,0.16,0.165,0.155,0.16,3396800,MYR
2014-10-07,0.16,0.16,0.155,0.155,1562700,MYR
2014-10-08,0.155,0.155,0.145,0.15,4260900,MYR
2014-10-09,0.15,0.155,0.145,0.15,1154700,MYR
2014-10-10,0.15,0.15,0.145,0.15,1774500,MYR
2014-10-13,0.145,0.15,0.14,0.15,3228800,MYR
2014-10-14,0.145,0.145,0.14,0.14,1769000,MYR
2014-10-15,0.145,0.145,0.135,0.135,3765800,MYR
2014-10-16,0.135,0.135,0.12,0.125,4350900,MYR
2014-10-17,0.125,0.135,0.125,0.13,1052800,MYR
2014-10-20,0.135,0.14,0.13,0.13,1911600,MYR
2014-10-21,0.13,0.13,0.125,0.13,1937000,MYR
2014-10-23,0.13,0.14,0.13,0.14,2008500,MYR
2014-10-24,0.14,0.14,0.13,0.13,1719300,MYR
2014-10-27,0.135,0.14,0.13,0.14,4117700,MYR
2014-10-28,0.135,0.14,0.13,0.135,1395300,MYR
2014-10-29,0.135,0.135,0.135,0.135,1871000,MYR
2014-10-30,0.135,0.14,0.135,0.14,365500,MYR
2014-10-31,0.14,0.145,0.14,0.145,5235800,MYR
2014-11-03,0.145,0.15,0.145,0.145,2109000,MYR
2014-11-04,0.14,0.14,0.135,0.14,878400,MYR
2014-11-05,0.14,0.14,0.135,0.135,219000,MYR
2014-11-06,0.14,0.15,0.135,0.145,6589200,MYR
2014-11-07,0.15,0.165,0.15,0.16,11984000,MYR
2014-11-10,0.165,0.17,0.16,0.165,3336600,MYR
2014-11-11,0.165,0.165,0.155,0.16,1452900,MYR
2014-11-12,0.16,0.16,0.145,0.155,4636900,MYR
2014-11-13,0.155,0.155,0.14,0.15,2575100,MYR
2014-11-14,0.15,0.15,0.14,0.145,1322700,MYR
2014-11-17,0.14,0.14,0.14,0.14,1400800,MYR
2014-11-18,0.14,0.14,0.135,0.14,524600,MYR
2014-11-19,0.145,0.145,0.14,0.14,2943500,MYR
2014-11-20,0.14,0.14,0.14,0.14,312800,MYR
2014-11-21,0.14,0.145,0.14,0.145,816600,MYR
2014-11-24,0.145,0.145,0.14,0.14,944100,MYR
2014-11-25,0.14,0.14,0.135,0.14,1448400,MYR
2014-11-26,0.14,0.14,0.135,0.135,215400,MYR
2014-11-27,0.135,0.14,0.13,0.14,1449500,MYR
2014-11-28,0.135,0.135,0.13,0.135,864000,MYR
2014-12-01,0.13,0.13,0.125,0.13,2775600,MYR
2014-12-02,0.13,0.13,0.125,0.13,595000,MYR
2014-12-03,0.13,0.13,0.125,0.13,1920000,MYR
2014-12-04,0.13,0.13,0.125,0.13,530200,MYR
2014-12-05,0.135,0.135,0.13,0.13,280000,MYR
2014-12-08,0.13,0.13,0.13,0.13,200500,MYR
2014-12-09,0.13,0.13,0.13,0.13,568000,MYR
2014-12-10,0.13,0.13,0.13,0.13,271000,MYR
2014-12-11,0.13,0.13,0.13,0.13,110000,MYR
2014-12-12,0.125,0.13,0.125,0.125,167300,MYR
2014-12-15,0.125,0.125,0.115,0.12,1591800,MYR
2014-12-16,0.115,0.12,0.11,0.12,190000,MYR
2014-12-17,0.115,0.12,0.115,0.12,291300,MYR
2014-12-18,0.12,0.125,0.12,0.125,389100,MYR
2014-12-19,0.12,0.125,0.12,0.125,307000,MYR
2014-12-22,0.125,0.125,0.12,0.125,109400,MYR
2014-12-23,0.13,0.13,0.125,0.125,254200,MYR
2014-12-24,0.125,0.13,0.12,0.13,579500,MYR
2014-12-26,0.125,0.13,0.125,0.13,125000,MYR
2014-12-29,0.125,0.13,0.125,0.13,370000,MYR
2014-12-30,0.13,0.13,0.13,0.13,10000,MYR
2014-12-31,0.125,0.125,0.125,0.125,50000,MYR
2015-01-02,0.125,0.135,0.125,0.135,410000,MYR
2015-01-06,0.125,0.125,0.12,0.125,227000,MYR
2015-01-07,0.12,0.125,0.12,0.125,839300,MYR
2015-01-08,0.125,0.125,0.125,0.125,60000,MYR
2015-01-09,0.125,0.125,0.12,0.12,275000,MYR
2015-01-12,0.12,0.12,0.12,0.12,36500,MYR
2015-01-13,0.12,0.125,0.12,0.125,466900,MYR
2015-01-14,0.125,0.13,0.125,0.13,1078200,MYR
2015-01-15,0.13,0.13,0.13,0.13,5530000,MYR
2015-01-16,0.13,0.13,0.13,0.13,80000,MYR
2015-01-19,0.13,0.14,0.13,0.13,3409500,MYR
2015-01-20,0.135,0.135,0.13,0.13,167000,MYR
2015-01-21,0.135,0.135,0.125,0.125,1628000,MYR
2015-01-22,0.13,0.135,0.13,0.135,274000,MYR
2015-01-23,0.135,0.145,0.13,0.14,7258000,MYR
2015-01-26,0.135,0.135,0.135,0.135,772500,MYR
2015-01-27,0.135,0.14,0.13,0.14,670600,MYR
2015-01-28,0.135,0.14,0.135,0.14,239100,MYR
2015-01-29,0.135,0.145,0.135,0.135,10191100,MYR
2015-01-30,0.135,0.135,0.13,0.13,140000,MYR
2015-02-04,0.13,0.135,0.13,0.13,3401400,MYR
2015-02-05,0.13,0.135,0.13,0.135,1710000,MYR
2015-02-06,0.13,0.14,0.125,0.13,11428600,MYR
2015-02-09,0.13,0.13,0.125,0.13,69100,MYR
2015-02-10,0.125,0.125,0.125,0.125,76000,MYR
2015-02-11,0.125,0.13,0.125,0.13,2358100,MYR
2015-02-12,0.13,0.13,0.125,0.125,529200,MYR
2015-02-13,0.125,0.125,0.125,0.125,75000,MYR
2015-02-16,0.125,0.125,0.125,0.125,508900,MYR
2015-02-17,0.125,0.125,0.125,0.125,2719800,MYR
2015-02-18,0.125,0.125,0.125,0.125,40000,MYR
2015-02-23,0.125,0.13,0.125,0.13,40000,MYR
2015-02-24,0.125,0.125,0.125,0.125,672500,MYR
2015-02-25,0.125,0.125,0.125,0.125,680000,MYR
2015-02-26,0.13,0.135,0.125,0.135,1905400,MYR
2015-02-27,0.13,0.13,0.125,0.13,285100,MYR
2015-03-02,0.125,0.13,0.125,0.125,1186300,MYR
2015-03-03,0.125,0.125,0.125,0.125,349600,MYR
2015-03-04,0.125,0.13,0.12,0.13,1812900,MYR
2015-03-05,0.125,0.125,0.12,0.125,699600,MYR
2015-03-06,0.125,0.125,0.125,0.125,137000,MYR
2015-03-09,0.125,0.125,0.12,0.12,640100,MYR
2015-03-10,0.125,0.125,0.12,0.125,542600,MYR
2015-03-11,0.12,0.135,0.12,0.13,4497800,MYR
2015-03-12,0.13,0.165,0.13,0.165,48934200,MYR
2015-03-13,0.165,0.165,0.14,0.14,16259700,MYR
2015-03-16,0.145,0.15,0.14,0.15,3580100,MYR
2015-03-17,0.145,0.145,0.135,0.14,3220800,MYR
2015-03-18,0.135,0.135,0.13,0.135,4343600,MYR
