Date,Open,High,Low,Close,Volume,Currency
2013-04-01,1.74,1.74,1.74,1.74,7000,MYR
2013-04-02,1.74,1.77,1.74,1.77,15600,MYR
2013-04-03,1.76,1.76,1.76,1.76,6500,MYR
2013-04-04,1.74,1.74,1.74,1.74,2000,MYR
2013-04-05,1.76,1.76,1.76,1.76,3000,MYR
2013-04-08,1.79,1.79,1.76,1.76,9000,MYR
2013-04-09,1.76,1.76,1.76,1.76,2000,MYR
2013-04-10,1.76,1.77,1.76,1.77,25000,MYR
2013-04-11,1.77,1.77,1.76,1.77,32100,MYR
2013-04-12,1.76,1.76,1.72,1.75,17000,MYR
2013-04-15,1.75,1.76,1.75,1.76,6400,MYR
2013-04-16,1.76,1.76,1.75,1.75,4300,MYR
2013-04-17,1.75,1.76,1.75,1.76,3100,MYR
2013-04-18,1.77,1.77,1.75,1.75,4100,MYR
2013-04-19,1.76,1.76,1.75,1.75,13000,MYR
2013-04-22,1.75,1.76,1.75,1.76,6300,MYR
2013-04-23,1.75,1.76,1.75,1.76,6100,MYR
2013-04-24,1.75,1.75,1.75,1.75,5000,MYR
2013-04-25,1.75,1.76,1.75,1.76,12000,MYR
2013-04-26,1.76,1.76,1.76,1.76,2000,MYR
2013-04-29,1.7,1.74,1.7,1.74,3600,MYR
2013-05-02,1.78,1.83,1.75,1.76,49600,MYR
2013-05-03,1.77,1.77,1.76,1.77,47700,MYR
2013-05-06,1.87,1.87,1.83,1.83,12300,MYR
2013-05-07,1.83,1.87,1.83,1.84,83000,MYR
2013-05-08,1.85,1.85,1.82,1.83,234100,MYR
2013-05-09,1.83,1.83,1.82,1.83,139200,MYR
2013-05-10,1.83,1.83,1.81,1.83,698800,MYR
2013-05-13,1.84,1.86,1.82,1.83,843800,MYR
2013-05-14,1.84,1.84,1.82,1.83,333500,MYR
2013-05-15,1.82,1.82,1.79,1.81,74600,MYR
2013-05-16,1.83,1.83,1.78,1.81,44200,MYR
2013-05-17,1.81,1.81,1.78,1.79,45000,MYR
2013-05-20,1.79,1.8,1.79,1.8,127500,MYR
2013-05-21,1.81,1.82,1.81,1.81,56000,MYR
2013-05-22,1.81,1.82,1.81,1.82,67500,MYR
2013-05-23,1.82,1.82,1.8,1.81,170300,MYR
2013-05-27,1.81,1.82,1.81,1.81,97000,MYR
2013-05-28,1.81,1.82,1.81,1.82,55100,MYR
2013-05-29,1.83,1.83,1.81,1.81,97000,MYR
2013-05-30,1.81,1.81,1.8,1.81,20800,MYR
2013-05-31,1.8,1.8,1.8,1.8,77000,MYR
2013-06-03,1.8,1.8,1.79,1.8,27800,MYR
2013-06-04,1.8,1.8,1.79,1.8,5200,MYR
2013-06-05,1.8,1.8,1.78,1.79,54000,MYR
2013-06-06,1.79,1.81,1.79,1.81,41000,MYR
2013-06-07,1.81,1.81,1.81,1.81,30500,MYR
2013-06-10,1.84,1.85,1.84,1.85,41800,MYR
2013-06-11,1.84,1.85,1.84,1.84,26000,MYR
2013-06-12,1.84,1.84,1.83,1.83,9000,MYR
2013-06-13,1.83,1.83,1.8,1.8,266800,MYR
2013-06-14,1.8,1.83,1.8,1.83,32000,MYR
2013-06-17,1.83,1.85,1.83,1.85,3400,MYR
2013-06-18,1.85,1.85,1.81,1.82,8000,MYR
2013-06-19,1.81,1.85,1.81,1.84,37900,MYR
2013-06-20,1.81,1.85,1.81,1.83,28400,MYR
2013-06-21,1.83,1.83,1.82,1.82,25100,MYR
2013-06-24,1.83,1.83,1.81,1.81,27900,MYR
2013-06-25,1.82,1.84,1.81,1.82,47000,MYR
2013-06-26,1.84,1.84,1.82,1.83,18600,MYR
2013-06-27,1.83,1.85,1.83,1.85,23800,MYR
2013-06-28,1.89,1.89,1.85,1.86,10200,MYR
2013-07-01,1.85,1.89,1.85,1.87,41100,MYR
2013-07-02,1.87,1.91,1.87,1.89,99400,MYR
2013-07-03,1.89,1.89,1.88,1.88,10600,MYR
2013-07-04,1.89,1.92,1.89,1.92,153200,MYR
2013-07-05,1.92,1.93,1.91,1.93,103100,MYR
2013-07-08,1.95,1.95,1.92,1.92,69000,MYR
2013-07-09,1.92,1.92,1.92,1.92,16000,MYR
2013-07-10,1.91,1.93,1.91,1.93,9100,MYR
2013-07-11,1.94,1.94,1.92,1.92,53200,MYR
2013-07-12,1.92,1.94,1.92,1.93,44900,MYR
2013-07-15,1.93,1.95,1.93,1.94,108600,MYR
