Date,Open,High,Low,Close,Volume,Currency
2017-01-11,0.367,0.37,0.343,0.347,7581000,MYR
2017-01-12,0.343,0.357,0.34,0.347,13650290,MYR
2017-01-13,0.347,0.36,0.347,0.353,10244990,MYR
2017-01-16,0.347,0.357,0.347,0.357,10202690,MYR
2017-01-17,0.353,0.363,0.337,0.343,17014190,MYR
2017-01-18,0.343,0.343,0.32,0.327,7359300,MYR
2017-01-19,0.327,0.327,0.313,0.317,3162000,MYR
2017-01-20,0.317,0.32,0.313,0.317,2645850,MYR
2017-01-23,0.32,0.32,0.307,0.313,4581600,MYR
2017-01-24,0.313,0.317,0.307,0.307,2155800,MYR
2017-01-25,0.31,0.31,0.307,0.31,1461450,MYR
2017-01-26,0.31,0.317,0.307,0.31,1072200,MYR
2017-01-27,0.31,0.313,0.307,0.313,1337850,MYR
2017-01-31,0.31,0.31,0.307,0.31,924900,MYR
2017-02-02,0.31,0.327,0.31,0.323,2601900,MYR
2017-02-03,0.32,0.323,0.317,0.32,582150,MYR
2017-02-06,0.313,0.327,0.313,0.317,2127900,MYR
2017-02-07,0.32,0.32,0.313,0.317,463050,MYR
2017-02-08,0.317,0.32,0.313,0.313,813750,MYR
2017-02-10,0.317,0.32,0.313,0.317,735750,MYR
2017-02-13,0.317,0.327,0.317,0.323,1244700,MYR
2017-02-14,0.323,0.333,0.32,0.33,4084050,MYR
2017-02-15,0.33,0.333,0.33,0.33,1005000,MYR
2017-02-16,0.33,0.333,0.323,0.323,414450,MYR
2017-02-17,0.32,0.32,0.317,0.32,808800,MYR
2017-02-20,0.32,0.32,0.317,0.317,904350,MYR
2017-02-21,0.317,0.32,0.313,0.317,877950,MYR
2017-02-22,0.317,0.32,0.317,0.317,235200,MYR
2017-02-23,0.317,0.317,0.313,0.317,442500,MYR
2017-02-24,0.313,0.317,0.313,0.317,819150,MYR
2017-02-27,0.317,0.317,0.31,0.31,916800,MYR
2017-02-28,0.31,0.313,0.307,0.31,411450,MYR
2017-03-01,0.307,0.32,0.287,0.313,3613650,MYR
2017-03-02,0.313,0.313,0.307,0.307,374700,MYR
2017-03-03,0.307,0.31,0.307,0.31,1653300,MYR
2017-03-06,0.31,0.313,0.307,0.307,520200,MYR
2017-03-07,0.307,0.32,0.307,0.31,1453650,MYR
2017-03-08,0.31,0.317,0.307,0.313,846450,MYR
2017-03-09,0.31,0.313,0.307,0.313,759900,MYR
2017-03-10,0.31,0.31,0.307,0.307,1577700,MYR
2017-03-13,0.303,0.31,0.303,0.31,1195200,MYR
2017-03-14,0.307,0.307,0.303,0.307,525000,MYR
2017-03-15,0.307,0.307,0.303,0.307,1084650,MYR
2017-03-16,0.307,0.307,0.303,0.307,282300,MYR
2017-03-17,0.31,0.32,0.307,0.313,2990850,MYR
