Date,Open,High,Low,Close,Volume,Currency
2013-02-19,0.41,0.42,0.4,0.415,1101000,MYR
2013-02-20,0.42,0.42,0.42,0.42,1096100,MYR
2013-02-21,0.42,0.435,0.42,0.435,2656400,MYR
2013-02-22,0.43,0.445,0.43,0.445,2291000,MYR
2013-02-25,0.44,0.45,0.435,0.445,1859100,MYR
2013-02-26,0.445,0.45,0.44,0.445,1291200,MYR
2013-02-27,0.44,0.45,0.435,0.45,3835700,MYR
2013-02-28,0.45,0.45,0.445,0.445,2822300,MYR
2013-03-01,0.445,0.465,0.445,0.46,5241200,MYR
2013-03-04,0.49,0.49,0.465,0.465,9641400,MYR
2013-03-05,0.465,0.475,0.445,0.45,7867500,MYR
2013-03-06,0.445,0.455,0.44,0.455,1159300,MYR
2013-03-07,0.455,0.46,0.455,0.46,3372000,MYR
2013-03-08,0.46,0.465,0.455,0.465,12177000,MYR
2013-03-11,0.465,0.48,0.465,0.475,2859400,MYR
2013-03-12,0.48,0.48,0.47,0.48,1668000,MYR
2013-03-13,0.48,0.48,0.45,0.45,2510000,MYR
2013-03-14,0.445,0.465,0.445,0.455,7524000,MYR
2013-03-15,0.455,0.455,0.45,0.455,5868500,MYR
2013-03-18,0.455,0.455,0.44,0.45,1583100,MYR
2013-03-19,0.45,0.45,0.44,0.44,647200,MYR
2013-03-20,0.44,0.44,0.43,0.44,1006200,MYR
2013-03-21,0.43,0.44,0.42,0.43,3843100,MYR
2013-03-22,0.43,0.43,0.42,0.42,1572300,MYR
2013-03-25,0.425,0.425,0.41,0.415,1320000,MYR
2013-03-26,0.415,0.42,0.415,0.42,1684500,MYR
2013-03-27,0.425,0.425,0.42,0.42,2918800,MYR
2013-03-28,0.42,0.43,0.42,0.43,1102700,MYR
2013-03-29,0.42,0.425,0.42,0.425,240000,MYR
2013-04-01,0.425,0.435,0.425,0.43,3142100,MYR
2013-04-02,0.425,0.445,0.425,0.435,1729100,MYR
2013-04-03,0.44,0.44,0.42,0.43,2303900,MYR
2013-04-04,0.43,0.43,0.425,0.43,389400,MYR
2013-04-05,0.425,0.435,0.415,0.415,2823200,MYR
2013-04-08,0.42,0.42,0.41,0.415,3358200,MYR
2013-04-09,0.415,0.425,0.415,0.415,1720600,MYR
2013-04-10,0.415,0.42,0.415,0.415,678800,MYR
2013-04-11,0.415,0.42,0.41,0.42,1294200,MYR
2013-04-12,0.42,0.42,0.41,0.42,449700,MYR
2013-04-15,0.42,0.42,0.415,0.415,76600,MYR
2013-04-16,0.415,0.425,0.415,0.425,239500,MYR
2013-04-17,0.425,0.425,0.42,0.42,160000,MYR
2013-04-18,0.425,0.425,0.415,0.425,52000,MYR
2013-04-19,0.42,0.42,0.415,0.42,79300,MYR
2013-04-22,0.415,0.415,0.41,0.415,211000,MYR
2013-04-23,0.41,0.41,0.41,0.41,255600,MYR
2013-04-24,0.41,0.415,0.405,0.41,145700,MYR
2013-04-25,0.41,0.415,0.41,0.415,75600,MYR
2013-04-26,0.41,0.415,0.405,0.405,269500,MYR
2013-04-29,0.405,0.415,0.405,0.41,178500,MYR
2013-04-30,0.41,0.41,0.405,0.41,34300,MYR
2013-05-02,0.405,0.405,0.4,0.405,170000,MYR
2013-05-03,0.4,0.4,0.39,0.4,760000,MYR
2013-05-06,0.41,0.425,0.41,0.425,78000,MYR
2013-05-07,0.405,0.42,0.405,0.415,188500,MYR
2013-05-08,0.41,0.415,0.41,0.41,694100,MYR
2013-05-09,0.41,0.42,0.405,0.42,361600,MYR
2013-05-10,0.41,0.415,0.41,0.415,487600,MYR
2013-05-13,0.415,0.425,0.415,0.415,529500,MYR
2013-05-14,0.42,0.435,0.42,0.425,2972400,MYR
2013-05-15,0.43,0.43,0.41,0.415,1089500,MYR
2013-05-16,0.41,0.415,0.41,0.415,179100,MYR
2013-05-17,0.415,0.42,0.41,0.415,976700,MYR
2013-05-20,0.42,0.425,0.415,0.42,677100,MYR
2013-05-21,0.42,0.425,0.42,0.425,542900,MYR
2013-05-22,0.425,0.425,0.415,0.42,805300,MYR
2013-05-23,0.42,0.42,0.41,0.415,299100,MYR
2013-05-27,0.42,0.42,0.41,0.41,170000,MYR
2013-05-28,0.415,0.42,0.415,0.42,423000,MYR
2013-05-29,0.405,0.405,0.395,0.405,1522500,MYR
2013-05-30,0.4,0.405,0.4,0.4,308000,MYR
2013-05-31,0.405,0.405,0.405,0.405,72000,MYR
2013-06-03,0.4,0.4,0.39,0.39,410200,MYR
2013-06-04,0.395,0.4,0.395,0.4,132900,MYR
2013-06-05,0.39,0.405,0.39,0.405,717900,MYR
2013-06-06,0.4,0.4,0.395,0.395,138800,MYR
2013-06-07,0.395,0.405,0.395,0.405,25200,MYR
2013-06-10,0.4,0.4,0.395,0.395,187300,MYR
2013-06-11,0.395,0.395,0.39,0.39,47700,MYR
2013-06-12,0.395,0.395,0.39,0.39,160900,MYR
2013-06-13,0.39,0.395,0.38,0.385,634800,MYR
2013-06-14,0.39,0.39,0.39,0.39,30000,MYR
2013-06-17,0.39,0.39,0.39,0.39,20000,MYR
2013-06-18,0.39,0.395,0.39,0.395,53500,MYR
2013-06-19,0.39,0.4,0.39,0.4,40000,MYR
2013-06-20,0.4,0.4,0.39,0.39,156400,MYR
2013-06-21,0.385,0.4,0.38,0.4,53100,MYR
2013-06-24,0.39,0.39,0.39,0.39,72000,MYR
2013-06-25,0.38,0.38,0.38,0.38,183000,MYR
2013-06-26,0.38,0.385,0.38,0.385,39100,MYR
2013-06-27,0.385,0.385,0.385,0.385,50000,MYR
2013-06-28,0.39,0.395,0.38,0.395,141200,MYR
2013-07-01,0.385,0.39,0.385,0.39,86200,MYR
2013-07-02,0.385,0.4,0.385,0.4,70200,MYR
2013-07-03,0.39,0.39,0.385,0.39,44900,MYR
2013-07-04,0.38,0.395,0.38,0.395,50200,MYR
2013-07-08,0.385,0.395,0.38,0.395,179800,MYR
2013-07-10,0.385,0.395,0.385,0.395,275400,MYR
2013-07-11,0.395,0.395,0.385,0.39,968600,MYR
2013-07-12,0.385,0.39,0.385,0.39,83000,MYR
2013-07-15,0.38,0.38,0.355,0.365,1947000,MYR
2013-07-16,0.36,0.365,0.36,0.36,939200,MYR
2013-07-17,0.36,0.36,0.35,0.35,1933500,MYR
2013-07-18,0.35,0.35,0.345,0.345,997400,MYR
2013-07-19,0.35,0.36,0.35,0.355,361000,MYR
2013-07-22,0.355,0.355,0.35,0.355,174700,MYR
2013-07-23,0.355,0.355,0.35,0.355,149000,MYR
2013-07-24,0.355,0.355,0.355,0.355,76800,MYR
2013-07-25,0.355,0.355,0.35,0.355,160000,MYR
2013-07-26,0.36,0.36,0.355,0.355,95000,MYR
2013-07-29,0.35,0.35,0.35,0.35,10000,MYR
2013-07-30,0.355,0.355,0.355,0.355,83000,MYR
2013-07-31,0.35,0.35,0.35,0.35,60000,MYR
2013-08-01,0.355,0.355,0.355,0.355,50000,MYR
2013-08-02,0.355,0.355,0.355,0.355,160000,MYR
