Date,Open,High,Low,Close,Volume,Currency
2019-06-13,0.505,0.525,0.48,0.505,21624000,MYR
2019-06-14,0.505,0.515,0.495,0.495,3563500,MYR
2019-06-17,0.5,0.5,0.435,0.44,30559000,MYR
2019-06-18,0.445,0.47,0.425,0.45,27284200,MYR
2019-06-19,0.455,0.465,0.435,0.44,6465500,MYR
2019-06-20,0.445,0.45,0.43,0.44,11617800,MYR
2019-06-21,0.445,0.46,0.435,0.445,14367600,MYR
2019-06-24,0.44,0.455,0.44,0.44,2338100,MYR
2019-06-25,0.445,0.455,0.435,0.445,4765400,MYR
2019-06-26,0.45,0.455,0.44,0.455,4349000,MYR
2019-06-27,0.455,0.47,0.45,0.455,9782100,MYR
2019-06-28,0.455,0.455,0.45,0.45,1425400,MYR
2019-07-01,0.455,0.46,0.45,0.45,2588000,MYR
2019-07-02,0.455,0.455,0.445,0.445,3704700,MYR
2019-07-03,0.445,0.45,0.445,0.445,977900,MYR
2019-07-04,0.445,0.455,0.445,0.455,1578100,MYR
2019-07-05,0.45,0.455,0.44,0.445,1423500,MYR
2019-07-08,0.44,0.445,0.435,0.435,1899800,MYR
2019-07-09,0.435,0.44,0.42,0.425,4241000,MYR
2019-07-10,0.425,0.425,0.415,0.42,3043300,MYR
2019-07-11,0.42,0.44,0.415,0.43,4324200,MYR
2019-07-12,0.43,0.44,0.43,0.43,2110300,MYR
2019-07-15,0.43,0.43,0.42,0.42,1771500,MYR
2019-07-16,0.42,0.425,0.415,0.42,1887400,MYR
2019-07-17,0.415,0.425,0.415,0.415,1220600,MYR
2019-07-18,0.415,0.415,0.405,0.405,1680200,MYR
2019-07-19,0.405,0.415,0.405,0.41,810700,MYR
2019-07-22,0.41,0.415,0.405,0.405,593500,MYR
2019-07-23,0.405,0.415,0.405,0.41,1243800,MYR
2019-07-24,0.41,0.41,0.4,0.4,398000,MYR
2019-07-25,0.4,0.405,0.4,0.4,690400,MYR
2019-07-26,0.395,0.395,0.39,0.395,561100,MYR
2019-07-29,0.39,0.4,0.39,0.395,782800,MYR
2019-07-31,0.39,0.405,0.39,0.395,736600,MYR
2019-08-01,0.39,0.4,0.39,0.39,229100,MYR
2019-08-02,0.39,0.39,0.38,0.38,811500,MYR
2019-08-05,0.38,0.39,0.38,0.38,348600,MYR
2019-08-06,0.375,0.375,0.36,0.375,938300,MYR
2019-08-07,0.375,0.375,0.35,0.35,808900,MYR
2019-08-08,0.35,0.36,0.35,0.36,264000,MYR
2019-08-09,0.36,0.36,0.355,0.36,387600,MYR
2019-08-13,0.36,0.36,0.335,0.345,1033300,MYR
2019-08-14,0.345,0.355,0.34,0.345,612500,MYR
2019-08-15,0.34,0.34,0.33,0.33,372900,MYR
2019-08-16,0.33,0.335,0.33,0.33,378600,MYR
2019-08-19,0.33,0.34,0.33,0.335,486000,MYR
2019-08-20,0.335,0.335,0.33,0.335,488500,MYR
2019-08-21,0.33,0.33,0.325,0.325,492200,MYR
2019-08-22,0.325,0.33,0.325,0.33,614600,MYR
2019-08-23,0.325,0.325,0.32,0.325,478300,MYR
2019-08-26,0.325,0.325,0.32,0.325,648100,MYR
2019-08-27,0.325,0.33,0.325,0.325,564000,MYR
2019-08-28,0.325,0.33,0.32,0.33,355600,MYR
2019-08-29,0.33,0.33,0.325,0.33,421400,MYR
2019-08-30,0.33,0.355,0.33,0.34,1583500,MYR
2019-09-03,0.34,0.345,0.34,0.345,286200,MYR
2019-09-04,0.345,0.35,0.34,0.345,1108400,MYR
2019-09-05,0.345,0.365,0.34,0.36,794900,MYR
2019-09-06,0.37,0.39,0.37,0.375,1612400,MYR
2019-09-10,0.375,0.375,0.365,0.365,219000,MYR
2019-09-11,0.365,0.38,0.36,0.365,515400,MYR
2019-09-12,0.365,0.37,0.36,0.365,230700,MYR
2019-09-13,0.37,0.37,0.365,0.365,25800,MYR
2019-09-17,0.37,0.375,0.365,0.365,160500,MYR
2019-09-18,0.365,0.365,0.36,0.365,219700,MYR
2019-09-19,0.36,0.36,0.35,0.35,176000,MYR
2019-09-20,0.35,0.35,0.35,0.35,49000,MYR
2019-09-23,0.35,0.355,0.35,0.355,140500,MYR
2019-09-24,0.355,0.365,0.355,0.355,47000,MYR
2019-09-25,0.35,0.35,0.35,0.35,603000,MYR
2019-09-26,0.345,0.35,0.345,0.35,228500,MYR
2019-09-27,0.35,0.35,0.345,0.345,15000,MYR
2019-09-30,0.345,0.36,0.345,0.35,51100,MYR
2019-10-01,0.35,0.35,0.35,0.35,15000,MYR
2019-10-02,0.35,0.355,0.35,0.355,73000,MYR
2019-10-03,0.35,0.35,0.35,0.35,156500,MYR
2019-10-04,0.35,0.355,0.35,0.35,46000,MYR
2019-10-07,0.35,0.35,0.345,0.345,92100,MYR
2019-10-08,0.345,0.345,0.345,0.345,54900,MYR
2019-10-09,0.345,0.35,0.345,0.35,437100,MYR
2019-10-10,0.35,0.355,0.345,0.355,502000,MYR
2019-10-11,0.355,0.355,0.345,0.355,103900,MYR
2019-10-14,0.355,0.355,0.345,0.345,123000,MYR
2019-10-15,0.35,0.35,0.345,0.35,206100,MYR
2019-10-16,0.35,0.355,0.345,0.35,1655400,MYR
2019-10-17,0.35,0.355,0.345,0.355,260000,MYR
2019-10-18,0.355,0.4,0.355,0.39,2191600,MYR
2019-10-21,0.4,0.415,0.395,0.4,1828200,MYR
2019-10-22,0.405,0.405,0.38,0.385,533600,MYR
2019-10-23,0.38,0.38,0.37,0.37,914600,MYR
