Date,Open,High,Low,Close,Volume,Currency
2013-04-02,0.77,0.77,0.77,0.77,4000,MYR
2013-04-03,0.76,0.765,0.76,0.765,3200,MYR
2013-04-04,0.8,0.8,0.785,0.8,22000,MYR
2013-04-08,0.765,0.765,0.765,0.765,1200,MYR
2013-04-09,0.77,0.77,0.77,0.77,200,MYR
2013-04-12,0.77,0.77,0.77,0.77,1000,MYR
2013-04-15,0.77,0.77,0.77,0.77,2000,MYR
2013-04-16,0.77,0.77,0.77,0.77,16400,MYR
2013-04-17,0.74,0.78,0.74,0.78,11200,MYR
2013-04-18,0.76,0.815,0.76,0.815,1000,MYR
2013-04-19,0.8,0.815,0.8,0.8,65000,MYR
2013-04-22,0.8,0.8,0.8,0.8,45700,MYR
2013-04-23,0.8,0.8,0.8,0.8,18000,MYR
2013-04-24,0.8,0.8,0.8,0.8,12300,MYR
2013-04-30,0.75,0.79,0.735,0.75,46000,MYR
2013-05-03,0.75,0.75,0.75,0.75,10000,MYR
2013-05-06,0.76,0.79,0.76,0.79,5800,MYR
2013-05-08,0.79,0.79,0.765,0.765,55500,MYR
2013-05-10,0.8,0.8,0.8,0.8,11000,MYR
2013-05-13,0.8,0.81,0.765,0.765,48800,MYR
2013-05-14,0.775,0.82,0.775,0.82,32000,MYR
2013-05-15,0.805,0.81,0.78,0.8,48400,MYR
2013-05-16,0.79,0.79,0.785,0.785,55800,MYR
2013-05-20,0.77,0.8,0.765,0.795,76600,MYR
2013-05-21,0.8,0.83,0.8,0.825,167900,MYR
2013-05-22,0.825,0.825,0.795,0.795,214500,MYR
2013-05-23,0.795,0.795,0.775,0.775,3000,MYR
2013-05-27,0.79,0.8,0.785,0.785,45200,MYR
2013-05-30,0.79,0.79,0.79,0.79,15000,MYR
2013-05-31,0.78,0.78,0.78,0.78,24500,MYR
2013-06-03,0.78,0.78,0.775,0.775,10000,MYR
2013-06-06,0.775,0.8,0.775,0.775,12700,MYR
2013-06-07,0.81,0.81,0.775,0.78,78200,MYR
2013-06-10,0.765,0.765,0.765,0.765,1000,MYR
2013-06-11,0.765,0.765,0.765,0.765,4800,MYR
2013-06-12,0.765,0.8,0.765,0.8,11000,MYR
2013-06-20,0.77,0.77,0.76,0.76,25300,MYR
2013-06-21,0.76,0.77,0.76,0.77,5000,MYR
2013-06-24,0.72,0.72,0.72,0.72,21000,MYR
