Date,Open,High,Low,Close,Volume,Currency
2013-04-01,1.373,1.403,1.35,1.395,2625330,MYR
2013-04-02,1.403,1.425,1.395,1.417,2562270,MYR
2013-04-03,1.417,1.425,1.32,1.38,2523600,MYR
2013-04-04,1.373,1.387,1.35,1.387,530270,MYR
2013-04-05,1.387,1.41,1.373,1.403,791600,MYR
2013-04-08,1.403,1.455,1.387,1.455,1242800,MYR
2013-04-09,1.47,1.522,1.47,1.522,4051870,MYR
2013-04-10,1.522,1.635,1.515,1.59,4166270,MYR
2013-04-11,1.613,1.688,1.605,1.635,6561470,MYR
2013-04-12,1.665,1.702,1.643,1.673,6376670,MYR
2013-04-15,1.657,1.68,1.583,1.65,2791600,MYR
2013-04-16,1.613,1.627,1.575,1.62,894930,MYR
2013-04-17,1.597,1.657,1.59,1.635,1117730,MYR
2013-04-18,1.65,1.65,1.627,1.635,290400,MYR
2013-04-19,1.635,1.635,1.597,1.635,507600,MYR
2013-04-22,1.605,1.613,1.597,1.613,336800,MYR
2013-04-23,1.583,1.597,1.53,1.552,1061870,MYR
2013-04-24,1.545,1.605,1.545,1.59,692000,MYR
2013-04-25,1.59,1.605,1.583,1.597,544000,MYR
2013-04-26,1.605,1.605,1.545,1.575,726130,MYR
2013-04-29,1.545,1.56,1.53,1.53,768000,MYR
2013-04-30,1.53,1.53,1.5,1.508,1154800,MYR
2013-05-02,1.508,1.508,1.455,1.462,1004400,MYR
2013-05-03,1.462,1.508,1.462,1.492,863870,MYR
2013-05-06,1.545,1.718,1.545,1.71,3842400,MYR
2013-05-07,1.71,1.725,1.657,1.68,1278400,MYR
2013-05-08,1.695,1.702,1.665,1.702,579070,MYR
2013-05-09,1.68,1.755,1.68,1.725,1856130,MYR
2013-05-10,1.732,1.732,1.695,1.718,2469470,MYR
2013-05-13,1.762,1.92,1.762,1.913,3085070,MYR
2013-05-14,1.942,1.995,1.837,1.988,2080670,MYR
2013-05-15,1.995,2.062,1.995,2.033,2365730,MYR
2013-05-16,2.047,2.115,2.025,2.092,1356530,MYR
