Date,Open,High,Low,Close,Volume,Currency
2013-04-05,0.69,0.69,0.69,0.69,1000,MYR
2013-04-08,0.69,0.69,0.69,0.69,500,MYR
2013-04-10,0.71,0.72,0.7,0.71,17500,MYR
2013-04-16,0.69,0.69,0.67,0.69,32000,MYR
2013-04-17,0.76,0.76,0.76,0.76,8800,MYR
2013-04-18,0.7,0.7,0.7,0.7,1000,MYR
2013-04-22,0.69,0.69,0.69,0.69,2500,MYR
2013-04-23,0.7,0.7,0.7,0.7,1000,MYR
2013-04-25,0.7,0.7,0.7,0.7,500,MYR
2013-04-29,0.68,0.76,0.68,0.76,5500,MYR
2013-04-30,0.7,0.7,0.7,0.7,2000,MYR
2013-05-03,0.74,0.76,0.74,0.76,13900,MYR
2013-05-08,0.7,0.76,0.7,0.76,6500,MYR
2013-05-13,0.76,0.79,0.76,0.79,4500,MYR
2013-05-14,0.76,0.8,0.76,0.8,5000,MYR
2013-05-15,0.88,0.88,0.88,0.88,11500,MYR
2013-05-16,0.88,0.88,0.84,0.84,7500,MYR
2013-05-17,0.9,0.91,0.9,0.91,9550,MYR
2013-05-20,0.91,0.92,0.91,0.92,6000,MYR
2013-05-21,0.88,0.92,0.88,0.92,3000,MYR
2013-05-22,0.88,0.92,0.88,0.92,5000,MYR
2013-05-23,0.86,0.86,0.86,0.86,5000,MYR
2013-05-31,0.8,0.8,0.8,0.8,500,MYR
2013-06-03,0.76,0.76,0.76,0.76,5000,MYR
2013-06-06,0.72,0.72,0.72,0.72,500,MYR
2013-06-07,0.8,0.8,0.8,0.8,1500,MYR
2013-06-11,0.8,0.8,0.8,0.8,7500,MYR
2013-06-18,0.8,0.8,0.8,0.8,10000,MYR
2013-06-19,0.8,0.8,0.8,0.8,500,MYR
2013-06-21,0.72,0.79,0.72,0.79,8000,MYR
2013-06-25,0.78,0.79,0.78,0.79,5000,MYR
2013-07-03,0.88,0.88,0.88,0.88,1000,MYR
2013-07-08,0.74,0.74,0.74,0.74,1500,MYR
2013-07-17,0.74,0.8,0.74,0.8,12800,MYR
2013-07-19,0.8,0.8,0.8,0.8,3000,MYR
2013-07-22,0.76,0.76,0.76,0.76,1500,MYR
2013-07-25,0.76,0.76,0.76,0.76,21000,MYR
2013-07-26,0.76,0.76,0.74,0.74,5500,MYR
2013-07-29,0.74,0.77,0.74,0.74,11500,MYR
2013-08-01,0.74,0.74,0.74,0.74,500,MYR
2013-08-06,0.74,0.74,0.72,0.72,7250,MYR
2013-08-12,0.71,0.8,0.71,0.8,11750,MYR
2013-08-13,0.83,0.83,0.83,0.83,2500,MYR
2013-08-14,0.88,0.88,0.88,0.88,6000,MYR
2013-08-15,0.9,0.9,0.9,0.9,2500,MYR
2013-08-16,0.88,0.9,0.88,0.9,2000,MYR
2013-08-20,0.9,0.9,0.9,0.9,27500,MYR
2013-08-21,0.93,0.93,0.92,0.92,6000,MYR
2013-08-22,0.9,0.9,0.9,0.9,11500,MYR
2013-08-23,0.9,0.9,0.9,0.9,11500,MYR
2013-08-27,0.9,1.0,0.9,0.98,40150,MYR
2013-08-28,0.9,0.9,0.9,0.9,1500,MYR
2013-08-30,0.83,0.87,0.83,0.87,13200,MYR
2013-09-02,0.86,0.86,0.86,0.86,2500,MYR
2013-09-03,0.83,1.0,0.83,1.0,4050,MYR
2013-09-04,0.9,0.9,0.9,0.9,5000,MYR
2013-09-05,0.9,0.9,0.89,0.9,10000,MYR
2013-09-06,0.92,0.92,0.92,0.92,250,MYR
2013-09-09,0.93,1.0,0.93,1.0,17500,MYR
2013-09-10,1.0,1.44,1.0,1.4,106000,MYR
2013-09-12,2.0,2.0,1.98,2.0,207700,MYR
2013-09-13,2.54,2.6,2.54,2.6,417100,MYR
2013-09-17,3.38,3.4,3.38,3.4,168350,MYR
2013-09-18,3.4,3.44,3.4,3.44,127950,MYR
2013-09-19,3.64,3.68,3.08,3.52,1609350,MYR
2013-09-20,3.52,3.56,3.4,3.44,132100,MYR
2013-09-23,3.36,3.36,3.1,3.14,143200,MYR
2013-09-24,3.2,3.28,3.12,3.24,110250,MYR
2013-09-25,3.26,3.74,3.26,3.4,363500,MYR
2013-09-26,3.34,3.42,3.3,3.38,48000,MYR
2013-09-27,3.36,3.36,3.26,3.26,33500,MYR
2013-09-30,3.22,3.32,3.22,3.3,38850,MYR
2013-10-01,3.3,3.3,3.16,3.28,56700,MYR
2013-10-02,3.28,3.3,3.24,3.3,98950,MYR
2013-10-03,3.3,3.3,3.26,3.26,129200,MYR
2013-10-04,3.2,3.26,3.2,3.26,16750,MYR
2013-10-07,3.28,3.46,3.28,3.3,610850,MYR
2013-10-08,3.3,3.32,3.3,3.3,570750,MYR
2013-10-09,3.32,3.34,3.28,3.3,1626450,MYR
2013-10-10,3.3,3.3,3.24,3.24,574700,MYR
2013-10-11,3.26,3.26,3.2,3.2,42300,MYR
2013-10-14,3.2,3.2,3.0,3.08,114100,MYR
2013-10-16,3.02,3.06,2.64,2.64,391550,MYR
2013-10-17,2.64,2.64,2.2,2.4,1282600,MYR
2013-10-18,2.4,2.42,2.24,2.38,437950,MYR
2013-10-21,2.38,2.4,2.3,2.32,402200,MYR
2013-10-22,2.34,2.54,2.34,2.46,532600,MYR
2013-10-23,2.5,2.5,2.38,2.42,413250,MYR
2013-10-24,2.44,2.46,2.42,2.46,80200,MYR
2013-10-25,2.46,2.46,2.38,2.4,204300,MYR
2013-10-28,2.36,2.36,2.32,2.32,177300,MYR
2013-10-29,2.34,2.38,2.34,2.38,53500,MYR
2013-10-30,2.38,2.4,2.34,2.36,51900,MYR
2013-10-31,2.34,2.4,2.34,2.38,94900,MYR
2013-11-01,2.38,2.38,2.36,2.38,59450,MYR
2013-11-04,2.38,2.38,2.32,2.32,34300,MYR
2013-11-06,2.4,2.4,2.36,2.38,10000,MYR
2013-11-07,2.36,2.4,2.36,2.4,31350,MYR
2013-11-08,2.4,2.44,2.4,2.44,25000,MYR
2013-11-11,2.44,2.58,2.44,2.52,47700,MYR
2013-11-12,2.56,2.72,2.54,2.54,487350,MYR
2013-11-13,2.54,2.56,2.46,2.46,101250,MYR
2013-11-14,2.46,2.52,2.46,2.5,57950,MYR
2013-11-15,2.5,2.5,2.44,2.46,59550,MYR
2013-11-18,2.46,2.48,2.44,2.46,76200,MYR
2013-11-19,2.48,2.48,2.46,2.46,22000,MYR
2013-11-20,2.5,2.52,2.5,2.5,112450,MYR
2013-11-21,2.5,2.52,2.48,2.48,158700,MYR
2013-11-22,2.5,2.54,2.48,2.54,10050,MYR
2013-11-25,2.54,2.62,2.54,2.56,122350,MYR
2013-11-26,2.58,2.58,2.46,2.5,37500,MYR
2013-11-27,2.5,2.5,2.44,2.46,57650,MYR
2013-11-28,2.5,2.5,2.46,2.46,14050,MYR
2013-11-29,2.46,2.48,2.44,2.48,8500,MYR
2013-12-02,2.48,2.48,2.46,2.48,9500,MYR
2013-12-03,2.46,2.46,2.4,2.4,24750,MYR
2013-12-04,2.36,2.42,2.36,2.38,75350,MYR
2013-12-05,2.38,2.4,2.36,2.4,12000,MYR
2013-12-06,2.36,2.38,2.36,2.36,59050,MYR
2013-12-09,2.36,2.36,2.36,2.36,46750,MYR
2013-12-10,2.34,2.34,2.3,2.3,174500,MYR
2013-12-11,2.32,2.36,2.32,2.34,21500,MYR
2013-12-12,2.34,2.34,2.3,2.3,104500,MYR
2013-12-13,2.3,2.3,2.28,2.3,30350,MYR
2013-12-16,2.24,2.26,2.24,2.26,48500,MYR
2013-12-17,2.22,2.22,2.2,2.2,60550,MYR
2013-12-18,2.16,2.2,2.16,2.16,80500,MYR
2013-12-19,2.2,2.22,2.16,2.18,27300,MYR
