Date,Open,High,Low,Close,Volume,Currency
2013-04-02,0.365,0.365,0.365,0.365,1015,MYR
2013-04-03,0.36,0.365,0.355,0.36,45668,MYR
2013-04-05,0.365,0.365,0.365,0.365,7104,MYR
2013-04-10,0.355,0.355,0.355,0.355,203,MYR
2013-04-12,0.355,0.394,0.355,0.365,185312,MYR
2013-04-15,0.384,0.384,0.365,0.384,9134,MYR
2013-04-16,0.365,0.404,0.365,0.399,17557,MYR
2013-04-17,0.414,0.414,0.384,0.384,31562,MYR
2013-04-18,0.365,0.374,0.365,0.374,20804,MYR
2013-04-19,0.404,0.434,0.384,0.429,65255,MYR
2013-04-22,0.379,0.434,0.379,0.434,50134,MYR
2013-04-23,0.414,0.414,0.379,0.384,304455,MYR
2013-04-24,0.384,0.394,0.369,0.394,812,MYR
2013-04-25,0.365,0.384,0.365,0.374,44349,MYR
2013-04-26,0.345,0.379,0.335,0.379,21718,MYR
2013-04-29,0.355,0.355,0.355,0.355,12178,MYR
2013-04-30,0.36,0.36,0.36,0.36,6089,MYR
2013-05-02,0.335,0.369,0.335,0.369,26386,MYR
2013-05-03,0.36,0.365,0.355,0.355,32475,MYR
2013-05-07,0.394,0.394,0.355,0.369,253814,MYR
2013-05-08,0.369,0.369,0.365,0.365,40594,MYR
2013-05-09,0.369,0.394,0.36,0.394,84639,MYR
2013-05-10,0.374,0.414,0.374,0.414,57136,MYR
2013-05-13,0.414,0.473,0.414,0.443,144718,MYR
2013-05-14,0.443,0.443,0.384,0.429,258787,MYR
2013-05-15,0.414,0.453,0.414,0.453,50946,MYR
2013-05-16,0.404,0.404,0.404,0.404,203,MYR
2013-05-17,0.439,0.443,0.419,0.439,74693,MYR
2013-05-20,0.439,0.532,0.439,0.502,679849,MYR
2013-05-21,0.522,0.522,0.468,0.473,511891,MYR
2013-05-22,0.448,0.502,0.448,0.483,175468,MYR
2013-05-23,0.458,0.483,0.458,0.468,254931,MYR
2013-05-27,0.443,0.512,0.443,0.512,461047,MYR
2013-05-28,0.532,0.552,0.512,0.527,2126114,MYR
2013-05-29,0.502,0.507,0.502,0.507,44755,MYR
2013-05-30,0.453,0.507,0.453,0.507,76317,MYR
2013-05-31,0.527,0.537,0.512,0.527,696797,MYR
2013-06-03,0.522,0.522,0.468,0.468,736782,MYR
2013-06-04,0.473,0.483,0.473,0.473,157302,MYR
2013-06-05,0.512,0.512,0.463,0.488,41609,MYR
2013-06-06,0.483,0.483,0.463,0.473,926661,MYR
2013-06-07,0.483,0.493,0.453,0.458,732723,MYR
2013-06-10,0.434,0.468,0.434,0.453,151720,MYR
2013-06-11,0.448,0.468,0.448,0.463,23646,MYR
2013-06-12,0.453,0.458,0.453,0.453,539596,MYR
2013-06-13,0.414,0.429,0.414,0.424,13295,MYR
2013-06-17,0.429,0.434,0.424,0.434,17252,MYR
2013-06-18,0.429,0.502,0.429,0.502,122188,MYR
2013-06-19,0.453,0.458,0.448,0.453,136700,MYR
2013-06-20,0.389,0.453,0.389,0.443,4262,MYR
2013-06-21,0.409,0.443,0.409,0.439,10453,MYR
2013-06-24,0.424,0.443,0.424,0.424,30141,MYR
2013-06-25,0.414,0.443,0.414,0.419,54295,MYR
2013-06-26,0.379,0.443,0.379,0.424,56527,MYR
2013-06-27,0.424,0.424,0.384,0.384,15426,MYR
2013-06-28,0.414,0.439,0.409,0.424,88799,MYR
2013-07-01,0.384,0.424,0.384,0.424,73983,MYR
2013-07-02,0.434,0.434,0.414,0.424,15324,MYR
2013-07-04,0.389,0.424,0.389,0.424,65153,MYR
2013-07-05,0.424,0.443,0.424,0.429,137715,MYR
2013-07-08,0.429,0.429,0.409,0.409,154359,MYR
2013-07-09,0.404,0.409,0.404,0.409,5480,MYR
2013-07-10,0.404,0.443,0.404,0.439,108285,MYR
2013-07-11,0.453,0.478,0.453,0.463,667975,MYR
2013-07-12,0.463,0.463,0.434,0.439,94889,MYR
2013-07-15,0.443,0.443,0.434,0.439,44856,MYR
2013-07-16,0.419,0.434,0.419,0.434,102500,MYR
2013-07-17,0.429,0.434,0.424,0.429,103515,MYR
2013-07-19,0.443,0.448,0.434,0.448,134265,MYR
2013-07-22,0.434,0.453,0.434,0.453,154460,MYR
2013-07-23,0.458,0.483,0.453,0.473,576740,MYR
2013-07-24,0.483,0.483,0.443,0.473,497277,MYR
2013-07-25,0.434,0.463,0.434,0.463,34606,MYR
2013-07-26,0.468,0.512,0.468,0.468,1684755,MYR
2013-07-29,0.463,0.463,0.429,0.443,98542,MYR
2013-07-30,0.443,0.443,0.443,0.443,12178,MYR
2013-07-31,0.443,0.443,0.394,0.429,42725,MYR
2013-08-01,0.424,0.434,0.419,0.424,304760,MYR
2013-08-02,0.424,0.443,0.424,0.429,29532,MYR
2013-08-05,0.419,0.419,0.394,0.419,20500,MYR
2013-08-06,0.419,0.434,0.419,0.434,42218,MYR
2013-08-07,0.404,0.429,0.404,0.419,93468,MYR
2013-08-12,0.424,0.463,0.419,0.419,5074,MYR
2013-08-13,0.458,0.458,0.414,0.414,13193,MYR
2013-08-14,0.409,0.443,0.409,0.443,31460,MYR
2013-08-15,0.414,0.439,0.414,0.439,86161,MYR
2013-08-16,0.424,0.434,0.424,0.434,30547,MYR
2013-08-20,0.414,0.424,0.414,0.424,74084,MYR
2013-08-21,0.443,0.443,0.443,0.443,5074,MYR
2013-08-22,0.414,0.414,0.414,0.414,10149,MYR
2013-08-23,0.419,0.419,0.414,0.414,11265,MYR
2013-08-26,0.404,0.404,0.404,0.404,20297,MYR
2013-08-27,0.384,0.384,0.384,0.384,23545,MYR
2013-08-28,0.384,0.394,0.355,0.394,24559,MYR
2013-08-29,0.394,0.409,0.355,0.379,163797,MYR
2013-08-30,0.365,0.394,0.365,0.384,30750,MYR
2013-09-02,0.374,0.374,0.374,0.374,203,MYR
2013-09-04,0.384,0.384,0.369,0.369,16542,MYR
2013-09-05,0.374,0.394,0.374,0.394,2030,MYR
2013-09-06,0.379,0.394,0.379,0.394,19688,MYR
2013-09-10,0.394,0.394,0.394,0.394,5074,MYR
2013-09-13,0.365,0.409,0.365,0.399,27908,MYR
2013-09-17,0.409,0.414,0.399,0.414,43639,MYR
2013-09-18,0.399,0.453,0.399,0.434,211495,MYR
2013-09-19,0.419,0.439,0.419,0.439,21616,MYR
2013-09-20,0.439,0.453,0.434,0.453,123609,MYR
2013-09-23,0.443,0.443,0.434,0.434,26386,MYR
2013-09-24,0.404,0.443,0.404,0.443,10453,MYR
2013-09-25,0.409,0.434,0.409,0.434,5785,MYR
2013-09-26,0.439,0.439,0.404,0.429,20500,MYR
2013-09-27,0.419,0.419,0.419,0.419,3045,MYR
2013-09-30,0.394,0.443,0.394,0.443,1522,MYR
2013-10-02,0.439,0.439,0.439,0.439,10149,MYR
2013-10-03,0.399,0.439,0.399,0.434,79869,MYR
2013-10-04,0.434,0.443,0.434,0.443,115693,MYR
2013-10-07,0.453,0.453,0.453,0.453,10149,MYR
2013-10-08,0.414,0.414,0.414,0.414,101,MYR
2013-10-09,0.399,0.414,0.399,0.414,21515,MYR
2013-10-10,0.404,0.404,0.404,0.404,1015,MYR
2013-10-11,0.399,0.453,0.399,0.453,11163,MYR
2013-10-16,0.448,0.448,0.404,0.404,7104,MYR
2013-10-17,0.409,0.439,0.409,0.414,33186,MYR
2013-10-18,0.409,0.414,0.409,0.414,23342,MYR
2013-10-21,0.414,0.414,0.414,0.414,20297,MYR
2013-10-22,0.404,0.453,0.404,0.453,5379,MYR
2013-10-23,0.414,0.414,0.414,0.414,2030,MYR
2013-10-24,0.424,0.483,0.424,0.453,146342,MYR
2013-10-25,0.429,0.453,0.429,0.453,50438,MYR
2013-10-28,0.424,0.434,0.419,0.434,71750,MYR
2013-10-29,0.424,0.424,0.424,0.424,10149,MYR
2013-10-30,0.424,0.443,0.424,0.443,7814,MYR
2013-11-01,0.443,0.443,0.424,0.443,58658,MYR
2013-11-06,0.453,0.468,0.443,0.443,129089,MYR
2013-11-07,0.443,0.443,0.443,0.443,20297,MYR
2013-11-08,0.434,0.453,0.434,0.453,102500,MYR
2013-11-12,0.453,0.458,0.419,0.419,7104,MYR
2013-11-13,0.424,0.424,0.424,0.424,1015,MYR
2013-11-14,0.453,0.458,0.448,0.448,144413,MYR
2013-11-21,0.424,0.424,0.409,0.409,22327,MYR
2013-11-26,0.409,0.434,0.409,0.434,21210,MYR
2013-11-28,0.419,0.434,0.409,0.434,23443,MYR
2013-11-29,0.384,0.384,0.384,0.384,18267,MYR
2013-12-03,0.394,0.394,0.394,0.394,20297,MYR
2013-12-04,0.414,0.429,0.389,0.419,31257,MYR
2013-12-05,0.404,0.414,0.404,0.414,12686,MYR
2013-12-06,0.404,0.424,0.345,0.424,15324,MYR
2013-12-10,0.409,0.409,0.409,0.409,1015,MYR
2013-12-11,0.414,0.414,0.414,0.414,20297,MYR
2013-12-12,0.414,0.424,0.414,0.419,16441,MYR
2013-12-13,0.414,0.414,0.414,0.414,4059,MYR
2013-12-16,0.394,0.424,0.394,0.424,122898,MYR
2013-12-17,0.414,0.414,0.414,0.414,20297,MYR
2013-12-18,0.419,0.424,0.419,0.419,4161,MYR
2013-12-19,0.424,0.429,0.394,0.404,120361,MYR
2013-12-20,0.404,0.404,0.404,0.404,5988,MYR
2013-12-23,0.404,0.404,0.345,0.345,10351,MYR
2013-12-24,0.384,0.404,0.374,0.389,54903,MYR
2013-12-26,0.394,0.404,0.394,0.394,13396,MYR
2013-12-27,0.355,0.394,0.355,0.394,1827,MYR
2013-12-30,0.369,0.424,0.369,0.424,1827,MYR
2013-12-31,0.394,0.424,0.394,0.399,2436,MYR
2014-01-03,0.369,0.419,0.369,0.404,9946,MYR
2014-01-06,0.414,0.414,0.414,0.414,10149,MYR
2014-01-07,0.384,0.399,0.384,0.399,11163,MYR
2014-01-08,0.404,0.517,0.404,0.458,871859,MYR
2014-01-09,0.409,0.448,0.409,0.448,30649,MYR
2014-01-10,0.448,0.448,0.429,0.429,5074,MYR
2014-01-13,0.419,0.429,0.419,0.424,17252,MYR
2014-01-15,0.414,0.443,0.414,0.434,197592,MYR
2014-01-16,0.429,0.429,0.419,0.419,52671,MYR
2014-01-20,0.409,0.409,0.409,0.409,6089,MYR
2014-01-21,0.414,0.414,0.414,0.414,28416,MYR
2014-01-22,0.414,0.414,0.399,0.414,61906,MYR
2014-01-23,0.414,0.414,0.414,0.414,5074,MYR
2014-01-24,0.404,0.404,0.404,0.404,10149,MYR
2014-01-28,0.419,0.419,0.404,0.404,25371,MYR
2014-02-04,0.404,0.404,0.394,0.394,16745,MYR
2014-02-05,0.399,0.468,0.399,0.468,27502,MYR
2014-02-07,0.453,0.453,0.453,0.453,15223,MYR
2014-02-12,0.414,0.448,0.414,0.443,13193,MYR
2014-02-14,0.414,0.414,0.414,0.414,1015,MYR
2014-02-17,0.414,0.468,0.414,0.458,459626,MYR
2014-02-18,0.453,0.453,0.434,0.448,57035,MYR
2014-02-19,0.439,0.448,0.439,0.448,50743,MYR
2014-02-20,0.439,0.448,0.439,0.439,60587,MYR
2014-02-21,0.448,0.453,0.439,0.439,40594,MYR
2014-02-24,0.439,0.453,0.439,0.443,91337,MYR
2014-02-25,0.443,0.448,0.434,0.434,71040,MYR
2014-02-26,0.434,0.434,0.434,0.434,8322,MYR
2014-02-27,0.434,0.434,0.434,0.434,71040,MYR
2014-02-28,0.439,0.439,0.434,0.434,65965,MYR
2014-03-03,0.434,0.434,0.434,0.434,49728,MYR
2014-03-04,0.434,0.434,0.429,0.429,41609,MYR
2014-03-05,0.434,0.439,0.434,0.439,16948,MYR
2014-03-06,0.439,0.439,0.439,0.439,11265,MYR
2014-03-07,0.439,0.439,0.439,0.439,39579,MYR
2014-03-10,0.439,0.443,0.439,0.443,66980,MYR
2014-03-11,0.443,0.448,0.439,0.448,59876,MYR
2014-03-12,0.448,0.448,0.439,0.439,37549,MYR
2014-03-13,0.439,0.439,0.439,0.439,4770,MYR
2014-03-14,0.439,0.439,0.439,0.439,5074,MYR
2014-03-17,0.439,0.439,0.439,0.439,30243,MYR
2014-03-19,0.439,0.483,0.439,0.478,152329,MYR
2014-03-20,0.443,0.473,0.443,0.468,25676,MYR
2014-03-21,0.443,0.458,0.443,0.448,17252,MYR
2014-03-24,0.443,0.493,0.443,0.453,64240,MYR
2014-03-25,0.453,0.507,0.448,0.502,493928,MYR
2014-03-26,0.502,0.576,0.502,0.532,2184975,MYR
2014-03-27,0.517,0.532,0.512,0.517,288319,MYR
2014-03-28,0.517,0.532,0.512,0.527,248436,MYR
2014-03-31,0.522,0.562,0.522,0.542,778188,MYR
2014-04-01,0.527,0.567,0.527,0.542,698218,MYR
2014-04-02,0.547,0.562,0.547,0.552,396299,MYR
2014-04-03,0.562,0.645,0.562,0.586,3454249,MYR
2014-04-04,0.567,0.631,0.567,0.606,1356450,MYR
2014-04-07,0.621,0.64,0.591,0.611,991916,MYR
2014-04-08,0.611,0.611,0.591,0.601,255337,MYR
2014-04-09,0.606,0.611,0.562,0.576,1260242,MYR
2014-04-10,0.576,0.576,0.562,0.562,170698,MYR
2014-04-11,0.552,0.562,0.542,0.557,210886,MYR
2014-04-14,0.552,0.596,0.542,0.562,507426,MYR
