Date,Open,High,Low,Close,Volume,Currency
2013-03-27,1.87,1.87,1.86,1.86,73202,MYR
2013-03-28,1.87,1.87,1.86,1.87,16338,MYR
2013-03-29,1.88,1.88,1.87,1.87,56652,MYR
2013-04-02,1.87,1.87,1.87,1.87,463083,MYR
2013-04-03,1.87,1.92,1.86,1.87,137280,MYR
2013-04-05,1.87,1.87,1.87,1.87,398156,MYR
2013-04-08,1.92,1.92,1.86,1.86,360600,MYR
2013-04-09,1.87,1.87,1.86,1.86,86888,MYR
2013-04-10,1.86,1.86,1.86,1.86,1061,MYR
2013-04-11,1.87,1.87,1.87,1.87,135477,MYR
2013-04-12,1.88,1.91,1.88,1.91,89858,MYR
2013-04-15,1.91,1.91,1.87,1.87,145874,MYR
2013-04-16,1.86,1.87,1.86,1.87,14534,MYR
2013-04-17,1.87,1.87,1.86,1.87,85402,MYR
2013-04-19,1.87,1.87,1.87,1.87,6896,MYR
2013-04-22,1.87,1.89,1.86,1.87,3737549,MYR
2013-04-23,1.87,1.87,1.86,1.86,3180683,MYR
2013-04-24,1.87,2.0,1.87,1.87,3152357,MYR
2013-04-25,1.87,1.87,1.87,1.87,861875,MYR
2013-04-26,1.87,1.87,1.87,1.87,922983,MYR
2013-04-29,1.88,1.88,1.86,1.86,7957,MYR
2013-04-30,1.86,1.86,1.85,1.85,89328,MYR
2013-05-02,1.85,1.85,1.82,1.82,33843,MYR
2013-05-03,1.82,1.88,1.8,1.87,112880,MYR
2013-05-06,1.89,1.89,1.85,1.89,125823,MYR
2013-05-07,1.87,1.9,1.86,1.88,47740,MYR
2013-05-08,1.89,1.89,1.86,1.86,432210,MYR
2013-05-09,2.08,2.1,1.97,1.97,2022817,MYR
2013-05-10,1.98,2.03,1.98,2.0,647785,MYR
2013-05-13,2.01,2.04,1.98,1.99,524084,MYR
2013-05-14,1.97,1.99,1.96,1.96,418101,MYR
2013-05-15,1.96,1.96,1.92,1.92,414281,MYR
2013-05-16,1.93,1.94,1.92,1.93,715789,MYR
2013-05-17,1.96,1.97,1.93,1.94,377680,MYR
2013-05-20,1.97,1.98,1.94,1.94,1261622,MYR
2013-05-21,1.95,1.96,1.94,1.94,826759,MYR
2013-05-22,1.95,1.95,1.93,1.94,357311,MYR
2013-05-23,1.94,1.94,1.92,1.93,228518,MYR
2013-05-27,1.93,1.94,1.93,1.93,1132935,MYR
2013-05-28,1.94,1.94,1.92,1.93,760347,MYR
2013-05-29,1.93,1.93,1.92,1.92,498517,MYR
2013-05-30,1.92,1.93,1.92,1.92,182263,MYR
2013-05-31,1.93,1.93,1.91,1.92,133355,MYR
2013-06-03,1.92,1.93,1.91,1.91,118290,MYR
2013-06-04,1.92,1.92,1.91,1.91,188734,MYR
2013-06-05,1.91,1.91,1.9,1.9,298113,MYR
2013-06-06,1.9,1.9,1.88,1.88,512733,MYR
2013-06-07,1.89,1.89,1.87,1.87,816256,MYR
2013-06-10,1.89,1.9,1.86,1.87,285806,MYR
2013-06-11,1.89,1.91,1.88,1.9,72884,MYR
2013-06-12,1.88,1.88,1.87,1.87,586041,MYR
2013-06-13,1.86,1.88,1.86,1.88,52515,MYR
2013-06-14,1.93,1.93,1.9,1.9,72141,MYR
2013-06-17,1.9,1.9,1.87,1.87,540104,MYR
2013-06-18,1.88,1.88,1.86,1.87,124762,MYR
2013-06-19,1.87,1.87,1.86,1.87,121473,MYR
2013-06-20,1.88,1.88,1.87,1.87,26522,MYR
2013-06-21,1.86,1.87,1.86,1.87,40951,MYR
2013-06-24,1.86,1.89,1.83,1.89,141418,MYR
2013-06-25,1.87,1.87,1.84,1.86,704437,MYR
2013-06-26,1.86,1.87,1.86,1.87,321453,MYR
2013-06-27,1.87,1.88,1.87,1.88,1845223,MYR
2013-06-28,1.89,1.89,1.87,1.88,91131,MYR
2013-07-01,1.87,1.88,1.86,1.87,1155850,MYR
2013-07-02,1.87,1.88,1.86,1.88,241885,MYR
2013-07-03,1.88,1.88,1.87,1.87,56864,MYR
2013-07-04,1.85,1.88,1.81,1.86,1445688,MYR
2013-07-05,1.87,1.88,1.87,1.88,96542,MYR
2013-07-08,1.87,1.87,1.86,1.87,125292,MYR
2013-07-09,1.87,1.87,1.86,1.86,286231,MYR
2013-07-10,1.88,1.88,1.87,1.87,56440,MYR
2013-07-11,1.87,1.88,1.86,1.86,44664,MYR
2013-07-12,1.87,1.87,1.86,1.87,155422,MYR
2013-07-15,1.86,1.87,1.86,1.87,161363,MYR
2013-07-16,1.92,1.93,1.9,1.92,1176672,MYR
2013-07-17,1.93,1.93,1.92,1.93,247509,MYR
2013-07-18,1.92,1.92,1.92,1.92,61388,MYR
2013-07-19,1.92,1.93,1.92,1.93,774663,MYR
2013-07-22,1.93,1.93,1.92,1.92,19570,MYR
2013-07-23,1.92,1.92,1.92,1.92,49440,MYR
2013-07-24,1.92,1.93,1.92,1.92,92700,MYR
2013-07-25,1.93,1.93,1.92,1.92,18540,MYR
2013-07-26,1.92,1.93,1.92,1.92,65920,MYR
2013-07-29,1.92,1.92,1.92,1.92,132870,MYR
2013-07-30,1.92,1.92,1.92,1.92,39655,MYR
2013-07-31,1.92,1.92,1.91,1.92,323111,MYR
2013-08-01,1.91,1.91,1.91,1.91,39243,MYR
2013-08-02,1.9,1.92,1.9,1.91,52427,MYR
2013-08-05,1.91,1.91,1.91,1.91,220935,MYR
2013-08-06,1.92,1.92,1.9,1.9,32857,MYR
2013-08-07,1.9,1.91,1.9,1.91,22351,MYR
2013-08-12,1.9,1.91,1.9,1.91,51191,MYR
2013-08-13,1.91,1.92,1.9,1.92,154912,MYR
2013-08-14,1.91,1.91,1.91,1.91,100013,MYR
2013-08-15,1.91,1.91,1.9,1.91,790319,MYR
2013-08-16,1.91,1.91,1.91,1.91,310133,MYR
2013-08-19,1.91,1.91,1.91,1.91,192816,MYR
2013-08-20,1.91,1.91,1.9,1.91,2327799,MYR
2013-08-21,1.91,1.91,1.89,1.89,255955,MYR
2013-08-22,1.86,1.88,1.85,1.87,66023,MYR
2013-08-23,1.89,1.89,1.88,1.88,214137,MYR
2013-08-26,1.87,1.88,1.87,1.88,225261,MYR
2013-08-27,1.87,1.87,1.86,1.87,999409,MYR
2013-08-28,1.85,1.88,1.85,1.87,413133,MYR
2013-08-29,1.88,1.88,1.87,1.88,206927,MYR
2013-08-30,1.88,1.88,1.88,1.88,104545,MYR
2013-09-02,1.87,1.88,1.87,1.88,412927,MYR
2013-09-03,1.88,1.88,1.87,1.88,95790,MYR
2013-09-04,1.87,1.88,1.87,1.88,58607,MYR
2013-09-05,1.88,1.88,1.87,1.88,5459,MYR
2013-09-06,1.88,1.88,1.84,1.84,14626,MYR
2013-09-09,1.89,1.89,1.89,1.89,5150,MYR
2013-09-11,1.88,1.88,1.86,1.86,515,MYR
2013-09-12,1.88,1.88,1.88,1.88,30900,MYR
2013-09-13,1.86,1.86,1.86,1.86,5974,MYR
2013-09-19,1.86,1.86,1.86,1.86,7313,MYR
2013-09-23,1.85,1.85,1.85,1.85,3914,MYR
2013-09-24,1.85,1.85,1.84,1.84,17716,MYR
2013-09-25,1.84,1.85,1.84,1.85,13390,MYR
2013-09-26,1.85,1.89,1.85,1.89,118450,MYR
2013-09-27,1.89,1.89,1.88,1.89,112785,MYR
2013-09-30,1.89,1.89,1.88,1.89,203425,MYR
2013-10-01,1.89,1.9,1.88,1.9,51088,MYR
2013-10-02,1.89,1.9,1.88,1.88,50161,MYR
2013-10-03,1.87,1.89,1.86,1.89,5562,MYR
2013-10-04,1.89,1.89,1.89,1.89,25029,MYR
2013-10-08,1.87,1.89,1.86,1.89,197657,MYR
2013-10-09,1.89,1.89,1.89,1.89,326613,MYR
2013-10-10,1.89,1.9,1.89,1.9,29664,MYR
2013-10-11,1.91,1.92,1.91,1.91,37080,MYR
2013-10-14,1.91,1.92,1.91,1.91,37080,MYR
2013-10-16,1.91,1.92,1.91,1.91,30385,MYR
2013-10-17,1.92,1.93,1.92,1.93,101352,MYR
2013-10-18,1.93,1.94,1.92,1.94,86417,MYR
2013-10-21,1.93,1.97,1.93,1.97,11227,MYR
2013-10-22,1.97,1.97,1.93,1.93,8034,MYR
2013-10-23,1.91,1.93,1.91,1.93,9167,MYR
2013-10-24,1.91,1.91,1.91,1.91,1030,MYR
2013-10-25,1.92,1.92,1.92,1.92,3090,MYR
2013-10-28,1.93,1.93,1.93,1.93,32239,MYR
2013-10-29,1.93,1.93,1.93,1.93,34093,MYR
2013-10-31,1.92,1.92,1.92,1.92,9682,MYR
2013-11-01,1.92,1.93,1.92,1.93,122261,MYR
2013-11-04,1.93,1.93,1.93,1.93,44805,MYR
2013-11-06,1.93,1.93,1.92,1.93,61182,MYR
2013-11-07,1.93,1.93,1.93,1.93,19570,MYR
2013-11-08,1.93,1.93,1.93,1.93,113300,MYR
2013-11-11,1.93,1.93,1.93,1.93,89610,MYR
2013-11-12,1.92,1.92,1.92,1.92,14523,MYR
2013-11-13,1.92,1.92,1.91,1.91,28737,MYR
2013-11-14,1.91,1.93,1.91,1.93,118141,MYR
2013-11-15,1.93,1.93,1.92,1.92,10300,MYR
2013-11-18,1.93,1.93,1.92,1.92,103618,MYR
2013-11-19,1.92,1.93,1.92,1.92,58916,MYR
2013-11-20,1.93,1.93,1.93,1.93,111652,MYR
2013-11-21,1.92,1.93,1.92,1.93,7004,MYR
2013-11-22,1.92,1.92,1.92,1.92,37389,MYR
2013-11-25,1.91,1.92,1.91,1.91,19673,MYR
2013-11-27,1.92,1.92,1.92,1.92,10609,MYR
2013-11-29,1.91,1.91,1.91,1.91,59637,MYR
2013-12-02,1.92,1.92,1.92,1.92,13390,MYR
2013-12-03,1.92,1.92,1.92,1.92,35844,MYR
2013-12-04,1.92,1.92,1.92,1.92,309,MYR
2013-12-05,1.92,1.92,1.92,1.92,206,MYR
2013-12-06,1.92,1.92,1.92,1.92,24617,MYR
2013-12-09,1.92,1.92,1.92,1.92,74057,MYR
2013-12-10,1.93,1.93,1.92,1.93,138638,MYR
2013-12-11,1.94,2.09,1.94,2.01,416944,MYR
2013-12-12,2.01,2.01,1.97,1.99,67465,MYR
2013-12-13,1.96,1.99,1.93,1.98,64066,MYR
2013-12-16,1.96,1.96,1.93,1.93,24205,MYR
2013-12-17,1.94,1.96,1.94,1.95,51088,MYR
2013-12-18,1.94,1.95,1.94,1.95,19261,MYR
2013-12-19,1.95,1.96,1.95,1.96,5047,MYR
2013-12-20,1.97,1.98,1.97,1.98,12360,MYR
2013-12-23,1.96,1.96,1.96,1.96,20600,MYR
2013-12-24,1.95,1.97,1.93,1.97,16377,MYR
2013-12-26,1.97,1.98,1.96,1.97,39552,MYR
2013-12-27,1.97,1.97,1.97,1.97,25750,MYR
2013-12-31,1.96,1.97,1.96,1.97,36050,MYR
2014-01-02,1.96,1.98,1.96,1.98,37183,MYR
2014-01-03,1.97,1.97,1.97,1.97,56032,MYR
2014-01-06,1.96,1.97,1.95,1.95,151307,MYR
2014-01-07,1.95,1.95,1.92,1.93,212592,MYR
2014-01-08,1.93,1.93,1.93,1.93,1957,MYR
2014-01-09,1.93,1.94,1.93,1.93,141522,MYR
2014-01-10,1.93,1.93,1.93,1.93,186430,MYR
2014-01-13,1.92,1.93,1.92,1.93,170774,MYR
2014-01-15,1.93,1.94,1.92,1.92,82503,MYR
2014-01-16,1.92,1.93,1.92,1.93,81473,MYR
2014-01-20,1.92,1.94,1.92,1.93,165315,MYR
2014-01-21,1.91,1.93,1.91,1.93,119480,MYR
2014-01-22,1.93,1.93,1.93,1.93,367607,MYR
2014-01-23,1.93,1.95,1.93,1.94,505215,MYR
2014-01-24,1.93,1.94,1.93,1.94,19467,MYR
2014-01-27,1.93,1.93,1.91,1.91,134621,MYR
2014-01-28,1.93,1.93,1.93,1.93,309000,MYR
2014-01-29,1.92,1.93,1.92,1.93,524064,MYR
2014-01-30,1.93,1.93,1.93,1.93,192816,MYR
2014-02-04,1.92,1.93,1.92,1.93,280263,MYR
2014-02-05,1.93,1.93,1.93,1.93,154500,MYR
2014-02-06,1.93,1.93,1.93,1.93,154500,MYR
2014-02-07,1.93,1.93,1.93,1.93,408807,MYR
2014-02-10,1.93,1.93,1.93,1.93,177778,MYR
2014-02-11,1.94,1.94,1.93,1.93,562071,MYR
2014-02-12,1.93,1.93,1.93,1.93,466899,MYR
2014-02-13,1.94,2.07,1.94,2.01,76323,MYR
2014-02-17,2.01,2.01,2.01,2.01,2060,MYR
2014-02-19,1.97,1.98,1.97,1.97,16068,MYR
2014-02-20,1.96,1.97,1.96,1.97,41612,MYR
2014-02-21,1.97,1.99,1.97,1.99,59122,MYR
2014-02-24,1.98,1.99,1.98,1.98,39861,MYR
2014-02-25,1.99,1.99,1.98,1.99,61594,MYR
2014-02-26,1.98,2.01,1.98,1.98,112579,MYR
2014-02-27,1.98,1.99,1.98,1.99,171804,MYR
2014-02-28,2.01,2.01,1.96,1.96,136887,MYR
2014-03-03,1.97,1.98,1.97,1.98,146878,MYR
2014-03-04,1.98,1.98,1.98,1.98,32033,MYR
2014-03-05,2.01,2.01,1.98,1.98,83121,MYR
2014-03-06,2.0,2.01,1.99,2.01,77250,MYR
2014-03-07,1.99,1.99,1.99,1.99,10300,MYR
2014-03-10,1.98,2.01,1.98,2.0,21527,MYR
2014-03-11,2.0,2.0,1.98,1.98,48616,MYR
2014-03-12,2.04,2.06,2.0,2.01,94900,MYR
2014-03-13,2.02,2.04,2.02,2.03,48000,MYR
2014-03-14,2.03,2.03,2.01,2.02,32000,MYR
2014-03-17,2.02,2.04,2.01,2.04,38500,MYR
2014-03-18,2.02,2.02,2.02,2.02,10000,MYR
2014-03-19,2.02,2.02,2.02,2.02,22000,MYR
2014-03-20,2.02,2.02,2.02,2.02,20000,MYR
2014-03-21,2.02,2.02,2.02,2.02,25000,MYR
2014-03-24,2.0,2.0,2.0,2.0,2100,MYR
2014-03-26,2.01,2.02,2.01,2.02,5100,MYR
2014-03-27,2.02,2.02,2.02,2.02,7000,MYR
2014-03-28,2.02,2.02,2.02,2.02,32600,MYR
2014-03-31,2.02,2.05,2.02,2.03,59800,MYR
2014-04-01,2.03,2.05,2.03,2.04,62800,MYR
2014-04-02,2.04,2.05,2.04,2.04,32300,MYR
2014-04-03,2.04,2.05,2.02,2.02,33900,MYR
2014-04-07,2.02,2.02,2.02,2.02,31800,MYR
2014-04-08,2.02,2.02,2.02,2.02,10900,MYR
2014-04-09,2.02,2.02,2.02,2.02,18600,MYR
2014-04-10,2.04,2.04,2.04,2.04,21600,MYR
2014-04-11,2.05,2.05,2.03,2.03,37000,MYR
2014-04-14,2.03,2.05,2.03,2.03,45500,MYR
2014-04-15,2.04,2.06,2.04,2.04,47900,MYR
2014-04-16,2.04,2.04,2.04,2.04,67000,MYR
2014-04-17,2.04,2.07,2.04,2.07,40700,MYR
2014-04-18,2.04,2.06,2.04,2.06,17300,MYR
2014-04-21,2.05,2.07,2.05,2.07,23000,MYR
2014-04-22,2.06,2.07,2.06,2.06,100600,MYR
2014-04-23,2.08,2.16,2.07,2.16,130100,MYR
2014-04-24,2.16,2.17,2.12,2.13,47200,MYR
2014-04-25,2.14,2.15,2.13,2.15,137200,MYR
2014-04-28,2.16,2.2,2.15,2.19,111300,MYR
2014-04-29,2.17,2.17,2.16,2.16,29800,MYR
2014-04-30,2.16,2.16,2.13,2.15,51500,MYR
2014-05-05,2.1,2.1,2.04,2.04,20000,MYR
2014-05-06,2.08,2.08,2.07,2.07,5100,MYR
2014-05-07,2.07,2.08,2.07,2.07,11800,MYR
2014-05-08,2.1,2.14,2.1,2.12,53700,MYR
2014-05-09,2.13,2.2,2.13,2.2,151700,MYR
2014-05-12,2.17,2.17,2.12,2.12,49400,MYR
2014-05-14,2.14,2.22,2.14,2.22,34900,MYR
2014-05-15,2.22,2.28,2.21,2.24,97200,MYR
2014-05-16,2.21,2.22,2.21,2.22,8500,MYR
2014-05-19,2.2,2.21,2.2,2.21,7000,MYR
2014-05-20,2.21,2.21,2.2,2.2,8500,MYR
2014-05-21,2.19,2.26,2.19,2.19,108400,MYR
2014-05-22,2.18,2.19,2.17,2.19,40400,MYR
2014-05-23,2.2,2.2,2.2,2.2,43000,MYR
2014-05-26,2.12,2.12,2.12,2.12,600,MYR
2014-05-27,2.18,2.18,2.17,2.17,6000,MYR
2014-05-28,2.16,2.17,2.16,2.16,15300,MYR
2014-05-30,2.12,2.12,2.12,2.12,3000,MYR
2014-06-02,2.09,2.13,2.09,2.12,7900,MYR
2014-06-03,2.12,2.12,2.1,2.11,8500,MYR
2014-06-04,2.11,2.14,2.08,2.14,33400,MYR
2014-06-06,2.13,2.14,2.1,2.14,3900,MYR
2014-06-09,2.16,2.16,2.14,2.14,5200,MYR
2014-06-11,2.13,2.14,2.12,2.14,30700,MYR
2014-06-13,2.14,2.17,2.08,2.08,1300,MYR
2014-06-16,2.08,2.16,2.08,2.16,5200,MYR
2014-06-18,2.13,2.15,2.13,2.13,63100,MYR
2014-06-19,2.13,2.13,2.13,2.13,4000,MYR
2014-06-20,2.12,2.12,2.08,2.08,11400,MYR
2014-06-23,2.09,2.09,2.09,2.09,3600,MYR
