Date,Open,High,Low,Close,Volume,Currency
2012-07-26,3.12,3.18,3.11,3.15,64182800,MYR
2012-07-27,3.17,3.2,3.15,3.15,39107800,MYR
2012-07-30,3.17,3.19,3.15,3.15,31685000,MYR
2012-07-31,3.16,3.2,3.14,3.2,34952900,MYR
2012-08-01,3.19,3.19,3.15,3.15,17930300,MYR
2012-08-02,3.16,3.18,3.15,3.16,17596800,MYR
2012-08-03,3.16,3.16,3.13,3.15,24437800,MYR
2012-08-06,3.17,3.19,3.16,3.19,30064100,MYR
2012-08-07,3.19,3.26,3.19,3.25,148223200,MYR
2012-08-08,3.23,3.23,3.18,3.19,28714900,MYR
2012-08-09,3.2,3.21,3.17,3.18,12922800,MYR
2012-08-10,3.19,3.2,3.16,3.2,10644500,MYR
2012-08-13,3.19,3.21,3.17,3.17,9882300,MYR
2012-08-14,3.18,3.18,3.15,3.17,8376000,MYR
2012-08-15,3.17,3.18,3.15,3.16,6662800,MYR
2012-08-16,3.17,3.17,3.12,3.12,11549000,MYR
2012-08-17,3.15,3.17,3.12,3.12,18910200,MYR
2012-08-22,3.13,3.15,3.11,3.11,17204500,MYR
2012-08-23,3.11,3.13,3.11,3.12,9350800,MYR
2012-08-24,3.11,3.13,3.11,3.12,6247000,MYR
2012-08-27,3.12,3.13,3.11,3.11,7981300,MYR
2012-08-28,3.11,3.13,3.1,3.11,9551900,MYR
2012-08-29,3.14,3.17,3.14,3.17,9644600,MYR
2012-08-30,3.17,3.2,3.14,3.2,16341700,MYR
2012-09-03,3.18,3.18,3.14,3.15,9191500,MYR
2012-09-04,3.14,3.16,3.13,3.15,7212500,MYR
2012-09-05,3.15,3.15,3.12,3.13,9177500,MYR
2012-09-06,3.12,3.13,3.1,3.11,8906200,MYR
2012-09-07,3.1,3.12,3.1,3.11,7604800,MYR
2012-09-10,3.12,3.12,3.1,3.11,7687000,MYR
2012-09-11,3.11,3.11,3.06,3.09,12539100,MYR
2012-09-12,3.09,3.12,3.08,3.12,8783000,MYR
2012-09-13,3.12,3.15,3.11,3.14,5220900,MYR
2012-09-14,3.16,3.19,3.15,3.18,8077800,MYR
2012-09-18,3.18,3.19,3.18,3.18,10862100,MYR
2012-09-19,3.16,3.2,3.16,3.18,6924800,MYR
2012-09-20,3.17,3.19,3.17,3.19,3619500,MYR
2012-09-21,3.17,3.19,3.17,3.19,10392400,MYR
2012-09-24,3.18,3.19,3.17,3.18,5108800,MYR
2012-09-25,3.17,3.19,3.17,3.18,4086800,MYR
2012-09-26,3.18,3.19,3.18,3.18,4173900,MYR
2012-09-27,3.18,3.2,3.18,3.2,5675400,MYR
2012-09-28,3.19,3.21,3.19,3.2,8941800,MYR
2012-10-01,3.2,3.2,3.17,3.18,3066600,MYR
2012-10-02,3.19,3.19,3.17,3.19,2270100,MYR
2012-10-03,3.19,3.2,3.17,3.2,2955600,MYR
2012-10-04,3.18,3.2,3.18,3.19,3385100,MYR
2012-10-05,3.18,3.19,3.18,3.19,3066600,MYR
2012-10-08,3.19,3.19,3.17,3.19,3386700,MYR
2012-10-09,3.18,3.2,3.17,3.2,1878400,MYR
2012-10-10,3.18,3.2,3.18,3.19,2461700,MYR
2012-10-11,3.18,3.2,3.18,3.2,3385500,MYR
2012-10-12,3.19,3.2,3.19,3.2,2602100,MYR
2012-10-15,3.18,3.2,3.18,3.2,2526400,MYR
2012-10-16,3.2,3.2,3.18,3.2,3811700,MYR
2012-10-17,3.19,3.2,3.18,3.19,5196200,MYR
2012-10-18,3.2,3.2,3.19,3.2,2849200,MYR
2012-10-19,3.19,3.2,3.19,3.19,2521200,MYR
2012-10-22,3.18,3.24,3.18,3.23,8834700,MYR
2012-10-23,3.21,3.27,3.2,3.26,7505800,MYR
