Date,Open,High,Low,Close,Volume,Currency
2013-04-02,0.907,0.912,0.907,0.907,319788,MYR
2013-04-03,0.889,0.912,0.884,0.912,134028,MYR
2013-04-04,0.912,0.917,0.903,0.903,202068,MYR
2013-04-05,0.903,0.903,0.898,0.898,547560,MYR
2013-04-08,0.898,0.912,0.884,0.898,220428,MYR
2013-04-09,0.903,0.903,0.889,0.889,58752,MYR
2013-04-10,0.893,0.898,0.87,0.87,382428,MYR
2013-04-11,0.875,0.88,0.87,0.87,342468,MYR
2013-04-12,0.866,0.87,0.861,0.861,1043280,MYR
2013-04-15,0.861,0.87,0.861,0.87,13284,MYR
2013-04-16,0.917,0.917,0.875,0.889,1166400,MYR
2013-04-17,0.889,0.889,0.884,0.889,48384,MYR
2013-04-18,0.889,0.903,0.889,0.893,52812,MYR
2013-04-19,0.907,0.935,0.898,0.935,433188,MYR
2013-04-22,0.926,0.935,0.917,0.917,114264,MYR
2013-04-23,0.917,0.917,0.917,0.917,64260,MYR
2013-04-24,0.917,0.917,0.907,0.917,47412,MYR
2013-04-25,0.917,0.926,0.917,0.926,105084,MYR
2013-04-26,0.912,0.926,0.912,0.917,91800,MYR
2013-04-29,0.907,0.917,0.907,0.907,87480,MYR
2013-04-30,0.907,0.912,0.88,0.88,140940,MYR
2013-05-02,0.88,0.884,0.88,0.88,94716,MYR
2013-05-03,0.852,0.852,0.847,0.852,32616,MYR
2013-05-06,0.889,0.889,0.889,0.889,22140,MYR
2013-05-07,0.889,0.903,0.889,0.903,19440,MYR
2013-05-08,0.889,0.889,0.88,0.889,134136,MYR
2013-05-09,0.889,0.889,0.861,0.866,373464,MYR
2013-05-10,0.861,0.88,0.852,0.88,383400,MYR
2013-05-13,0.861,0.898,0.861,0.898,179496,MYR
2013-05-14,0.889,0.889,0.88,0.88,216540,MYR
2013-05-15,0.884,0.907,0.884,0.907,337932,MYR
2013-05-16,0.898,0.898,0.889,0.898,208872,MYR
2013-05-17,0.884,0.893,0.884,0.893,103788,MYR
2013-05-20,0.889,0.917,0.88,0.917,201204,MYR
2013-05-21,0.893,0.912,0.893,0.903,111996,MYR
2013-05-22,0.898,0.912,0.898,0.907,130464,MYR
2013-05-23,0.912,0.912,0.893,0.907,60156,MYR
2013-05-27,0.898,0.898,0.898,0.898,10800,MYR
2013-05-28,0.912,0.917,0.903,0.917,71172,MYR
2013-05-29,0.917,1.028,0.912,1.028,1394280,MYR
2013-05-30,1.037,1.093,1.037,1.083,963576,MYR
2013-05-31,1.083,1.093,1.037,1.083,406944,MYR
2013-06-03,1.074,1.074,1.056,1.056,143316,MYR
2013-06-04,1.074,1.194,1.065,1.148,1317168,MYR
2013-06-05,1.148,1.194,1.139,1.148,810540,MYR
2013-06-06,1.148,1.167,1.139,1.167,632664,MYR
2013-06-07,1.157,1.268,1.157,1.259,1954584,MYR
2013-06-10,1.287,1.333,1.278,1.306,1639980,MYR
2013-06-11,1.315,1.315,1.241,1.296,1175256,MYR
2013-06-12,1.268,1.278,1.241,1.259,511488,MYR
2013-06-13,1.259,1.259,1.222,1.222,571860,MYR
2013-06-14,1.25,1.259,1.167,1.213,686016,MYR
2013-06-17,1.204,1.213,1.167,1.213,646380,MYR
2013-06-18,1.194,1.213,1.185,1.213,197856,MYR
2013-06-19,1.204,1.278,1.194,1.259,701244,MYR
2013-06-20,1.25,1.25,1.204,1.232,518292,MYR
2013-06-21,1.213,1.287,1.213,1.259,1018980,MYR
2013-06-24,1.259,1.278,1.222,1.222,440640,MYR
2013-06-25,1.259,1.37,1.232,1.37,1980828,MYR
2013-06-26,1.38,1.398,1.352,1.37,1331532,MYR
2013-06-27,1.37,1.389,1.333,1.38,814968,MYR
2013-07-01,1.426,1.444,1.296,1.306,4413960,MYR
2013-07-02,1.287,1.315,1.25,1.259,869076,MYR
2013-07-03,1.278,1.333,1.25,1.315,1365444,MYR
2013-07-04,1.306,1.343,1.306,1.333,1332720,MYR
2013-07-05,1.343,1.352,1.306,1.324,1311444,MYR
2013-07-08,1.324,1.324,1.278,1.287,289872,MYR
2013-07-09,1.287,1.315,1.287,1.306,236412,MYR
2013-07-10,1.306,1.315,1.296,1.306,860976,MYR
2013-07-11,1.315,1.333,1.306,1.333,699624,MYR
2013-07-12,1.343,1.5,1.343,1.5,5955876,MYR
2013-07-15,1.5,1.509,1.454,1.491,1465884,MYR
2013-07-16,1.491,1.491,1.454,1.454,335448,MYR
2013-07-17,1.463,1.556,1.463,1.509,1010664,MYR
2013-07-18,1.528,1.62,1.518,1.602,1952640,MYR
2013-07-19,1.63,1.648,1.537,1.565,1159704,MYR
2013-07-22,1.565,1.602,1.565,1.602,1221804,MYR
2013-07-23,1.611,1.694,1.602,1.694,2496744,MYR
2013-07-24,1.694,1.778,1.694,1.759,8473895,MYR
2013-07-25,1.759,1.759,1.657,1.676,1333692,MYR
2013-07-26,1.676,1.732,1.676,1.685,2543508,MYR
2013-07-29,1.694,1.704,1.62,1.63,1013040,MYR
2013-07-30,1.63,1.704,1.62,1.676,1579500,MYR
2013-07-31,1.667,1.667,1.63,1.639,465372,MYR
2013-08-01,1.639,1.676,1.639,1.657,391716,MYR
2013-08-02,1.667,1.685,1.667,1.676,385452,MYR
2013-08-05,1.657,1.676,1.657,1.667,269568,MYR
2013-08-06,1.657,1.722,1.648,1.713,759780,MYR
2013-08-07,1.694,1.704,1.676,1.676,228744,MYR
2013-08-12,1.685,1.759,1.685,1.722,1022328,MYR
2013-08-13,1.759,1.815,1.741,1.796,2601396,MYR
2013-08-14,1.815,1.833,1.778,1.787,1056240,MYR
2013-08-15,1.796,1.796,1.741,1.768,892944,MYR
2013-08-16,1.768,1.787,1.75,1.787,571212,MYR
2013-08-19,1.787,1.787,1.75,1.75,253800,MYR
2013-08-20,1.741,1.741,1.685,1.694,619488,MYR
2013-08-21,1.694,1.694,1.676,1.694,434808,MYR
2013-08-22,1.667,1.667,1.62,1.648,1354644,MYR
2013-08-23,1.685,1.685,1.657,1.657,382428,MYR
2013-08-26,1.657,1.667,1.648,1.657,332856,MYR
2013-08-27,1.62,1.62,1.509,1.546,1531548,MYR
2013-08-28,1.5,1.602,1.482,1.602,701892,MYR
2013-08-29,1.602,1.657,1.602,1.639,353160,MYR
2013-08-30,1.667,1.676,1.583,1.602,587844,MYR
2013-09-02,1.602,1.602,1.565,1.574,556092,MYR
2013-09-03,1.565,1.657,1.565,1.648,1088424,MYR
2013-09-04,1.639,1.676,1.611,1.676,323676,MYR
2013-09-05,1.713,1.787,1.685,1.75,2659392,MYR
2013-09-06,1.843,1.852,1.75,1.75,7428347,MYR
2013-09-09,1.778,1.796,1.75,1.75,1128168,MYR
2013-09-10,1.778,1.787,1.741,1.75,635904,MYR
2013-09-11,1.75,1.759,1.694,1.713,682884,MYR
2013-09-12,1.722,1.759,1.713,1.732,782136,MYR
2013-09-13,1.732,1.759,1.722,1.741,536436,MYR
2013-09-17,1.75,1.75,1.722,1.722,334908,MYR
2013-09-18,1.722,1.796,1.722,1.778,576504,MYR
2013-09-19,1.787,1.824,1.768,1.778,1510164,MYR
2013-09-20,1.778,1.806,1.778,1.796,503280,MYR
2013-09-23,1.796,1.833,1.796,1.824,1476576,MYR
2013-09-24,1.806,1.806,1.768,1.796,607500,MYR
2013-09-25,1.768,1.778,1.732,1.75,580284,MYR
2013-09-26,1.741,1.759,1.741,1.75,413316,MYR
2013-09-27,1.741,1.75,1.713,1.741,404028,MYR
2013-09-30,1.722,1.722,1.704,1.722,328428,MYR
2013-10-01,1.694,1.732,1.694,1.722,205956,MYR
2013-10-02,1.713,1.722,1.713,1.713,362124,MYR
2013-10-03,1.713,1.759,1.713,1.732,336852,MYR
2013-10-04,1.713,1.732,1.713,1.732,119124,MYR
2013-10-07,1.741,1.741,1.704,1.704,366120,MYR
2013-10-08,1.713,1.713,1.704,1.704,331344,MYR
2013-10-09,1.704,1.713,1.704,1.704,130356,MYR
2013-10-10,1.713,1.741,1.713,1.741,128736,MYR
2013-10-11,1.722,1.75,1.722,1.75,79596,MYR
2013-10-14,1.741,1.741,1.713,1.713,563544,MYR
2013-10-16,1.713,1.713,1.694,1.694,475200,MYR
2013-10-17,1.722,1.722,1.704,1.713,455868,MYR
2013-10-18,1.713,1.741,1.713,1.713,402084,MYR
2013-10-21,1.704,1.75,1.704,1.741,502416,MYR
2013-10-22,1.741,1.741,1.722,1.722,210492,MYR
2013-10-23,1.722,1.75,1.722,1.732,150012,MYR
2013-10-24,1.722,1.75,1.722,1.732,722952,MYR
2013-10-25,1.732,1.741,1.732,1.741,405540,MYR
2013-10-28,1.732,1.75,1.722,1.741,266004,MYR
2013-10-29,1.75,1.75,1.732,1.741,684936,MYR
2013-10-30,1.75,1.898,1.741,1.898,2706912,MYR
2013-10-31,1.935,1.935,1.815,1.824,1959552,MYR
2013-11-01,1.824,1.843,1.815,1.833,678132,MYR
2013-11-04,1.833,1.889,1.833,1.843,1603476,MYR
2013-11-06,1.889,1.917,1.806,1.815,7833671,MYR
2013-11-07,1.852,1.852,1.806,1.815,1254960,MYR
2013-11-08,1.824,1.843,1.824,1.843,1101168,MYR
2013-11-11,1.843,1.861,1.833,1.843,2176524,MYR
2013-11-12,1.843,1.843,1.806,1.806,1681560,MYR
2013-11-13,1.824,1.824,1.787,1.787,1055592,MYR
2013-11-14,1.787,1.806,1.787,1.796,682560,MYR
2013-11-15,1.806,1.806,1.732,1.732,3738096,MYR
2013-11-18,0.741,0.759,0.694,0.722,3967164,MYR
2013-11-19,0.736,0.736,0.69,0.69,910224,MYR
2013-11-20,0.69,0.699,0.671,0.681,691200,MYR
2013-11-21,0.681,0.681,0.671,0.676,225504,MYR
2013-11-22,0.676,0.694,0.676,0.681,391824,MYR
2013-11-25,0.676,0.676,0.667,0.667,514512,MYR
2013-11-26,0.667,0.671,0.662,0.662,377892,MYR
2013-11-27,0.662,0.662,0.648,0.653,645408,MYR
2013-11-28,0.653,0.657,0.648,0.657,724680,MYR
2013-11-29,0.657,0.681,0.653,0.676,418068,MYR
2013-12-02,0.685,0.69,0.681,0.69,192672,MYR
2013-12-03,0.69,0.704,0.681,0.685,282528,MYR
2013-12-04,0.667,0.676,0.667,0.671,128520,MYR
2013-12-05,0.685,0.694,0.685,0.685,287388,MYR
