Date,Open,High,Low,Close,Volume,Currency
2013-03-22,0.352,0.352,0.348,0.348,277500,MYR
2013-03-25,0.352,0.365,0.352,0.365,424900,MYR
2013-03-26,0.361,0.361,0.357,0.357,209600,MYR
2013-03-27,0.361,0.365,0.357,0.361,758800,MYR
2013-03-28,0.361,0.361,0.357,0.361,353000,MYR
2013-03-29,0.361,0.378,0.361,0.374,1550700,MYR
2013-04-01,0.378,0.378,0.361,0.378,642400,MYR
2013-04-02,0.37,0.374,0.37,0.37,625300,MYR
2013-04-03,0.37,0.374,0.352,0.365,1321600,MYR
2013-04-04,0.365,0.37,0.365,0.37,254300,MYR
2013-04-05,0.37,0.383,0.37,0.378,618900,MYR
2013-04-08,0.374,0.387,0.374,0.383,420900,MYR
2013-04-09,0.383,0.417,0.383,0.417,1502000,MYR
2013-04-10,0.421,0.434,0.404,0.413,2856900,MYR
2013-04-11,0.413,0.417,0.408,0.417,502400,MYR
2013-04-12,0.413,0.413,0.408,0.408,570800,MYR
2013-04-15,0.413,0.413,0.408,0.413,612600,MYR
2013-04-16,0.408,0.413,0.404,0.408,454600,MYR
2013-04-17,0.413,0.417,0.408,0.408,417600,MYR
2013-04-18,0.408,0.434,0.408,0.425,1488500,MYR
2013-04-19,0.425,0.425,0.417,0.421,280400,MYR
2013-04-22,0.421,0.434,0.421,0.425,1023700,MYR
2013-04-23,0.43,0.464,0.43,0.46,5002700,MYR
2013-04-24,0.46,0.498,0.451,0.49,7944100,MYR
2013-04-25,0.503,0.529,0.494,0.516,6146400,MYR
2013-04-26,0.52,0.58,0.516,0.58,7578100,MYR
2013-04-29,0.597,0.636,0.589,0.619,11867700,MYR
2013-04-30,0.623,0.623,0.585,0.593,3717700,MYR
2013-05-02,0.585,0.602,0.494,0.511,9074500,MYR
2013-05-03,0.507,0.533,0.46,0.494,4268200,MYR
2013-05-06,0.537,0.559,0.511,0.546,4484300,MYR
2013-05-07,0.55,0.559,0.516,0.546,3480200,MYR
2013-05-08,0.546,0.55,0.516,0.529,5296800,MYR
2013-05-09,0.511,0.59,0.469,0.558,5482100,MYR
2013-05-10,0.558,0.576,0.548,0.567,1724100,MYR
2013-05-13,0.572,0.576,0.558,0.558,2545800,MYR
2013-05-14,0.558,0.572,0.529,0.548,2742100,MYR
2013-05-15,0.553,0.558,0.539,0.548,951600,MYR
2013-05-16,0.548,0.595,0.548,0.558,2871300,MYR
2013-05-17,0.605,0.609,0.576,0.59,3835300,MYR
2013-05-20,0.595,0.619,0.595,0.605,3538900,MYR
2013-05-21,0.609,0.689,0.609,0.679,3547700,MYR
2013-05-22,0.694,0.694,0.637,0.651,2254100,MYR
2013-05-23,0.651,0.656,0.628,0.647,1118800,MYR
2013-05-27,0.647,0.651,0.633,0.637,670100,MYR
2013-05-28,0.637,0.647,0.637,0.642,788700,MYR
2013-05-29,0.651,0.661,0.647,0.656,1138200,MYR
2013-05-30,0.647,0.647,0.637,0.637,510100,MYR
2013-05-31,0.642,0.642,0.595,0.6,809100,MYR
2013-06-03,0.6,0.6,0.572,0.576,976000,MYR
2013-06-04,0.576,0.609,0.576,0.6,481800,MYR
2013-06-05,0.6,0.619,0.595,0.6,758200,MYR
2013-06-06,0.6,0.605,0.595,0.6,212600,MYR
2013-06-07,0.595,0.665,0.595,0.656,2653300,MYR
2013-06-10,0.675,0.694,0.67,0.675,2693800,MYR
2013-06-11,0.684,0.689,0.651,0.656,1516500,MYR
2013-06-12,0.647,0.661,0.619,0.642,3242900,MYR
2013-06-13,0.647,0.647,0.619,0.619,1216000,MYR
2013-06-14,0.637,0.647,0.623,0.623,1626700,MYR
2013-06-17,0.623,0.623,0.605,0.609,826200,MYR
2013-06-18,0.609,0.637,0.609,0.637,2080900,MYR
2013-06-19,0.642,0.661,0.642,0.656,2239200,MYR
2013-06-20,0.651,0.694,0.647,0.694,3919400,MYR
2013-06-21,0.675,0.712,0.665,0.703,4766400,MYR
2013-06-24,0.708,0.712,0.651,0.656,3507600,MYR
2013-06-25,0.656,0.675,0.642,0.656,1916800,MYR
2013-06-26,0.665,0.675,0.656,0.661,1953800,MYR
2013-06-27,0.665,0.675,0.665,0.675,1327900,MYR
2013-06-28,0.675,0.675,0.67,0.67,924000,MYR
2013-07-01,0.67,0.67,0.651,0.651,1743200,MYR
2013-07-02,0.651,0.651,0.628,0.642,3075000,MYR
2013-07-03,0.647,0.661,0.642,0.661,537000,MYR
2013-07-04,0.665,0.694,0.665,0.675,2926800,MYR
2013-07-05,0.679,0.694,0.679,0.679,1583700,MYR
2013-07-08,0.722,0.722,0.684,0.684,3580400,MYR
2013-07-09,0.694,0.712,0.694,0.708,2586300,MYR
2013-07-10,0.712,0.717,0.703,0.708,2341800,MYR
2013-07-11,0.712,0.712,0.698,0.698,2292100,MYR
2013-07-12,0.698,0.703,0.694,0.694,1071300,MYR
2013-07-15,0.703,0.768,0.698,0.754,9281100,MYR
2013-07-16,0.764,0.806,0.759,0.801,5481700,MYR
2013-07-17,0.806,0.825,0.768,0.797,3838800,MYR
2013-07-18,0.801,0.801,0.778,0.787,1685700,MYR
2013-07-19,0.797,0.811,0.792,0.806,2190500,MYR
2013-07-22,0.82,0.881,0.82,0.862,6567300,MYR
2013-07-23,0.881,0.89,0.853,0.872,2616400,MYR
2013-07-24,0.876,0.9,0.872,0.886,3633300,MYR
2013-07-25,0.89,0.89,0.858,0.862,1691700,MYR
2013-07-26,0.876,0.9,0.867,0.9,2325400,MYR
2013-07-29,0.9,0.923,0.876,0.876,1940900,MYR
2013-07-30,0.876,0.89,0.839,0.862,1152100,MYR
2013-07-31,0.862,0.867,0.825,0.829,2902400,MYR
2013-08-01,0.82,0.858,0.797,0.858,3794600,MYR
2013-08-02,0.862,0.872,0.82,0.825,3159200,MYR
2013-08-05,0.815,0.825,0.801,0.801,1977900,MYR
2013-08-06,0.801,0.801,0.778,0.783,3467600,MYR
2013-08-07,0.783,0.825,0.783,0.806,4043800,MYR
2013-08-12,0.815,0.815,0.801,0.806,2463500,MYR
2013-08-13,0.806,0.811,0.792,0.797,2005700,MYR
2013-08-14,0.797,0.806,0.797,0.801,1627200,MYR
2013-08-15,0.806,0.811,0.797,0.801,1323900,MYR
2013-08-16,0.797,0.858,0.797,0.844,5767900,MYR
2013-08-19,0.848,0.867,0.839,0.862,5256400,MYR
2013-08-20,0.862,0.862,0.806,0.829,3674900,MYR
2013-08-21,0.834,0.834,0.815,0.829,1154900,MYR
2013-08-22,0.815,0.815,0.787,0.806,3582800,MYR
2013-08-23,0.815,0.815,0.797,0.806,1619900,MYR
2013-08-26,0.806,0.811,0.797,0.797,1958900,MYR
2013-08-27,0.797,0.797,0.722,0.736,4125300,MYR
2013-08-28,0.708,0.745,0.67,0.745,5386300,MYR
2013-08-29,0.764,0.768,0.754,0.759,2397900,MYR
2013-08-30,0.768,0.773,0.745,0.764,1563300,MYR
2013-09-02,0.764,0.764,0.736,0.74,1608000,MYR
2013-09-03,0.745,0.75,0.731,0.731,866200,MYR
2013-09-04,0.726,0.745,0.726,0.745,822000,MYR
2013-09-05,0.745,0.759,0.745,0.759,800800,MYR
2013-09-06,0.759,0.787,0.759,0.783,1751900,MYR
2013-09-09,0.778,0.801,0.778,0.787,2037500,MYR
2013-09-10,0.792,0.806,0.787,0.792,1616900,MYR
2013-09-11,0.801,0.811,0.797,0.801,1446900,MYR
2013-09-12,0.806,0.829,0.806,0.829,3359400,MYR
2013-09-13,0.825,0.825,0.801,0.825,1186600,MYR
2013-09-17,0.825,0.834,0.815,0.815,1292200,MYR
2013-09-18,0.825,0.829,0.82,0.825,1726000,MYR
2013-09-19,0.834,0.844,0.829,0.844,1841400,MYR
2013-09-20,0.844,0.844,0.829,0.829,349200,MYR
2013-09-23,0.829,0.844,0.825,0.844,514600,MYR
2013-09-24,0.844,0.844,0.825,0.829,618100,MYR
2013-09-25,0.829,0.839,0.829,0.834,2043400,MYR
2013-09-26,0.839,0.867,0.839,0.867,5188800,MYR
2013-09-27,0.872,0.895,0.867,0.89,6290200,MYR
2013-09-30,0.89,0.984,0.881,0.956,13569200,MYR
2013-10-01,0.965,1.05,0.947,1.04,12426300,MYR
2013-10-02,1.068,1.087,0.965,1.031,10294400,MYR
2013-10-03,1.031,1.059,0.994,1.04,4706400,MYR
2013-10-04,1.059,1.078,1.022,1.022,5761800,MYR
2013-10-07,1.031,1.031,0.975,1.012,4547300,MYR
2013-10-08,1.012,1.068,0.994,1.059,3829600,MYR
2013-10-09,1.059,1.143,1.05,1.125,9510500,MYR
2013-10-10,1.143,1.171,1.125,1.143,7339900,MYR
2013-10-11,1.162,1.162,1.106,1.143,3403000,MYR
2013-10-14,1.143,1.162,1.125,1.153,1891600,MYR
2013-10-16,1.162,1.209,1.162,1.181,4694800,MYR
2013-10-17,1.2,1.237,1.19,1.209,6027900,MYR
2013-10-18,1.218,1.218,1.181,1.2,3012100,MYR
2013-10-21,1.209,1.218,1.19,1.19,1335200,MYR
2013-10-22,1.19,1.2,1.134,1.2,2605900,MYR
2013-10-23,1.181,1.218,1.171,1.209,2066900,MYR
2013-10-24,1.218,1.218,1.2,1.218,1385600,MYR
2013-10-25,1.209,1.218,1.2,1.2,569200,MYR
2013-10-28,1.2,1.293,1.19,1.275,4096600,MYR
2013-10-29,1.284,1.312,1.275,1.275,2321300,MYR
2013-10-30,1.273,1.292,1.264,1.264,1567800,MYR
2013-10-31,1.264,1.292,1.245,1.273,1425700,MYR
2013-11-01,1.292,1.301,1.264,1.282,3346400,MYR
2013-11-04,1.292,1.31,1.282,1.292,1247000,MYR
2013-11-06,1.301,1.31,1.273,1.282,1453200,MYR
2013-11-07,1.273,1.292,1.264,1.264,1163900,MYR
2013-11-08,1.254,1.273,1.245,1.254,1274600,MYR
2013-11-11,1.273,1.292,1.264,1.292,1121200,MYR
2013-11-12,1.292,1.292,1.264,1.264,1021500,MYR
2013-11-13,1.264,1.273,1.189,1.208,3159900,MYR
2013-11-14,1.208,1.254,1.208,1.254,1500300,MYR
2013-11-15,1.264,1.264,1.217,1.236,2617000,MYR
2013-11-18,1.236,1.254,1.226,1.245,1025300,MYR
2013-11-19,1.245,1.254,1.217,1.236,1006600,MYR
2013-11-20,1.236,1.236,1.217,1.217,450100,MYR
2013-11-21,1.217,1.282,1.217,1.273,1413900,MYR
2013-11-22,1.273,1.348,1.254,1.339,2336600,MYR
2013-11-25,1.357,1.404,1.357,1.395,3907000,MYR
