Date,Open,High,Low,Close,Volume,Currency
2014-06-25,0.43,0.43,0.43,0.43,5600,MYR
2014-07-31,0.37,0.41,0.37,0.37,1300,MYR
2014-08-05,0.46,0.46,0.46,0.46,100,MYR
2014-08-21,0.43,0.43,0.43,0.43,1400,MYR
2014-08-25,0.445,0.445,0.39,0.39,1200,MYR
2014-08-26,0.41,0.45,0.405,0.45,2600,MYR
2014-08-27,0.41,0.41,0.375,0.375,2000,MYR
2014-10-07,0.375,0.375,0.375,0.375,1800,MYR
2014-10-13,0.37,0.37,0.37,0.37,300,MYR
2014-10-16,0.35,0.35,0.35,0.35,10000,MYR
2014-11-12,0.32,0.32,0.32,0.32,1000,MYR
2014-11-24,0.36,0.36,0.36,0.36,5100,MYR
2014-11-27,0.36,0.36,0.36,0.36,12000,MYR
2014-12-01,0.32,0.36,0.32,0.36,400,MYR
2014-12-09,0.31,0.31,0.31,0.31,1000,MYR
2014-12-10,0.3,0.3,0.3,0.3,15000,MYR
2014-12-12,0.38,0.38,0.3,0.3,28400,MYR
2014-12-17,0.29,0.29,0.29,0.29,200,MYR
2014-12-22,0.34,0.34,0.34,0.34,367600,MYR
2014-12-23,0.34,0.34,0.34,0.34,352400,MYR
2014-12-24,0.35,0.35,0.35,0.35,2400,MYR
2014-12-26,0.325,0.34,0.325,0.34,111600,MYR
2014-12-29,0.36,0.36,0.36,0.36,36000,MYR
2015-01-09,0.36,0.36,0.36,0.36,20000,MYR
2015-01-14,0.33,0.33,0.33,0.33,30000,MYR
2015-01-15,0.36,0.36,0.36,0.36,10000,MYR
2015-01-27,0.36,0.36,0.36,0.36,10000,MYR
2015-01-28,0.36,0.36,0.36,0.36,1500,MYR
2015-01-29,0.36,0.36,0.36,0.36,65000,MYR
2015-02-10,0.36,0.36,0.36,0.36,19000,MYR
2015-02-11,0.36,0.36,0.36,0.36,26000,MYR
2015-03-02,0.36,0.36,0.36,0.36,10000,MYR
2015-03-04,0.28,0.36,0.28,0.36,11000,MYR
2015-03-09,0.35,0.36,0.35,0.36,107000,MYR
2015-03-13,0.36,0.36,0.36,0.36,10000,MYR
2015-03-26,0.32,0.36,0.32,0.36,231000,MYR
2015-03-27,0.38,0.38,0.36,0.36,449200,MYR
2015-03-30,0.36,0.36,0.36,0.36,111000,MYR
2015-03-31,0.36,0.36,0.36,0.36,60000,MYR
2015-04-01,0.36,0.36,0.33,0.36,100000,MYR
2015-04-16,0.36,0.36,0.36,0.36,100000,MYR
2015-04-21,0.36,0.36,0.36,0.36,121000,MYR
2015-04-22,0.36,0.36,0.36,0.36,435000,MYR
2015-04-23,0.36,0.36,0.36,0.36,205000,MYR
2015-04-24,0.36,0.36,0.36,0.36,101000,MYR
2015-04-27,0.36,0.36,0.36,0.36,98000,MYR
2015-04-30,0.36,0.36,0.36,0.36,100000,MYR
2015-05-05,0.36,0.36,0.36,0.36,200000,MYR
2015-05-07,0.36,0.36,0.36,0.36,9500,MYR
2015-06-05,0.365,0.365,0.365,0.365,400,MYR
2015-08-20,0.3,0.3,0.3,0.3,9900,MYR
2015-08-24,0.3,0.3,0.3,0.3,30000,MYR
2015-08-25,0.3,0.3,0.3,0.3,43000,MYR
2015-08-26,0.3,0.3,0.3,0.3,10000,MYR
2015-09-09,0.3,0.3,0.3,0.3,10000,MYR
2015-10-26,0.3,0.3,0.3,0.3,10000,MYR
2015-11-25,0.3,0.3,0.3,0.3,9500,MYR
2015-12-10,0.32,0.32,0.32,0.32,300,MYR
2015-12-29,0.35,0.35,0.32,0.32,1900,MYR
2016-01-07,0.4,0.4,0.4,0.4,10900,MYR
2016-01-14,0.36,0.36,0.36,0.36,100,MYR
2016-01-20,0.33,0.33,0.33,0.33,100,MYR
2016-02-05,0.39,0.39,0.39,0.39,9300,MYR
2016-02-10,0.39,0.39,0.39,0.39,9300,MYR
2016-02-15,0.39,0.39,0.39,0.39,500,MYR
2016-02-18,0.39,0.42,0.39,0.39,1800,MYR
2016-02-19,0.45,0.45,0.39,0.39,1000,MYR
2016-02-22,0.39,0.39,0.39,0.39,900,MYR
2016-02-25,0.4,0.44,0.4,0.44,9100,MYR
2016-02-26,0.5,0.575,0.5,0.575,6300,MYR
2016-03-01,0.58,0.58,0.575,0.575,21900,MYR
2016-03-02,0.575,0.575,0.575,0.575,33800,MYR
2016-03-03,0.585,0.72,0.585,0.72,31500,MYR
2016-03-04,0.72,0.76,0.72,0.76,10500,MYR
2016-03-07,0.73,0.73,0.7,0.7,23000,MYR
2016-03-08,0.63,0.635,0.58,0.6,82100,MYR
2016-03-10,0.6,0.6,0.56,0.56,27600,MYR
2016-03-11,0.605,0.605,0.605,0.605,20000,MYR
2016-03-15,0.56,0.56,0.54,0.54,24000,MYR
2016-03-16,0.54,0.58,0.54,0.58,6000,MYR
2016-03-17,0.58,0.58,0.58,0.58,15000,MYR
2016-03-23,0.57,0.57,0.57,0.57,2100,MYR
2016-03-24,0.565,0.565,0.565,0.565,5000,MYR
