Date,Open,High,Low,Close,Volume,Currency
2011-08-24,4.64,4.78,4.57,4.67,4279700,MYR
2011-08-25,4.69,4.82,4.69,4.78,4178500,MYR
2011-08-26,4.74,4.76,4.53,4.61,6286100,MYR
2011-08-29,4.58,4.61,4.51,4.51,8887800,MYR
2011-09-02,4.6,4.84,4.6,4.79,10237000,MYR
2011-09-05,4.76,4.82,4.69,4.7,3385200,MYR
2011-09-06,4.72,4.72,4.56,4.56,5805800,MYR
2011-09-07,4.57,4.67,4.57,4.67,4922600,MYR
2011-09-08,4.7,4.82,4.66,4.81,5167400,MYR
2011-09-09,4.73,4.82,4.73,4.78,1509400,MYR
2011-09-12,4.7,4.7,4.61,4.63,4598800,MYR
2011-09-13,4.64,4.74,4.61,4.61,1339100,MYR
2011-09-14,4.69,4.7,4.6,4.61,2987800,MYR
2011-09-15,4.68,4.73,4.62,4.62,6813600,MYR
2011-09-19,4.64,4.67,4.57,4.6,4991800,MYR
2011-09-20,4.56,4.68,4.51,4.68,4407600,MYR
2011-09-21,4.66,4.79,4.66,4.71,4881700,MYR
2011-09-22,4.63,4.69,4.62,4.62,3845700,MYR
2011-09-23,4.56,4.66,4.47,4.51,4403400,MYR
2011-09-26,4.47,4.51,4.26,4.36,5308900,MYR
2011-09-27,4.4,4.48,4.4,4.46,9143700,MYR
2011-09-28,4.49,4.55,4.38,4.45,6694000,MYR
2011-09-29,4.43,4.55,4.4,4.52,3747800,MYR
2011-09-30,4.51,4.65,4.49,4.65,4465800,MYR
2011-10-03,4.6,4.6,4.44,4.46,4379200,MYR
2011-10-04,4.46,4.6,4.42,4.43,1928000,MYR
2011-10-05,4.46,4.61,4.43,4.44,3953200,MYR
2011-10-06,4.51,4.55,4.45,4.55,4154100,MYR
2011-10-07,4.59,4.82,4.52,4.82,6155900,MYR
2011-10-10,4.78,4.8,4.68,4.74,2484100,MYR
2011-10-11,4.81,4.89,4.78,4.87,4389100,MYR
2011-10-12,4.87,5.0,4.79,5.0,3770300,MYR
2011-10-13,5.01,5.15,5.0,5.13,6499700,MYR
2011-10-14,5.13,5.13,5.01,5.03,2688900,MYR
2011-10-17,5.1,5.15,5.09,5.14,5017700,MYR
2011-10-18,5.13,5.13,4.9,5.0,2358000,MYR
2011-10-19,5.02,5.04,4.89,5.0,5403300,MYR
2011-10-20,4.98,5.01,4.85,5.0,2048800,MYR
2011-10-21,5.0,5.04,3.75,5.0,1292600,MYR
2011-10-24,5.05,5.14,5.03,5.03,3428500,MYR
2011-10-25,5.08,5.11,5.0,5.1,2704700,MYR
2011-10-27,5.12,5.3,5.12,5.26,8545400,MYR
2011-10-28,5.3,5.32,5.09,5.14,6342500,MYR
2011-10-31,5.14,5.29,5.09,5.25,4127900,MYR
2011-11-01,5.22,5.22,5.03,5.09,2629200,MYR
2011-11-02,5.04,5.2,4.99,5.14,3471800,MYR
2011-11-03,5.17,5.17,4.99,5.08,2837900,MYR
2011-11-04,5.1,5.21,5.07,5.21,3572600,MYR
2011-11-08,5.24,5.25,5.15,5.17,3262800,MYR
2011-11-09,5.19,5.25,5.12,5.17,4775900,MYR
2011-11-10,5.07,5.09,5.04,5.05,2037500,MYR
2011-11-11,5.06,5.09,5.04,5.04,1596600,MYR
2011-11-14,5.05,5.21,5.05,5.17,5141500,MYR
2011-11-15,5.1,5.16,5.09,5.11,1849100,MYR
2011-11-16,5.15,5.23,5.09,5.23,2757900,MYR
2011-11-17,5.2,5.21,5.09,5.09,2051300,MYR
2011-11-18,5.1,5.18,5.06,5.06,2872100,MYR
2011-11-21,5.0,5.04,4.96,4.97,5911500,MYR
2011-11-22,4.95,4.98,4.92,4.98,4655900,MYR
2011-11-23,4.94,4.94,4.9,4.92,3595300,MYR
2011-11-24,4.92,5.02,4.91,5.0,2411800,MYR
2011-11-25,5.0,5.0,4.93,4.97,2936900,MYR
2011-11-29,4.96,5.03,4.95,4.95,4423800,MYR
2011-11-30,4.95,5.02,4.95,5.01,5521200,MYR
2011-12-01,5.16,5.2,5.12,5.18,8456800,MYR
2011-12-02,5.18,5.2,5.12,5.18,3954900,MYR
2011-12-05,5.21,5.22,5.17,5.18,2623200,MYR
2011-12-06,5.12,5.2,5.12,5.18,4349500,MYR
2011-12-07,5.19,5.19,5.1,5.12,7225800,MYR
2011-12-08,5.1,5.1,5.02,5.07,4393700,MYR
2011-12-09,5.01,5.07,5.01,5.04,3504100,MYR
2011-12-12,5.04,5.13,5.04,5.1,3091800,MYR
2011-12-13,5.05,5.14,5.05,5.12,2290000,MYR
2011-12-14,5.07,5.13,5.07,5.09,1608000,MYR
2011-12-15,5.04,5.15,5.02,5.15,2587200,MYR
2011-12-16,5.09,5.15,5.05,5.05,4700900,MYR
2011-12-19,5.03,5.1,5.03,5.1,3065000,MYR
2011-12-20,5.1,5.1,5.05,5.05,5634100,MYR
