Date,Open,High,Low,Close,Volume,Currency
2013-03-21,0.585,0.608,0.585,0.608,6412,MYR
2013-03-22,0.627,0.702,0.599,0.608,158364,MYR
2013-03-26,0.632,0.632,0.599,0.622,19769,MYR
2013-03-27,0.604,0.604,0.604,0.604,10686,MYR
2013-03-28,0.599,0.599,0.599,0.599,10686,MYR
2013-03-29,0.618,0.618,0.618,0.618,1069,MYR
2013-04-01,0.608,0.618,0.608,0.618,45949,MYR
2013-04-02,0.618,0.636,0.618,0.636,10686,MYR
2013-04-03,0.636,0.641,0.618,0.641,12823,MYR
2013-04-04,0.636,0.636,0.618,0.618,14960,MYR
2013-04-05,0.618,0.636,0.618,0.636,15601,MYR
2013-04-08,0.636,0.646,0.636,0.646,36332,MYR
2013-04-10,0.632,0.655,0.632,0.655,64115,MYR
2013-04-11,0.65,0.65,0.65,0.65,26715,MYR
2013-04-12,0.627,0.627,0.627,0.627,6412,MYR
2013-04-15,0.608,0.608,0.608,0.608,3206,MYR
2013-04-17,0.636,0.636,0.636,0.636,5343,MYR
2013-04-19,0.618,0.618,0.618,0.618,1069,MYR
2013-04-23,0.627,0.627,0.627,0.627,25753,MYR
2013-04-24,0.618,0.618,0.618,0.618,1069,MYR
2013-04-26,0.618,0.618,0.618,0.618,1069,MYR
2013-04-30,0.571,0.585,0.571,0.585,3206,MYR
2013-05-06,0.58,0.59,0.58,0.59,9083,MYR
2013-05-07,0.599,0.608,0.599,0.608,11754,MYR
2013-05-08,0.608,0.608,0.608,0.608,5343,MYR
2013-05-10,0.613,0.618,0.613,0.618,25646,MYR
2013-05-13,0.627,0.636,0.627,0.636,10686,MYR
2013-05-14,0.655,0.655,0.655,0.655,12823,MYR
2013-05-15,0.655,0.669,0.655,0.669,31523,MYR
2013-05-16,0.655,0.655,0.655,0.655,11754,MYR
2013-05-17,0.655,0.664,0.655,0.664,21372,MYR
2013-05-20,0.664,0.669,0.664,0.669,30989,MYR
2013-05-21,0.674,0.683,0.664,0.674,63581,MYR
2013-05-22,0.683,0.683,0.674,0.678,168729,MYR
2013-05-23,0.674,0.678,0.674,0.674,103439,MYR
2013-05-27,0.674,0.688,0.674,0.683,27249,MYR
2013-05-28,0.688,0.688,0.674,0.683,69458,MYR
2013-05-29,0.688,0.693,0.688,0.688,44881,MYR
2013-05-30,0.688,0.693,0.688,0.693,134214,MYR
2013-05-31,0.674,0.674,0.646,0.65,566884,MYR
2013-06-03,0.65,0.65,0.636,0.636,124276,MYR
2013-06-04,0.636,0.636,0.618,0.627,43812,MYR
2013-06-05,0.636,0.636,0.627,0.636,67321,MYR
2013-06-06,0.632,0.632,0.627,0.627,33126,MYR
2013-06-07,0.632,0.632,0.627,0.627,32058,MYR
2013-06-10,0.636,0.636,0.627,0.636,54498,MYR
2013-06-11,0.636,0.636,0.632,0.632,46804,MYR
2013-06-12,0.636,0.636,0.636,0.636,24577,MYR
2013-06-13,0.636,0.636,0.632,0.636,32699,MYR
2013-06-17,0.795,0.833,0.795,0.795,539742,MYR
2013-06-18,0.8,0.842,0.8,0.828,1259753,MYR
2013-06-19,0.833,0.842,0.824,0.842,1048281,MYR
2013-06-20,0.819,0.842,0.819,0.819,781669,MYR
2013-06-21,0.824,0.842,0.814,0.842,541024,MYR
2013-06-24,0.852,0.852,0.828,0.838,183796,MYR
2013-06-25,0.833,0.842,0.833,0.833,254537,MYR
2013-06-26,0.838,0.842,0.838,0.838,519545,MYR
2013-06-27,0.842,0.842,0.838,0.838,167768,MYR
2013-06-28,0.833,0.838,0.833,0.838,40606,MYR
2013-07-01,0.842,0.842,0.838,0.842,438226,MYR
2013-07-02,0.842,0.842,0.838,0.838,205168,MYR
2013-07-03,0.838,0.842,0.833,0.833,134428,MYR
2013-07-04,0.833,0.842,0.833,0.842,153876,MYR
2013-07-05,0.833,0.842,0.833,0.842,53429,MYR
2013-07-08,0.842,0.842,0.842,0.842,25646,MYR
2013-07-09,0.847,0.852,0.842,0.842,51292,MYR
2013-07-10,0.842,0.842,0.842,0.842,26715,MYR
2013-07-11,0.842,0.842,0.842,0.842,37400,MYR
2013-07-12,0.842,0.842,0.842,0.842,34195,MYR
2013-07-15,0.842,0.842,0.833,0.833,66466,MYR
2013-07-16,0.833,0.842,0.833,0.842,88906,MYR
2013-07-17,0.842,0.842,0.833,0.842,343015,MYR
2013-07-18,0.833,0.842,0.833,0.842,165417,MYR
2013-07-19,0.842,0.842,0.838,0.842,72664,MYR
