Date,Open,High,Low,Close,Volume,Currency
2013-03-27,0.595,0.595,0.59,0.59,6311800,MYR
2013-03-28,0.59,0.595,0.585,0.59,9417900,MYR
2013-03-29,0.59,0.595,0.59,0.595,5806200,MYR
2013-04-01,0.6,0.6,0.59,0.59,7711000,MYR
2013-04-02,0.58,0.595,0.58,0.59,5760000,MYR
2013-04-03,0.59,0.59,0.58,0.59,9019400,MYR
2013-04-04,0.585,0.59,0.585,0.59,6848700,MYR
2013-04-05,0.585,0.6,0.58,0.6,6954100,MYR
2013-04-08,0.59,0.6,0.59,0.59,6314200,MYR
2013-04-09,0.59,0.6,0.59,0.6,9916700,MYR
2013-04-10,0.6,0.6,0.595,0.595,6760100,MYR
2013-04-11,0.595,0.595,0.59,0.595,7715500,MYR
2013-04-12,0.595,0.595,0.59,0.59,4628300,MYR
2013-04-15,0.595,0.6,0.585,0.585,5506900,MYR
2013-04-16,0.59,0.605,0.59,0.59,7165500,MYR
2013-04-17,0.595,0.605,0.585,0.585,7240200,MYR
2013-04-18,0.59,0.595,0.585,0.595,5634500,MYR
2013-04-19,0.595,0.6,0.59,0.59,4655600,MYR
2013-04-22,0.6,0.605,0.595,0.6,7288200,MYR
2013-04-23,0.6,0.6,0.59,0.595,8181300,MYR
2013-04-24,0.595,0.595,0.59,0.595,5220400,MYR
2013-04-25,0.595,0.6,0.595,0.595,4715100,MYR
2013-04-26,0.6,0.61,0.6,0.605,7093700,MYR
2013-04-29,0.605,0.61,0.6,0.605,7965900,MYR
2013-04-30,0.605,0.61,0.6,0.6,5804300,MYR
2013-05-02,0.6,0.61,0.6,0.6,4496100,MYR
2013-05-03,0.6,0.615,0.6,0.605,6477700,MYR
2013-05-06,0.605,0.62,0.605,0.615,7838300,MYR
2013-05-07,0.615,0.62,0.61,0.615,5578100,MYR
2013-05-08,0.615,0.615,0.615,0.615,4655700,MYR
2013-05-09,0.6,0.625,0.6,0.625,7031800,MYR
2013-05-10,0.625,0.635,0.625,0.63,7919000,MYR
2013-05-13,0.635,0.64,0.63,0.63,4789100,MYR
2013-05-14,0.63,0.63,0.625,0.625,4904800,MYR
2013-05-15,0.625,0.625,0.615,0.62,6083500,MYR
2013-05-16,0.62,0.63,0.62,0.63,7358000,MYR
2013-05-17,0.635,0.64,0.625,0.625,5163900,MYR
2013-05-20,0.63,0.64,0.625,0.625,4728100,MYR
2013-05-21,0.625,0.63,0.62,0.62,5060200,MYR
2013-05-22,0.62,0.63,0.62,0.62,8515800,MYR
2013-05-23,0.625,0.63,0.62,0.62,5225700,MYR
2013-05-27,0.63,0.635,0.625,0.625,4916900,MYR
2013-05-28,0.63,0.63,0.625,0.63,4834000,MYR
2013-05-29,0.63,0.63,0.625,0.63,7810700,MYR
2013-05-30,0.625,0.63,0.625,0.63,6205800,MYR
2013-05-31,0.63,0.63,0.63,0.63,4868800,MYR
2013-06-03,0.625,0.63,0.625,0.63,5257100,MYR
2013-06-04,0.63,0.63,0.625,0.63,8120500,MYR
2013-06-05,0.63,0.63,0.625,0.63,5209500,MYR
2013-06-06,0.63,0.63,0.625,0.625,5672600,MYR
2013-06-07,0.63,0.63,0.63,0.63,5876200,MYR
2013-06-10,0.63,0.63,0.625,0.63,7931700,MYR
2013-06-11,0.63,0.635,0.625,0.625,5245400,MYR
2013-06-12,0.63,0.63,0.625,0.63,5888800,MYR
2013-06-13,0.63,0.63,0.625,0.625,5322700,MYR
2013-06-14,0.63,0.63,0.62,0.625,7236500,MYR
2013-06-17,0.62,0.625,0.62,0.62,6603000,MYR
2013-06-18,0.625,0.63,0.62,0.62,8503900,MYR
2013-06-19,0.62,0.625,0.6,0.6,5193000,MYR
2013-06-20,0.605,0.625,0.605,0.61,7698800,MYR
2013-06-21,0.62,0.62,0.61,0.615,6244400,MYR
2013-06-24,0.62,0.62,0.61,0.615,6550900,MYR
2013-06-25,0.615,0.615,0.615,0.615,7192700,MYR
2013-06-26,0.615,0.615,0.61,0.615,5288400,MYR
2013-06-27,0.615,0.615,0.61,0.615,6059000,MYR
2013-06-28,0.615,0.615,0.615,0.615,3779400,MYR
2013-07-01,0.615,0.615,0.61,0.615,4251100,MYR
2013-07-02,0.615,0.615,0.615,0.615,4230500,MYR
2013-07-03,0.615,0.615,0.6,0.61,5958900,MYR
2013-07-04,0.61,0.61,0.6,0.605,3577500,MYR
2013-07-05,0.61,0.61,0.6,0.61,4729800,MYR
2013-07-08,0.61,0.615,0.6,0.605,4655900,MYR
2013-07-09,0.615,0.615,0.605,0.605,5571800,MYR
2013-07-10,0.605,0.605,0.605,0.605,3457300,MYR
2013-07-11,0.61,0.61,0.6,0.6,7018200,MYR
2013-07-12,0.605,0.605,0.605,0.605,4235900,MYR
2013-07-15,0.605,0.61,0.6,0.6,4418200,MYR
2013-07-16,0.605,0.61,0.6,0.605,3177900,MYR
2013-07-17,0.595,0.61,0.595,0.61,6785000,MYR
2013-07-18,0.61,0.615,0.61,0.61,4774400,MYR
2013-07-19,0.61,0.615,0.61,0.615,5385400,MYR
2013-07-22,0.61,0.62,0.61,0.615,4475900,MYR
2013-07-23,0.615,0.62,0.6,0.605,5286600,MYR
2013-07-24,0.605,0.61,0.6,0.605,5052700,MYR
2013-07-25,0.605,0.61,0.605,0.605,5878100,MYR
2013-07-26,0.605,0.605,0.6,0.605,4939100,MYR
2013-07-29,0.605,0.605,0.605,0.605,5432800,MYR
2013-07-30,0.605,0.605,0.605,0.605,5188800,MYR
2013-07-31,0.605,0.605,0.605,0.605,5241900,MYR
2013-08-01,0.605,0.605,0.605,0.605,4538800,MYR
2013-08-02,0.605,0.615,0.605,0.61,5570400,MYR
2013-08-05,0.61,0.615,0.6,0.61,8027000,MYR
2013-08-06,0.615,0.615,0.61,0.61,7499200,MYR
2013-08-07,0.605,0.61,0.605,0.61,193900,MYR
2013-08-12,0.61,0.615,0.605,0.61,5502100,MYR
2013-08-13,0.605,0.62,0.605,0.62,7918100,MYR
2013-08-14,0.62,0.62,0.615,0.62,6967300,MYR
2013-08-15,0.62,0.62,0.615,0.62,2345200,MYR
2013-08-16,0.62,0.62,0.595,0.605,4437600,MYR
