Date,Open,High,Low,Close,Volume,Currency
2013-01-25,0.5,0.5,0.49,0.49,349500,MYR
2013-01-29,0.49,0.49,0.48,0.485,413500,MYR
2013-01-30,0.485,0.485,0.48,0.485,605200,MYR
2013-01-31,0.485,0.485,0.48,0.48,228400,MYR
2013-02-04,0.48,0.485,0.48,0.48,278600,MYR
2013-02-05,0.485,0.485,0.48,0.48,216700,MYR
2013-02-06,0.48,0.48,0.48,0.48,289200,MYR
2013-02-07,0.48,0.485,0.47,0.475,315200,MYR
2013-02-08,0.48,0.485,0.475,0.48,132800,MYR
2013-02-13,0.485,0.485,0.48,0.48,35000,MYR
2013-02-14,0.49,0.495,0.485,0.495,359300,MYR
2013-02-15,0.5,0.51,0.495,0.51,939900,MYR
2013-02-18,0.51,0.525,0.505,0.515,844200,MYR
2013-02-19,0.51,0.515,0.51,0.51,618600,MYR
2013-02-20,0.51,0.515,0.5,0.51,374600,MYR
2013-02-21,0.515,0.515,0.495,0.505,348700,MYR
2013-02-22,0.5,0.51,0.5,0.51,254000,MYR
2013-02-25,0.505,0.515,0.505,0.515,226200,MYR
2013-02-26,0.51,0.51,0.5,0.505,478500,MYR
2013-02-27,0.5,0.505,0.5,0.5,164400,MYR
2013-02-28,0.495,0.495,0.495,0.495,494500,MYR
2013-03-01,0.495,0.5,0.495,0.495,107700,MYR
2013-03-04,0.495,0.495,0.49,0.49,255000,MYR
2013-03-05,0.495,0.5,0.49,0.495,621200,MYR
2013-03-06,0.495,0.5,0.495,0.5,62500,MYR
2013-03-07,0.5,0.5,0.495,0.5,181200,MYR
2013-03-08,0.495,0.505,0.495,0.5,422900,MYR
2013-03-11,0.5,0.51,0.5,0.505,379600,MYR
2013-03-12,0.505,0.52,0.5,0.5,1725800,MYR
2013-03-13,0.5,0.5,0.495,0.5,370000,MYR
2013-03-14,0.505,0.51,0.5,0.5,269000,MYR
2013-03-15,0.5,0.505,0.5,0.505,302100,MYR
2013-03-18,0.505,0.515,0.505,0.51,898200,MYR
2013-03-19,0.505,0.515,0.505,0.515,623700,MYR
2013-03-20,0.515,0.55,0.515,0.545,4833800,MYR
2013-03-21,0.54,0.545,0.535,0.54,1342500,MYR
2013-03-22,0.54,0.565,0.54,0.545,3481600,MYR
2013-03-25,0.555,0.555,0.54,0.545,1152300,MYR
2013-03-26,0.545,0.545,0.53,0.53,598000,MYR
2013-03-27,0.535,0.54,0.53,0.54,464300,MYR
2013-03-28,0.54,0.545,0.53,0.54,885300,MYR
2013-03-29,0.545,0.545,0.54,0.545,235000,MYR
2013-04-01,0.54,0.54,0.535,0.54,253000,MYR
2013-04-02,0.54,0.555,0.54,0.55,1016200,MYR
2013-04-03,0.55,0.555,0.525,0.54,1514700,MYR
2013-04-04,0.54,0.555,0.535,0.55,828700,MYR
2013-04-05,0.555,0.585,0.55,0.57,4251000,MYR
2013-04-08,0.575,0.615,0.57,0.605,6653200,MYR
2013-04-09,0.605,0.625,0.595,0.6,5056800,MYR
2013-04-10,0.6,0.6,0.59,0.59,1512600,MYR
2013-04-11,0.595,0.615,0.59,0.615,2814700,MYR
2013-04-12,0.615,0.615,0.605,0.615,2735700,MYR
2013-04-15,0.62,0.62,0.6,0.61,1756700,MYR
2013-04-16,0.6,0.61,0.595,0.605,2250000,MYR
2013-04-17,0.6,0.61,0.595,0.6,1038800,MYR
2013-04-18,0.605,0.605,0.59,0.59,592000,MYR
2013-04-19,0.595,0.6,0.595,0.595,355400,MYR
2013-04-22,0.595,0.595,0.575,0.58,834200,MYR
2013-04-23,0.575,0.575,0.56,0.56,978500,MYR
2013-04-24,0.56,0.57,0.555,0.56,220100,MYR
2013-04-25,0.56,0.57,0.56,0.565,128500,MYR
2013-04-26,0.565,0.585,0.565,0.585,585000,MYR
2013-04-29,0.585,0.585,0.565,0.565,277000,MYR
2013-04-30,0.565,0.57,0.565,0.565,102200,MYR
2013-05-02,0.565,0.565,0.555,0.555,425500,MYR
