Date,Open,High,Low,Close,Volume,Currency
2013-03-18,0.132,0.132,0.132,0.132,189600,MYR
2013-03-19,0.132,0.133,0.132,0.132,38000,MYR
2013-03-20,0.133,0.135,0.133,0.135,26000,MYR
2013-03-21,0.133,0.133,0.133,0.133,8000,MYR
2013-03-22,0.135,0.136,0.135,0.136,52400,MYR
2013-03-25,0.136,0.139,0.136,0.137,62200,MYR
2013-03-26,0.138,0.139,0.137,0.139,110800,MYR
2013-03-27,0.141,0.142,0.139,0.142,49000,MYR
2013-03-28,0.138,0.138,0.138,0.138,3000,MYR
2013-03-29,0.138,0.139,0.138,0.139,50000,MYR
2013-04-01,0.139,0.139,0.139,0.139,64000,MYR
2013-04-02,0.138,0.139,0.138,0.139,70000,MYR
2013-04-03,0.139,0.139,0.139,0.139,204000,MYR
2013-04-04,0.139,0.141,0.139,0.141,6400,MYR
2013-04-05,0.698,0.703,0.698,0.703,2800,MYR
2013-04-08,0.7,0.703,0.7,0.703,1920,MYR
2013-04-10,0.703,0.703,0.703,0.703,80,MYR
2013-04-11,0.698,0.718,0.698,0.705,13560,MYR
2013-04-12,0.708,0.72,0.708,0.72,21800,MYR
2013-04-15,0.72,0.72,0.72,0.72,400,MYR
2013-04-17,0.715,0.718,0.715,0.718,10600,MYR
2013-04-18,0.718,0.718,0.718,0.718,76160,MYR
2013-04-19,0.72,0.728,0.72,0.728,19600,MYR
2013-04-22,0.728,0.73,0.728,0.728,17080,MYR
2013-04-23,0.728,0.742,0.728,0.74,38120,MYR
2013-04-24,0.74,0.75,0.737,0.737,9320,MYR
2013-04-25,0.742,0.742,0.742,0.742,14000,MYR
2013-04-26,0.747,0.762,0.747,0.759,48040,MYR
2013-04-29,0.757,0.814,0.757,0.789,47160,MYR
2013-04-30,0.809,0.834,0.809,0.814,21800,MYR
2013-05-02,0.814,0.814,0.809,0.814,20000,MYR
2013-05-03,0.814,0.814,0.789,0.789,52240,MYR
2013-05-06,0.801,0.838,0.801,0.838,14600,MYR
2013-05-07,0.838,0.863,0.838,0.863,20400,MYR
2013-05-08,0.868,0.912,0.868,0.898,29240,MYR
2013-05-09,0.907,0.925,0.907,0.912,37240,MYR
2013-05-10,0.912,0.912,0.912,0.912,12280,MYR
2013-05-13,0.927,0.937,0.927,0.937,8480,MYR
2013-05-14,0.942,0.974,0.942,0.962,22240,MYR
2013-05-15,0.937,0.962,0.937,0.962,3360,MYR
2013-05-16,0.937,0.957,0.937,0.957,2160,MYR
2013-05-17,0.957,0.957,0.957,0.957,4400,MYR
2013-05-20,0.937,0.937,0.895,0.905,4520,MYR
2013-05-21,0.912,0.912,0.912,0.912,3400,MYR
2013-05-22,0.907,0.907,0.89,0.905,13480,MYR
2013-05-23,0.907,0.925,0.9,0.9,44560,MYR
2013-05-27,0.902,0.905,0.9,0.905,52240,MYR
2013-05-28,0.912,0.912,0.905,0.905,83600,MYR
2013-05-29,0.907,0.907,0.907,0.907,1000,MYR
2013-05-30,0.912,0.912,0.907,0.907,22000,MYR
2013-05-31,0.907,0.907,0.905,0.907,19480,MYR
2013-06-03,0.932,0.937,0.932,0.937,9800,MYR
2013-06-04,0.952,0.962,0.952,0.957,82800,MYR
2013-06-05,0.967,0.967,0.957,0.957,11920,MYR
2013-06-06,0.952,0.957,0.952,0.952,3040,MYR
2013-06-07,0.952,0.952,0.947,0.947,2160,MYR
2013-06-10,0.937,0.937,0.902,0.902,8320,MYR
2013-06-11,0.912,0.912,0.9,0.9,2000,MYR
2013-06-12,0.9,0.9,0.9,0.9,400,MYR
2013-06-13,0.9,0.9,0.893,0.893,2240,MYR
2013-06-18,0.9,0.9,0.9,0.9,3200,MYR
2013-06-19,0.902,0.905,0.902,0.905,3600,MYR
2013-06-21,0.905,0.912,0.905,0.905,183640,MYR
2013-06-24,0.888,0.907,0.888,0.907,3120,MYR
2013-06-25,0.912,0.972,0.912,0.962,24920,MYR
2013-06-26,0.962,0.967,0.962,0.962,6000,MYR
2013-06-27,0.962,0.962,0.957,0.957,440,MYR
2013-06-28,0.957,0.962,0.957,0.962,1360,MYR
2013-07-01,0.962,0.962,0.959,0.959,13360,MYR
2013-07-02,0.959,0.974,0.959,0.974,7160,MYR
2013-07-03,0.977,0.999,0.977,0.986,15040,MYR
2013-07-04,0.996,1.036,0.996,1.031,25480,MYR
2013-07-05,1.036,1.085,1.036,1.085,17480,MYR
2013-07-08,1.085,1.085,1.001,1.031,28640,MYR
2013-07-09,1.036,1.036,1.001,1.001,5600,MYR
2013-07-10,0.969,1.031,0.969,1.031,1320,MYR
2013-07-11,1.023,1.023,1.023,1.023,800,MYR
2013-07-12,1.011,1.011,1.011,1.011,30000,MYR
2013-07-15,1.006,1.011,1.006,1.011,2600,MYR
2013-07-16,1.009,1.011,1.009,1.011,18920,MYR
2013-07-19,1.006,1.011,1.006,1.006,14640,MYR
2013-07-23,1.006,1.011,1.006,1.011,5600,MYR
2013-07-24,1.006,1.006,1.006,1.006,1600,MYR
2013-07-25,1.006,1.011,1.006,1.009,11200,MYR
2013-07-26,1.011,1.011,1.011,1.011,44680,MYR
2013-07-29,1.011,1.016,1.011,1.011,71200,MYR
2013-07-30,1.009,1.011,0.999,1.011,7400,MYR
2013-07-31,1.009,1.009,1.009,1.009,1200,MYR
2013-08-01,0.986,0.996,0.986,0.996,24400,MYR
2013-08-02,1.004,1.011,0.986,0.986,66040,MYR
2013-08-05,0.986,0.999,0.986,0.986,2800,MYR
2013-08-06,0.991,0.999,0.986,0.986,21200,MYR
2013-08-12,1.004,1.004,0.999,1.004,4400,MYR
2013-08-13,1.006,1.033,1.006,1.011,96960,MYR
