Date,Open,High,Low,Close,Volume,Currency
2013-03-07,1.75,1.82,1.75,1.8,460400,MYR
2013-03-08,1.83,1.83,1.8,1.8,186600,MYR
2013-03-11,1.8,1.8,1.78,1.79,56500,MYR
2013-03-12,1.8,1.8,1.77,1.8,65000,MYR
2013-03-13,1.79,1.79,1.72,1.79,528300,MYR
2013-03-14,1.76,1.77,1.74,1.75,181100,MYR
2013-03-15,1.75,1.76,1.75,1.76,36000,MYR
2013-03-18,1.74,1.74,1.73,1.73,51800,MYR
2013-03-19,1.75,1.75,1.75,1.75,15000,MYR
2013-03-20,1.74,1.75,1.73,1.74,37000,MYR
2013-03-21,1.73,1.74,1.73,1.74,9000,MYR
2013-03-22,1.73,1.73,1.71,1.71,154700,MYR
2013-03-25,1.71,1.75,1.71,1.71,34100,MYR
2013-03-26,1.71,1.73,1.71,1.73,55200,MYR
2013-03-27,1.74,1.74,1.72,1.72,71800,MYR
2013-03-28,1.73,1.76,1.72,1.75,121200,MYR
2013-03-29,1.75,1.75,1.74,1.74,66500,MYR
2013-04-01,1.74,1.75,1.73,1.73,93600,MYR
2013-04-02,1.73,1.8,1.73,1.78,304800,MYR
2013-04-03,1.77,1.77,1.7,1.75,382300,MYR
2013-04-04,1.73,1.76,1.73,1.75,252900,MYR
2013-04-05,1.75,1.76,1.75,1.75,249900,MYR
2013-04-08,1.75,1.75,1.73,1.73,333200,MYR
2013-04-09,1.74,1.75,1.73,1.73,296500,MYR
2013-04-10,1.73,1.73,1.71,1.71,505700,MYR
2013-04-11,1.72,1.73,1.71,1.72,593600,MYR
2013-04-12,1.72,1.72,1.7,1.7,220200,MYR
2013-04-15,1.7,1.7,1.69,1.7,260500,MYR
2013-04-16,1.69,1.7,1.67,1.69,232500,MYR
2013-04-17,1.7,1.72,1.7,1.72,21000,MYR
2013-04-18,1.7,1.71,1.69,1.69,242100,MYR
2013-04-19,1.69,1.69,1.67,1.67,292600,MYR
2013-04-22,1.67,1.67,1.63,1.63,325600,MYR
2013-04-23,1.63,1.63,1.61,1.62,189200,MYR
2013-04-24,1.62,1.65,1.62,1.63,271900,MYR
2013-04-25,1.63,1.64,1.63,1.63,118800,MYR
2013-04-26,1.67,1.68,1.65,1.67,91400,MYR
2013-04-29,1.68,1.69,1.67,1.67,539300,MYR
2013-04-30,1.67,1.68,1.66,1.66,145800,MYR
2013-05-02,1.65,1.66,1.6,1.65,277800,MYR
2013-05-03,1.65,1.65,1.62,1.65,217100,MYR
2013-05-06,1.68,1.72,1.67,1.68,864200,MYR
2013-05-07,1.71,1.79,1.71,1.78,439800,MYR
2013-05-08,1.78,1.78,1.74,1.77,231000,MYR
2013-05-09,1.77,1.85,1.77,1.85,591700,MYR
2013-05-10,1.85,1.93,1.83,1.93,1009600,MYR
2013-05-13,1.96,2.05,1.95,2.03,1752800,MYR
2013-05-14,2.03,2.09,1.98,2.0,1110400,MYR
2013-05-15,2.0,2.04,2.0,2.02,354700,MYR
2013-05-16,2.02,2.02,1.96,1.96,251400,MYR
2013-05-17,1.95,2.02,1.95,2.0,206300,MYR
2013-05-20,2.04,2.08,2.04,2.06,303700,MYR
2013-05-21,2.06,2.17,2.04,2.17,1264400,MYR
2013-05-22,2.18,2.19,2.09,2.09,257000,MYR
2013-05-23,2.07,2.07,1.94,1.97,1249400,MYR
2013-05-27,1.98,1.99,1.93,1.93,380300,MYR
2013-05-28,1.96,2.02,1.96,2.0,457800,MYR
2013-05-29,2.02,2.03,1.97,1.98,147700,MYR
2013-05-30,1.96,1.97,1.95,1.95,155100,MYR
2013-05-31,1.96,1.97,1.95,1.97,100600,MYR
2013-06-03,1.97,1.97,1.9,1.93,294400,MYR
2013-06-04,1.92,1.94,1.91,1.92,107900,MYR
2013-06-05,1.92,1.93,1.92,1.92,109900,MYR
2013-06-06,1.91,1.92,1.88,1.9,268100,MYR
2013-06-07,1.91,1.94,1.91,1.94,110000,MYR
2013-06-10,1.96,2.03,1.95,2.03,421500,MYR
2013-06-11,2.03,2.07,1.95,1.96,249600,MYR
2013-06-12,1.96,1.96,1.92,1.95,134200,MYR
2013-06-13,1.94,1.94,1.91,1.91,161200,MYR
2013-06-14,1.93,1.94,1.92,1.92,120000,MYR
2013-06-17,1.93,1.94,1.93,1.93,12000,MYR
2013-06-18,1.92,1.94,1.92,1.94,40300,MYR
2013-06-19,1.93,1.95,1.92,1.95,42000,MYR
2013-06-20,1.92,1.93,1.91,1.92,148500,MYR
2013-06-21,1.9,1.91,1.89,1.91,112400,MYR
2013-06-24,1.9,1.9,1.84,1.84,127400,MYR
2013-06-25,1.84,1.86,1.83,1.86,174800,MYR
2013-06-26,1.88,1.88,1.84,1.87,99800,MYR
2013-06-27,1.88,1.89,1.87,1.89,22100,MYR
2013-06-28,1.9,1.9,1.88,1.9,122100,MYR
2013-07-02,1.93,1.93,1.9,1.9,63800,MYR
2013-07-03,1.88,1.92,1.86,1.86,39000,MYR
2013-07-04,1.86,1.89,1.86,1.86,25100,MYR
2013-07-05,1.91,2.03,1.91,1.99,1406700,MYR
2013-07-08,2.03,2.05,1.99,2.02,543000,MYR
2013-07-09,1.99,2.02,1.97,1.97,131000,MYR
