Date,Open,High,Low,Close,Volume,Currency
2013-03-25,0.505,0.51,0.505,0.51,20000,MYR
2013-03-26,0.515,0.515,0.515,0.515,1800,MYR
2013-03-27,0.52,0.52,0.51,0.52,60000,MYR
2013-03-28,0.51,0.525,0.51,0.525,10000,MYR
2013-03-29,0.525,0.525,0.505,0.505,2000,MYR
2013-04-02,0.525,0.545,0.525,0.535,233400,MYR
2013-04-03,0.535,0.535,0.505,0.505,110200,MYR
2013-04-05,0.53,0.53,0.53,0.53,32000,MYR
2013-04-08,0.505,0.52,0.505,0.52,45700,MYR
2013-04-09,0.51,0.51,0.51,0.51,200,MYR
2013-04-10,0.5,0.52,0.5,0.52,14300,MYR
2013-04-11,0.53,0.53,0.53,0.53,32000,MYR
2013-04-15,0.525,0.525,0.52,0.52,16600,MYR
2013-04-16,0.52,0.52,0.52,0.52,5400,MYR
2013-04-17,0.505,0.52,0.495,0.505,31700,MYR
2013-04-22,0.49,0.5,0.49,0.5,400,MYR
2013-04-29,0.48,0.48,0.48,0.48,5800,MYR
2013-04-30,0.48,0.515,0.48,0.515,4000,MYR
2013-05-02,0.5,0.525,0.5,0.525,32000,MYR
2013-05-08,0.49,0.5,0.49,0.5,1200,MYR
2013-05-14,0.5,0.53,0.5,0.53,1100,MYR
2013-05-15,0.515,0.515,0.515,0.515,100,MYR
2013-05-16,0.485,0.53,0.485,0.53,10600,MYR
2013-05-20,0.525,0.53,0.525,0.53,17500,MYR
2013-05-21,0.52,0.53,0.52,0.52,51600,MYR
2013-05-22,0.53,0.535,0.525,0.525,36100,MYR
2013-05-23,0.53,0.53,0.51,0.51,15900,MYR
2013-05-27,0.525,0.535,0.525,0.535,23100,MYR
2013-05-28,0.53,0.53,0.53,0.53,125200,MYR
2013-05-29,0.535,0.535,0.535,0.535,116900,MYR
2013-05-30,0.535,0.55,0.535,0.55,300,MYR
2013-05-31,0.535,0.545,0.535,0.535,22600,MYR
2013-06-03,0.54,0.54,0.535,0.535,21000,MYR
2013-06-04,0.54,0.545,0.54,0.54,144000,MYR
2013-06-05,0.54,0.54,0.535,0.535,70500,MYR
2013-06-06,0.53,0.535,0.53,0.535,19100,MYR
2013-06-07,0.54,0.54,0.54,0.54,5000,MYR
2013-06-11,0.535,0.535,0.53,0.53,20000,MYR
2013-06-12,0.55,0.55,0.55,0.55,5000,MYR
2013-06-13,0.515,0.515,0.515,0.515,2100,MYR
2013-06-14,0.53,0.54,0.53,0.54,32700,MYR
2013-06-17,0.55,0.55,0.52,0.52,10100,MYR
2013-06-18,0.525,0.525,0.525,0.525,17700,MYR
2013-06-19,0.51,0.51,0.51,0.51,1000,MYR
2013-06-20,0.515,0.515,0.515,0.515,900,MYR
2013-06-24,0.535,0.535,0.52,0.52,49100,MYR
2013-06-26,0.535,0.535,0.53,0.535,45900,MYR
2013-06-27,0.545,0.545,0.545,0.545,100,MYR
2013-06-28,0.53,0.555,0.53,0.555,300,MYR
2013-07-01,0.55,0.55,0.53,0.53,31900,MYR
2013-07-02,0.57,0.57,0.57,0.57,100,MYR
2013-07-04,0.53,0.53,0.53,0.53,200,MYR
2013-07-05,0.54,0.54,0.53,0.53,3900,MYR
2013-07-08,0.55,0.55,0.55,0.55,20000,MYR
2013-07-09,0.535,0.545,0.535,0.545,18000,MYR
2013-07-10,0.535,0.55,0.535,0.545,18000,MYR
2013-07-12,0.53,0.53,0.53,0.53,10100,MYR
2013-07-15,0.54,0.54,0.54,0.54,37700,MYR
2013-07-17,0.54,0.55,0.54,0.545,67600,MYR
2013-07-19,0.49,0.5,0.49,0.5,58000,MYR
2013-07-24,0.5,0.5,0.5,0.5,11000,MYR
2013-07-25,0.5,0.5,0.5,0.5,5000,MYR
2013-07-26,0.51,0.51,0.5,0.5,10000,MYR
2013-07-29,0.5,0.55,0.5,0.55,500,MYR
2013-08-01,0.59,0.59,0.59,0.59,100,MYR
2013-08-02,0.62,0.62,0.62,0.62,100,MYR
2013-08-07,0.5,0.53,0.5,0.53,36200,MYR
2013-08-12,0.515,0.53,0.515,0.515,22300,MYR
2013-08-13,0.515,0.515,0.51,0.515,49800,MYR
2013-08-14,0.515,0.515,0.51,0.515,33200,MYR
2013-08-16,0.51,0.51,0.5,0.5,10000,MYR
2013-08-19,0.505,0.51,0.505,0.51,23100,MYR
2013-08-20,0.505,0.505,0.505,0.505,12200,MYR
2013-08-21,0.505,0.505,0.505,0.505,1200,MYR
2013-08-22,0.505,0.505,0.5,0.5,17000,MYR
2013-08-23,0.485,0.485,0.485,0.485,10000,MYR
2013-08-26,0.49,0.49,0.485,0.49,101100,MYR
2013-08-27,0.48,0.48,0.48,0.48,20000,MYR
2013-08-28,0.47,0.47,0.44,0.44,14000,MYR
2013-08-30,0.445,0.54,0.44,0.54,14700,MYR
2013-09-02,0.43,0.43,0.425,0.425,11000,MYR
2013-09-03,0.475,0.48,0.43,0.43,48000,MYR
2013-09-04,0.45,0.46,0.45,0.46,7200,MYR
2013-09-05,0.46,0.46,0.46,0.46,400,MYR
2013-09-11,0.53,0.535,0.465,0.465,1736000,MYR
2013-09-12,0.53,0.535,0.53,0.535,500000,MYR
2013-09-13,0.525,0.535,0.485,0.485,424000,MYR
2013-09-17,0.525,0.525,0.525,0.525,20000,MYR
2013-09-18,0.49,0.5,0.49,0.49,28500,MYR
2013-09-19,0.465,0.48,0.465,0.48,400,MYR
2013-09-20,0.48,0.485,0.48,0.485,11700,MYR
2013-09-24,0.48,0.52,0.48,0.515,29100,MYR
2013-09-26,0.51,0.515,0.51,0.515,31800,MYR
2013-09-27,0.51,0.51,0.51,0.51,10000,MYR
2013-10-01,0.485,0.485,0.485,0.485,200,MYR
2013-10-03,0.49,0.49,0.38,0.38,35800,MYR
2013-10-04,0.5,0.5,0.465,0.465,1300,MYR
2013-10-09,0.49,0.495,0.49,0.495,13000,MYR
2013-10-11,0.525,0.525,0.485,0.485,1100,MYR
2013-10-16,0.47,0.47,0.47,0.47,1000,MYR
2013-10-21,0.5,0.5,0.5,0.5,10000,MYR
2013-10-22,0.5,0.5,0.5,0.5,10000,MYR
