Date,Open,High,Low,Close,Volume,Currency
2014-09-11,0.308,0.316,0.308,0.312,766000,MYR
2014-09-12,0.308,0.316,0.308,0.316,807125,MYR
2014-09-15,0.316,0.316,0.308,0.308,618500,MYR
2014-09-17,0.308,0.308,0.3,0.3,376625,MYR
2014-09-18,0.3,0.312,0.3,0.312,162750,MYR
2014-09-19,0.304,0.304,0.304,0.304,165000,MYR
2014-09-22,0.308,0.308,0.296,0.296,941250,MYR
2014-09-23,0.3,0.3,0.296,0.296,257500,MYR
2014-09-24,0.296,0.296,0.296,0.296,227000,MYR
2014-09-25,0.3,0.3,0.3,0.3,560000,MYR
2014-09-26,0.3,0.304,0.3,0.304,218500,MYR
2014-09-29,0.304,0.304,0.3,0.3,472500,MYR
2014-09-30,0.3,0.304,0.3,0.304,185000,MYR
2014-10-01,0.3,0.3,0.296,0.296,146625,MYR
2014-10-02,0.3,0.3,0.296,0.3,679375,MYR
2014-10-03,0.308,0.34,0.308,0.312,13887500,MYR
2014-10-07,0.316,0.316,0.304,0.304,1845625,MYR
2014-10-08,0.3,0.304,0.296,0.304,1231625,MYR
2014-10-09,0.3,0.304,0.296,0.3,502625,MYR
2014-10-10,0.296,0.3,0.284,0.3,2102250,MYR
2014-10-13,0.292,0.3,0.288,0.296,1330750,MYR
2014-10-14,0.296,0.296,0.292,0.296,1014875,MYR
2014-10-15,0.292,0.296,0.292,0.292,1024750,MYR
2014-10-16,0.288,0.288,0.24,0.26,1982625,MYR
2014-10-17,0.264,0.272,0.264,0.272,629125,MYR
2014-10-20,0.28,0.28,0.28,0.28,193000,MYR
2014-10-21,0.276,0.284,0.276,0.28,510250,MYR
2014-10-23,0.284,0.288,0.28,0.284,664750,MYR
2014-10-24,0.288,0.292,0.288,0.292,477625,MYR
2014-10-27,0.296,0.296,0.288,0.296,240625,MYR
2014-10-28,0.292,0.292,0.284,0.292,156625,MYR
2014-10-29,0.292,0.296,0.292,0.296,176375,MYR
2014-10-30,0.296,0.296,0.288,0.296,460875,MYR
2014-10-31,0.296,0.296,0.292,0.296,274500,MYR
2014-11-03,0.3,0.304,0.292,0.296,499625,MYR
2014-11-04,0.296,0.296,0.292,0.296,43875,MYR
2014-11-05,0.296,0.3,0.296,0.296,276000,MYR
2014-11-06,0.296,0.296,0.296,0.296,250000,MYR
2014-11-07,0.296,0.3,0.296,0.3,258750,MYR
2014-11-10,0.3,0.3,0.3,0.3,53500,MYR
2014-11-11,0.3,0.3,0.296,0.296,446875,MYR
2014-11-12,0.296,0.3,0.296,0.3,502500,MYR
2014-11-13,0.304,0.328,0.304,0.312,5399000,MYR
2014-11-14,0.312,0.312,0.308,0.312,787625,MYR
2014-11-17,0.312,0.312,0.308,0.312,727500,MYR
2014-11-18,0.312,0.312,0.304,0.304,541625,MYR
