Date,Open,High,Low,Close,Volume,Currency
2013-03-21,0.588,0.588,0.588,0.588,17700,MYR
2013-03-22,0.588,0.588,0.588,0.588,1650,MYR
2013-03-29,0.543,0.543,0.543,0.543,1500,MYR
2013-04-04,0.588,0.588,0.588,0.588,300,MYR
2013-04-19,0.556,0.556,0.556,0.556,7500,MYR
2013-04-22,0.588,0.608,0.588,0.608,60000,MYR
2013-04-23,0.608,0.608,0.608,0.608,18900,MYR
2013-04-25,0.588,0.588,0.588,0.588,10500,MYR
2013-05-02,0.556,0.556,0.556,0.556,3000,MYR
2013-05-09,0.588,0.588,0.588,0.588,6900,MYR
2013-05-10,0.556,0.585,0.556,0.585,45000,MYR
2013-05-13,0.588,0.611,0.588,0.611,88350,MYR
2013-05-21,0.608,0.611,0.608,0.611,19500,MYR
2013-05-22,0.592,0.592,0.592,0.592,7500,MYR
2013-05-27,0.569,0.569,0.569,0.569,150,MYR
2013-05-28,0.588,0.588,0.588,0.588,3000,MYR
2013-05-29,0.592,0.592,0.592,0.592,21750,MYR
2013-05-31,0.592,0.592,0.592,0.592,17250,MYR
2013-06-03,0.585,0.588,0.585,0.585,21150,MYR
2013-06-04,0.592,0.592,0.588,0.588,156600,MYR
2013-06-05,0.588,0.588,0.588,0.588,8250,MYR
2013-06-06,0.588,0.592,0.588,0.592,30750,MYR
2013-06-10,0.592,0.592,0.592,0.592,91500,MYR
2013-06-11,0.588,0.588,0.588,0.588,2850,MYR
2013-06-14,0.601,0.601,0.601,0.601,6600,MYR
2013-06-19,0.615,0.719,0.615,0.719,63600,MYR
2013-06-20,0.713,0.719,0.608,0.631,139950,MYR
2013-06-21,0.608,0.608,0.608,0.608,7500,MYR
2013-06-24,0.605,0.605,0.605,0.605,150,MYR
2013-06-25,0.605,0.605,0.605,0.605,15000,MYR
2013-07-04,0.618,0.621,0.618,0.621,15000,MYR
2013-07-08,0.621,0.624,0.621,0.624,7650,MYR
2013-07-10,0.615,0.615,0.615,0.615,4500,MYR
2013-07-16,0.654,0.654,0.654,0.654,4500,MYR
2013-07-17,0.654,0.654,0.654,0.654,1500,MYR
2013-07-18,0.634,0.654,0.634,0.654,16500,MYR
2013-07-19,0.66,0.66,0.637,0.641,24000,MYR
2013-07-22,0.667,0.667,0.644,0.644,30600,MYR
2013-07-24,0.66,0.667,0.66,0.667,9000,MYR
2013-07-25,0.66,0.66,0.647,0.647,18750,MYR
2013-07-26,0.624,0.624,0.621,0.624,48000,MYR
2013-07-29,0.647,0.647,0.647,0.647,4800,MYR
2013-08-01,0.647,0.673,0.647,0.673,4500,MYR
2013-08-05,0.673,0.673,0.673,0.673,32850,MYR
2013-08-16,0.673,0.673,0.634,0.673,30000,MYR
2013-08-19,0.686,0.686,0.686,0.686,1500,MYR
2013-08-20,0.673,0.673,0.673,0.673,16500,MYR
2013-08-21,0.667,0.673,0.667,0.673,19650,MYR
2013-08-22,0.608,0.641,0.608,0.615,15000,MYR
2013-08-27,0.654,0.654,0.621,0.621,37500,MYR
