Date,Open,High,Low,Close,Volume,Currency
2013-03-25,0.8,0.8,0.8,0.8,7200,MYR
2013-03-27,0.84,0.84,0.8,0.8,51000,MYR
2013-03-28,0.8,0.8,0.78,0.78,10100,MYR
2013-03-29,0.77,0.8,0.77,0.8,20600,MYR
2013-04-01,0.8,0.81,0.8,0.81,20000,MYR
2013-04-02,0.82,0.89,0.79,0.79,40100,MYR
2013-04-05,0.8,0.8,0.8,0.8,100,MYR
2013-04-12,0.84,0.84,0.84,0.84,5000,MYR
2013-04-15,0.8,0.805,0.8,0.8,2500,MYR
2013-04-17,0.78,0.78,0.75,0.755,330000,MYR
2013-04-18,0.76,0.76,0.75,0.75,215000,MYR
2013-04-19,0.755,0.765,0.745,0.75,35300,MYR
2013-04-22,0.74,0.74,0.735,0.735,90000,MYR
2013-04-23,0.745,0.75,0.725,0.735,102100,MYR
2013-04-24,0.735,0.735,0.735,0.735,106000,MYR
2013-04-25,0.73,0.74,0.72,0.74,11000,MYR
2013-04-26,0.71,0.75,0.71,0.735,61500,MYR
2013-04-29,0.71,0.71,0.71,0.71,5000,MYR
2013-04-30,0.73,0.73,0.67,0.67,19700,MYR
2013-05-02,0.67,0.67,0.62,0.62,152400,MYR
2013-05-03,0.65,0.695,0.64,0.695,103000,MYR
2013-05-06,0.73,0.74,0.71,0.74,37300,MYR
2013-05-07,0.8,0.8,0.79,0.79,4000,MYR
2013-05-08,0.79,0.8,0.79,0.8,26000,MYR
2013-05-10,0.82,0.82,0.82,0.82,1900,MYR
2013-05-13,0.86,0.86,0.86,0.86,500,MYR
2013-05-14,0.8,0.8,0.8,0.8,5000,MYR
2013-05-15,0.8,0.8,0.8,0.8,4400,MYR
2013-05-17,0.8,0.83,0.8,0.83,5300,MYR
2013-05-20,0.8,0.9,0.8,0.9,14700,MYR
2013-05-27,0.78,0.8,0.78,0.8,11800,MYR
2013-05-28,0.805,0.805,0.8,0.8,1500,MYR
2013-05-29,0.88,0.88,0.88,0.88,5000,MYR
2013-05-30,0.82,0.88,0.82,0.88,6300,MYR
2013-05-31,0.85,0.85,0.85,0.85,1000,MYR
2013-06-03,0.85,0.85,0.85,0.85,4000,MYR
2013-06-04,0.86,0.86,0.86,0.86,2000,MYR
2013-06-05,0.885,0.885,0.885,0.885,3000,MYR
2013-06-06,0.87,0.88,0.87,0.88,12000,MYR
2013-06-10,0.85,0.85,0.85,0.85,10000,MYR
2013-06-11,0.88,0.88,0.855,0.855,11300,MYR
2013-06-18,0.92,0.92,0.835,0.835,8600,MYR
2013-06-20,0.86,0.86,0.86,0.86,4000,MYR
2013-06-24,0.81,0.81,0.8,0.8,10000,MYR
2013-06-26,0.85,0.85,0.85,0.85,10000,MYR
2013-06-28,0.83,0.83,0.83,0.83,2600,MYR
2013-07-04,0.85,0.85,0.85,0.85,17600,MYR
2013-07-08,0.86,0.86,0.86,0.86,10000,MYR
2013-07-12,0.7,0.82,0.7,0.82,1000,MYR
2013-07-15,0.83,0.83,0.82,0.82,10000,MYR
2013-07-16,0.82,0.84,0.82,0.84,60000,MYR
2013-07-17,0.86,0.86,0.835,0.835,35000,MYR
2013-07-18,0.85,0.85,0.835,0.84,68500,MYR
2013-07-19,0.835,0.835,0.835,0.835,11000,MYR
2013-07-22,0.87,0.87,0.87,0.87,3000,MYR
2013-07-26,0.835,0.835,0.835,0.835,10000,MYR
2013-07-29,0.84,0.86,0.835,0.86,26000,MYR
2013-07-30,0.835,0.835,0.835,0.835,5000,MYR
2013-08-05,0.83,0.83,0.83,0.83,5000,MYR
2013-08-06,0.83,0.83,0.83,0.83,2000,MYR
2013-08-07,0.83,0.83,0.83,0.83,4000,MYR
2013-08-13,0.81,0.81,0.81,0.81,1500,MYR
2013-08-20,0.8,0.8,0.8,0.8,5000,MYR
2013-08-27,0.74,0.78,0.74,0.78,4600,MYR
2013-08-28,0.78,0.8,0.78,0.8,42000,MYR
2013-09-09,0.8,0.8,0.8,0.8,10000,MYR
2013-09-10,0.8,0.8,0.8,0.8,20000,MYR
2013-09-17,0.8,0.8,0.8,0.8,61000,MYR
2013-09-18,0.8,0.8,0.8,0.8,10000,MYR
2013-09-19,0.8,0.8,0.8,0.8,26300,MYR
2013-09-20,0.8,0.8,0.8,0.8,10000,MYR
2013-09-24,0.78,0.78,0.78,0.78,10000,MYR
2013-09-27,0.78,0.85,0.76,0.85,57100,MYR
2013-09-30,0.75,0.77,0.75,0.755,319500,MYR
2013-10-01,0.8,0.8,0.775,0.8,30100,MYR
2013-10-02,0.78,0.78,0.77,0.77,5000,MYR
2013-10-03,0.76,0.8,0.76,0.8,7000,MYR
2013-10-07,0.78,0.8,0.775,0.8,31300,MYR
2013-10-08,0.795,0.795,0.775,0.775,18300,MYR
2013-10-09,0.8,0.8,0.8,0.8,11000,MYR
2013-10-14,0.755,0.78,0.755,0.765,206500,MYR
2013-10-17,0.8,0.8,0.77,0.77,900,MYR
2013-10-18,0.775,0.78,0.77,0.775,37600,MYR
2013-10-21,0.765,0.765,0.765,0.765,1300,MYR
2013-10-23,0.77,0.77,0.765,0.765,1300,MYR
2013-10-24,0.77,0.77,0.77,0.77,20000,MYR
2013-10-28,0.77,0.77,0.77,0.77,600,MYR
