Date,Open,High,Low,Close,Volume,Currency
2013-03-08,1.78,1.78,1.78,1.78,3000,MYR
2013-03-14,1.67,1.74,1.67,1.73,109100,MYR
2013-03-15,1.74,1.74,1.74,1.74,13000,MYR
2013-03-21,1.73,1.73,1.73,1.73,10000,MYR
2013-03-22,1.72,1.72,1.72,1.72,2500,MYR
2013-03-26,1.68,1.68,1.68,1.68,9000,MYR
2013-03-27,1.68,1.68,1.68,1.68,40800,MYR
2013-03-28,1.69,1.69,1.69,1.69,3600,MYR
2013-04-01,1.69,1.69,1.69,1.69,5000,MYR
2013-04-02,1.68,1.68,1.68,1.68,2500,MYR
2013-04-03,1.68,1.68,1.68,1.68,25500,MYR
2013-04-05,1.7,1.7,1.68,1.68,11000,MYR
2013-04-08,1.68,1.68,1.68,1.68,149000,MYR
2013-04-09,1.68,1.68,1.68,1.68,24500,MYR
2013-04-10,1.68,1.68,1.68,1.68,2500,MYR
2013-04-11,1.68,1.68,1.68,1.68,20000,MYR
2013-04-12,1.68,1.68,1.68,1.68,24400,MYR
2013-04-15,1.68,1.68,1.67,1.67,4000,MYR
2013-04-16,1.68,1.68,1.68,1.68,2500,MYR
2013-04-17,1.68,1.68,1.68,1.68,15000,MYR
2013-04-18,1.68,1.68,1.68,1.68,3000,MYR
2013-04-19,1.68,1.68,1.66,1.66,5000,MYR
2013-04-23,1.66,1.66,1.65,1.66,8800,MYR
2013-04-26,1.66,1.66,1.66,1.66,4000,MYR
2013-04-29,1.66,1.71,1.66,1.71,2000,MYR
2013-05-06,1.66,1.66,1.66,1.66,2500,MYR
2013-05-10,1.68,1.71,1.68,1.7,16100,MYR
2013-05-13,1.78,1.78,1.78,1.78,10000,MYR
2013-05-14,1.74,1.76,1.74,1.75,7000,MYR
2013-05-15,1.76,1.76,1.75,1.75,6000,MYR
2013-05-16,1.83,1.83,1.77,1.77,22500,MYR
2013-05-17,1.78,1.78,1.77,1.78,93400,MYR
2013-05-20,1.8,1.83,1.8,1.83,43000,MYR
2013-05-21,1.81,1.84,1.81,1.84,8600,MYR
2013-05-22,1.84,1.84,1.82,1.83,35000,MYR
2013-05-23,1.82,1.82,1.78,1.78,37800,MYR
2013-05-29,1.78,1.78,1.78,1.78,81700,MYR
2013-05-30,1.74,1.74,1.74,1.74,2500,MYR
2013-05-31,1.74,1.74,1.74,1.74,2500,MYR
2013-06-07,1.71,1.71,1.7,1.7,25900,MYR
2013-06-11,1.68,1.68,1.68,1.68,1500,MYR
2013-06-13,1.69,1.69,1.69,1.69,3000,MYR
2013-06-18,1.71,1.78,1.71,1.78,67000,MYR
2013-06-24,1.78,1.78,1.73,1.73,15000,MYR
